url	parent	ps	ns	text
https://harvard.edu/#bookmark_B	a			       Jump to main content     
https://harvard.edu/#bookmark_B	a			       Jump to search     
https://harvard.edu/#bookmark_B	a			       Jump to the footer     
https://harvard.edu/#bookmark_B	span			         Harvard University       
https://harvard.edu/#bookmark_B	a			     Menu   
https://harvard.edu/#bookmark_B	a		span	                 About                 
https://harvard.edu/#bookmark_B	span			                   Harvard                 
https://harvard.edu/#bookmark_B	a			Harvard at a Glance
https://harvard.edu/#bookmark_B	a			Harvard's President
https://harvard.edu/#bookmark_B	a			Harvard's Leadership
https://harvard.edu/#bookmark_B	a			Academic Experience
https://harvard.edu/#bookmark_B	a			Administrative Offices
https://harvard.edu/#bookmark_B	a			Directories
https://harvard.edu/#bookmark_B	a			Harvard in the Community
https://harvard.edu/#bookmark_B	a			News
https://harvard.edu/#bookmark_B	a		span	                 Admissions                 
https://harvard.edu/#bookmark_B	span			                   & Aid                 
https://harvard.edu/#bookmark_B	a			Undergraduate
https://harvard.edu/#bookmark_B	a			Graduate & Professional Schools
https://harvard.edu/#bookmark_B	a			Continuing Education
https://harvard.edu/#bookmark_B	a			Summer Programs
https://harvard.edu/#bookmark_B	a			                 Schools               
https://harvard.edu/#bookmark_B	a			Business
https://harvard.edu/#bookmark_B	a			College
https://harvard.edu/#bookmark_B	a			Continuing Education
https://harvard.edu/#bookmark_B	a			Dental
https://harvard.edu/#bookmark_B	a			Design
https://harvard.edu/#bookmark_B	a			Divinity
https://harvard.edu/#bookmark_B	a			Education
https://harvard.edu/#bookmark_B	a			Engineering
https://harvard.edu/#bookmark_B	a			Faculty of Arts & Sciences
https://harvard.edu/#bookmark_B	a			Government
https://harvard.edu/#bookmark_B	a			Graduate School
https://harvard.edu/#bookmark_B	a			Law
https://harvard.edu/#bookmark_B	a			Medical
https://harvard.edu/#bookmark_B	a			Public Health
https://harvard.edu/#bookmark_B	a			Radcliffe Institute
https://harvard.edu/#bookmark_B	a			                 On Campus               
https://harvard.edu/#bookmark_B	a			Arts and Humanities
https://harvard.edu/#bookmark_B	a			Athletics
https://harvard.edu/#bookmark_B	a			Commencement
https://harvard.edu/#bookmark_B	a			Employment
https://harvard.edu/#bookmark_B	a			Events
https://harvard.edu/#bookmark_B	a			HarvardX
https://harvard.edu/#bookmark_B	a			Library
https://harvard.edu/#bookmark_B	a			Museums
https://harvard.edu/#bookmark_B	a			Research
https://harvard.edu/#bookmark_B	a			Science
https://harvard.edu/#bookmark_B	a			Visit Harvard
https://harvard.edu/#bookmark_B	a			                 Gazette News               
https://harvard.edu/#bookmark_B	a			                 Events               
https://harvard.edu/#bookmark_B	a			                 Visit               
https://harvard.edu/#bookmark_B	a			                 Give               
https://harvard.edu/#bookmark_B	a			Faculty
https://harvard.edu/#bookmark_B	a			Staff
https://harvard.edu/#bookmark_B	a			Students
https://harvard.edu/#bookmark_B	a			Alumni
https://harvard.edu/#bookmark_B	a			Parents
https://harvard.edu/#bookmark_B	a			Visitors
https://harvard.edu/#bookmark_B	a			Media
https://harvard.edu/#bookmark_B	span			       Search:     
https://harvard.edu/#bookmark_B	span			       Open Search     
https://harvard.edu/#bookmark_B	h2			         Sit by the Harvard Yule Log this holiday season       
https://harvard.edu/#bookmark_B	a		span	Get cozy    
https://harvard.edu/#bookmark_B	span			     Sit by the Harvard Yule Log this holiday season     
https://harvard.edu/#bookmark_B	span			Gazette
https://harvard.edu/#bookmark_B	a			Holiday reflections 
https://harvard.edu/#bookmark_B	p			Harvard students leaving for break take a moment to reflect on the holidays, their achievements and dreams
https://harvard.edu/#bookmark_B	a			       Read story       
https://harvard.edu/#bookmark_B	span			Gazette
https://harvard.edu/#bookmark_B	a			Deck the halls and set the table
https://harvard.edu/#bookmark_B	p			Members of the Harvard community share their favorite holiday dishes
https://harvard.edu/#bookmark_B	a			       Read story       
https://harvard.edu/#bookmark_B	span			Gazette
https://harvard.edu/#bookmark_B	a			Merry and bright?
https://harvard.edu/#bookmark_B	p			Harvard psychologist discusses how the holiday season can trigger the blues ­— and how to avoid them
https://harvard.edu/#bookmark_B	a			       Read story       
https://harvard.edu/#bookmark_B	span			Gazette
https://harvard.edu/#bookmark_B	a			Crafting a carol
https://harvard.edu/#bookmark_B	p			Composer in residence Carson Cooman created a song for Memorial Church's 110th holiday services
https://harvard.edu/#bookmark_B	a			       Read story       
https://harvard.edu/#bookmark_B	a			Notice of Settlement of Class Action Relating to Captioning of Public Web Content
https://harvard.edu/#bookmark_B	h2			To Serve Better: Harvard across the country
https://harvard.edu/#bookmark_B	a			Serving Tennessee
https://harvard.edu/#bookmark_B	p			Sarah Lockridge-Steckel founded The Collective, which works to help young people in Memphis, Tennessee
https://harvard.edu/#bookmark_B	a			       Read story       
https://harvard.edu/#bookmark_B	a			Serving South Dakota
https://harvard.edu/#bookmark_B	p			Marnie Gelbart works to increase public understanding of genetics, and the ethical, legal, and social implications
https://harvard.edu/#bookmark_B	a			       Read story       
https://harvard.edu/#bookmark_B	a			Serving Washington D.C. 
https://harvard.edu/#bookmark_B	p			Clint Smith, whose dissertation focuses on juveniles facing life sentences, leads a prison reading program in Washington, D.C.
https://harvard.edu/#bookmark_B	a			       Read story       
https://harvard.edu/#bookmark_B	a			             Explore the project           
https://harvard.edu/#bookmark_B	h2			Events
https://harvard.edu/#bookmark_B	p			       Thursday, December 26, 2019, 3:00pm     
https://harvard.edu/#bookmark_B	a			The Christmas Revels 2019: An American Celebration of the Winter Solstice
https://harvard.edu/#bookmark_B	p			       Thursday, December 26, 2019, 3:00pm - 4:00pm     
https://harvard.edu/#bookmark_B	a			Early Christian Africa: Arts of Transformation
https://harvard.edu/#bookmark_B	p			       Thursday, December 26, 2019, 9:00am - 5:00pm     
https://harvard.edu/#bookmark_B	a			Animal Talk Scavenger Hunt
https://harvard.edu/#bookmark_B	p			       Friday, December 27, 2019, 9:00am - 5:00pm     
https://harvard.edu/#bookmark_B	a			Angela Davis Exhibition: Freed by the People
https://harvard.edu/#bookmark_B	a			         See more events       
https://harvard.edu/#bookmark_B	h2			       Harvard scientists are working to help tackle climate change    
https://harvard.edu/#bookmark_B	a		span	    Learn more    
https://harvard.edu/#bookmark_B	span			     Harvard scientists are working to help tackle climate change    
https://harvard.edu/#bookmark_B	h2			Featured Multimedia
https://harvard.edu/#bookmark_B	h2			       Explore Harvard's online courses and learning content    
https://harvard.edu/#bookmark_B	a		span	    View Courses    
https://harvard.edu/#bookmark_B	span			     Explore Harvard's online courses and learning content    
https://harvard.edu/#bookmark_B	h2			Harvard on Twitter
https://harvard.edu/#bookmark_B	span			Twitter
https://harvard.edu/#bookmark_B	time			December 26, 2019
https://harvard.edu/#bookmark_B	p		a	         Harvard student Julia Riew wrote the book and composed the music for “Thumbelina: A Little Musical,” at the Loeb Dr…  
https://harvard.edu/#bookmark_B	a			https://twitter.com/i/web/status/1210232556991455232
https://harvard.edu/#bookmark_B	a			          View this Tweet         
https://harvard.edu/#bookmark_B	span			Twitter
https://harvard.edu/#bookmark_B	time			December 26, 2019
https://harvard.edu/#bookmark_B	p		a	         Fewer Americans are getting primary care than before, according to a national analysis of trends in the field by…  
https://harvard.edu/#bookmark_B	a			https://twitter.com/i/web/status/1210200844790116353
https://harvard.edu/#bookmark_B	a			          View this Tweet         
https://harvard.edu/#bookmark_B	span			Twitter
https://harvard.edu/#bookmark_B	time			December 25, 2019
https://harvard.edu/#bookmark_B	p		a	         Professor  
https://harvard.edu/#bookmark_B	a			@RNicholasBurns
https://harvard.edu/#bookmark_B	p		a	 is set to lead an 
https://harvard.edu/#bookmark_B	a			#HAATravel
https://harvard.edu/#bookmark_B	p		a	 trip on the legacy of WWI in Belgium and France  
https://harvard.edu/#bookmark_B	a			https://hvrdalum.me/harvardalumni88236
https://harvard.edu/#bookmark_B	a			          View this Tweet         
https://harvard.edu/#bookmark_B	span			Twitter
https://harvard.edu/#bookmark_B	time			December 25, 2019
https://harvard.edu/#bookmark_B	p		a	         The director of psychology at Brigham and Women’s talks about why the holiday season can trigger the blues ¬— and h…  
https://harvard.edu/#bookmark_B	a			https://twitter.com/i/web/status/1209929305654013959
https://harvard.edu/#bookmark_B	a			          View this Tweet         
https://harvard.edu/#bookmark_B	span			Twitter
https://harvard.edu/#bookmark_B	time			December 25, 2019
https://harvard.edu/#bookmark_B	p		a	         Merry Christmas! This beautiful depiction of the Madonna and Child made c. 1265 in Pisa is among the oldest of many…  
https://harvard.edu/#bookmark_B	a			https://twitter.com/i/web/status/1209836288037265412
https://harvard.edu/#bookmark_B	a			          View this Tweet         
https://harvard.edu/#bookmark_B	span			Twitter
https://harvard.edu/#bookmark_B	time			December 25, 2019
https://harvard.edu/#bookmark_B	p		a	         A very Merry Christmas to our alumni! We hope your day is filled with lots of love and cheer! 🎅🎄❤️  
https://harvard.edu/#bookmark_B	a			https://t.co/gH4IdK8eMN
https://harvard.edu/#bookmark_B	a			          View this Tweet         
https://harvard.edu/#bookmark_B	span			Twitter
https://harvard.edu/#bookmark_B	time			December 24, 2019
https://harvard.edu/#bookmark_B	a			@peabodymuseum
https://harvard.edu/#bookmark_B	p		a	 examines the origins of our favorite foods, how we make them, and who serves them  
https://harvard.edu/#bookmark_B	a			https://hvrdalum.me/resettingtable848de
https://harvard.edu/#bookmark_B	a			          View this Tweet         
https://harvard.edu/#bookmark_B	span			Twitter
https://harvard.edu/#bookmark_B	time			December 24, 2019
https://harvard.edu/#bookmark_B	p		a	         Members of the Harvard community shared what they cook and eat during the holidays, and what makes their favorite d…  
https://harvard.edu/#bookmark_B	a			https://twitter.com/i/web/status/1209571953130033159
https://harvard.edu/#bookmark_B	a			          View this Tweet         
https://harvard.edu/#bookmark_B	span			Twitter
https://harvard.edu/#bookmark_B	time			December 24, 2019
https://harvard.edu/#bookmark_B	p		a	         These are some of the most-read stories of campus, community, and achievement at Harvard this year  
https://harvard.edu/#bookmark_B	a			https://hrvd.me/topstories19t
https://harvard.edu/#bookmark_B	a			          View this Tweet         
https://harvard.edu/#bookmark_B	span			Twitter
https://harvard.edu/#bookmark_B	time			December 24, 2019
https://harvard.edu/#bookmark_B	p		a	         Time is running out to RSVP! Meet us in Seattle with  
https://harvard.edu/#bookmark_B	a			@harvardseattle
https://harvard.edu/#bookmark_B	a			@harvardaed
https://harvard.edu/#bookmark_B	p		a	, and  
https://harvard.edu/#bookmark_B	a			@alumnistartups
https://harvard.edu/#bookmark_B	a			https://twitter.com/i/web/status/1209547545669775360
https://harvard.edu/#bookmark_B	a			          View this Tweet         
https://harvard.edu/#bookmark_B	a			             Social media directory           
https://harvard.edu/#bookmark_B	h2			Latest Harvard Gazette News
https://harvard.edu/#bookmark_B	a			Prince gave up a title for scholarship; discusses hopes for reform
https://harvard.edu/#bookmark_B	time			December 23, 2019
https://harvard.edu/#bookmark_B	div			         Morocco’s Prince Moulay Hicham el Alaoui relinquished his title to press for democratic principles. In an Epicenter article, he assessed the Arab Spring.      
https://harvard.edu/#bookmark_B	a			           Read more         
https://harvard.edu/#bookmark_B	a			Harvard faculty and staff on the biggest moments of the 2010s
https://harvard.edu/#bookmark_B	time			December 23, 2019
https://harvard.edu/#bookmark_B	div			         Harvard experts recalling some of the biggest moments of the 2010s.      
https://harvard.edu/#bookmark_B	a			           Read more         
https://harvard.edu/#bookmark_B	a			Harvard photographers pick their favorites for 2019
https://harvard.edu/#bookmark_B	time			December 23, 2019
https://harvard.edu/#bookmark_B	div			         Harvard staff photographers select their favorite pics from the year, offering the story behind the image.      
https://harvard.edu/#bookmark_B	a			           Read more         
https://harvard.edu/#bookmark_B	a			Twenty-eight top Harvard Gazette stories of 2019
https://harvard.edu/#bookmark_B	time			December 23, 2019
https://harvard.edu/#bookmark_B	div			         A review of the top 28 Harvard Gazette stories of 2019.      
https://harvard.edu/#bookmark_B	a			           Read more         
https://harvard.edu/#bookmark_B	p			     Get the latest Harvard Gazette news delivered to your inbox.   
https://harvard.edu/#bookmark_B	label			           Your Email:         
https://harvard.edu/#bookmark_B	button			           Subscribe         
https://harvard.edu/#bookmark_B	h2			News from Around Harvard
https://harvard.edu/#bookmark_B	a			Eosinophilic esophagitis: A new food-related allergic condition on the rise?
https://harvard.edu/#bookmark_B	time			December 26, 2019
https://harvard.edu/#bookmark_B	div			         Eosinophilic esophagitis is an allergic inflammation of the esophagus that most typically develops as an allergic response to certain foods. …      
https://harvard.edu/#bookmark_B	a			           Read more         
https://harvard.edu/#bookmark_B	a			Improving Civility in the Workplace
https://harvard.edu/#bookmark_B	time			December 26, 2019
https://harvard.edu/#bookmark_B	div			         Krista Tippett, host of “On Being,” believes we are in the middle of a big shift in the workplace. …      
https://harvard.edu/#bookmark_B	a			           Read more         
https://harvard.edu/#bookmark_B	a			Gender Equality Issues
https://harvard.edu/#bookmark_B	time			December 26, 2019
https://harvard.edu/#bookmark_B	div			         Are you being treated unfairly at work because of your gender? Dan and Alison answer your questions with the help of Michelle King, the director of inclusion at Netflix. …      
https://harvard.edu/#bookmark_B	a			           Read more         
https://harvard.edu/#bookmark_B	a			What Happens When Your Career Becomes Your Whole Identity
https://harvard.edu/#bookmark_B	time			December 26, 2019
https://harvard.edu/#bookmark_B	div			         Don’t let the weight of your job squash your sense of self.          
https://harvard.edu/#bookmark_B	a			           Read more         
https://harvard.edu/#bookmark_B	a			How Kaiser Permanente Prepares for Disasters
https://harvard.edu/#bookmark_B	time			December 26, 2019
https://harvard.edu/#bookmark_B	div			         Lessons from two devastating California wildfires.          
https://harvard.edu/#bookmark_B	a			           Read more         
https://harvard.edu/#bookmark_B	a			Gratitude Posts (#23): Family, friends and a borrowed cabin in the woods
https://harvard.edu/#bookmark_B	time			December 25, 2019
https://harvard.edu/#bookmark_B	div			         Editor’s note: This month, we bring you brief reminders from pros around the world about what or who helped them forward in their careers. …      
https://harvard.edu/#bookmark_B	a			           Read more         
https://harvard.edu/#bookmark_B	a			The chronic pain of runaway medical debt
https://harvard.edu/#bookmark_B	time			December 24, 2019
https://harvard.edu/#bookmark_B	div			           izzie Presser was looking for the intersection of two wide-ranging and little-known facets of American life: the broad power of contempt laws, and the criminalization of medical debt. …      
https://harvard.edu/#bookmark_B	a			           Read more         
https://harvard.edu/#bookmark_B	a			Gratitude Posts (#22): Carved ducks and coffee
https://harvard.edu/#bookmark_B	time			December 24, 2019
https://harvard.edu/#bookmark_B	div			         Editor’s note: This month, we bring you brief reminders from pros around the world about what or who helped them forward in their careers. …      
https://harvard.edu/#bookmark_B	a			           Read more         
https://harvard.edu/#bookmark_B	a			   Jump to Top 
https://harvard.edu/#bookmark_B	h1			           Website         
https://harvard.edu/#bookmark_B	a			Accessibility
https://harvard.edu/#bookmark_B	a			Sitemap
https://harvard.edu/#bookmark_B	h2			           Get in Touch         
https://harvard.edu/#bookmark_B	a			Contact Harvard
https://harvard.edu/#bookmark_B	a			Maps & Directions
https://harvard.edu/#bookmark_B	a			Jobs
https://harvard.edu/#bookmark_B	a			Social Media
https://harvard.edu/#bookmark_B	h3			           Security & Brand         
https://harvard.edu/#bookmark_B	a			Privacy Statement
https://harvard.edu/#bookmark_B	a			Report Copyright Infringement
https://harvard.edu/#bookmark_B	a			Report Security Issue
https://harvard.edu/#bookmark_B	a			Trademark Notice
https://harvard.edu/#bookmark_B	h4			           Social Media & other Application Links         
https://harvard.edu/#bookmark_B	span			                   Facebook                 
https://harvard.edu/#bookmark_B	span			                   Twitter                 
https://harvard.edu/#bookmark_B	span			                   Instagram                 
https://harvard.edu/#bookmark_B	span			                   YouTube                 
https://harvard.edu/#bookmark_B	span			                   SoundCloud                 
https://harvard.edu/#bookmark_B	span			                   LinkedIn                 
https://harvard.edu/#bookmark_B	span			                   iTunes                 
https://harvard.edu/#bookmark_B	a			               Harvard Apps             
https://harvard.edu/#bookmark_B	p			       © 2019 The President and Fellows of Harvard College     
