url	parent	ps	ns	text
https://washington.edu/#main_content	noscript	script		"&lt;img src=""https://ad.doubleclick.net/ddm/activity/src=4532109;type=ip156748;cat=ip1560;ord=1?"" width=""1"" height=""1"" alt="""" style=""display: none;""/&gt;"
https://washington.edu/#main_content	a	div		Skip to main content
https://washington.edu/#main_content	a			University of Washington
https://washington.edu/#main_content	a			University of Washington
https://washington.edu/#main_content	a			Students
https://washington.edu/#main_content	a			Parents
https://washington.edu/#main_content	a			Faculty & Staff
https://washington.edu/#main_content	a			Alumni
https://washington.edu/#main_content	button	button	svg	Quick Links
https://washington.edu/#main_content	a			About
https://washington.edu/#main_content	a			About the UW
https://washington.edu/#main_content	a			Diversity
https://washington.edu/#main_content	a			Global Impact
https://washington.edu/#main_content	a			Innovation
https://washington.edu/#main_content	a			Leadership
https://washington.edu/#main_content	a			Maps
https://washington.edu/#main_content	a			Population Health
https://washington.edu/#main_content	a			Sustainability
https://washington.edu/#main_content	a			Visit
https://washington.edu/#main_content	a			Academics
https://washington.edu/#main_content	a			Academic calendar
https://washington.edu/#main_content	a			Academic departments
https://washington.edu/#main_content	a			Colleges and schools
https://washington.edu/#main_content	a			Course descriptions
https://washington.edu/#main_content	a			Registration
https://washington.edu/#main_content	a			Student guide
https://washington.edu/#main_content	a			Time schedule
https://washington.edu/#main_content	a			Apply
https://washington.edu/#main_content	a			Admissions
https://washington.edu/#main_content	a			Financial Aid
https://washington.edu/#main_content	a			Continuing education
https://washington.edu/#main_content	a			Majors
https://washington.edu/#main_content	a			Student housing
https://washington.edu/#main_content	a			Transfer students
https://washington.edu/#main_content	a			Tuition and fees
https://washington.edu/#main_content	a			Undocumented students
https://washington.edu/#main_content	a			UW Online
https://washington.edu/#main_content	a			News & Events
https://washington.edu/#main_content	a			UW News
https://washington.edu/#main_content	a			Arts UW
https://washington.edu/#main_content	a			Calendar
https://washington.edu/#main_content	a			UW Magazine
https://washington.edu/#main_content	a			Husky sports
https://washington.edu/#main_content	a			Research
https://washington.edu/#main_content	a			Office of Research
https://washington.edu/#main_content	a			Research Lifecycle
https://washington.edu/#main_content	a			Resources
https://washington.edu/#main_content	a			Collaboration
https://washington.edu/#main_content	a			Stats and rankings
https://washington.edu/#main_content	a			Campuses
https://washington.edu/#main_content	a			Bothell
https://washington.edu/#main_content	a			Seattle
https://washington.edu/#main_content	a			Tacoma
https://washington.edu/#main_content	a			Give
https://washington.edu/#main_content	a			Give now
https://washington.edu/#main_content	a			Be Boundless Campaign
https://washington.edu/#main_content	a			Ways to give
https://washington.edu/#main_content	a			My UW Giving
https://washington.edu/#main_content	button	div		Menu
https://washington.edu/#main_content	a			About
https://washington.edu/#main_content	a			About the UW
https://washington.edu/#main_content	a			Diversity
https://washington.edu/#main_content	a			Global Impact
https://washington.edu/#main_content	a			Innovation
https://washington.edu/#main_content	a			Leadership
https://washington.edu/#main_content	a			Maps
https://washington.edu/#main_content	a			Population Health
https://washington.edu/#main_content	a			Sustainability
https://washington.edu/#main_content	a			Visit
https://washington.edu/#main_content	a			Academics
https://washington.edu/#main_content	a			Academic calendar
https://washington.edu/#main_content	a			Academic departments
https://washington.edu/#main_content	a			Colleges and schools
https://washington.edu/#main_content	a			Course descriptions
https://washington.edu/#main_content	a			Registration
https://washington.edu/#main_content	a			Student guide
https://washington.edu/#main_content	a			Time schedule
https://washington.edu/#main_content	a			Apply
https://washington.edu/#main_content	a			Admissions
https://washington.edu/#main_content	a			Financial Aid
https://washington.edu/#main_content	a			Continuing education
https://washington.edu/#main_content	a			Majors
https://washington.edu/#main_content	a			Student housing
https://washington.edu/#main_content	a			Transfer students
https://washington.edu/#main_content	a			Tuition and fees
https://washington.edu/#main_content	a			Undocumented students
https://washington.edu/#main_content	a			UW Online
https://washington.edu/#main_content	a			News & Events
https://washington.edu/#main_content	a			UW News
https://washington.edu/#main_content	a			Arts UW
https://washington.edu/#main_content	a			Calendar
https://washington.edu/#main_content	a			UW Magazine
https://washington.edu/#main_content	a			Husky sports
https://washington.edu/#main_content	a			Research
https://washington.edu/#main_content	a			Office of Research
https://washington.edu/#main_content	a			Research Lifecycle
https://washington.edu/#main_content	a			Resources
https://washington.edu/#main_content	a			Collaboration
https://washington.edu/#main_content	a			Stats and rankings
https://washington.edu/#main_content	a			Campuses
https://washington.edu/#main_content	a			Bothell
https://washington.edu/#main_content	a			Seattle
https://washington.edu/#main_content	a			Tacoma
https://washington.edu/#main_content	a			Give
https://washington.edu/#main_content	a			Give now
https://washington.edu/#main_content	a			Be Boundless Campaign
https://washington.edu/#main_content	a			Ways to give
https://washington.edu/#main_content	a			My UW Giving
https://washington.edu/#main_content	h1			University Of Washington
https://washington.edu/#main_content	h2			Featured Story Slideshow
https://washington.edu/#main_content	span			#ThisIsUW
https://washington.edu/#main_content	h3			Native Knowledge
https://washington.edu/#main_content	p	span		Iisaaksiichaa Ross Braine, UW tribal liaison and director of wÇÉ«ÇbÊaltxÊ· â Intellectual House, plays many roles â from ambassador and information manager to powerful advocate for the rights of indigenous peoples.
https://washington.edu/#main_content	a			Read more
https://washington.edu/#main_content	span			#ThisIsUW
https://washington.edu/#main_content	h3		br	Seeing glaciers through 
https://washington.edu/#main_content	h3			the cloud
https://washington.edu/#main_content	p	span		Professor David Shean is using a âglacier time machineâ to track how ice is disappearing from the Earth â and help communities prepare for the profound changes to come.
https://washington.edu/#main_content	a			Read more
https://washington.edu/#main_content	span			#ThisIsUW
https://washington.edu/#main_content	h3			Setting the pace
https://washington.edu/#main_content	p	span		Hallie Jensen was a standout athlete in high school, but she had never rowed. Now sheâs competing on the UWâs Division I crew team, thanks to the Hometown Huskies program.
https://washington.edu/#main_content	a			Read more
https://washington.edu/#main_content	span			#BeBoundless
https://washington.edu/#main_content	h3			The year in focus
https://washington.edu/#main_content	p	span		Check out these 19 memorable photos of 2019, showcasing the diversity and depth of experiences across the UW â and the remarkable Huskies who made it all happen.
https://washington.edu/#main_content	a			Read more
https://washington.edu/#main_content	span			Be Boundless
https://washington.edu/#main_content	span	svg		ArtsUW
https://washington.edu/#main_content	span	svg		Maps
https://washington.edu/#main_content	span	svg		MyUW
https://washington.edu/#main_content	span	svg		Athletics
https://washington.edu/#main_content	span	svg		Social
https://washington.edu/#main_content	span	svg		Libraries
https://washington.edu/#main_content	span	svg		UW Medicine
https://washington.edu/#main_content	h2			News & Events
https://washington.edu/#main_content	span	div		Arts & Entertainment 
https://washington.edu/#main_content	h3	span		 UW-authored books, music for the Husky on your list 
https://washington.edu/#main_content	p	h3		Hereâs a quick look at some gift-worthy books and music created by UW faculty in the last year â and a reminder of some recent favorites.
https://washington.edu/#main_content	a			UW News
https://washington.edu/#main_content	span	div		On Campus 
https://washington.edu/#main_content	h3	span		 Arts roundup 
https://washington.edu/#main_content	p	h3		Wrap up the year at the Burke Museum and Henry Art Gallery and see whatâs coming up in 2020.
https://washington.edu/#main_content	a			UW News
https://washington.edu/#main_content	span	div		Husky Football 
https://washington.edu/#main_content	h3	span		 Washington finishes season with bowl victory 
https://washington.edu/#main_content	p	h3		The Huskies defeated Boise State 38-7 at the Mitsubishi Motors Las Vegas Bowl on Saturday in Chris Petersenâs final game as head coach.
https://washington.edu/#main_content	a			BOWL CENTRAL
https://washington.edu/#main_content	span			Fast Facts
https://washington.edu/#main_content	h3			Rankings
https://washington.edu/#main_content	h3			Did you know?
https://washington.edu/#main_content	a			University of Washington
https://washington.edu/#main_content	h3			Be boundless
https://washington.edu/#main_content	h4			Connect with us:
https://washington.edu/#main_content	a			Facebook
https://washington.edu/#main_content	a			Twitter
https://washington.edu/#main_content	a			Instagram
https://washington.edu/#main_content	a			YouTube
https://washington.edu/#main_content	a			LinkedIn
https://washington.edu/#main_content	a			Pinterest
https://washington.edu/#main_content	a			Accessibility
https://washington.edu/#main_content	a			Contact Us
https://washington.edu/#main_content	a			Jobs
https://washington.edu/#main_content	a			Campus Safety
https://washington.edu/#main_content	a			My UW
https://washington.edu/#main_content	a			Rules Docket
https://washington.edu/#main_content	a			Privacy
https://washington.edu/#main_content	a			Terms
https://washington.edu/#main_content	p	nav		Â© 2019 University of Washington | Seattle, WA
