url	parent	ps	ns	text
http://www.central.edu	a			Skip to main content
http://www.central.edu	a			Admission
http://www.central.edu	a			Apply to Central
http://www.central.edu	a			Visit Campus
http://www.central.edu	a			Deposit Now
http://www.central.edu	a			Financial Aid
http://www.central.edu	a			Scholarships
http://www.central.edu	a			Tuition
http://www.central.edu	a			Price
http://www.central.edu	a			Admission Requirements
http://www.central.edu	a			Contact Us
http://www.central.edu	a			Dates and Deadlines
http://www.central.edu	a			Fast Facts
http://www.central.edu	a			International Students
http://www.central.edu	a			Outcomes
http://www.central.edu	a			Parent Info
http://www.central.edu	a			Request Info
http://www.central.edu	a			Student Profiles
http://www.central.edu	a			Transfer Students
http://www.central.edu	a			En Español
http://www.central.edu	a			Academics
http://www.central.edu	a			Majors
http://www.central.edu	a			Academic Calendar
http://www.central.edu	a			Course Catalog & Schedule of Courses
http://www.central.edu	a			Study Abroad
http://www.central.edu	a			Academic Programs
http://www.central.edu	a			Class Deans
http://www.central.edu	a			Community Service
http://www.central.edu	a			Core Requirements
http://www.central.edu	a			Faculty
http://www.central.edu	a			Fine Arts
http://www.central.edu	a			Geisler Library
http://www.central.edu	a			Honors (Emerging Scholars)
http://www.central.edu	a			Internships
http://www.central.edu	a			Intersections
http://www.central.edu	a			Pre-Health
http://www.central.edu	a			Registrar’s Office
http://www.central.edu	a			Transcripts
http://www.central.edu	a			Commencement
http://www.central.edu	a			Campus Life
http://www.central.edu	a			Campus Dining
http://www.central.edu	a			Campus Map
http://www.central.edu	a			Central Essentials
http://www.central.edu	a			Faith at Central
http://www.central.edu	a			Get Involved
http://www.central.edu	a			Housing and Roommates
http://www.central.edu	a			Leadership and Service
http://www.central.edu	a			Living on Campus
http://www.central.edu	a			Parent Information
http://www.central.edu	a			Safety at Central
http://www.central.edu	a			Student Activities
http://www.central.edu	a			Student Handbook
http://www.central.edu	a			Student Senate
http://www.central.edu	a			Student Services
http://www.central.edu	a			Traditions
http://www.central.edu	a			About
http://www.central.edu	a			Resources
http://www.central.edu	a			Director-Led Programs
http://www.central.edu	a			Partner Programs
http://www.central.edu	a			Faculty-Led Programs
http://www.central.edu	a			Info – Central Students
http://www.central.edu	a			Info – Visiting Students
http://www.central.edu	a			Before Study Abroad
http://www.central.edu	a			During Study Abroad
http://www.central.edu	a			After Study Abroad
http://www.central.edu	a			Summer Programs
http://www.central.edu	a			Apply / My Account
http://www.central.edu	a			Alumni
http://www.central.edu	a			Alumni Events
http://www.central.edu	a			Central Red
http://www.central.edu	a			Civitas Magazine
http://www.central.edu	a			Douwstra Auditorium
http://www.central.edu	a			Dutch Letter
http://www.central.edu	a			Endowment
http://www.central.edu	a			Event Photos
http://www.central.edu	a		sup	Forever Dutch
http://www.central.edu	a			Funding Priorities
http://www.central.edu	a			Homecoming
http://www.central.edu	a			Journey Scholarship Fund
http://www.central.edu	a			Make a Gift
http://www.central.edu	a			Planned Giving
http://www.central.edu	a			Stay Connected
http://www.central.edu	a			Athletics
http://www.central.edu	a			Watch Live
http://www.central.edu	a			Calendar
http://www.central.edu	a			Athletic Training
http://www.central.edu	a			Beyond Central
http://www.central.edu	a			Camps & Clinics
http://www.central.edu	a			Central Close-Up
http://www.central.edu	a			Central Club
http://www.central.edu	a			Facilities
http://www.central.edu	a			Hall of Honor
http://www.central.edu	a			Recruit Me
http://www.central.edu	a			Staff Directory
http://www.central.edu	a			Strength
http://www.central.edu	a			Spirit Shoppe
http://www.central.edu	a			Under Armour
http://www.central.edu	a			Directory
http://www.central.edu	a			Events
http://www.central.edu	a			News
http://www.central.edu	a			 Apply
http://www.central.edu	a			 Visit
http://www.central.edu	a			 Give
http://www.central.edu	p			Best Decision Ever
http://www.central.edu	p		br	At Central, it's not just about what you know.
http://www.central.edu	p			It's about who you become.
http://www.central.edu	a			Apply Now
http://www.central.edu	p			Majorly Obsessed
http://www.central.edu	p			When you graduate from Central, you'll leave with more than just a degree.
http://www.central.edu	a			Find Your Major
http://www.central.edu	p			You'll Feel at Home
http://www.central.edu	p			Our small class sizes and residential campus make meeting others easy.
http://www.central.edu	p			All One World
http://www.central.edu	p			Expand your world view with Central's well-established study abroad programs.
http://www.central.edu	a			Explore Programs
http://www.central.edu	p			For a Lifetime
http://www.central.edu	p			"Our alumni embody the ""Hoo-rah!"" spirit long after they venture beyond Central."
http://www.central.edu	a			See Alumni Events
http://www.central.edu	p		sup	Forever Dutch
http://www.central.edu	p			Central's student athletes set the standard and compete in state-of-the-art facilities.
http://www.central.edu	a			Strength & Conditioning
http://www.central.edu	a			Skip homepage video
http://www.central.edu	video			   Your browser does not support HTML5 video.  
http://www.central.edu	h1		sup	Be Forever Dutch
http://www.central.edu	p		br	Apply to Central College by Jan. 15
http://www.central.edu	p			 to be eligible to attend a Scholar Day!
http://www.central.edu	a			Learn More
http://www.central.edu	h1			Seriously Affordable
http://www.central.edu	p		strong	Central College has a 
http://www.central.edu	strong			new tuition price of just $18,600
http://www.central.edu	p			 for Fall 2020. That means the college experience that opens doors for a lifetime is more affordable than ever!
http://www.central.edu	a			Tuition Announcement
http://www.central.edu	a			How Central Stacks Up
http://www.central.edu	a			Scholarships Still Available
http://www.central.edu	a			Tuition FAQ
http://www.central.edu	a			New Commitments
http://www.central.edu	div			      TAKE THE NEXT STEP     
http://www.central.edu	a			APPLY
http://www.central.edu	a			VISIT
http://www.central.edu	a			FINANCIAL AID
http://www.central.edu	span			Forever Dutch
http://www.central.edu	strong			Being Forever Dutch is more than a tagline.
http://www.central.edu	p			It means being a part of a tradition of excellence in academics, athletics and professionalism beyond your time in college, and it means you will always be a member of this community.
