url	parent	ps	ns	text
http://mit.edu/feedback	a			Skip to content â
http://mit.edu/feedback	h1			Massachusetts Institute of Technology
http://mit.edu/feedback	a			Education
http://mit.edu/feedback	a			Research
http://mit.edu/feedback	a			Innovation
http://mit.edu/feedback	a			Admissions   Aid
http://mit.edu/feedback	a			Campus Life
http://mit.edu/feedback	a			News
http://mit.edu/feedback	a			Alumni
http://mit.edu/feedback	a			About MIT
http://mit.edu/feedback	button		span	More 
http://mit.edu/feedback	span			â
http://mit.edu/feedback	a			Admissions   Aid
http://mit.edu/feedback	a			Campus Life
http://mit.edu/feedback	a			News
http://mit.edu/feedback	a			Alumni
http://mit.edu/feedback	a			About MIT
http://mit.edu/feedback	span			Menu
http://mit.edu/feedback	span			â
http://mit.edu/feedback	span			Search
http://mit.edu/feedback	a			Menu
http://mit.edu/feedback	label			Search websites, locations, and people
http://mit.edu/feedback	span			             What are you looking for?           
http://mit.edu/feedback	span			See More Results
http://mit.edu/feedback	a			Suggestions or feedback?
http://mit.edu/feedback	a			Home
http://mit.edu/feedback	span			Feedback
http://mit.edu/feedback	span			Feedback
http://mit.edu/feedback	span			Massachusetts Institute of Technology
http://mit.edu/feedback	a			Education
http://mit.edu/feedback	a			Research
http://mit.edu/feedback	a			Innovation
http://mit.edu/feedback	a			Admissions   Aid
http://mit.edu/feedback	a			Campus Life
http://mit.edu/feedback	a		span	News
http://mit.edu/feedback	span			news.mit.edu
http://mit.edu/feedback	a			About MIT
http://mit.edu/feedback	a			Alumni
http://mit.edu/feedback	span			Join us in building a better world.
http://mit.edu/feedback	a			Massachusetts Institute of Technology
http://mit.edu/feedback	a			77 Massachusetts Avenue, Cambridge, MA, USA
http://mit.edu/feedback	a			Visit
http://mit.edu/feedback	a			Map
http://mit.edu/feedback	a			Events
http://mit.edu/feedback	a			People
http://mit.edu/feedback	a			Careers
http://mit.edu/feedback	a			Contact
http://mit.edu/feedback	a			Privacy
http://mit.edu/feedback	a			Accessibility
http://mit.edu/feedback	span			Social Media Hub
