url	parent	ps	ns	text
https://harvard.edu/president/history/speeches/faust?page=2	a			       Jump to main content     
https://harvard.edu/president/history/speeches/faust?page=2	a			       Jump to search     
https://harvard.edu/president/history/speeches/faust?page=2	a			       Jump to the footer     
https://harvard.edu/president/history/speeches/faust?page=2	span			         Harvard University       
https://harvard.edu/president/history/speeches/faust?page=2	a			     Menu   
https://harvard.edu/president/history/speeches/faust?page=2	a		span	                 About                 
https://harvard.edu/president/history/speeches/faust?page=2	span			                   Harvard                 
https://harvard.edu/president/history/speeches/faust?page=2	a			Harvard at a Glance
https://harvard.edu/president/history/speeches/faust?page=2	a			Harvard's President
https://harvard.edu/president/history/speeches/faust?page=2	a			Harvard's Leadership
https://harvard.edu/president/history/speeches/faust?page=2	a			Academic Experience
https://harvard.edu/president/history/speeches/faust?page=2	a			Administrative Offices
https://harvard.edu/president/history/speeches/faust?page=2	a			Directories
https://harvard.edu/president/history/speeches/faust?page=2	a			Harvard in the Community
https://harvard.edu/president/history/speeches/faust?page=2	a			News
https://harvard.edu/president/history/speeches/faust?page=2	a		span	                 Admissions                 
https://harvard.edu/president/history/speeches/faust?page=2	span			                   & Aid                 
https://harvard.edu/president/history/speeches/faust?page=2	a			Undergraduate
https://harvard.edu/president/history/speeches/faust?page=2	a			Graduate & Professional Schools
https://harvard.edu/president/history/speeches/faust?page=2	a			Continuing Education
https://harvard.edu/president/history/speeches/faust?page=2	a			Summer Programs
https://harvard.edu/president/history/speeches/faust?page=2	a			                 Schools               
https://harvard.edu/president/history/speeches/faust?page=2	a			Business
https://harvard.edu/president/history/speeches/faust?page=2	a			College
https://harvard.edu/president/history/speeches/faust?page=2	a			Continuing Education
https://harvard.edu/president/history/speeches/faust?page=2	a			Dental
https://harvard.edu/president/history/speeches/faust?page=2	a			Design
https://harvard.edu/president/history/speeches/faust?page=2	a			Divinity
https://harvard.edu/president/history/speeches/faust?page=2	a			Education
https://harvard.edu/president/history/speeches/faust?page=2	a			Engineering
https://harvard.edu/president/history/speeches/faust?page=2	a			Faculty of Arts & Sciences
https://harvard.edu/president/history/speeches/faust?page=2	a			Government
https://harvard.edu/president/history/speeches/faust?page=2	a			Graduate School
https://harvard.edu/president/history/speeches/faust?page=2	a			Law
https://harvard.edu/president/history/speeches/faust?page=2	a			Medical
https://harvard.edu/president/history/speeches/faust?page=2	a			Public Health
https://harvard.edu/president/history/speeches/faust?page=2	a			Radcliffe Institute
https://harvard.edu/president/history/speeches/faust?page=2	a			                 On Campus               
https://harvard.edu/president/history/speeches/faust?page=2	a			Arts and Humanities
https://harvard.edu/president/history/speeches/faust?page=2	a			Athletics
https://harvard.edu/president/history/speeches/faust?page=2	a			Commencement
https://harvard.edu/president/history/speeches/faust?page=2	a			Employment
https://harvard.edu/president/history/speeches/faust?page=2	a			Events
https://harvard.edu/president/history/speeches/faust?page=2	a			HarvardX
https://harvard.edu/president/history/speeches/faust?page=2	a			Library
https://harvard.edu/president/history/speeches/faust?page=2	a			Museums
https://harvard.edu/president/history/speeches/faust?page=2	a			Research
https://harvard.edu/president/history/speeches/faust?page=2	a			Science
https://harvard.edu/president/history/speeches/faust?page=2	a			Visit Harvard
https://harvard.edu/president/history/speeches/faust?page=2	a			                 Gazette News               
https://harvard.edu/president/history/speeches/faust?page=2	a			                 Events               
https://harvard.edu/president/history/speeches/faust?page=2	a			                 Visit               
https://harvard.edu/president/history/speeches/faust?page=2	a			                 Give               
https://harvard.edu/president/history/speeches/faust?page=2	a			Faculty
https://harvard.edu/president/history/speeches/faust?page=2	a			Staff
https://harvard.edu/president/history/speeches/faust?page=2	a			Students
https://harvard.edu/president/history/speeches/faust?page=2	a			Alumni
https://harvard.edu/president/history/speeches/faust?page=2	a			Parents
https://harvard.edu/president/history/speeches/faust?page=2	a			Visitors
https://harvard.edu/president/history/speeches/faust?page=2	a			Media
https://harvard.edu/president/history/speeches/faust?page=2	span			       Search:     
https://harvard.edu/president/history/speeches/faust?page=2	span			       Open Search     
https://harvard.edu/president/history/speeches/faust?page=2	span			About Harvard
https://harvard.edu/president/history/speeches/faust?page=2	span			History of the Presidency
https://harvard.edu/president/history/speeches/faust?page=2	span			Drew Gilpin Faust
https://harvard.edu/president/history/speeches/faust?page=2	h1			     History of Presidency    
https://harvard.edu/president/history/speeches/faust?page=2	h2			      Speeches by President Faust    
https://harvard.edu/president/history/speeches/faust?page=2	div			       Tercentenary Theatre, Harvard University    
https://harvard.edu/president/history/speeches/faust?page=2	a			 2014 Remarks at ROTC Commissioning Ceremony
https://harvard.edu/president/history/speeches/faust?page=2	time			May 28, 2014
https://harvard.edu/president/history/speeches/faust?page=2	a		span	           Read more          
https://harvard.edu/president/history/speeches/faust?page=2	span			              2014 Remarks at ROTC Commissioning Ceremony          
https://harvard.edu/president/history/speeches/faust?page=2	div			       Memorial Church, Cambridge, Mass.    
https://harvard.edu/president/history/speeches/faust?page=2	a			2014 Baccalaureate Service: “Breaking Good”
https://harvard.edu/president/history/speeches/faust?page=2	time			May 27, 2014
https://harvard.edu/president/history/speeches/faust?page=2	a		span	           Read more          
https://harvard.edu/president/history/speeches/faust?page=2	span			             2014 Baccalaureate Service: “Breaking Good”          
https://harvard.edu/president/history/speeches/faust?page=2	div			       Sanders Theatre, Harvard University, Cambridge, Mass.    
https://harvard.edu/president/history/speeches/faust?page=2	a			To Seize an Impatient Future
https://harvard.edu/president/history/speeches/faust?page=2	time			September 21, 2013
https://harvard.edu/president/history/speeches/faust?page=2	a		span	           Read more          
https://harvard.edu/president/history/speeches/faust?page=2	span			             To Seize an Impatient Future          
https://harvard.edu/president/history/speeches/faust?page=2	div			       Sanders Theatre, Cambridge, Mass.    
https://harvard.edu/president/history/speeches/faust?page=2	a			Opening Year Address
https://harvard.edu/president/history/speeches/faust?page=2	time			September 10, 2013
https://harvard.edu/president/history/speeches/faust?page=2	a		span	           Read more          
https://harvard.edu/president/history/speeches/faust?page=2	span			             Opening Year Address          
