url	parent	ps	ns	text
https://alert.wvutech.edu	a			Skip to main content
https://alert.wvutech.edu	span			West Virginia University
https://alert.wvutech.edu	div			   WVU Tech Alert 
https://alert.wvutech.edu	a			WVU Home
https://alert.wvutech.edu	span			Search
https://alert.wvutech.edu	label			Search this site
https://alert.wvutech.edu	label			Search WVU
https://alert.wvutech.edu	a			Home
https://alert.wvutech.edu	a			Students
https://alert.wvutech.edu	a			Parents
https://alert.wvutech.edu	a			Faculty & Staff
https://alert.wvutech.edu	a			Frequently Asked Questions
https://alert.wvutech.edu	a			About
https://alert.wvutech.edu	h2			Sign up for WVU Tech Alert
https://alert.wvutech.edu	h4			WVU can send urgent news to your phone & email inbox. 
https://alert.wvutech.edu	p			Once you sign up for the service, powered by e2Campus, you can receive texts to your cell phone and/or emails with timely emergency information.
https://alert.wvutech.edu	h2			Students
https://alert.wvutech.edu	p			Students are automatically registered for WVU Tech Alert. Learn how to update your account or report a missed alert.
https://alert.wvutech.edu	h2			Parents
https://alert.wvutech.edu	p			Students can add an additional email address or cell phone number to their WVU Tech Alert account - it's perfect for keeping parents and guardians in the loop.
https://alert.wvutech.edu	h2			Faculty & Staff
https://alert.wvutech.edu	p			Faculty and Staff can register to receive WVU Tech Alerts. Learn how to register and login to your e2Campus account.
https://alert.wvutech.edu	strong			Have a Question?
https://alert.wvutech.edu	p		a	Try the 
https://alert.wvutech.edu	a			Frequently Ask Questions
https://alert.wvutech.edu	p		a	 or read more 
https://alert.wvutech.edu	a			about the Alert
https://alert.wvutech.edu	p			 system.
https://alert.wvutech.edu	h4			Emergency Resources
https://alert.wvutech.edu	p		a	In the event of an emergency these 
https://alert.wvutech.edu	a			Emergency Resources
https://alert.wvutech.edu	p			 are available.
https://alert.wvutech.edu	a			Important Telephone Numbers
https://alert.wvutech.edu	a			Campus Police
https://alert.wvutech.edu	a			WVU Tech - Student Health
https://alert.wvutech.edu	a			Counseling Services & Psychological Emergency
https://alert.wvutech.edu	a			LiveSafe
https://alert.wvutech.edu	a			Accreditations
https://alert.wvutech.edu	a			Web Standards
https://alert.wvutech.edu	a			Privacy Notice
https://alert.wvutech.edu	a			Questions or Comments?
https://alert.wvutech.edu	p		span	© 2020 West Virginia University. WVU is an EEO/Affirmative Action employer — Minority/Female/Disability/Veteran.     
https://alert.wvutech.edu	span			Last updated on October 3, 2017.
https://alert.wvutech.edu	a			A-Z Site Index
https://alert.wvutech.edu	a			Campus Map
https://alert.wvutech.edu	a			WVU Careers
https://alert.wvutech.edu	a			Directory
https://alert.wvutech.edu	a			Give
https://alert.wvutech.edu	a			Handshake
https://alert.wvutech.edu	a			WVU Alert
https://alert.wvutech.edu	a			WVU Today
https://alert.wvutech.edu	a			WVU Portal
https://alert.wvutech.edu	a			WVU on Facebook
https://alert.wvutech.edu	a			WVU on Twitter
https://alert.wvutech.edu	a			WVU on YouTube
https://alert.wvutech.edu/home	a			Skip to main content
https://alert.wvutech.edu/home	span			West Virginia University
