url	parent	ps	ns	text
https://answers.iwu.edu/3900	a			Skip to Main Content
https://answers.iwu.edu/3900	a			Ames Library
https://answers.iwu.edu/3900	a			LibAnswers
https://answers.iwu.edu/3900	li	li		IT_3900
https://answers.iwu.edu/3900	strong			Warning:
https://answers.iwu.edu/3900	div			 Your browser has javascript disabled. Without javascript some functions will not work, including question submission via the form.
https://answers.iwu.edu/3900	h1			LibAnswers: IT_3900
https://answers.iwu.edu/3900	span	span		Toggle menu visibility
https://answers.iwu.edu/3900	p			15 Answers
https://answers.iwu.edu/3900	label			Ask Another Question
https://answers.iwu.edu/3900	button			Search
https://answers.iwu.edu/3900	p			Browse:
https://answers.iwu.edu/3900	a			All
https://answers.iwu.edu/3900	a		b	Groups 
https://answers.iwu.edu/3900	a			IT_3900
https://answers.iwu.edu/3900	a			Library Services
https://answers.iwu.edu/3900	a			Web Content
https://answers.iwu.edu/3900	a		b	Topics 
https://answers.iwu.edu/3900	span	span		Accounts
https://answers.iwu.edu/3900	span	span		Alumni
https://answers.iwu.edu/3900	span	span		Computer
https://answers.iwu.edu/3900	span	span		Computers
https://answers.iwu.edu/3900	span	span		Email
https://answers.iwu.edu/3900	span	span		Equipment
https://answers.iwu.edu/3900	span	span		Network
https://answers.iwu.edu/3900	span	span		Other
https://answers.iwu.edu/3900	span	span		Password
https://answers.iwu.edu/3900	h2			Contact Us 
https://answers.iwu.edu/3900	a			Help Desk
https://answers.iwu.edu/3900	a			(309) 556-3900
https://answers.iwu.edu/3900	a			(309) 717-0825
https://answers.iwu.edu/3900	h2			Topics 
https://answers.iwu.edu/3900	a			Accounts
https://answers.iwu.edu/3900	a			Books
https://answers.iwu.edu/3900	a			Computers
https://answers.iwu.edu/3900	a			Copier
https://answers.iwu.edu/3900	a			Databases
https://answers.iwu.edu/3900	a			Email
https://answers.iwu.edu/3900	a			Employment
https://answers.iwu.edu/3900	a			Equipment
https://answers.iwu.edu/3900	a			Hours
https://answers.iwu.edu/3900	a			Librarians
https://answers.iwu.edu/3900	a			Locations
https://answers.iwu.edu/3900	a			Materials
https://answers.iwu.edu/3900	a			Media
https://answers.iwu.edu/3900	a			Music
https://answers.iwu.edu/3900	a			Network
https://answers.iwu.edu/3900	a			Other
https://answers.iwu.edu/3900	a			Printers
https://answers.iwu.edu/3900	a			Research
https://answers.iwu.edu/3900	a			Reservations
https://answers.iwu.edu/3900	a			Scanners
https://answers.iwu.edu/3900	a			Services
https://answers.iwu.edu/3900	a			Software
https://answers.iwu.edu/3900	a			Telephone
https://answers.iwu.edu/3900	a			Wireless Access
https://answers.iwu.edu/3900	a			View All Topics
https://answers.iwu.edu/3900	h2			Browse Our Answers 
https://answers.iwu.edu/3900	a			Popular
https://answers.iwu.edu/3900	a			Recent
https://answers.iwu.edu/3900	a			Featured
https://answers.iwu.edu/3900	a			How do I get my unofficial transcript?
https://answers.iwu.edu/3900	span			Last Updated:
https://answers.iwu.edu/3900	span			Jul 24, 2018
https://answers.iwu.edu/3900	span			Topics:
https://answers.iwu.edu/3900	span			Views:
https://answers.iwu.edu/3900	span			698
https://answers.iwu.edu/3900	a			How can I request new equipment (computer, printer, etc.)?
https://answers.iwu.edu/3900	a			Can I password protect my Microsoft Outlook email?
https://answers.iwu.edu/3900	span			Jan 17, 2018
https://answers.iwu.edu/3900	a			Computer
https://answers.iwu.edu/3900	a			Password
https://answers.iwu.edu/3900	a			What is my default IWU account password?
https://answers.iwu.edu/3900	a			How long does an IWU email account last for almuni?
https://answers.iwu.edu/3900	a			Alumni
https://answers.iwu.edu/3900	a			How do I access my orgmail account?
https://answers.iwu.edu/3900	span			Jan 16, 2018
https://answers.iwu.edu/3900	a			What do I do if I've forgotten my password?
https://answers.iwu.edu/3900	span			Jan 18, 2018
https://answers.iwu.edu/3900	a			How can I get an IWU email account for my student organization?
https://answers.iwu.edu/3900	a			What should I do if I cannot connect to the network in my on-campus residence using ethernet?
https://answers.iwu.edu/3900	a			Can I bring my computer to Service & Repair during the summer?
https://answers.iwu.edu/3900	a			What basic services can be provided for student-owned computers?
https://answers.iwu.edu/3900	a			What services are provided to computers owned by Faculty/Staff?
https://answers.iwu.edu/3900	a			How do I create/edit labels in Gmail?
https://answers.iwu.edu/3900	p			You don't have any featured questions yet, you can go add featured questions by editing this box.
https://answers.iwu.edu/3900	em			[Delete this content when you are ready.]
https://answers.iwu.edu/3900	span			Powered by
https://answers.iwu.edu/3900	a			Springshare
https://answers.iwu.edu/3900	div			; All rights reserved.
https://answers.iwu.edu/3900	a			Report a tech support issue.
https://answers.iwu.edu/3900	a			Login to LibApps
https://answers.iwu.edu/3900	p			Pursue Your Passions
https://answers.iwu.edu/3900	a			Apply Now!
https://answers.iwu.edu/3900	a			Campus Visit
https://answers.iwu.edu/3900	a			Campus Calendars
https://answers.iwu.edu/3900	a			The Ames Library
https://answers.iwu.edu/3900	a			Bookstore
https://answers.iwu.edu/3900	a			Campus Map
https://answers.iwu.edu/3900	a			Directory
https://answers.iwu.edu/3900	a			Hart Career Center
https://answers.iwu.edu/3900	a			MyIWU
https://answers.iwu.edu/3900	a			Illinois Wesleyan University
https://answers.iwu.edu/3900	a			1312 Park Street Bloomington, IL 61701
https://answers.iwu.edu/3900	p			 (309) 556-1000
https://answers.iwu.edu/3900	a			Statements of Accreditation and Non-discrimination
https://answers.iwu.edu/3900	a			Disclaimer of Content
https://answers.iwu.edu/3900	p			 All images and content copyright Illinois Wesleyan University
https://answers.iwu.edu/3900/ask	a			Skip to Main Content
https://answers.iwu.edu/3900/ask	a			Ames Library
https://answers.iwu.edu/3900/ask	a			LibAnswers
https://answers.iwu.edu/3900/ask	a			IT_3900
https://answers.iwu.edu/3900/ask	strong			Warning:
https://answers.iwu.edu/3900/ask	div			 Your browser has javascript disabled. Without javascript some functions will not work, including question submission via the form.
https://answers.iwu.edu/3900/ask	h1			LibAnswers: IT_3900
https://answers.iwu.edu/3900/ask	span	span		Toggle menu visibility
https://answers.iwu.edu/3900/ask	label			Ask Another Question
https://answers.iwu.edu/3900/ask	button			Search
https://answers.iwu.edu/3900/ask	p			Browse:
https://answers.iwu.edu/3900/ask	a			All
https://answers.iwu.edu/3900/ask	a		b	Groups 
https://answers.iwu.edu/3900/ask	a			Library Services
https://answers.iwu.edu/3900/ask	a			Web Content
https://answers.iwu.edu/3900/ask	a		b	Topics 
https://answers.iwu.edu/3900/ask	span	span		Accounts
https://answers.iwu.edu/3900/ask	span	span		Alumni
https://answers.iwu.edu/3900/ask	span	span		Computer
https://answers.iwu.edu/3900/ask	span	span		Computers
https://answers.iwu.edu/3900/ask	span	span		Email
https://answers.iwu.edu/3900/ask	span	span		Equipment
https://answers.iwu.edu/3900/ask	span	span		Network
https://answers.iwu.edu/3900/ask	span	span		Other
https://answers.iwu.edu/3900/ask	span	span		Password
https://answers.iwu.edu/3900/ask	h2			Contact Us 
https://answers.iwu.edu/3900/ask	a			Help Desk
https://answers.iwu.edu/3900/ask	a			(309) 556-3900
https://answers.iwu.edu/3900/ask	a			(309) 717-0825
https://answers.iwu.edu/3900/ask	h2			Submit a Question - 3900 
https://answers.iwu.edu/3900/ask	div			How can we help you?  Please enter details below.
https://answers.iwu.edu/3900/ask	legend			Your Question
https://answers.iwu.edu/3900/ask	label			         Question     
https://answers.iwu.edu/3900/ask	label			             Question         
https://answers.iwu.edu/3900/ask	span			Click to choose files or Drag them here.
https://answers.iwu.edu/3900/ask	strong			Selected Files:
https://answers.iwu.edu/3900/ask	button			Clear files
https://answers.iwu.edu/3900/ask	legend			Your Info
https://answers.iwu.edu/3900/ask	label		span	             Email
https://answers.iwu.edu/3900/ask	label		span	         Your Name
https://answers.iwu.edu/3900/ask	label		span	         Phone Number
https://answers.iwu.edu/3900/ask	label		span	         Department
https://answers.iwu.edu/3900/ask	option			Select One
https://answers.iwu.edu/3900/ask	option			Student
https://answers.iwu.edu/3900/ask	option			Academic Affairs
https://answers.iwu.edu/3900/ask	option			Admissions
https://answers.iwu.edu/3900/ask	option			Arnold Health Services
https://answers.iwu.edu/3900/ask	option			Athletics
https://answers.iwu.edu/3900/ask	option			Biology
https://answers.iwu.edu/3900/ask	option			Bookstore
https://answers.iwu.edu/3900/ask	option			Business Administration
https://answers.iwu.edu/3900/ask	option			Business Affairs
https://answers.iwu.edu/3900/ask	option			Business Office
https://answers.iwu.edu/3900/ask	option			Career Center
https://answers.iwu.edu/3900/ask	option			Chemistry
https://answers.iwu.edu/3900/ask	option			Computer Science
https://answers.iwu.edu/3900/ask	option			Counseling & Consultation Services
https://answers.iwu.edu/3900/ask	option			Economics
https://answers.iwu.edu/3900/ask	option			Educational Studies
https://answers.iwu.edu/3900/ask	option			English
https://answers.iwu.edu/3900/ask	option			Food Services (Sodexo)
https://answers.iwu.edu/3900/ask	option			Evelyn Chapel
https://answers.iwu.edu/3900/ask	option			Financial Aid
https://answers.iwu.edu/3900/ask	option			Hansen Student Center
https://answers.iwu.edu/3900/ask	option			Hart Career Center
https://answers.iwu.edu/3900/ask	option			Hattie's
https://answers.iwu.edu/3900/ask	option			Hispanic Studies
https://answers.iwu.edu/3900/ask	option			History
https://answers.iwu.edu/3900/ask	option			Human Resources
https://answers.iwu.edu/3900/ask	option			Information Technology
https://answers.iwu.edu/3900/ask	option			International Office
https://answers.iwu.edu/3900/ask	option			Library
https://answers.iwu.edu/3900/ask	option			Mathematics
https://answers.iwu.edu/3900/ask	option			Mellon Center
https://answers.iwu.edu/3900/ask	option			Modern & Classical Languages
https://answers.iwu.edu/3900/ask	option			Orientation Services
https://answers.iwu.edu/3900/ask	option			ORL
https://answers.iwu.edu/3900/ask	option			Other/Unknown
https://answers.iwu.edu/3900/ask	option			Philosophy
https://answers.iwu.edu/3900/ask	option			Physical Education
https://answers.iwu.edu/3900/ask	option			Physical Plant
https://answers.iwu.edu/3900/ask	option			Physics
https://answers.iwu.edu/3900/ask	option			Political Science
https://answers.iwu.edu/3900/ask	option			President's Office
https://answers.iwu.edu/3900/ask	option			Printing Services
https://answers.iwu.edu/3900/ask	option			Psychology
https://answers.iwu.edu/3900/ask	option			Religion
https://answers.iwu.edu/3900/ask	option			School of Art
https://answers.iwu.edu/3900/ask	option			School of Music
https://answers.iwu.edu/3900/ask	option			School of Nursing
https://answers.iwu.edu/3900/ask	option			School of Theatre Arts
https://answers.iwu.edu/3900/ask	option			Security
https://answers.iwu.edu/3900/ask	option			Sociology & Anthropology
https://answers.iwu.edu/3900/ask	option			Student Affairs
https://answers.iwu.edu/3900/ask	option			Tommy's
https://answers.iwu.edu/3900/ask	option			University Chaplain
https://answers.iwu.edu/3900/ask	option			University Communications
https://answers.iwu.edu/3900/ask	option			University Advancement
https://answers.iwu.edu/3900/ask	option			Wellness
https://answers.iwu.edu/3900/ask	option			WLLC - World Languages, Literatures, & Cultures
https://answers.iwu.edu/3900/ask	option			Writing Center
https://answers.iwu.edu/3900/ask	label		span	         Building
https://answers.iwu.edu/3900/ask	option			Ames Library
https://answers.iwu.edu/3900/ask	option			Buck Memorial
https://answers.iwu.edu/3900/ask	option			ORL (in Gulick)
https://answers.iwu.edu/3900/ask	option			Center for Liberal Arts
https://answers.iwu.edu/3900/ask	option			Center for Natural Sciences
https://answers.iwu.edu/3900/ask	option			English House
https://answers.iwu.edu/3900/ask	option			Fort Natatorium
https://answers.iwu.edu/3900/ask	option			Holmes Hall
https://answers.iwu.edu/3900/ask	option			Horenberger Field
https://answers.iwu.edu/3900/ask	option			Information Technology House
https://answers.iwu.edu/3900/ask	option			Mark Evans Observatory
https://answers.iwu.edu/3900/ask	option			McPhearson Hall
https://answers.iwu.edu/3900/ask	option			Memorial Center
https://answers.iwu.edu/3900/ask	option			Multi-Cultural Center
https://answers.iwu.edu/3900/ask	option			President's House
https://answers.iwu.edu/3900/ask	option			Presser Hall
https://answers.iwu.edu/3900/ask	option			Printing & Mailing Services
https://answers.iwu.edu/3900/ask	option			School of Art Building
https://answers.iwu.edu/3900/ask	option			Security Department
https://answers.iwu.edu/3900/ask	option			Shaw Hall
https://answers.iwu.edu/3900/ask	option			Shirk Center
https://answers.iwu.edu/3900/ask	option			State Farm Hall
https://answers.iwu.edu/3900/ask	option			Stevenson Hall
https://answers.iwu.edu/3900/ask	option			Welcome Center
https://answers.iwu.edu/3900/ask	option			Off Campus / Other
https://answers.iwu.edu/3900/ask	option			- Living Units -
https://answers.iwu.edu/3900/ask	option			Acacia (Adams Hall)
https://answers.iwu.edu/3900/ask	option			Alpha Gamma Delta
https://answers.iwu.edu/3900/ask	option			Alpha Omicron Pi
https://answers.iwu.edu/3900/ask	option			Blackstock Hall
https://answers.iwu.edu/3900/ask	option			Demotte Lodge
https://answers.iwu.edu/3900/ask	option			Dodds Hall
https://answers.iwu.edu/3900/ask	option			Dolan Hall
https://answers.iwu.edu/3900/ask	option			Furgeson Hall
https://answers.iwu.edu/3900/ask	option			Gates Fricke
https://answers.iwu.edu/3900/ask	option			Gates I
https://answers.iwu.edu/3900/ask	option			Gulick Hall
https://answers.iwu.edu/3900/ask	option			Harriett Fuller Rust House
https://answers.iwu.edu/3900/ask	option			Kappa Delta
https://answers.iwu.edu/3900/ask	option			Kappa Kappa Gamma
https://answers.iwu.edu/3900/ask	option			Kemp Hall (International House)
https://answers.iwu.edu/3900/ask	option			Magill Hall
https://answers.iwu.edu/3900/ask	option			Martin Hall
https://answers.iwu.edu/3900/ask	option			Munsell Hall
https://answers.iwu.edu/3900/ask	option			Park Place
https://answers.iwu.edu/3900/ask	option			Pfeiffer Hall
https://answers.iwu.edu/3900/ask	option			Phi Gamma Delta
https://answers.iwu.edu/3900/ask	option			Phi Mu Alpha
https://answers.iwu.edu/3900/ask	option			Sigma Alpha Iota
https://answers.iwu.edu/3900/ask	option			Sigma Chi
https://answers.iwu.edu/3900/ask	option			Sigma Kappa
https://answers.iwu.edu/3900/ask	option			Sigma Pi (Beadles Hall)
https://answers.iwu.edu/3900/ask	option			Tau Kappa Epsilon
https://answers.iwu.edu/3900/ask	option			Theta Chi
https://answers.iwu.edu/3900/ask	option			Wilder House
https://answers.iwu.edu/3900/ask	label			         Room Number/Location     
https://answers.iwu.edu/3900/ask	label			         Category of Request     
https://answers.iwu.edu/3900/ask	option			Banner/Databases
https://answers.iwu.edu/3900/ask	option			Campus Cable TV
https://answers.iwu.edu/3900/ask	option			Classroom & Lab Support
https://answers.iwu.edu/3900/ask	option			Computer/Software (University Owned) Installation & Repair
https://answers.iwu.edu/3900/ask	option			Computer/Software (University Owned) Support & Training
https://answers.iwu.edu/3900/ask	option			Computer/Software (Personally Owned) Repair
https://answers.iwu.edu/3900/ask	option			Copier/Printer
https://answers.iwu.edu/3900/ask	option			Moodle
https://answers.iwu.edu/3900/ask	option			Network/Wireless/Internet
https://answers.iwu.edu/3900/ask	option			Password Assistance
https://answers.iwu.edu/3900/ask	option			Telephone
https://answers.iwu.edu/3900/ask	option			Web Support/MyIWU
https://answers.iwu.edu/3900/ask	label			         Equipment Type     
https://answers.iwu.edu/3900/ask	option			Mac
https://answers.iwu.edu/3900/ask	option			Windows
https://answers.iwu.edu/3900/ask	option			iOS/Android
https://answers.iwu.edu/3900/ask	option			Lexmark/HP
https://answers.iwu.edu/3900/ask	option			Konica/Minolta
https://answers.iwu.edu/3900/ask	option			Mitel/Office Phone
https://answers.iwu.edu/3900/ask	label			Leave this field blank
https://answers.iwu.edu/3900/ask	div		span	             Fields marked with 
https://answers.iwu.edu/3900/ask	div			 are required.         
https://answers.iwu.edu/3900/ask	button			                 Submit Your Question             
https://answers.iwu.edu/3900/ask	span			Powered by
https://answers.iwu.edu/3900/ask	a			Springshare
https://answers.iwu.edu/3900/ask	div			; All rights reserved.
https://answers.iwu.edu/3900/ask	a			Report a tech support issue.
https://answers.iwu.edu/3900/ask	a			Login to LibApps
https://answers.iwu.edu/3900/ask	p			Pursue Your Passions
https://answers.iwu.edu/3900/ask	a			Apply Now!
https://answers.iwu.edu/3900/ask	a			Campus Visit
https://answers.iwu.edu/3900/ask	a			Campus Calendars
https://answers.iwu.edu/3900/ask	a			The Ames Library
https://answers.iwu.edu/3900/ask	a			Bookstore
