url	parent	ps	ns	text
https://library.uncw.edu	a			Skip UNCW Quicklinks
https://library.uncw.edu	a			Email
https://library.uncw.edu	a			Directory
https://library.uncw.edu	a			mySeaport
https://library.uncw.edu	a			Quicklinks
https://library.uncw.edu	a			Campus Police
https://library.uncw.edu	a			Career Center
https://library.uncw.edu	a			Chancellor's Office
https://library.uncw.edu	a			Consumer Information
https://library.uncw.edu	a			Diversity
https://library.uncw.edu	a			Distance Education
https://library.uncw.edu	a			Financial Aid
https://library.uncw.edu	a			Forms
https://library.uncw.edu	a			Health Services
https://library.uncw.edu	a			Housing
https://library.uncw.edu	a			Information Technology
https://library.uncw.edu	a			Jobs
https://library.uncw.edu	a			Policies & Procedures
https://library.uncw.edu	a			Registrar
https://library.uncw.edu	a			SeaNet
https://library.uncw.edu	a			Swoop
https://library.uncw.edu	a			Tuition & Fees
https://library.uncw.edu	label			Search UNCW:
https://library.uncw.edu	span			Find & Research
https://library.uncw.edu	span			Search for...
https://library.uncw.edu	a			Articles on a Topic
https://library.uncw.edu	a			Articles from a Journal
https://library.uncw.edu	a			Books
https://library.uncw.edu	a			Journals, Magazines, Newspapers
https://library.uncw.edu	a			Videos & DVDs
https://library.uncw.edu	a			eBooks
https://library.uncw.edu	a			Music & Audiobooks
https://library.uncw.edu	a			Theses, Dissertations and Honors Papers
https://library.uncw.edu	a			Digital Collections
https://library.uncw.edu	a			Textbooks
https://library.uncw.edu	span			Search Tools
https://library.uncw.edu	a			Databases
https://library.uncw.edu	a			UNCW Library Catalog
https://library.uncw.edu	a			Summon
https://library.uncw.edu	a			Library Site Search
https://library.uncw.edu	span			Collections
https://library.uncw.edu	a			Government Resources
https://library.uncw.edu	a			Special Collections
https://library.uncw.edu	a			UNCW Archives
https://library.uncw.edu	span			Research Resources
https://library.uncw.edu	a			Get Started Researching
https://library.uncw.edu	a			Subject and Course Guides
https://library.uncw.edu	a			Course Reserves
https://library.uncw.edu	a			New Titles
https://library.uncw.edu	span			Get Help
https://library.uncw.edu	span			Contact Us
https://library.uncw.edu	a			Get Help by Email, Phone or Chat
https://library.uncw.edu	a			One-on-One Help
https://library.uncw.edu	a			Workshops, Tours & Instruction
https://library.uncw.edu	a			Find Your Librarian
https://library.uncw.edu	span			Help Yourself
https://library.uncw.edu	a			Online Tutorials
https://library.uncw.edu	a			Citation or Bibliography Help
https://library.uncw.edu	a			Frequently Asked Questions
https://library.uncw.edu	a			Off-campus Access
https://library.uncw.edu	a			Assignment Calculator
https://library.uncw.edu	a			Bridges to Information Literacy
https://library.uncw.edu	a			BUILD Info Lit Tutorial
https://library.uncw.edu	span			Use the Library
https://library.uncw.edu	span			Technology
https://library.uncw.edu	a			Computers and Technology
https://library.uncw.edu	a			Digital Makerspace
https://library.uncw.edu	a			Print, Copy, Scan
https://library.uncw.edu	span			Spaces
https://library.uncw.edu	a			Reserve Group Study Room
https://library.uncw.edu	a			Floor Maps & Virtual Tour
https://library.uncw.edu	a			Library Spaces
https://library.uncw.edu	a			Learning Commons
https://library.uncw.edu	span			Services
https://library.uncw.edu	a			Interlibrary Loan
https://library.uncw.edu	a			My Library Account
https://library.uncw.edu	a			Borrowing, Renewing & Fines
https://library.uncw.edu	span			About
https://library.uncw.edu	span			Library Info
https://library.uncw.edu	a			Hours
https://library.uncw.edu	a			Directions & Parking
https://library.uncw.edu	a			Staff Directory
https://library.uncw.edu	span			Learn More
https://library.uncw.edu	a			Library Expansion & Renovation
https://library.uncw.edu	a			Library Facts & Planning
https://library.uncw.edu	a			Policies
https://library.uncw.edu	a			Giving to the Library
https://library.uncw.edu	a			LIB Courses
https://library.uncw.edu	span			News & Events
https://library.uncw.edu	a			News
https://library.uncw.edu	a			Events & Exhibits
https://library.uncw.edu	a			Employment
https://library.uncw.edu	a	a		Giving
https://library.uncw.edu	a	a		My Library Account
https://library.uncw.edu	div			NOT PUBLISHED
https://library.uncw.edu	option			All
https://library.uncw.edu	option	option		Articles
https://library.uncw.edu	option	option		Books & eBooks
https://library.uncw.edu	option	option		Journal Titles
https://library.uncw.edu	option	option		Library Catalog
https://library.uncw.edu	div			 Only show articles with full text online
https://library.uncw.edu	div		input	 Search by:   
https://library.uncw.edu	div		input	 Keyword 
https://library.uncw.edu	div		input	 Title 
https://library.uncw.edu	div		input	 Author 
https://library.uncw.edu	div			 Journal Title
https://library.uncw.edu	span		a	Need better article results? Try searching in 
https://library.uncw.edu	a			subject specific databases.
https://library.uncw.edu	a			Advanced Search
https://library.uncw.edu	a	a		UNCW Library Catalog
https://library.uncw.edu	strong			   Recommended Starting Points
https://library.uncw.edu	a			ABI/INFORM Complete
https://library.uncw.edu	a			Academic Search Elite
https://library.uncw.edu	a			CQ Researcher
https://library.uncw.edu	a			Credo Reference
https://library.uncw.edu	a			JSTOR
https://library.uncw.edu	a			Opposing Viewpoints
https://library.uncw.edu	a			Project Muse
https://library.uncw.edu	a			ProQuest Central
https://library.uncw.edu	a			ProQuest Nursing & Allied Health
https://library.uncw.edu	a			ScienceDirect
https://library.uncw.edu	a			Web of Science
https://library.uncw.edu	a			Westlaw Campus
https://library.uncw.edu	a			MORE DATABASES
https://library.uncw.edu	a			SEE NEWLY ADDED DATABASES
https://library.uncw.edu	strong			By Name A-Z
https://library.uncw.edu	strong			By Subject
https://library.uncw.edu	option			- - Choose a subject- -
https://library.uncw.edu	option	option		Anthropology
https://library.uncw.edu	option	option		Art and Art History
https://library.uncw.edu	option	option		Biology
https://library.uncw.edu	option	option		Business
https://library.uncw.edu	option	option		Chemistry and Biochemistry
https://library.uncw.edu	option	option		Communication Studies
https://library.uncw.edu	option	option		Computer Science
https://library.uncw.edu	option	option		Clinical Research
https://library.uncw.edu	option	option		Creative Writing
https://library.uncw.edu	option	option		Criminology
https://library.uncw.edu	option	option		Education
https://library.uncw.edu	option	option		English
https://library.uncw.edu	option	option		Environmental Sciences
https://library.uncw.edu	option	option		Film Studies
https://library.uncw.edu	option	option		Geography and Geology
https://library.uncw.edu	option	option		Health and Applied Human Sciences
https://library.uncw.edu	option	option		History
https://library.uncw.edu	option	option		International Studies
https://library.uncw.edu	option	option		Marine Sciences/Oceanography
https://library.uncw.edu	option	option		Mathematics and Statistics
https://library.uncw.edu	option	option		Music
https://library.uncw.edu	option	option		Nursing
https://library.uncw.edu	option	option		Philosophy
https://library.uncw.edu	option	option		Physics
https://library.uncw.edu	option	option		Psychology
https://library.uncw.edu	option	option		Public and International Affairs
https://library.uncw.edu	option	option		Religion
https://library.uncw.edu	option	option		Social Work
https://library.uncw.edu	option	option		Sociology
https://library.uncw.edu	option	option		Theatre
https://library.uncw.edu	option	option		World Languages and Cultures
https://library.uncw.edu	strong			By Type
https://library.uncw.edu	option			- - Choose a type- -
https://library.uncw.edu	option	option		Article Database
https://library.uncw.edu	option	option		Data & Statistics
https://library.uncw.edu	option	option		eAudio Collection
https://library.uncw.edu	option	option		eBook Collection
https://library.uncw.edu	option	option		General Reference
https://library.uncw.edu	option	option		Images
https://library.uncw.edu	option	option		NC Live
https://library.uncw.edu	option	option		Newly added
https://library.uncw.edu	option	option		Newspaper Resources
https://library.uncw.edu	option	option		Online Collections
https://library.uncw.edu	option	option		Other
https://library.uncw.edu	option	option		Primary Sources (Historical)
https://library.uncw.edu	option	option		Trial
https://library.uncw.edu	option	option		Videos
https://library.uncw.edu	option	option		Website
https://library.uncw.edu	h6			Remove Icons
https://library.uncw.edu	a			Guides
https://library.uncw.edu	a			Get Help
https://library.uncw.edu	a		br	Find
https://library.uncw.edu	a			 Articles
https://library.uncw.edu	a			 Databases
https://library.uncw.edu	a		br	First Year
https://library.uncw.edu	a			 Seminar
https://library.uncw.edu	a		br	Room
https://library.uncw.edu	a			 Reservations
https://library.uncw.edu	a		br	Library
https://library.uncw.edu	a			 Spaces
https://library.uncw.edu	a			Email Us
https://library.uncw.edu	span			Call Us
https://library.uncw.edu	span	span	a	Research Help Desk: 
https://library.uncw.edu	a			910-962-3760
https://library.uncw.edu	span	span	a	 Circulation Desk: 
https://library.uncw.edu	a			910-962-3272
https://library.uncw.edu	div			chat loading...
https://library.uncw.edu	a			In-Person Help
https://library.uncw.edu	a			Citation & Bibliography Help
https://library.uncw.edu	a			Alumni of UNCW
https://library.uncw.edu	a			Faculty & Instructors
https://library.uncw.edu	a			Freshmen/First Year
https://library.uncw.edu	a			Transfer Students
https://library.uncw.edu	a			Graduate Students
https://library.uncw.edu	a			Online & Distance Learners
https://library.uncw.edu	a			Study Abroad Students
https://library.uncw.edu	a			Users with Disabilities
https://library.uncw.edu	a			Visitors
https://library.uncw.edu	a			Hours: Open 10:00am
https://library.uncw.edu	a	img		More Hours Info
https://library.uncw.edu	a	img		Today's Classes & Events
https://library.uncw.edu	a	img		Events & Exhibits Calendar
https://library.uncw.edu	a			Can't Find a Plug?
https://library.uncw.edu	p			Can’t find a plug in Randall Library? Stop by TAC and check out a portable battery.
https://library.uncw.edu	a			New and Improved Charging Station
https://library.uncw.edu	p			New and Improved Charging Station
https://library.uncw.edu	a	img		More Library News
https://library.uncw.edu	a	img		Dub Collections Blog
https://library.uncw.edu	a			RSS Feed
https://library.uncw.edu	a			Follow us on Twitter
https://library.uncw.edu	a	a		Be a fan on Facebook
https://library.uncw.edu	img			 Follow us on Instagram
https://library.uncw.edu	h4			The University
https://library.uncw.edu	a			Academics
https://library.uncw.edu	a			Admissions
https://library.uncw.edu	a			Arts
https://library.uncw.edu	a			Athletics
https://library.uncw.edu	a			Giving
https://library.uncw.edu	a			International
https://library.uncw.edu	a			Library
https://library.uncw.edu	a			Offices & Services
https://library.uncw.edu	a			Research
https://library.uncw.edu	h4			Academic Units
https://library.uncw.edu	a			Graduate School
https://library.uncw.edu	a			Cameron School of Business
https://library.uncw.edu	a			Watson College of Education
https://library.uncw.edu	a			College of Arts & Sciences
https://library.uncw.edu	a			College of Health & Human Services
https://library.uncw.edu	a			Center for Marine Science
https://library.uncw.edu	h4			Helpful Links
https://library.uncw.edu	a			Accessibility
https://library.uncw.edu	a			Alumni
https://library.uncw.edu	a			Calendar
https://library.uncw.edu	a			Current Students
https://library.uncw.edu	a			Emergency & Safety
https://library.uncw.edu	a			Title IX Policies
https://library.uncw.edu	a			Virtual Tour
https://library.uncw.edu	a			Visit
https://library.uncw.edu	p		a	UNC Wilmington |  
https://library.uncw.edu	a			Randall Library
https://library.uncw.edu	p		br	 | 601 S. College Rd., Wilmington, NC 28403-5616 | 910-962-3272
https://library.uncw.edu	a			Contact Us
https://library.uncw.edu	a			Suggest a Purchase
https://library.uncw.edu	a			Online Resources and Systems Availability
https://library.uncw.edu	a			Floor Maps
https://library.uncw.edu	a			Copyright Notice
https://library.uncw.edu	a			Privacy Policy
https://library.uncw.edu	a			Site Search
https://library.uncw.edu	div			Last updated: October 13, 2017
https://library.uncw.edu	a			Login
https://uncw.edu	a			Skip UNCW Quicklinks
https://uncw.edu	a			Email
https://uncw.edu	a			Directory
https://uncw.edu	a			mySeaport
https://uncw.edu	a			Quicklinks
https://uncw.edu	a			Board of Trustees
https://uncw.edu	a			Campus Police
https://uncw.edu	a			Canvas
https://uncw.edu	a			Career Center
https://uncw.edu	a			Chancellor's Office
https://uncw.edu	a			Consumer Information
https://uncw.edu	a			Diversity
https://uncw.edu	a			Distance Education
https://uncw.edu	a			Financial Aid
https://uncw.edu	a			Forms
https://uncw.edu	a			Health Services
https://uncw.edu	a			Housing
https://uncw.edu	a			Information Technology
https://uncw.edu	a			Jobs
https://uncw.edu	a			Leave Keeping
https://uncw.edu	a			Policies & Procedures
https://uncw.edu	a			Registrar
https://uncw.edu	a			SeaNet
https://uncw.edu	a			Swoop
https://uncw.edu	a			Tuition & Fees
https://uncw.edu	button			Menu
https://uncw.edu	a			About UNCW 
https://uncw.edu	a			Admissions 
https://uncw.edu	a			Global 
https://uncw.edu	a			Offices & Services 
https://uncw.edu	a			Library 
https://uncw.edu	a			Give to UNCW
https://uncw.edu	li		a	Students: 
https://uncw.edu	a			Current
https://uncw.edu	a			Future
https://uncw.edu	a			Online
https://uncw.edu	a			Military
https://uncw.edu	a			Parents
https://uncw.edu	a			Faculty & Staff
https://uncw.edu	a			Alumni
https://uncw.edu	a			Visitors
https://uncw.edu	a			Apply Now
https://uncw.edu	a			Academics
https://uncw.edu	a			Research
