url	parent	ps	ns	text
https://harvard.edu/#theaters	a			       Jump to main content     
https://harvard.edu/#theaters	a			       Jump to search     
https://harvard.edu/#theaters	a			       Jump to the footer     
https://harvard.edu/#theaters	span			         Harvard University       
https://harvard.edu/#theaters	a			     Menu   
https://harvard.edu/#theaters	a		span	                 About                 
https://harvard.edu/#theaters	span			                   Harvard                 
https://harvard.edu/#theaters	a			Harvard at a Glance
https://harvard.edu/#theaters	a			Harvard's President
https://harvard.edu/#theaters	a			Harvard's Leadership
https://harvard.edu/#theaters	a			Academic Experience
https://harvard.edu/#theaters	a			Administrative Offices
https://harvard.edu/#theaters	a			Directories
https://harvard.edu/#theaters	a			Harvard in the Community
https://harvard.edu/#theaters	a			News
https://harvard.edu/#theaters	a		span	                 Admissions                 
https://harvard.edu/#theaters	span			                   & Aid                 
https://harvard.edu/#theaters	a			Undergraduate
https://harvard.edu/#theaters	a			Graduate & Professional Schools
https://harvard.edu/#theaters	a			Continuing Education
https://harvard.edu/#theaters	a			Summer Programs
https://harvard.edu/#theaters	a			                 Schools               
https://harvard.edu/#theaters	a			Business
https://harvard.edu/#theaters	a			College
https://harvard.edu/#theaters	a			Continuing Education
https://harvard.edu/#theaters	a			Dental
https://harvard.edu/#theaters	a			Design
https://harvard.edu/#theaters	a			Divinity
https://harvard.edu/#theaters	a			Education
https://harvard.edu/#theaters	a			Engineering
https://harvard.edu/#theaters	a			Faculty of Arts & Sciences
https://harvard.edu/#theaters	a			Government
https://harvard.edu/#theaters	a			Graduate School
https://harvard.edu/#theaters	a			Law
https://harvard.edu/#theaters	a			Medical
https://harvard.edu/#theaters	a			Public Health
https://harvard.edu/#theaters	a			Radcliffe Institute
https://harvard.edu/#theaters	a			                 On Campus               
https://harvard.edu/#theaters	a			Arts and Humanities
https://harvard.edu/#theaters	a			Athletics
https://harvard.edu/#theaters	a			Commencement
https://harvard.edu/#theaters	a			Employment
https://harvard.edu/#theaters	a			Events
https://harvard.edu/#theaters	a			HarvardX
https://harvard.edu/#theaters	a			Library
https://harvard.edu/#theaters	a			Museums
https://harvard.edu/#theaters	a			Research
https://harvard.edu/#theaters	a			Science
https://harvard.edu/#theaters	a			Visit Harvard
https://harvard.edu/#theaters	a			                 Gazette News               
https://harvard.edu/#theaters	a			                 Events               
https://harvard.edu/#theaters	a			                 Visit               
https://harvard.edu/#theaters	a			                 Give               
https://harvard.edu/#theaters	a			Faculty
https://harvard.edu/#theaters	a			Staff
https://harvard.edu/#theaters	a			Students
https://harvard.edu/#theaters	a			Alumni
https://harvard.edu/#theaters	a			Parents
https://harvard.edu/#theaters	a			Visitors
https://harvard.edu/#theaters	a			Media
https://harvard.edu/#theaters	span			       Search:     
https://harvard.edu/#theaters	span			       Open Search     
https://harvard.edu/#theaters	a			Top stories of 2019
https://harvard.edu/#theaters	p			Some of the most-read chronicles of campus, community, and achievement at Harvard
https://harvard.edu/#theaters	a			         Read story        
https://harvard.edu/#theaters	span			Gazette
https://harvard.edu/#theaters	a			Capturing the good times
https://harvard.edu/#theaters	p			Harvard photographers select their favorite photos of the year
https://harvard.edu/#theaters	a			       Read story       
https://harvard.edu/#theaters	span			Gazette
https://harvard.edu/#theaters	a			In defense of winter
https://harvard.edu/#theaters	p			Embracing the beauty of the season at the Arnold Arboretum
https://harvard.edu/#theaters	a			       Read story       
https://harvard.edu/#theaters	span			Gazette
https://harvard.edu/#theaters	a			Word of the year 
https://harvard.edu/#theaters	p			"Harvard faculty members consider the ""word of the year"" - climate emergency"
https://harvard.edu/#theaters	a			       Read story       
https://harvard.edu/#theaters	a			Notice of Settlement of Class Action Relating to Captioning of Public Web Content
https://harvard.edu/#theaters	h2			To Serve Better: Harvard across the country
https://harvard.edu/#theaters	a			Serving Tennessee
https://harvard.edu/#theaters	p			Sarah Lockridge-Steckel founded The Collective, which works to help young people in Memphis, Tennessee
https://harvard.edu/#theaters	a			       Read story       
https://harvard.edu/#theaters	a			Serving South Dakota
https://harvard.edu/#theaters	p			Marnie Gelbart works to increase public understanding of genetics, and the ethical, legal, and social implications
https://harvard.edu/#theaters	a			       Read story       
https://harvard.edu/#theaters	a			Serving Washington D.C. 
https://harvard.edu/#theaters	p			Clint Smith, whose dissertation focuses on juveniles facing life sentences, leads a prison reading program in Washington, D.C.
https://harvard.edu/#theaters	a			       Read story       
https://harvard.edu/#theaters	a			Serving Mississippi 
https://harvard.edu/#theaters	p			Emily Broad Leib helps provide Mississippians with free public policy and legal help on a range of community issues
https://harvard.edu/#theaters	a			       Read story       
https://harvard.edu/#theaters	a			             Explore the project           
https://harvard.edu/#theaters	h2			Events
https://harvard.edu/#theaters	p			       Friday, December 27, 2019, 9:00am - 5:00pm     
https://harvard.edu/#theaters	a			Resetting the Table: Food and Our Changing Tastes
https://harvard.edu/#theaters	p			       Friday, December 27, 2019, 9:00am - 5:00pm     
https://harvard.edu/#theaters	a			The Rittase Touch: Photographic Views of Harvard in the 1930s
https://harvard.edu/#theaters	p			       Friday, December 27, 2019, 9:00am - 5:00pm     
https://harvard.edu/#theaters	a			Angela Davis Exhibition: Freed by the People
https://harvard.edu/#theaters	p			       Saturday, December 28, 2019, 10:00am - 11:00am     
https://harvard.edu/#theaters	a			Thumbelina: A Little Musical
https://harvard.edu/#theaters	a			         See more events       
https://harvard.edu/#theaters	h2			       Harvard scientists are working to help tackle climate change    
https://harvard.edu/#theaters	a		span	    Learn more    
https://harvard.edu/#theaters	span			     Harvard scientists are working to help tackle climate change    
https://harvard.edu/#theaters	h2			Featured Multimedia
https://harvard.edu/#theaters	h2			       Explore Harvard's online courses and learning content    
https://harvard.edu/#theaters	a		span	    View Courses    
https://harvard.edu/#theaters	span			     Explore Harvard's online courses and learning content    
https://harvard.edu/#theaters	h2			Harvard on Twitter
https://harvard.edu/#theaters	span			Twitter
https://harvard.edu/#theaters	time			December 27, 2019
https://harvard.edu/#theaters	p		a	         What will life be like in 2045? That was the question at the heart of the satirical “TAME” Magazine, published in 1…  
https://harvard.edu/#theaters	a			https://twitter.com/i/web/status/1210561041521872896
https://harvard.edu/#theaters	a			          View this Tweet         
https://harvard.edu/#theaters	span			Twitter
https://harvard.edu/#theaters	time			December 27, 2019
https://harvard.edu/#theaters	a			@hbsalumni
https://harvard.edu/#theaters	p		a	 and faculty authors, podcasters, and digital denizens on the year’s most necessary books, podcasts, and…  
https://harvard.edu/#theaters	a			https://twitter.com/i/web/status/1210548392180539393
https://harvard.edu/#theaters	a			          View this Tweet         
https://harvard.edu/#theaters	span			Twitter
https://harvard.edu/#theaters	time			December 26, 2019
https://harvard.edu/#theaters	p		a	         Do you really trust your team? And do they trust you?  
https://harvard.edu/#theaters	a			https://hvrdalum.me/trustteam2ef80
https://harvard.edu/#theaters	a			          View this Tweet         
https://harvard.edu/#theaters	span			Twitter
https://harvard.edu/#theaters	time			December 26, 2019
https://harvard.edu/#theaters	p		a	         Harvard alumni Jennifer Li and Drew Robson are working to uncover the switch that controls brain states  
https://harvard.edu/#theaters	a			https://hrvd.me/switch19t
https://harvard.edu/#theaters	a			          View this Tweet         
https://harvard.edu/#theaters	span			Twitter
https://harvard.edu/#theaters	time			December 26, 2019
https://harvard.edu/#theaters	a			@RadInstitute
https://harvard.edu/#theaters	p		a	 scholar tried to track down what could be a forgery, or the oldest Bible in the world  
https://harvard.edu/#theaters	a			https://hvrdalum.me/radcliffescholard86e2
https://harvard.edu/#theaters	a			          View this Tweet         
https://harvard.edu/#theaters	span			Twitter
https://harvard.edu/#theaters	time			December 26, 2019
https://harvard.edu/#theaters	p		a	         Check out some of the books that Harvard faculty recommended in 2019  
https://harvard.edu/#theaters	a			https://hrvd.me/summerread45t
https://harvard.edu/#theaters	a			          View this Tweet         
https://harvard.edu/#theaters	span			Twitter
https://harvard.edu/#theaters	time			December 26, 2019
https://harvard.edu/#theaters	p		a	         Psychologist Natalie Dattilo talks about why the holiday season can trigger the blues ­— and how to cope  
https://harvard.edu/#theaters	a			https://hrvd.me/holidayblues84t
https://harvard.edu/#theaters	a			          View this Tweet         
https://harvard.edu/#theaters	span			Twitter
https://harvard.edu/#theaters	time			December 26, 2019
https://harvard.edu/#theaters	p		a	         Harvard student Julia Riew wrote the book and composed the music for “Thumbelina: A Little Musical,” at the Loeb Dr…  
https://harvard.edu/#theaters	a			https://twitter.com/i/web/status/1210232556991455232
https://harvard.edu/#theaters	a			          View this Tweet         
https://harvard.edu/#theaters	span			Twitter
https://harvard.edu/#theaters	time			December 26, 2019
https://harvard.edu/#theaters	p		a	         Fewer Americans are getting primary care than before, according to a national analysis of trends in the field by…  
https://harvard.edu/#theaters	a			https://twitter.com/i/web/status/1210200844790116353
https://harvard.edu/#theaters	a			          View this Tweet         
https://harvard.edu/#theaters	span			Twitter
https://harvard.edu/#theaters	time			December 25, 2019
https://harvard.edu/#theaters	p		a	         Professor  
https://harvard.edu/#theaters	a			@RNicholasBurns
https://harvard.edu/#theaters	p		a	 is set to lead an 
https://harvard.edu/#theaters	a			#HAATravel
https://harvard.edu/#theaters	p		a	 trip on the legacy of WWI in Belgium and France  
https://harvard.edu/#theaters	a			https://hvrdalum.me/harvardalumni88236
https://harvard.edu/#theaters	a			          View this Tweet         
https://harvard.edu/#theaters	a			             Social media directory           
https://harvard.edu/#theaters	h2			Latest Harvard Gazette News
https://harvard.edu/#theaters	a			Prince gave up a title for scholarship; discusses hopes for reform
https://harvard.edu/#theaters	time			December 23, 2019
https://harvard.edu/#theaters	div			         Morocco’s Prince Moulay Hicham el Alaoui relinquished his title to press for democratic principles. In an Epicenter article, he assessed the Arab Spring.      
https://harvard.edu/#theaters	a			           Read more         
https://harvard.edu/#theaters	a			Harvard faculty and staff on the biggest moments of the 2010s
https://harvard.edu/#theaters	time			December 23, 2019
https://harvard.edu/#theaters	div			         Harvard experts recalling some of the biggest moments of the 2010s.      
https://harvard.edu/#theaters	a			           Read more         
https://harvard.edu/#theaters	a			Harvard photographers pick their favorites for 2019
https://harvard.edu/#theaters	time			December 23, 2019
https://harvard.edu/#theaters	div			         Harvard staff photographers select their favorite pics from the year, offering the story behind the image.      
https://harvard.edu/#theaters	a			           Read more         
https://harvard.edu/#theaters	a			Twenty-eight top Harvard Gazette stories of 2019
https://harvard.edu/#theaters	time			December 23, 2019
https://harvard.edu/#theaters	div			         A review of the top 28 Harvard Gazette stories of 2019.      
https://harvard.edu/#theaters	a			           Read more         
https://harvard.edu/#theaters	p			     Get the latest Harvard Gazette news delivered to your inbox.   
https://harvard.edu/#theaters	label			           Your Email:         
https://harvard.edu/#theaters	button			           Subscribe         
https://harvard.edu/#theaters	h2			News from Around Harvard
https://harvard.edu/#theaters	a			Blazar Variability
https://harvard.edu/#theaters	time			December 27, 2019
