url	parent	ps	ns	text
https://harvard.edu/#libraries	a			       Jump to main content     
https://harvard.edu/#libraries	a			       Jump to search     
https://harvard.edu/#libraries	a			       Jump to the footer     
https://harvard.edu/#libraries	span			         Harvard University       
https://harvard.edu/#libraries	a			     Menu   
https://harvard.edu/#libraries	a		span	                 About                 
https://harvard.edu/#libraries	span			                   Harvard                 
https://harvard.edu/#libraries	a			Harvard at a Glance
https://harvard.edu/#libraries	a			Harvard's President
https://harvard.edu/#libraries	a			Harvard's Leadership
https://harvard.edu/#libraries	a			Academic Experience
https://harvard.edu/#libraries	a			Administrative Offices
https://harvard.edu/#libraries	a			Directories
https://harvard.edu/#libraries	a			Harvard in the Community
https://harvard.edu/#libraries	a			News
https://harvard.edu/#libraries	a		span	                 Admissions                 
https://harvard.edu/#libraries	span			                   & Aid                 
https://harvard.edu/#libraries	a			Undergraduate
https://harvard.edu/#libraries	a			Graduate & Professional Schools
https://harvard.edu/#libraries	a			Continuing Education
https://harvard.edu/#libraries	a			Summer Programs
https://harvard.edu/#libraries	a			                 Schools               
https://harvard.edu/#libraries	a			Business
https://harvard.edu/#libraries	a			College
https://harvard.edu/#libraries	a			Continuing Education
https://harvard.edu/#libraries	a			Dental
https://harvard.edu/#libraries	a			Design
https://harvard.edu/#libraries	a			Divinity
https://harvard.edu/#libraries	a			Education
https://harvard.edu/#libraries	a			Engineering
https://harvard.edu/#libraries	a			Faculty of Arts & Sciences
https://harvard.edu/#libraries	a			Government
https://harvard.edu/#libraries	a			Graduate School
https://harvard.edu/#libraries	a			Law
https://harvard.edu/#libraries	a			Medical
https://harvard.edu/#libraries	a			Public Health
https://harvard.edu/#libraries	a			Radcliffe Institute
https://harvard.edu/#libraries	a			                 On Campus               
https://harvard.edu/#libraries	a			Arts and Humanities
https://harvard.edu/#libraries	a			Athletics
https://harvard.edu/#libraries	a			Commencement
https://harvard.edu/#libraries	a			Employment
https://harvard.edu/#libraries	a			Events
https://harvard.edu/#libraries	a			HarvardX
https://harvard.edu/#libraries	a			Library
https://harvard.edu/#libraries	a			Museums
https://harvard.edu/#libraries	a			Research
https://harvard.edu/#libraries	a			Science
https://harvard.edu/#libraries	a			Visit Harvard
https://harvard.edu/#libraries	a			                 Gazette News               
https://harvard.edu/#libraries	a			                 Events               
https://harvard.edu/#libraries	a			                 Visit               
https://harvard.edu/#libraries	a			                 Give               
https://harvard.edu/#libraries	a			Faculty
https://harvard.edu/#libraries	a			Staff
https://harvard.edu/#libraries	a			Students
https://harvard.edu/#libraries	a			Alumni
https://harvard.edu/#libraries	a			Parents
https://harvard.edu/#libraries	a			Visitors
https://harvard.edu/#libraries	a			Media
https://harvard.edu/#libraries	span			       Search:     
https://harvard.edu/#libraries	span			       Open Search     
https://harvard.edu/#libraries	a			Top stories of 2019
https://harvard.edu/#libraries	p			Some of the most-read chronicles of campus, community, and achievement at Harvard
https://harvard.edu/#libraries	a			         Read story        
https://harvard.edu/#libraries	span			Gazette
https://harvard.edu/#libraries	a			Capturing the good times
https://harvard.edu/#libraries	p			Harvard photographers select their favorite photos of the year
https://harvard.edu/#libraries	a			       Read story       
https://harvard.edu/#libraries	span			Gazette
https://harvard.edu/#libraries	a			In defense of winter
https://harvard.edu/#libraries	p			Embracing the beauty of the season at the Arnold Arboretum
https://harvard.edu/#libraries	a			       Read story       
https://harvard.edu/#libraries	span			Gazette
https://harvard.edu/#libraries	a			Word of the year 
https://harvard.edu/#libraries	p			"Harvard faculty members consider the ""word of the year"" - climate emergency"
https://harvard.edu/#libraries	a			       Read story       
https://harvard.edu/#libraries	a			Notice of Settlement of Class Action Relating to Captioning of Public Web Content
https://harvard.edu/#libraries	h2			To Serve Better: Harvard across the country
https://harvard.edu/#libraries	a			Serving Tennessee
https://harvard.edu/#libraries	p			Sarah Lockridge-Steckel founded The Collective, which works to help young people in Memphis, Tennessee
https://harvard.edu/#libraries	a			       Read story       
https://harvard.edu/#libraries	a			Serving South Dakota
https://harvard.edu/#libraries	p			Marnie Gelbart works to increase public understanding of genetics, and the ethical, legal, and social implications
https://harvard.edu/#libraries	a			       Read story       
https://harvard.edu/#libraries	a			Serving Washington D.C. 
https://harvard.edu/#libraries	p			Clint Smith, whose dissertation focuses on juveniles facing life sentences, leads a prison reading program in Washington, D.C.
https://harvard.edu/#libraries	a			       Read story       
https://harvard.edu/#libraries	a			Serving Mississippi 
https://harvard.edu/#libraries	p			Emily Broad Leib helps provide Mississippians with free public policy and legal help on a range of community issues
https://harvard.edu/#libraries	a			       Read story       
https://harvard.edu/#libraries	a			             Explore the project           
https://harvard.edu/#libraries	h2			Events
https://harvard.edu/#libraries	p			       Friday, December 27, 2019, 9:00am - 5:00pm     
https://harvard.edu/#libraries	a			Resetting the Table: Food and Our Changing Tastes
https://harvard.edu/#libraries	p			       Friday, December 27, 2019, 9:00am - 5:00pm     
https://harvard.edu/#libraries	a			The Rittase Touch: Photographic Views of Harvard in the 1930s
https://harvard.edu/#libraries	p			       Friday, December 27, 2019, 9:00am - 5:00pm     
https://harvard.edu/#libraries	a			Angela Davis Exhibition: Freed by the People
https://harvard.edu/#libraries	p			       Saturday, December 28, 2019, 10:00am - 11:00am     
https://harvard.edu/#libraries	a			Thumbelina: A Little Musical
https://harvard.edu/#libraries	a			         See more events       
https://harvard.edu/#libraries	h2			       Harvard scientists are working to help tackle climate change    
https://harvard.edu/#libraries	a		span	    Learn more    
https://harvard.edu/#libraries	span			     Harvard scientists are working to help tackle climate change    
https://harvard.edu/#libraries	h2			Featured Multimedia
https://harvard.edu/#libraries	h2			       Explore Harvard's online courses and learning content    
https://harvard.edu/#libraries	a		span	    View Courses    
https://harvard.edu/#libraries	span			     Explore Harvard's online courses and learning content    
https://harvard.edu/#libraries	h2			Harvard on Twitter
https://harvard.edu/#libraries	span			Twitter
https://harvard.edu/#libraries	time			December 27, 2019
https://harvard.edu/#libraries	p		a	         What will life be like in 2045? That was the question at the heart of the satirical “TAME” Magazine, published in 1…  
https://harvard.edu/#libraries	a			https://twitter.com/i/web/status/1210561041521872896
https://harvard.edu/#libraries	a			          View this Tweet         
https://harvard.edu/#libraries	span			Twitter
https://harvard.edu/#libraries	time			December 27, 2019
https://harvard.edu/#libraries	a			@hbsalumni
https://harvard.edu/#libraries	p		a	 and faculty authors, podcasters, and digital denizens on the year’s most necessary books, podcasts, and…  
https://harvard.edu/#libraries	a			https://twitter.com/i/web/status/1210548392180539393
https://harvard.edu/#libraries	a			          View this Tweet         
https://harvard.edu/#libraries	span			Twitter
https://harvard.edu/#libraries	time			December 26, 2019
https://harvard.edu/#libraries	p		a	         Do you really trust your team? And do they trust you?  
https://harvard.edu/#libraries	a			https://hvrdalum.me/trustteam2ef80
https://harvard.edu/#libraries	a			          View this Tweet         
https://harvard.edu/#libraries	span			Twitter
https://harvard.edu/#libraries	time			December 26, 2019
https://harvard.edu/#libraries	p		a	         Harvard alumni Jennifer Li and Drew Robson are working to uncover the switch that controls brain states  
https://harvard.edu/#libraries	a			https://hrvd.me/switch19t
https://harvard.edu/#libraries	a			          View this Tweet         
https://harvard.edu/#libraries	span			Twitter
https://harvard.edu/#libraries	time			December 26, 2019
https://harvard.edu/#libraries	a			@RadInstitute
https://harvard.edu/#libraries	p		a	 scholar tried to track down what could be a forgery, or the oldest Bible in the world  
https://harvard.edu/#libraries	a			https://hvrdalum.me/radcliffescholard86e2
https://harvard.edu/#libraries	a			          View this Tweet         
https://harvard.edu/#libraries	span			Twitter
https://harvard.edu/#libraries	time			December 26, 2019
https://harvard.edu/#libraries	p		a	         Check out some of the books that Harvard faculty recommended in 2019  
https://harvard.edu/#libraries	a			https://hrvd.me/summerread45t
https://harvard.edu/#libraries	a			          View this Tweet         
https://harvard.edu/#libraries	span			Twitter
https://harvard.edu/#libraries	time			December 26, 2019
https://harvard.edu/#libraries	p		a	         Psychologist Natalie Dattilo talks about why the holiday season can trigger the blues ­— and how to cope  
https://harvard.edu/#libraries	a			https://hrvd.me/holidayblues84t
https://harvard.edu/#libraries	a			          View this Tweet         
https://harvard.edu/#libraries	span			Twitter
https://harvard.edu/#libraries	time			December 26, 2019
https://harvard.edu/#libraries	p		a	         Harvard student Julia Riew wrote the book and composed the music for “Thumbelina: A Little Musical,” at the Loeb Dr…  
https://harvard.edu/#libraries	a			https://twitter.com/i/web/status/1210232556991455232
https://harvard.edu/#libraries	a			          View this Tweet         
https://harvard.edu/#libraries	span			Twitter
https://harvard.edu/#libraries	time			December 26, 2019
https://harvard.edu/#libraries	p		a	         Fewer Americans are getting primary care than before, according to a national analysis of trends in the field by…  
https://harvard.edu/#libraries	a			https://twitter.com/i/web/status/1210200844790116353
https://harvard.edu/#libraries	a			          View this Tweet         
