url	parent	ps	ns	text
https://harvard.edu/president/speech/2008/sustainability-celebration	a			       Jump to main content     
https://harvard.edu/president/speech/2008/sustainability-celebration	a			       Jump to search     
https://harvard.edu/president/speech/2008/sustainability-celebration	a			       Jump to the footer     
https://harvard.edu/president/speech/2008/sustainability-celebration	span			         Harvard University       
https://harvard.edu/president/speech/2008/sustainability-celebration	a			     Menu   
https://harvard.edu/president/speech/2008/sustainability-celebration	a		span	                 About                 
https://harvard.edu/president/speech/2008/sustainability-celebration	span			                   Harvard                 
https://harvard.edu/president/speech/2008/sustainability-celebration	a			Harvard at a Glance
https://harvard.edu/president/speech/2008/sustainability-celebration	a			Harvard's President
https://harvard.edu/president/speech/2008/sustainability-celebration	a			Harvard's Leadership
https://harvard.edu/president/speech/2008/sustainability-celebration	a			Academic Experience
https://harvard.edu/president/speech/2008/sustainability-celebration	a			Administrative Offices
https://harvard.edu/president/speech/2008/sustainability-celebration	a			Directories
https://harvard.edu/president/speech/2008/sustainability-celebration	a			Harvard in the Community
https://harvard.edu/president/speech/2008/sustainability-celebration	a			News
https://harvard.edu/president/speech/2008/sustainability-celebration	a		span	                 Admissions                 
https://harvard.edu/president/speech/2008/sustainability-celebration	span			                   & Aid                 
https://harvard.edu/president/speech/2008/sustainability-celebration	a			Undergraduate
https://harvard.edu/president/speech/2008/sustainability-celebration	a			Graduate & Professional Schools
https://harvard.edu/president/speech/2008/sustainability-celebration	a			Continuing Education
https://harvard.edu/president/speech/2008/sustainability-celebration	a			Summer Programs
https://harvard.edu/president/speech/2008/sustainability-celebration	a			                 Schools               
https://harvard.edu/president/speech/2008/sustainability-celebration	a			Business
https://harvard.edu/president/speech/2008/sustainability-celebration	a			College
https://harvard.edu/president/speech/2008/sustainability-celebration	a			Continuing Education
https://harvard.edu/president/speech/2008/sustainability-celebration	a			Dental
https://harvard.edu/president/speech/2008/sustainability-celebration	a			Design
https://harvard.edu/president/speech/2008/sustainability-celebration	a			Divinity
https://harvard.edu/president/speech/2008/sustainability-celebration	a			Education
https://harvard.edu/president/speech/2008/sustainability-celebration	a			Engineering
https://harvard.edu/president/speech/2008/sustainability-celebration	a			Faculty of Arts & Sciences
https://harvard.edu/president/speech/2008/sustainability-celebration	a			Government
https://harvard.edu/president/speech/2008/sustainability-celebration	a			Graduate School
https://harvard.edu/president/speech/2008/sustainability-celebration	a			Law
https://harvard.edu/president/speech/2008/sustainability-celebration	a			Medical
https://harvard.edu/president/speech/2008/sustainability-celebration	a			Public Health
https://harvard.edu/president/speech/2008/sustainability-celebration	a			Radcliffe Institute
https://harvard.edu/president/speech/2008/sustainability-celebration	a			                 On Campus               
https://harvard.edu/president/speech/2008/sustainability-celebration	a			Arts and Humanities
https://harvard.edu/president/speech/2008/sustainability-celebration	a			Athletics
https://harvard.edu/president/speech/2008/sustainability-celebration	a			Commencement
https://harvard.edu/president/speech/2008/sustainability-celebration	a			Employment
https://harvard.edu/president/speech/2008/sustainability-celebration	a			Events
https://harvard.edu/president/speech/2008/sustainability-celebration	a			HarvardX
https://harvard.edu/president/speech/2008/sustainability-celebration	a			Library
https://harvard.edu/president/speech/2008/sustainability-celebration	a			Museums
https://harvard.edu/president/speech/2008/sustainability-celebration	a			Research
https://harvard.edu/president/speech/2008/sustainability-celebration	a			Science
https://harvard.edu/president/speech/2008/sustainability-celebration	a			Visit Harvard
https://harvard.edu/president/speech/2008/sustainability-celebration	a			                 Gazette News               
https://harvard.edu/president/speech/2008/sustainability-celebration	a			                 Events               
