url	parent	ps	ns	text
http://www.centenary.edu	a			Skip to Main Content
http://www.centenary.edu	a			Centenary College of Louisiana
http://www.centenary.edu	label			Show me more for
http://www.centenary.edu	option			Students
http://www.centenary.edu	option			Faculty & Staff
http://www.centenary.edu	option			Parents & Families
http://www.centenary.edu	h2			Secondary Navigation
http://www.centenary.edu	a			Events
http://www.centenary.edu	a			News & Media
http://www.centenary.edu	a			Alumni
http://www.centenary.edu	a			Directories
http://www.centenary.edu	a			Library
http://www.centenary.edu	a			Athletics
http://www.centenary.edu	a			Giving
http://www.centenary.edu	a			Search
http://www.centenary.edu	h2			Site Navigation
http://www.centenary.edu	a			About
http://www.centenary.edu	button			Expand Navigation
http://www.centenary.edu	a			Our Mission
http://www.centenary.edu	a			Our History
http://www.centenary.edu	a			Our Leadership
http://www.centenary.edu	a			Diversity at Centenary
http://www.centenary.edu	a			Policies & Procedures
http://www.centenary.edu	a			Accreditation & Affiliations
http://www.centenary.edu	a			Consumer Information
http://www.centenary.edu	a			Accolades
http://www.centenary.edu	a			About Shreveport-Bossier
http://www.centenary.edu	a			Strategic Plan
http://www.centenary.edu	a			Academics
http://www.centenary.edu	a			Undergraduate & Graduate Programs
http://www.centenary.edu	a			Departments & Schools
http://www.centenary.edu	a			Our Faculty
http://www.centenary.edu	a			Experiential Learning
http://www.centenary.edu	a			Trek
http://www.centenary.edu	a			Study Abroad
http://www.centenary.edu	a			Research Opportunities
http://www.centenary.edu	a			Academic Support & Resources
http://www.centenary.edu	a			Academic Calendar
http://www.centenary.edu	a			Academic Catalogue
http://www.centenary.edu	a			Registrar
http://www.centenary.edu	a			Admission
http://www.centenary.edu	a			Plan a Visit
http://www.centenary.edu	a			How to Apply
http://www.centenary.edu	a			Meet our Admission Team
http://www.centenary.edu	a			Request Information
http://www.centenary.edu	a			For Accepted Students
http://www.centenary.edu	a			Tuition & Aid
http://www.centenary.edu	a			FAQs
http://www.centenary.edu	a			Admission Publications
http://www.centenary.edu	a			Campus Safety & Security
http://www.centenary.edu	a			Student Life
http://www.centenary.edu	a			Living Here
http://www.centenary.edu	a			Student Activities
http://www.centenary.edu	a			Support Services
http://www.centenary.edu	a			Student Development Staff
http://www.centenary.edu	a			Information for First Year Students
http://www.centenary.edu	a			Campus & Community
http://www.centenary.edu	a			Community Engagement
http://www.centenary.edu	a			Christian Leadership Center
http://www.centenary.edu	a			Archives & Special Collections
http://www.centenary.edu	a			Arboretum
http://www.centenary.edu	a			Fitness Center
http://www.centenary.edu	a			Campus Rentals
http://www.centenary.edu	a			Hurley School of Music
http://www.centenary.edu	a			Marjorie Lyons Playhouse
http://www.centenary.edu	a			Meadows Museum of Art
http://www.centenary.edu	a			Center for Family-Owned Business
http://www.centenary.edu	button			Menu
http://www.centenary.edu	h2			Centenary empowers you to do more. For yourself. For others. For the world.
http://www.centenary.edu	a			Apply Now
http://www.centenary.edu	div			Dream Week 2020
http://www.centenary.edu	h2			Join us January 20-24 to serve and honor Dr. King's legacy.
http://www.centenary.edu	a			learn more
http://www.centenary.edu	h3			Upcoming Events
http://www.centenary.edu	a			View All Events
http://www.centenary.edu	p			Jan
http://www.centenary.edu	p			6:00 PM-8:00 PM
http://www.centenary.edu	a			Shreveport Philosophical Forum
http://www.centenary.edu	a			Coffee House
http://www.centenary.edu	p			11:00 AM-12:30 PM
http://www.centenary.edu	a			Catholic Student Organization
http://www.centenary.edu	p			4:00 PM-5:00 PM
http://www.centenary.edu	a			Scholars Weekend
http://www.centenary.edu	p			5:00 PM-6:45 PM
http://www.centenary.edu	p			8:30 AM-1:30 PM
http://www.centenary.edu	p			9:30 AM-1:00 PM
http://www.centenary.edu	h3			Recent News
http://www.centenary.edu	a			View All News
http://www.centenary.edu	p			January 14, 2020
http://www.centenary.edu	a			Meadows Museum of Art opens spring exhibits
http://www.centenary.edu	p			January 8, 2020
http://www.centenary.edu	a			Centenary College Choir invited to perform at second inauguration for Louisiana governor John Bel Edwards
http://www.centenary.edu	p			January 7, 2020
http://www.centenary.edu	a			Centenary sets events for 2020 Dream Week
http://www.centenary.edu	p			90%
http://www.centenary.edu	p			medical school acceptance rate
http://www.centenary.edu	p			Medical schools pay attention when they see a Centenary degree. Centenary graduates are well-prepared for medical and other professional schools with rigorous coursework and valuable opportunities for research and internships.
http://www.centenary.edu	a			Learn more
http://www.centenary.edu	p			100%
http://www.centenary.edu	p			of tenure-track faculty hold the highest degree in their fields
http://www.centenary.edu	p			With an average class size of 13, Centenary puts you in close contact with world-class professors who know your name and believe in your potential.
http://www.centenary.edu	a			Meet the faculty
http://www.centenary.edu	p			82%
http://www.centenary.edu	p			of students have participated in an international educational experience
http://www.centenary.edu	p			All Centenary students have the opportunity to begin their college careers in Paris, France through our one-of-a-kind Centenary in Paris program. But for many students, this is just the first of several global experiences at Centenary and beyond.
http://www.centenary.edu	a			Explore global study
http://www.centenary.edu	p			of Centenary students receive merit aid
http://www.centenary.edu	p			Centenary students received over $9.6 million in institutional scholarships and grants during the 2016-2017 academic year. Visit Centenary's Office of Financial Aid to learn about merit scholarships, need-based aid, out of state grants, and more.
http://www.centenary.edu	a			Financial Aid Office
http://www.centenary.edu	h3			Your contribution makes a difference.
http://www.centenary.edu	p			Give now to make a difference in the lives of current and future students.
http://www.centenary.edu	a			Give to Centenary
http://www.centenary.edu	span			Centenary College of Louisiana
