url	parent	ps	ns	text
https://online.dyc.edu	a			Skip to content
https://online.dyc.edu	a			Get Started
https://online.dyc.edu	span	span		Give us a call!
https://online.dyc.edu	span			Close Menu
https://online.dyc.edu	a			Online Degrees
https://online.dyc.edu	a			Admissions
https://online.dyc.edu	a			Admissions Process
https://online.dyc.edu	a			First-Generation Students
https://online.dyc.edu	a			Frequently Asked Questions
https://online.dyc.edu	a			Military & Veterans
https://online.dyc.edu	a			Transfer Credits
https://online.dyc.edu	a			Tuition & Aid
https://online.dyc.edu	a			Cost & Fees
https://online.dyc.edu	a			Financial Aid
https://online.dyc.edu	a			Financial Aid FAQ
https://online.dyc.edu	a			Resources
https://online.dyc.edu	a			Your Support Team
https://online.dyc.edu	a			Career Outcomes
https://online.dyc.edu	a			Program Resources
https://online.dyc.edu	a			Articles
https://online.dyc.edu	a			Apply Now
https://online.dyc.edu	a			Main Campus
https://online.dyc.edu	a			Call Us
https://online.dyc.edu	h1			An intellectually dynamic university focused on your career success 
https://online.dyc.edu	a			Find Your Degree
https://online.dyc.edu	h2			D'Youville Online Degrees
https://online.dyc.edu	p			D’Youville Online is an intensely interactive, student-focused, and supportive academic community. Designed to prepare you to go further, our rigorous degree programs will help you advance your career and equip you to change the world.
https://online.dyc.edu	h3			On-Campus Programs
https://online.dyc.edu	p			 | Not looking for online classes? Visit our campus site.              
https://online.dyc.edu	span			View Program Information
https://online.dyc.edu	h3			BS in Business Management
https://online.dyc.edu	span			Undergraduate
https://online.dyc.edu	p			 | For those ready to combine their business skills with management expertise.              
https://online.dyc.edu	h3			MS Nursing Education – Clinical Focus
https://online.dyc.edu	span			Graduate
https://online.dyc.edu	p			 | For those dedicated to building healthy communities.              
https://online.dyc.edu	h3			MS Nursing – Management & Leadership
https://online.dyc.edu	p			 | For those who want to heal the world.              
https://online.dyc.edu	h3			Ed.D. in Health Professions Education
https://online.dyc.edu	p			 | Educate the next generation of healthcare leaders.              
https://online.dyc.edu	h3			RN to BSN
https://online.dyc.edu	p			 | Rise to the next level of nursing.              
https://online.dyc.edu	h3			MBA
https://online.dyc.edu	p			 | For those who fearlessly move forward.              
https://online.dyc.edu	h3			Post Master’s Certificate – Long-Term Care Administration
https://online.dyc.edu	p			 | For those committed to doing good, long-term.              
https://online.dyc.edu	h2			The D'Youville Online Experience
https://online.dyc.edu	p			D’Youville Online offers a learning format designed with you in mind. Our fully online degrees provide ultimate flexibility when it comes to attending class on your own schedule and achieving your long-term goals. Study at a pace that works for you in a program with the same quality of instruction as your on-campus peers.
https://online.dyc.edu	h3			Economic value.
https://online.dyc.edu	p			D'Youville was ranked in the Top 20 of Affordable Online Colleges in New York State.
https://online.dyc.edu	h3			Faculty excellence.
https://online.dyc.edu	p			Our classes average a 12:1 student-to-faculty ratio. Courses are taught by expert faculty, not teaching assistants.
https://online.dyc.edu	h3			Extraordinary earning potential.
https://online.dyc.edu	p			D'Youville’s dynamic online learning environment will prepare you for high-paying, high-impact, and life-changing careers.
https://online.dyc.edu	h3			Military Friendliness.
https://online.dyc.edu	p			Consistently ranked as a top school for veterans, D'Youville provides a number of exclusive benefits to advance the education of service members.
https://online.dyc.edu	span			Do you take transfer credits?
https://online.dyc.edu	div			           Yes. D’Youville Online accepts credit earned at other accredited institutions. We generally have minimum academic requirements you must meet to transfer your credits. For information about specific programs, visit individual program pages or talk to your enrollment counselor.        
https://online.dyc.edu	span			Can I continue to work while earning my degree?
https://online.dyc.edu	div			           Yes. D’Youville Online is designed to fit around the schedules of busy adults. A fully digital format means you’ll have the opportunity to choose when and where it’s best to attend class. If your course of study requires a practicum, you’ll even have the opportunity to complete it at your place of employment.           
https://online.dyc.edu	span			Are your online programs accredited?
https://online.dyc.edu	div			           Yes. D’Youville is accredited by the Middle States Commission on Higher Education. In addition, our nursing programs are accredited by the Commission on Collegiate Nursing Education (CCNE), and our business programs are accredited by the International Accreditation Council for Business Education (IACBE).           
https://online.dyc.edu	span			Why should I attend D’Youville Online?
https://online.dyc.edu	div			           At D’Youville, we’re committed to providing every student with the support they need to change the world. D’Youville offers a dynamic learning environment that prepares you for tomorrow’s careers. We have been ranked as a Top 20 Affordable Online College in New York State, and we are consistently ranked as a top school for veterans. All degree programs are taught by expert faculty and feature relevant curricula that successfully prepare you to take your next professional step.        
https://online.dyc.edu	span			How do I apply?
https://online.dyc.edu	div		a	           All applicants must fill out our 
https://online.dyc.edu	a			online application
https://online.dyc.edu	div			 and provide official transcripts for all previous academic credits. Depending on your program, you may be required to provide additional materials. Please see program pages for more information.         
https://online.dyc.edu	h2			Frequently Asked Questions
https://online.dyc.edu	p			Have questions? Learn more about becoming an online student, financial aid, admissions, and more.
https://online.dyc.edu	a			See All FAQs
https://online.dyc.edu	h2			The Highest Standards of Education
https://online.dyc.edu	div			       D'Youville online is accredited by the Middle States Commission on Higher Education. Specific programs hold additional industry-relevant approvals and accreditations.      
https://online.dyc.edu	h3			Quick Links
https://online.dyc.edu	h2			Get Your Digital Brochure
https://online.dyc.edu	p			By filling out the form, you'll:
https://online.dyc.edu	li			Receive a digital brochure within 24 business hours that gives further insight into our programs and the D’Youville online experience.
https://online.dyc.edu	li			Gain access to a dedicated enrollment counselor, ready to answer all of your questions.
https://online.dyc.edu	li			Be one step closer towards achieving your career goals.
https://online.dyc.edu	h3			Request Information
https://online.dyc.edu	p			What degrees are you interested in?
https://online.dyc.edu	a			BS in Business Management
https://online.dyc.edu	a			Ed.D. in Health Professions Education
https://online.dyc.edu	a			MBA
https://online.dyc.edu	a			MS Nursing – Management & Leadership
https://online.dyc.edu	a			MS Nursing Education – Clinical Focus
https://online.dyc.edu	a			Post Master’s Certificate – Long-Term Care Administration
https://online.dyc.edu	a			RN to BSN
https://online.dyc.edu	p			  320 Porter Avenue Buffalo, NY 14201
https://online.dyc.edu	a			  (888) 368-4333
https://online.dyc.edu	a			  online@dyc.edu
https://online.dyc.edu	p		span	© 2020 D'Youville Online | 
https://online.dyc.edu	a			Privacy Policy
http://athletics.dyc.edu	a			skip navigation
http://athletics.dyc.edu	a			D'Youville
http://athletics.dyc.edu	span			Composite
http://athletics.dyc.edu	span			Search
http://athletics.dyc.edu	span			Menu
http://athletics.dyc.edu	div			Site Navigation
http://athletics.dyc.edu	a			Sports
http://athletics.dyc.edu	a			Men's Sports
http://athletics.dyc.edu	a			Baseball
http://athletics.dyc.edu	a			Schedule
http://athletics.dyc.edu	a			Roster
http://athletics.dyc.edu	a			News
http://athletics.dyc.edu	a			Basketball
http://athletics.dyc.edu	a			Cross Country
http://athletics.dyc.edu	a			Golf (Co-ed)
http://athletics.dyc.edu	a			Soccer
http://athletics.dyc.edu	a			Volleyball
http://athletics.dyc.edu	a			Women's Sports
http://athletics.dyc.edu	a			Bowling
http://athletics.dyc.edu	a			Crew
http://athletics.dyc.edu	a			Lacrosse
http://athletics.dyc.edu	a			Softball
http://athletics.dyc.edu	a			Tennis
http://athletics.dyc.edu	a			Camps & Recreation
http://athletics.dyc.edu	a			Camps
http://athletics.dyc.edu	a			Camp Registrations
http://athletics.dyc.edu	a			Men's Basketball High School Elite Camp
http://athletics.dyc.edu	a			Recreation
http://athletics.dyc.edu	a			Club Cheerleading
http://athletics.dyc.edu	a			Club Rugby
http://athletics.dyc.edu	a			Inside Athletics
http://athletics.dyc.edu	a			Athletic Training
http://athletics.dyc.edu	a			Coaches Portal
http://athletics.dyc.edu	a			Community Service
http://athletics.dyc.edu	a			Compliance
http://athletics.dyc.edu	a			Facilities
http://athletics.dyc.edu	a			Gym Calendar
http://athletics.dyc.edu	a			Medical Forms
http://athletics.dyc.edu	a			Mission Statement
http://athletics.dyc.edu	a			SAAC
http://athletics.dyc.edu	a			Sports Information
http://athletics.dyc.edu	a			Staff Directory
http://athletics.dyc.edu	a			Student-Athlete Handbook
http://athletics.dyc.edu	a			Fan Zone
http://athletics.dyc.edu	a			Alumni
http://athletics.dyc.edu	a			Athletics Brochure
http://athletics.dyc.edu	a			Banquet
http://athletics.dyc.edu	a			Buffalo Cup
http://athletics.dyc.edu	a			Campus Map
http://athletics.dyc.edu	a			DY3
http://athletics.dyc.edu	a			Live Stream
http://athletics.dyc.edu	a			Newsletter Signup
http://athletics.dyc.edu	a			Spartan Headlines
http://athletics.dyc.edu	a			Student-Athlete Life
http://athletics.dyc.edu	a			Twitter
http://athletics.dyc.edu	a			Visitor's Guide
http://athletics.dyc.edu	a			YouTube
http://athletics.dyc.edu	a			Recruit Me
http://athletics.dyc.edu	a			Tradition
http://athletics.dyc.edu	a			dyc.edu
http://athletics.dyc.edu	div			Close
http://athletics.dyc.edu	span			Facebook
http://athletics.dyc.edu	span			Instagram
http://athletics.dyc.edu	span			Twitter
http://athletics.dyc.edu	span			Youtube-play
http://athletics.dyc.edu	span			29 °f
http://athletics.dyc.edu	span			Overcast
http://athletics.dyc.edu	h2			Top Stories
http://athletics.dyc.edu	a			AMCC Announces Men's Volleyball Preseason Poll
http://athletics.dyc.edu	time			      January 10, 2020       
http://athletics.dyc.edu	a			Facebook
http://athletics.dyc.edu	a			Full Story
http://athletics.dyc.edu	a			DYouville Athletics Names Rebecca Capinera as Associate Director of Athletics and Senior Woman Administrator
http://athletics.dyc.edu	a			Hore, Pfeiffer Lead D'Youville to First Win of New Year
http://athletics.dyc.edu	a			           Video      
http://athletics.dyc.edu	a			           Box Score      
http://athletics.dyc.edu	time			      January 8, 2020       
http://athletics.dyc.edu	a			Big Second Half Leads Mounties over Spartans
http://athletics.dyc.edu	a			Women Nearly Complete Comeback in Loss to La Roche
http://athletics.dyc.edu	time			      January 4, 2020       
http://athletics.dyc.edu	a			Men Go Toe-to-Toe With First Place Redhawks in Loss
http://athletics.dyc.edu	a			Rosales Earns All-Tournament Honors in Loss to Battling Bishops
http://athletics.dyc.edu	time			      December 29, 2019       
http://athletics.dyc.edu	a			Two Spartans Record Double-Doubles in OT Loss to Medgar Evers
http://athletics.dyc.edu	a			           Live stats      
http://athletics.dyc.edu	time			      December 28, 2019       
http://athletics.dyc.edu	a			D’Youville Men’s Basketball Continues Tradition of Donating Food for the Holidays
http://athletics.dyc.edu	time			      December 26, 2019       
http://athletics.dyc.edu	a			NBA Champion Jack Armstrong Speaks to D'Youville Men's Basketball
http://athletics.dyc.edu	a			Previous
http://athletics.dyc.edu	a			Pause
http://athletics.dyc.edu	a			Next
http://athletics.dyc.edu	h2			Scoreboard
http://athletics.dyc.edu	span			Wed, 01/08
http://athletics.dyc.edu	span			| Women's Basketball
http://athletics.dyc.edu	span			Mt. Aloysius
http://athletics.dyc.edu	span			W, 68-53
http://athletics.dyc.edu	span			(Final)
http://athletics.dyc.edu	span			| Men's Basketball
http://athletics.dyc.edu	span			L, 75-60
http://athletics.dyc.edu	span			Sat, 01/04
http://athletics.dyc.edu	span			La Roche
http://athletics.dyc.edu	span			L, 61-57
http://athletics.dyc.edu	span			L, 90-79
http://athletics.dyc.edu	span			Sun, 12/29
http://athletics.dyc.edu	span			vs.
http://athletics.dyc.edu	span			N.C. Wesleyan
http://athletics.dyc.edu	span			L, 100-70
http://athletics.dyc.edu	h2			Tabs
http://athletics.dyc.edu	a			Upcoming Events
http://athletics.dyc.edu	a			Scoreboard
http://athletics.dyc.edu	span			Wed
http://athletics.dyc.edu	span			Jan
http://athletics.dyc.edu	a			Men's Basketball
http://athletics.dyc.edu	span			6:00 PM
http://athletics.dyc.edu	span			Pitt.-Bradford
http://athletics.dyc.edu	span			Video
http://athletics.dyc.edu	span			Live stats
http://athletics.dyc.edu	a			Women's Basketball
http://athletics.dyc.edu	span			8:00 PM
http://athletics.dyc.edu	span			Sat
http://athletics.dyc.edu	span			2:00 PM
http://athletics.dyc.edu	span			Franciscan
http://athletics.dyc.edu	span			4:00 PM
http://athletics.dyc.edu	span			Mon
http://athletics.dyc.edu	span			1:00 PM
http://athletics.dyc.edu	span			Pitt.-Greensburg
http://athletics.dyc.edu	span			3:00 PM
http://athletics.dyc.edu	span			Penn St.-Behrend
http://athletics.dyc.edu	span			Penn State-Behrend
http://athletics.dyc.edu	span			Penn St.-Altoona
http://athletics.dyc.edu	span			Penn State-Altoona
http://athletics.dyc.edu	span			Sun
http://athletics.dyc.edu	a			Men's Volleyball
http://athletics.dyc.edu	span			Daemen
http://athletics.dyc.edu	span			Tue
http://athletics.dyc.edu	a			Women's Bowling
http://athletics.dyc.edu	span			Medaille
http://athletics.dyc.edu	span			Feb
http://athletics.dyc.edu	span			AMCC Round Robin
http://athletics.dyc.edu	span			Elizabethtown
http://athletics.dyc.edu	span			@ Misericordia Tri-Match
http://athletics.dyc.edu	span			Misericordia
http://athletics.dyc.edu	span			Hilbert
http://athletics.dyc.edu	span			Fri
http://athletics.dyc.edu	span			Johnson & Wales (RI)
http://athletics.dyc.edu	span			@ Golden Flyer Invite (Rochester, N.Y.)
http://athletics.dyc.edu	span			11:00 AM
http://athletics.dyc.edu	span			UC Santa Cruz
http://athletics.dyc.edu	span			@ Nazareth
http://athletics.dyc.edu	span			Lasell
http://athletics.dyc.edu	span			@ Rochester, N.Y.
http://athletics.dyc.edu	span			Nazareth Tournament
http://athletics.dyc.edu	span			Alfred St.
http://athletics.dyc.edu	span			7:00 PM
http://athletics.dyc.edu	span			Alvernia
http://athletics.dyc.edu	span			12:00 PM
http://athletics.dyc.edu	span			Baruch
http://athletics.dyc.edu	span			@ Alvernia
http://athletics.dyc.edu	span			Neumann
http://athletics.dyc.edu	span			TBA
http://athletics.dyc.edu	span			Nazareth
http://athletics.dyc.edu	span			No Event
http://athletics.dyc.edu	a			View Full Schedule
http://athletics.dyc.edu	span			Dec
http://athletics.dyc.edu	span			Final
http://athletics.dyc.edu	span			@ Cougars Cave
http://athletics.dyc.edu	span			Medgar Evers Tournament Consolation
http://athletics.dyc.edu	span			Recap
http://athletics.dyc.edu	span			Box Score
http://athletics.dyc.edu	h2			Athlete of the Week
http://athletics.dyc.edu	span			Athlete of the Week
http://athletics.dyc.edu	span	span		 Will Saunders
http://athletics.dyc.edu	a			View Previous Athletes
http://athletics.dyc.edu	h2			Banners
http://athletics.dyc.edu	span			Live Broadcasts
http://athletics.dyc.edu	a			Prev
http://athletics.dyc.edu	h2			Social Stream
http://athletics.dyc.edu	h2			Sponsors
http://athletics.dyc.edu	span			D'youvillE Athletics
http://athletics.dyc.edu	span		a	  DYC is located near leading 
http://athletics.dyc.edu	a			LASIK eye surgery New York
http://athletics.dyc.edu	span			 doctors and surgeons.  
http://library.dyc.edu	a	div		Back To Top
http://library.dyc.edu	a	a		Skip to main content
http://library.dyc.edu	a			D'Youville
http://library.dyc.edu	a			Montante Family Library
http://library.dyc.edu	a	h6		Menu
http://library.dyc.edu	button			Search
http://library.dyc.edu	a			Library Home
http://library.dyc.edu	a			About
http://library.dyc.edu	a			Calendar
http://library.dyc.edu	a			Circulation
http://library.dyc.edu	a			Collection Development
http://library.dyc.edu	a			Directions
http://library.dyc.edu	a			Donations
http://library.dyc.edu	a			Library Floor Maps
http://library.dyc.edu	a			Staff Listing
http://library.dyc.edu	a			Research
http://library.dyc.edu	a			Database Access
http://library.dyc.edu	a			All Databases (alphabetical)
http://library.dyc.edu	a			Alternative Medicine
http://library.dyc.edu	a			Biology
http://library.dyc.edu	a			Business
http://library.dyc.edu	a			Chiropractic
http://library.dyc.edu	a			Current Events and Newspapers
http://library.dyc.edu	a			Dietetics
http://library.dyc.edu	a			Education
http://library.dyc.edu	a			Educational Leadership
http://library.dyc.edu	a			Evidence Based Medicine
http://library.dyc.edu	a			Exercise & Sports Medicine
http://library.dyc.edu	a			General Information
http://library.dyc.edu	a			Health Education
http://library.dyc.edu	a			Health Policy
http://library.dyc.edu	a			Health Services Administration
http://library.dyc.edu	a			History
http://library.dyc.edu	a			International Business
http://library.dyc.edu	a			Law
http://library.dyc.edu	a			Literature
http://library.dyc.edu	a			Nursing
http://library.dyc.edu	a			Occupational Therapy
http://library.dyc.edu	a			Pharmacy
http://library.dyc.edu	a			Philosophy
http://library.dyc.edu	a			Physical Therapy
http://library.dyc.edu	a			Physician Assistant
http://library.dyc.edu	a			Psychology
http://library.dyc.edu	a			Religion
http://library.dyc.edu	a			Sociology
http://library.dyc.edu	a			Citation Management
http://library.dyc.edu	a			Remote Database Access
http://library.dyc.edu	a			Journal Search
http://library.dyc.edu	a			Reference Tools
http://library.dyc.edu	a			Subject Guides
http://library.dyc.edu	a			Services
http://library.dyc.edu	a			ADA Compliance
http://library.dyc.edu	a			Archives
http://library.dyc.edu	a			Faculty Resources
http://library.dyc.edu	a			Interlibrary Loan
http://library.dyc.edu	a			Interlibrary Loan FAQ
http://library.dyc.edu	a			Library Instruction Information
http://library.dyc.edu	a			Library Instruction Request
http://library.dyc.edu	a			Printing & Copying
http://library.dyc.edu	a			Research Assistance
http://library.dyc.edu	a			Reserves Information
http://library.dyc.edu	a			Site Search
http://library.dyc.edu	a			My D'Youville
http://library.dyc.edu	a			Current Students
http://library.dyc.edu	a			Faculty & Staff
http://library.dyc.edu	a			Give
http://library.dyc.edu	a			Email
http://library.dyc.edu	a			Canvas
http://library.dyc.edu	a			Events Calendar
http://library.dyc.edu	a			Directory
http://library.dyc.edu	a			News Center
http://library.dyc.edu	a			Help Desk
http://library.dyc.edu	a			Get Answers
http://library.dyc.edu	a			JOBS @ D'Youville
http://library.dyc.edu	a			Kavinoky Theatre
http://library.dyc.edu	a			facebook
http://library.dyc.edu	a			twitter
http://library.dyc.edu	li			Montante Family Library
http://library.dyc.edu	h1			D'Youville Library
http://library.dyc.edu	p			The Montante Family Library at D'Youville is the ideal research destination for students,                      faculty, and staff searching for access to research tools, materials, and professional                      instruction.                   
http://library.dyc.edu	h3			MONTANTE FAMILY LIBRARY
http://library.dyc.edu	span			Offering a wide variety of resources including nearly 100,000 volumes, subscriptions                         to over 700 journals and multimedia and databases. Use the search box below to begin                         your research:
http://library.dyc.edu	span			Spartan Search
http://library.dyc.edu	span			Twitter News
http://library.dyc.edu	a			Tweets by @dyclibrary
http://library.dyc.edu	a			View All
http://library.dyc.edu	h3			Quick Links
http://library.dyc.edu	a			Find Books
http://library.dyc.edu	a			Find Articles
http://library.dyc.edu	a			Search Journals by Title
http://library.dyc.edu	a			Course Reserves
http://library.dyc.edu	a			Online Reference Tools
