url	parent	ps	ns	text
https://harvard.edu/president/news/2013/newest-revolution-higher-ed	a			       Jump to main content     
https://harvard.edu/president/news/2013/newest-revolution-higher-ed	a			       Jump to search     
https://harvard.edu/president/news/2013/newest-revolution-higher-ed	a			       Jump to the footer     
https://harvard.edu/president/news/2013/newest-revolution-higher-ed	span			         Harvard University       
https://harvard.edu/president/news/2013/newest-revolution-higher-ed	a			     Menu   
https://harvard.edu/president/news/2013/newest-revolution-higher-ed	a		span	                 About                 
https://harvard.edu/president/news/2013/newest-revolution-higher-ed	span			                   Harvard                 
https://harvard.edu/president/news/2013/newest-revolution-higher-ed	a			Harvard at a Glance
https://harvard.edu/president/news/2013/newest-revolution-higher-ed	a			Harvard's President
https://harvard.edu/president/news/2013/newest-revolution-higher-ed	a			Harvard's Leadership
https://harvard.edu/president/news/2013/newest-revolution-higher-ed	a			Academic Experience
https://harvard.edu/president/news/2013/newest-revolution-higher-ed	a			Administrative Offices
https://harvard.edu/president/news/2013/newest-revolution-higher-ed	a			Directories
https://harvard.edu/president/news/2013/newest-revolution-higher-ed	a			Harvard in the Community
https://harvard.edu/president/news/2013/newest-revolution-higher-ed	a			News
https://harvard.edu/president/news/2013/newest-revolution-higher-ed	a		span	                 Admissions                 
https://harvard.edu/president/news/2013/newest-revolution-higher-ed	span			                   & Aid                 
https://harvard.edu/president/news/2013/newest-revolution-higher-ed	a			Undergraduate
https://harvard.edu/president/news/2013/newest-revolution-higher-ed	a			Graduate & Professional Schools
https://harvard.edu/president/news/2013/newest-revolution-higher-ed	a			Continuing Education
https://harvard.edu/president/news/2013/newest-revolution-higher-ed	a			Summer Programs
https://harvard.edu/president/news/2013/newest-revolution-higher-ed	a			                 Schools               
https://harvard.edu/president/news/2013/newest-revolution-higher-ed	a			Business
https://harvard.edu/president/news/2013/newest-revolution-higher-ed	a			College
https://harvard.edu/president/news/2013/newest-revolution-higher-ed	a			Continuing Education
https://harvard.edu/president/news/2013/newest-revolution-higher-ed	a			Dental
https://harvard.edu/president/news/2013/newest-revolution-higher-ed	a			Design
https://harvard.edu/president/news/2013/newest-revolution-higher-ed	a			Divinity
https://harvard.edu/president/news/2013/newest-revolution-higher-ed	a			Education
https://harvard.edu/president/news/2013/newest-revolution-higher-ed	a			Engineering
https://harvard.edu/president/news/2013/newest-revolution-higher-ed	a			Faculty of Arts & Sciences
https://harvard.edu/president/news/2013/newest-revolution-higher-ed	a			Government
https://harvard.edu/president/news/2013/newest-revolution-higher-ed	a			Graduate School
https://harvard.edu/president/news/2013/newest-revolution-higher-ed	a			Law
https://harvard.edu/president/news/2013/newest-revolution-higher-ed	a			Medical
https://harvard.edu/president/news/2013/newest-revolution-higher-ed	a			Public Health
https://harvard.edu/president/news/2013/newest-revolution-higher-ed	a			Radcliffe Institute
https://harvard.edu/president/news/2013/newest-revolution-higher-ed	a			                 On Campus               
https://harvard.edu/president/news/2013/newest-revolution-higher-ed	a			Arts and Humanities
https://harvard.edu/president/news/2013/newest-revolution-higher-ed	a			Athletics
https://harvard.edu/president/news/2013/newest-revolution-higher-ed	a			Commencement
https://harvard.edu/president/news/2013/newest-revolution-higher-ed	a			Employment
https://harvard.edu/president/news/2013/newest-revolution-higher-ed	a			Events
https://harvard.edu/president/news/2013/newest-revolution-higher-ed	a			HarvardX
https://harvard.edu/president/news/2013/newest-revolution-higher-ed	a			Library
https://harvard.edu/president/news/2013/newest-revolution-higher-ed	a			Museums
https://harvard.edu/president/news/2013/newest-revolution-higher-ed	a			Research
https://harvard.edu/president/news/2013/newest-revolution-higher-ed	a			Science
https://harvard.edu/president/news/2013/newest-revolution-higher-ed	a			Visit Harvard
https://harvard.edu/president/news/2013/newest-revolution-higher-ed	a			                 Gazette News               
https://harvard.edu/president/news/2013/newest-revolution-higher-ed	a			                 Events               
https://harvard.edu/president/news/2013/newest-revolution-higher-ed	a			                 Visit               
