url	parent	ps	ns	text
https://www.resu.edu/cat	a			About ResU
https://www.resu.edu/cat	p			We are committed to helping students gain the healthcare education they need to build successful nursing, radiography, and HIM careers. It’s a commitment that started over 100 years ago.
https://www.resu.edu/cat	a			Overview
https://www.resu.edu/cat	a			Our Mission & Philosophy
https://www.resu.edu/cat	a			Our History & Tradition
https://www.resu.edu/cat	a			Meet the President
https://www.resu.edu/cat	a			Accreditation
https://www.resu.edu/cat	a			Board of Directors
https://www.resu.edu/cat	a			Admissions
https://www.resu.edu/cat	a			Admissions Welcome
https://www.resu.edu/cat	a			Transfer Guides
https://www.resu.edu/cat	a			TEAS Exam Dates
https://www.resu.edu/cat	a			HESI Exam Dates
https://www.resu.edu/cat	a			Compliance
https://www.resu.edu/cat	a			Undergraduate Admissions
https://www.resu.edu/cat	a			BSN
https://www.resu.edu/cat	a			RN to BSN
https://www.resu.edu/cat	a			Health Information Management
https://www.resu.edu/cat	a			Saint Francis School of Radiography- Bachelor of Science in Imaging Technology (BSIT)
https://www.resu.edu/cat	a			Saint Francis School of Radiography- Post Certification- Bachelor of Science in Imaging Technology (BSIT)
https://www.resu.edu/cat	a			Graduate Admissions
https://www.resu.edu/cat	a			MSN
https://www.resu.edu/cat	a			RN to MSN
https://www.resu.edu/cat	a			DNP
https://www.resu.edu/cat	a			Majors & Programs
https://www.resu.edu/cat	a			IPE Sim Lab
https://www.resu.edu/cat	a			Service Learning
https://www.resu.edu/cat	a			Institutional Review Board
https://www.resu.edu/cat	a			Undergraduate Programs
https://www.resu.edu/cat	a			BSN – Clinical Placement
https://www.resu.edu/cat	a			Saint Francis School of Radiography – Bachelor of Science in Imaging Technology (BSIT)
https://www.resu.edu/cat	a			Saint Francis School of Radiography – Post Certification – Bachelor of Science in Imaging Technology (BSIT)
https://www.resu.edu/cat	a			IPE Inter-Professional Education
https://www.resu.edu/cat	a			Joint Degree with Concordia University Chicago
https://www.resu.edu/cat	a			Graduate Programs
https://www.resu.edu/cat	a			Nurse Practitioner (MSN)
https://www.resu.edu/cat	a			Nurse Educator (MSN)
https://www.resu.edu/cat	a			Doctor of Nursing Practice
