url	parent	ps	ns	text
http://sar.usfsm.edu/events-archive/2019-11	a			Students
http://sar.usfsm.edu/events-archive/2019-11	a			Faculty & Staff
http://sar.usfsm.edu/events-archive/2019-11	a			Alumni
http://sar.usfsm.edu/events-archive/2019-11	a			myUSF
http://sar.usfsm.edu/events-archive/2019-11	a			USF Directory
http://sar.usfsm.edu/events-archive/2019-11	a			Apply
http://sar.usfsm.edu/events-archive/2019-11	span			Show 
http://sar.usfsm.edu/events-archive/2019-11	a			Menu   
http://sar.usfsm.edu/events-archive/2019-11	a			About
http://sar.usfsm.edu/events-archive/2019-11	a			Academics
http://sar.usfsm.edu/events-archive/2019-11	a			Admissions
http://sar.usfsm.edu/events-archive/2019-11	a			Campus Life
http://sar.usfsm.edu/events-archive/2019-11	a			Research
http://sar.usfsm.edu/events-archive/2019-11	a			Engage
http://sar.usfsm.edu/events-archive/2019-11	a			Support
http://sar.usfsm.edu/events-archive/2019-11	a			USF Sarasota-Manatee
http://sar.usfsm.edu/events-archive/2019-11	h1			Events for November 2019
http://sar.usfsm.edu/events-archive/2019-11	h2			Events Search and Views Navigation
http://sar.usfsm.edu/events-archive/2019-11	span			       Show Events Search     
http://sar.usfsm.edu/events-archive/2019-11	h3			Events Search
http://sar.usfsm.edu/events-archive/2019-11	label			Events In
http://sar.usfsm.edu/events-archive/2019-11	h3			Event Views Navigation
http://sar.usfsm.edu/events-archive/2019-11	label			       View As     
http://sar.usfsm.edu/events-archive/2019-11	option			List
http://sar.usfsm.edu/events-archive/2019-11	option	option		Month
http://sar.usfsm.edu/events-archive/2019-11	option	option		Day
http://sar.usfsm.edu/events-archive/2019-11	a			 October 
http://sar.usfsm.edu/events-archive/2019-11	a		span	December 
http://sar.usfsm.edu/events-archive/2019-11	h2			Calendar of Events
http://sar.usfsm.edu/events-archive/2019-11	caption			Calendar of Events
http://sar.usfsm.edu/events-archive/2019-11	th			Monday
http://sar.usfsm.edu/events-archive/2019-11	th			Tuesday
http://sar.usfsm.edu/events-archive/2019-11	th			Wednesday
