url	parent	ps	ns	text
https://harvard.edu/president/speech/2012/harvard-college-fund-president-s-associates-dinner	a			       Jump to main content     
https://harvard.edu/president/speech/2012/harvard-college-fund-president-s-associates-dinner	a			       Jump to search     
https://harvard.edu/president/speech/2012/harvard-college-fund-president-s-associates-dinner	a			       Jump to the footer     
https://harvard.edu/president/speech/2012/harvard-college-fund-president-s-associates-dinner	span			         Harvard University       
https://harvard.edu/president/speech/2012/harvard-college-fund-president-s-associates-dinner	a			     Menu   
https://harvard.edu/president/speech/2012/harvard-college-fund-president-s-associates-dinner	a		span	                 About                 
https://harvard.edu/president/speech/2012/harvard-college-fund-president-s-associates-dinner	span			                   Harvard                 
https://harvard.edu/president/speech/2012/harvard-college-fund-president-s-associates-dinner	a			Harvard at a Glance
https://harvard.edu/president/speech/2012/harvard-college-fund-president-s-associates-dinner	a			Harvard's President
https://harvard.edu/president/speech/2012/harvard-college-fund-president-s-associates-dinner	a			Harvard's Leadership
https://harvard.edu/president/speech/2012/harvard-college-fund-president-s-associates-dinner	a			Academic Experience
https://harvard.edu/president/speech/2012/harvard-college-fund-president-s-associates-dinner	a			Administrative Offices
https://harvard.edu/president/speech/2012/harvard-college-fund-president-s-associates-dinner	a			Directories
https://harvard.edu/president/speech/2012/harvard-college-fund-president-s-associates-dinner	a			Harvard in the Community
https://harvard.edu/president/speech/2012/harvard-college-fund-president-s-associates-dinner	a			News
https://harvard.edu/president/speech/2012/harvard-college-fund-president-s-associates-dinner	a		span	                 Admissions                 
https://harvard.edu/president/speech/2012/harvard-college-fund-president-s-associates-dinner	span			                   & Aid                 
https://harvard.edu/president/speech/2012/harvard-college-fund-president-s-associates-dinner	a			Undergraduate
https://harvard.edu/president/speech/2012/harvard-college-fund-president-s-associates-dinner	a			Graduate & Professional Schools
https://harvard.edu/president/speech/2012/harvard-college-fund-president-s-associates-dinner	a			Continuing Education
https://harvard.edu/president/speech/2012/harvard-college-fund-president-s-associates-dinner	a			Summer Programs
https://harvard.edu/president/speech/2012/harvard-college-fund-president-s-associates-dinner	a			                 Schools               
https://harvard.edu/president/speech/2012/harvard-college-fund-president-s-associates-dinner	a			Business
https://harvard.edu/president/speech/2012/harvard-college-fund-president-s-associates-dinner	a			College
https://harvard.edu/president/speech/2012/harvard-college-fund-president-s-associates-dinner	a			Continuing Education
https://harvard.edu/president/speech/2012/harvard-college-fund-president-s-associates-dinner	a			Dental
https://harvard.edu/president/speech/2012/harvard-college-fund-president-s-associates-dinner	a			Design
https://harvard.edu/president/speech/2012/harvard-college-fund-president-s-associates-dinner	a			Divinity
https://harvard.edu/president/speech/2012/harvard-college-fund-president-s-associates-dinner	a			Education
https://harvard.edu/president/speech/2012/harvard-college-fund-president-s-associates-dinner	a			Engineering
