url	parent	ps	ns	text
https://mysu.susqu.edu/welcome	a			                          Turn on more accessible mode
https://mysu.susqu.edu/welcome	a			                          Turn off more accessible mode
https://mysu.susqu.edu/welcome	a			                          Skip Ribbon Commands
https://mysu.susqu.edu/welcome	a			                          Skip to main content
https://mysu.susqu.edu/welcome	a			                          Turn off Animations
https://mysu.susqu.edu/welcome	a			                          Turn on Animations
https://mysu.susqu.edu/welcome	span			Newsfeed
https://mysu.susqu.edu/welcome	span			OneDrive
https://mysu.susqu.edu/welcome	span		span	Sites
https://mysu.susqu.edu/welcome	a		span	System Account
https://mysu.susqu.edu/welcome	span			Use SHIFT ENTER to open the menu (new window).
https://mysu.susqu.edu/welcome	span	span		Use SHIFT ENTER to open the menu (new window).
https://mysu.susqu.edu/welcome	span	span		Share
https://mysu.susqu.edu/welcome	span	span		Follow
https://mysu.susqu.edu/welcome	span			Welcome to mySU
https://mysu.susqu.edu/welcome	span	span		Currently selected
https://mysu.susqu.edu/welcome	a	span		Susquehanna University mySU
https://mysu.susqu.edu/welcome	a	span		Welcome to mySU
https://mysu.susqu.edu/welcome	span			                                                                                        Home                                                                  
https://mysu.susqu.edu/welcome	div			It looks like your browser does not have JavaScript enabled. Please turn on JavaScript and try again.
https://mysu.susqu.edu/welcome	div			                                                      Navigate                                                      Welcome to mySU                                                  
https://mysu.susqu.edu/welcome	span			Site Contents
https://mysu.susqu.edu/welcome	div			Page Image
https://mysu.susqu.edu/welcome	div			Page Content
https://mysu.susqu.edu/welcome	h4			Problems logging in?
https://mysu.susqu.edu/welcome	p	h4	a	If you are having trouble logging into mySU or Blackboard, your password may have expired. You may reset your password at         
https://mysu.susqu.edu/welcome	strong			passwordreset.microsoftonline.com
https://mysu.susqu.edu/welcome	p	h4	a	.  If you would like to update the alternate email address or phone number used for password recovery purposes on your Susquehanna University account, you can go to         
https://mysu.susqu.edu/welcome	strong			aka.ms/ssprsetup
https://mysu.susqu.edu/welcome	p	p	strong	If you continue to have problems or have questions about resetting your password, please contact the Information Technology Help Desk at         
https://mysu.susqu.edu/welcome	strong			570-372-4502
https://mysu.susqu.edu/welcome	p	p		 for assistance. 
https://mysu.susqu.edu/welcome	h4			Quick Access
https://mysu.susqu.edu/welcome	strong			Blackboard
https://mysu.susqu.edu/welcome	strong			Office 365
https://mysu.susqu.edu/welcome	p	div	a	MySU is the online gateway for current Susquehanna students, faculty and staff.      
https://mysu.susqu.edu/welcome	a			Log in
https://mysu.susqu.edu/welcome	p	div		 for a personalized view of information and applications to support your day-to-day activities.
https://mysu.susqu.edu/welcome	li			Campus news
https://mysu.susqu.edu/welcome	li	li		Faculty, staff and student directory
https://mysu.susqu.edu/welcome	li	li		Forms
https://mysu.susqu.edu/welcome	li	li		Event information
