url	parent	ps	ns	text
https://harvard.edu/admissions-aid#titletop	a			       Jump to main content     
https://harvard.edu/admissions-aid#titletop	a			       Jump to search     
https://harvard.edu/admissions-aid#titletop	a			       Jump to the footer     
https://harvard.edu/admissions-aid#titletop	span			         Harvard University       
https://harvard.edu/admissions-aid#titletop	a			     Menu   
https://harvard.edu/admissions-aid#titletop	a		span	                 About                 
https://harvard.edu/admissions-aid#titletop	span			                   Harvard                 
https://harvard.edu/admissions-aid#titletop	a			Harvard at a Glance
https://harvard.edu/admissions-aid#titletop	a			Harvard's President
https://harvard.edu/admissions-aid#titletop	a			Harvard's Leadership
https://harvard.edu/admissions-aid#titletop	a			Academic Experience
https://harvard.edu/admissions-aid#titletop	a			Administrative Offices
https://harvard.edu/admissions-aid#titletop	a			Directories
https://harvard.edu/admissions-aid#titletop	a			Harvard in the Community
https://harvard.edu/admissions-aid#titletop	a			News
https://harvard.edu/admissions-aid#titletop	a		span	                 Admissions                 
https://harvard.edu/admissions-aid#titletop	span			                   & Aid                 
https://harvard.edu/admissions-aid#titletop	a			Undergraduate
https://harvard.edu/admissions-aid#titletop	a			Graduate & Professional Schools
https://harvard.edu/admissions-aid#titletop	a			Continuing Education
https://harvard.edu/admissions-aid#titletop	a			Summer Programs
https://harvard.edu/admissions-aid#titletop	a			                 Schools               
https://harvard.edu/admissions-aid#titletop	a			Business
https://harvard.edu/admissions-aid#titletop	a			College
https://harvard.edu/admissions-aid#titletop	a			Continuing Education
https://harvard.edu/admissions-aid#titletop	a			Dental
https://harvard.edu/admissions-aid#titletop	a			Design
https://harvard.edu/admissions-aid#titletop	a			Divinity
https://harvard.edu/admissions-aid#titletop	a			Education
https://harvard.edu/admissions-aid#titletop	a			Engineering
https://harvard.edu/admissions-aid#titletop	a			Faculty of Arts & Sciences
https://harvard.edu/admissions-aid#titletop	a			Government
https://harvard.edu/admissions-aid#titletop	a			Graduate School
https://harvard.edu/admissions-aid#titletop	a			Law
https://harvard.edu/admissions-aid#titletop	a			Medical
https://harvard.edu/admissions-aid#titletop	a			Public Health
https://harvard.edu/admissions-aid#titletop	a			Radcliffe Institute
https://harvard.edu/admissions-aid#titletop	a			                 On Campus               
https://harvard.edu/admissions-aid#titletop	a			Arts and Humanities
https://harvard.edu/admissions-aid#titletop	a			Athletics
https://harvard.edu/admissions-aid#titletop	a			Commencement
https://harvard.edu/admissions-aid#titletop	a			Employment
https://harvard.edu/admissions-aid#titletop	a			Events
https://harvard.edu/admissions-aid#titletop	a			HarvardX
https://harvard.edu/admissions-aid#titletop	a			Library
https://harvard.edu/admissions-aid#titletop	a			Museums
https://harvard.edu/admissions-aid#titletop	a			Research
https://harvard.edu/admissions-aid#titletop	a			Science
https://harvard.edu/admissions-aid#titletop	a			Visit Harvard
https://harvard.edu/admissions-aid#titletop	a			                 Gazette News               
https://harvard.edu/admissions-aid#titletop	a			                 Events               
https://harvard.edu/admissions-aid#titletop	a			                 Visit               
https://harvard.edu/admissions-aid#titletop	a			                 Give               
https://harvard.edu/admissions-aid#titletop	a			Faculty
