url	parent	ps	ns	text
http://researchcollege.edu	a			Skip to main content
http://researchcollege.edu	label			Search
http://researchcollege.edu	span			Submit Search
http://researchcollege.edu	strong			Recent Searches
http://researchcollege.edu	span	i		Directions
http://researchcollege.edu	a			Home
http://researchcollege.edu	a		span	Admission 
http://researchcollege.edu	a			Admission
http://researchcollege.edu	a			Undergraduate
http://researchcollege.edu	a			Graduate
http://researchcollege.edu	a			Financial Aid
http://researchcollege.edu	a			Tuition & Fees
http://researchcollege.edu	a		span	Academics 
http://researchcollege.edu	a			Academics
http://researchcollege.edu	a			Catalog
http://researchcollege.edu	a		span	Student Life 
http://researchcollege.edu	a			Student Life
http://researchcollege.edu	a			Current Students
http://researchcollege.edu	a			Living on Campus
http://researchcollege.edu	a		span	Alumni & Friends 
http://researchcollege.edu	a			Alumni & Friends
http://researchcollege.edu	a			Alumni Association
http://researchcollege.edu	a			Alumni Services
http://researchcollege.edu	a			Alumni Giving
http://researchcollege.edu	a			Alumni Weekend
http://researchcollege.edu	a		span	About 
http://researchcollege.edu	a			About
http://researchcollege.edu	a			About Us
http://researchcollege.edu	a			Newsroom
http://researchcollege.edu	a			President's Office
http://researchcollege.edu	a			Accreditations
http://researchcollege.edu	a			Title IX
http://researchcollege.edu	a			History of the College
http://researchcollege.edu	a			Student Consumer Info
http://researchcollege.edu	a			Student Achievement Info
http://researchcollege.edu	a		span	Connect 
http://researchcollege.edu	a			Connect
http://researchcollege.edu	a			Blog
http://researchcollege.edu	a			Calendar
http://researchcollege.edu	a			Contact Us
http://researchcollege.edu	a			Directory
http://researchcollege.edu	span			Menu
http://researchcollege.edu	a			Clear
http://researchcollege.edu	a			Search
http://researchcollege.edu	p			Elevate your nursing career
http://researchcollege.edu	p			Flexible graduate programs designed with you in mind
http://researchcollege.edu	a		i	Explore MSN program 
http://researchcollege.edu	p			Early admission BSN
http://researchcollege.edu	p			Guarantee your seat in our nursing program before starting college.
http://researchcollege.edu	a		i	Learn how to apply 
http://researchcollege.edu	p			97% NCLEX pass rate
http://researchcollege.edu	p			Our top-ranked BSN program prepares nursing students for success
http://researchcollege.edu	a		i	Explore BSN program 
http://researchcollege.edu	span			Slide 1: Elevate your nursing career, Flexible graduate programs designed with you in mind, slide, 1 of 3
http://researchcollege.edu	span			Slide 2: Early admission BSN, Guarantee your seat in our nursing program before starting college., slide, 2 of 3
