url	parent	ps	ns	text
https://elearn.monroecollege.edu	span			Blackboard Learn ™
https://elearn.monroecollege.edu	div			Please enable JavaScript in your browser for the Blackboard application to function.
https://elearn.monroecollege.edu	label			Username
https://elearn.monroecollege.edu	label			Password
https://elearn.monroecollege.edu	div			     © 1997-2020 Blackboard Inc. All Rights Reserved.    
https://oap.monroecollege.edu	span			Header
https://oap.monroecollege.edu	span			Loading…
https://oap.monroecollege.edu	p			Apply for Admission
https://oap.monroecollege.edu	p			Hello.
https://oap.monroecollege.edu	p			Let’s get started by creating your account.
https://oap.monroecollege.edu	p		span	Already have a Monroe College User ID?                                                           
https://oap.monroecollege.edu	span			First Name
https://oap.monroecollege.edu	span			Last Name
https://oap.monroecollege.edu	span			Cell Phone Number
https://oap.monroecollege.edu	span			Email Address
https://oap.monroecollege.edu	span			Re-type Email Address
https://oap.monroecollege.edu	span			Password (minimum of 6 characters)
https://oap.monroecollege.edu	span			Re-type Password
https://oap.monroecollege.edu	p			Welcome Back
https://oap.monroecollege.edu	p			It looks like you have already started an application.
https://oap.monroecollege.edu	a			Please log in to continue.
https://oap.monroecollege.edu	a			Forgot your Password?
https://oap.monroecollege.edu	p			              Choose application type:
https://oap.monroecollege.edu	label			Undergraduate Application
https://oap.monroecollege.edu	p		b	The Undergraduate Application is for students who would like to pursue one of  our 
https://oap.monroecollege.edu	b			Certificate
https://oap.monroecollege.edu	b			Associate
https://oap.monroecollege.edu	b			Bachelor’s
https://oap.monroecollege.edu	p			 degree programs.
https://oap.monroecollege.edu	label			Graduate Application
https://oap.monroecollege.edu	p		b	The Graduate Application is for students who would like to pursue one of our 
https://oap.monroecollege.edu	b			Master’s
https://oap.monroecollege.edu	p			 degree programs and have already earned or will soon complete their Bachelor’s program.
https://oap.monroecollege.edu	a			Did you previously attend Monroe College?
https://oap.monroecollege.edu	p			Can we contact you?
https://oap.monroecollege.edu	p			                                                              Speaking with someone at Monroe can go a long way toward seeing if we’re right for  you. Please check the box below if it’s ok for us to contact you about our programs   by email, phone, or text. This consent is not required to enroll at Monroe College.   (You can, of course, always contact us directly!)                                                          
https://oap.monroecollege.edu	label			I agree and consent
https://oap.monroecollege.edu	div			Questions?
https://oap.monroecollege.edu	div		br	Our Admissions Advisors are ready
https://oap.monroecollege.edu	div		br	 to help. If you’re not sure about anything on this form, or have questions about the process, 
https://oap.monroecollege.edu	div			please contact us.
https://oap.monroecollege.edu	div			USA
https://oap.monroecollege.edu	div			800-556-6676
https://oap.monroecollege.edu	a			info@monroecollege.edu
https://oap.monroecollege.edu	div			International
https://oap.monroecollege.edu	div			914-740-6406
https://oap.monroecollege.edu	span			Monroe College
https://oap.monroecollege.edu	p		a	 Questions? 800.556.6676 (USA)  |  914.740.6406 (International)  | 
https://webmail.monroecollege.edu	td		a	To use Outlook Web App, browser settings must allow scripts to run. For information about how to allow scripts, consult the Help for your browser. If your browser doesn't support scripts, you can download 
https://webmail.monroecollege.edu	a			Windows Internet Explorer
https://webmail.monroecollege.edu	td			 for access to Outlook Web App.
https://webmail.monroecollege.edu	td		a	                  Security            ‎(           
https://webmail.monroecollege.edu	a			           show explanation            
https://webmail.monroecollege.edu	a			           hide explanation            
https://webmail.monroecollege.edu	label			This is a public or shared computer
https://webmail.monroecollege.edu	td			Select this option if you use Outlook Web App on a public computer. Be sure to sign out when you've finished and close all windows to end your session.
https://webmail.monroecollege.edu	label			This is a private computer
https://webmail.monroecollege.edu	td			Select this option if you're the only person who uses this computer. Your server will allow a longer period of inactivity before signing you out.
https://webmail.monroecollege.edu	td			Warning:  By selecting this option, you confirm that this computer complies with your organization's security policy.
https://webmail.monroecollege.edu	label			Use the light version of Outlook Web App
https://webmail.monroecollege.edu	td		a	The light version of Outlook Web App includes fewer features. Use it if you're on a slow connection or using a computer with unusually strict browser security settings. We also support the full Outlook Web App experience on some browsers on Windows, Mac, and Linux computers. To check out all the supported browsers and operating systems, 
https://webmail.monroecollege.edu	a			click here.
https://webmail.monroecollege.edu	label			User name:
https://webmail.monroecollege.edu	label			Password:
https://webmail.monroecollege.edu	td		br	Please enable cookies for this Web site.
https://webmail.monroecollege.edu	td		br	Cookies are currently disabled by your browser. Outlook Web App requires that cookies be enabled. 
https://webmail.monroecollege.edu	td		br	For information about how to enable cookies, see the Help for your Web browser.
https://webmail.monroecollege.edu	td			Connected to Microsoft Exchange
https://webmail.monroecollege.edu	td			© 2010 Microsoft Corporation. All rights reserved.
http://www.monroecollege.edu	a			Bronx
http://www.monroecollege.edu	a			About
http://www.monroecollege.edu	a			Schools, Degrees & Programs
http://www.monroecollege.edu	a			Admissions & Aid
http://www.monroecollege.edu	a			Campus Life
http://www.monroecollege.edu	a			Contact Us
http://www.monroecollege.edu	p			Monroe College's Bronx campus is an ideal urban campus located in the bustling Fordham section.
http://www.monroecollege.edu	a			New Rochelle
http://www.monroecollege.edu	p			Located in downtown New Rochelle, the Monroe College New Rochelle campus is nestled in a diverse, thriving suburban community in Westchester County.
http://www.monroecollege.edu	a			St. Lucia
http://www.monroecollege.edu	a			Admissions
http://www.monroecollege.edu	a			Summer in New York
http://www.monroecollege.edu	p			Located on the Vide Boutielle Highway, Monroe College’s St. Lucia campus offers a practical education designed to give students a competitive edge in the workplace.
http://www.monroecollege.edu	a			Search
http://www.monroecollege.edu	a			Blackboard
http://www.monroecollege.edu	a			My Monroe
http://www.monroecollege.edu	a			Google Apps Email
http://www.monroecollege.edu	a			Web Advisor
http://www.monroecollege.edu	span			Our Locations
http://www.monroecollege.edu	a			Current Students
http://www.monroecollege.edu	a	span		About Monroe
http://www.monroecollege.edu	a			Welcome to Monroe
http://www.monroecollege.edu	a			Monroe Brochures & Logos
http://www.monroecollege.edu	a			Right to Know
http://www.monroecollege.edu	a			Employment Opportunities
http://www.monroecollege.edu	a			Campus Locations
http://www.monroecollege.edu	a			ADA
http://www.monroecollege.edu	a	span		Academics
http://www.monroecollege.edu	a			Undergraduate Programs
