url	parent	ps	ns	text
https://www.marymountcalifornia.edu	span			Marymount California University
https://www.marymountcalifornia.edu	a			Request Info
https://www.marymountcalifornia.edu	a			Visit
https://www.marymountcalifornia.edu	a			Apply
https://www.marymountcalifornia.edu	span			Toggle Search
https://www.marymountcalifornia.edu	span			Toggle Menu
https://www.marymountcalifornia.edu	label			Search marymountcalifornia.edu
https://www.marymountcalifornia.edu	span			Submit
https://www.marymountcalifornia.edu	a			About
https://www.marymountcalifornia.edu	a			Academics
https://www.marymountcalifornia.edu	a			Admission
https://www.marymountcalifornia.edu	a			Life at MCU
https://www.marymountcalifornia.edu	a			Athletics
https://www.marymountcalifornia.edu	p			Info For
https://www.marymountcalifornia.edu	a			Parents
https://www.marymountcalifornia.edu	a			Admitted Students
https://www.marymountcalifornia.edu	a			Current Students
https://www.marymountcalifornia.edu	a			Donors
https://www.marymountcalifornia.edu	span			Facebook
https://www.marymountcalifornia.edu	span			Twitter
https://www.marymountcalifornia.edu	span			YouTube
https://www.marymountcalifornia.edu	span			Instagram
https://www.marymountcalifornia.edu	span			LinkedIn
https://www.marymountcalifornia.edu	h1	div		Go Beyond
https://www.marymountcalifornia.edu	p	h1		Explore, create and discover more in real time. Internships, class projects and industry site visits bring learning to life at MCU.
https://www.marymountcalifornia.edu	h2			Ahead of the Pack
https://www.marymountcalifornia.edu	h3			Revolutionize space travel
https://www.marymountcalifornia.edu	p	h3	strong	Business major 
https://www.marymountcalifornia.edu	strong			Cody Rosa
https://www.marymountcalifornia.edu	p	h3		 leveraged his futuristic internship with SpaceX into a full-time role at the rocket and spacecraft company’s headquarters, where they’re commercializing space travel for everyday people.
https://www.marymountcalifornia.edu	a			Meet Cody
https://www.marymountcalifornia.edu	h3			Land a golden internship
https://www.marymountcalifornia.edu	p	h3	strong	Digital communication major 
https://www.marymountcalifornia.edu	strong			Thea Domingo
https://www.marymountcalifornia.edu	p	h3	em	 landed a hyper-competitive internship with the Grammys, where she met nominees ranging from the director of 
https://www.marymountcalifornia.edu	em			La La Land
https://www.marymountcalifornia.edu	p	h3		 to a songwriter behind 30  Top 10 hits.
https://www.marymountcalifornia.edu	a			Meet Thea
https://www.marymountcalifornia.edu	h3			Diversify your skill set
https://www.marymountcalifornia.edu	p	h3	strong	In experiences near and far, business major 
https://www.marymountcalifornia.edu	strong			Hunter Ryan
https://www.marymountcalifornia.edu	p	h3		 is building a sought-after resume — from filming documentaries to interning in Thailand to studying in Italy.
