url	parent	ps	ns	text
https://harvard.edu/on-campus	a			       Jump to main content     
https://harvard.edu/on-campus	a			       Jump to search     
https://harvard.edu/on-campus	a			       Jump to the footer     
https://harvard.edu/on-campus	span			         Harvard University       
https://harvard.edu/on-campus	a			     Menu   
https://harvard.edu/on-campus	a		span	                 About                 
https://harvard.edu/on-campus	span			                   Harvard                 
https://harvard.edu/on-campus	a			Harvard at a Glance
https://harvard.edu/on-campus	a			Harvard's President
https://harvard.edu/on-campus	a			Harvard's Leadership
https://harvard.edu/on-campus	a			Academic Experience
https://harvard.edu/on-campus	a			Administrative Offices
https://harvard.edu/on-campus	a			Directories
https://harvard.edu/on-campus	a			Harvard in the Community
https://harvard.edu/on-campus	a			News
https://harvard.edu/on-campus	a		span	                 Admissions                 
https://harvard.edu/on-campus	span			                   & Aid                 
https://harvard.edu/on-campus	a			Undergraduate
https://harvard.edu/on-campus	a			Graduate & Professional Schools
https://harvard.edu/on-campus	a			Continuing Education
https://harvard.edu/on-campus	a			Summer Programs
https://harvard.edu/on-campus	a			                 Schools               
https://harvard.edu/on-campus	a			Business
https://harvard.edu/on-campus	a			College
https://harvard.edu/on-campus	a			Continuing Education
https://harvard.edu/on-campus	a			Dental
https://harvard.edu/on-campus	a			Design
https://harvard.edu/on-campus	a			Divinity
https://harvard.edu/on-campus	a			Education
https://harvard.edu/on-campus	a			Engineering
https://harvard.edu/on-campus	a			Faculty of Arts & Sciences
https://harvard.edu/on-campus	a			Government
https://harvard.edu/on-campus	a			Graduate School
https://harvard.edu/on-campus	a			Law
https://harvard.edu/on-campus	a			Medical
https://harvard.edu/on-campus	a			Public Health
https://harvard.edu/on-campus	a			Radcliffe Institute
https://harvard.edu/on-campus	a			                 On Campus               
https://harvard.edu/on-campus	a			Arts and Humanities
https://harvard.edu/on-campus	a			Athletics
https://harvard.edu/on-campus	a			Commencement
https://harvard.edu/on-campus	a			Employment
https://harvard.edu/on-campus	a			Events
https://harvard.edu/on-campus	a			HarvardX
https://harvard.edu/on-campus	a			Library
https://harvard.edu/on-campus	a			Museums
https://harvard.edu/on-campus	a			Research
https://harvard.edu/on-campus	a			Science
https://harvard.edu/on-campus	a			Visit Harvard
https://harvard.edu/on-campus	a			                 Gazette News               
https://harvard.edu/on-campus	a			                 Events               
https://harvard.edu/on-campus	a			                 Visit               
https://harvard.edu/on-campus	a			                 Give               
https://harvard.edu/on-campus	a			Faculty
https://harvard.edu/on-campus	a			Staff
https://harvard.edu/on-campus	a			Students
https://harvard.edu/on-campus	a			Alumni
https://harvard.edu/on-campus	a			Parents
https://harvard.edu/on-campus	a			Visitors
https://harvard.edu/on-campus	a			Media
https://harvard.edu/on-campus	span			       Search:     
https://harvard.edu/on-campus	span			       Open Search     
https://harvard.edu/on-campus	h1			           On Campus        
https://harvard.edu/on-campus	a			Arts and Humanities
https://harvard.edu/on-campus	a			Athletics
https://harvard.edu/on-campus	a			Commencement
https://harvard.edu/on-campus	a			Employment
https://harvard.edu/on-campus	a			Events
https://harvard.edu/on-campus	a			HarvardX
https://harvard.edu/on-campus	a			Library
https://harvard.edu/on-campus	a			Museums
https://harvard.edu/on-campus	a			Research
https://harvard.edu/on-campus	a			Science
https://harvard.edu/on-campus	a			Visit Harvard
https://harvard.edu/on-campus	p			Harvard’s campus creates a stunning backdrop for all that happens within the University.
https://harvard.edu/on-campus	p		a	Harvard offers unparalleled resources to the University community, including 
https://harvard.edu/on-campus	a			libraries
https://harvard.edu/on-campus	p		a	, laboratories, 
https://harvard.edu/on-campus	a			museums
https://harvard.edu/on-campus	p		a	, and 
https://harvard.edu/on-campus	a			research centers
https://harvard.edu/on-campus	p			 to support scholarly work in nearly any field or discipline.
https://harvard.edu/on-campus	p		a	The Harvard 
https://harvard.edu/on-campus	a			student experience
https://harvard.edu/on-campus	p		a	 is characterized by unlimited possibilities. Opportunities abound inside the classroom and out, with over 8,000 courses from over 100 departments and countless research programs. Here, undergraduate students have access to almost every extracurricular program imaginable and the largest Division 1 
https://harvard.edu/on-campus	a			Athletics Program
https://harvard.edu/on-campus	p		a	 in the country. And after graduation, students join the 
https://harvard.edu/on-campus	a			Harvard Alumni Association
https://harvard.edu/on-campus	p			, which includes nearly 360,000 alumni worldwide.
https://harvard.edu/on-campus	a			Administrative Offices
https://harvard.edu/on-campus	a			Alumni
https://harvard.edu/on-campus	a			Arts
https://harvard.edu/on-campus	a			Athletics
https://harvard.edu/on-campus	a			Courses
https://harvard.edu/on-campus	a			Employment
https://harvard.edu/on-campus	a			Library & Academic Research
https://harvard.edu/on-campus	a			Museums
https://harvard.edu/on-campus	a			Research
https://harvard.edu/on-campus	h2			Visiting Campus
https://harvard.edu/on-campus	h3			Visitor Information
https://harvard.edu/on-campus	a			Visiting Harvard, Tour Information
https://harvard.edu/on-campus	a			Harvard University Campus Map
https://harvard.edu/on-campus	h3			Self-Guided Tours
https://harvard.edu/on-campus	a			Audio Tours
https://harvard.edu/on-campus	a			Mobile Tour
https://harvard.edu/on-campus	a			Virtual Tour
https://harvard.edu/on-campus	h2			Life on Campus
https://harvard.edu/on-campus	p		a	Harvard's 
https://harvard.edu/on-campus	a			House system
