url	parent	ps	ns	text
https://csumb.edu	noscript			This app works best with JavaScript enabled.
https://csumb.edu	a	style		Skip to content
https://csumb.edu	div	style		Menu
https://csumb.edu	label			Search campus website
https://csumb.edu	a			About
https://csumb.edu	a			Apply
https://csumb.edu	a			Cost & aid
https://csumb.edu	a			Academics
https://csumb.edu	a			Campus life
https://csumb.edu	a			Alumni
https://csumb.edu	a			Everything else
https://csumb.edu	a			Creating Community at CSUMB
https://csumb.edu	p	style		Affinity group president found sense of belonging
https://csumb.edu	h3	img		Athletics
https://csumb.edu	h3	img		Library
https://csumb.edu	h3	img		Events
https://csumb.edu	h3	img		Anniversary
https://csumb.edu	p	style		News
https://csumb.edu	h2	style		Startup Weekend Monterey Bay Returns to CSUMB
https://csumb.edu	p	div		News
https://csumb.edu	h2	p		CSUMB employee witnessed 25 years of transformation
https://csumb.edu	h2	p		New Home for Liberal Arts
https://csumb.edu	h2	p		Holiday greetings from President Ochoa
https://csumb.edu	h2	p		Athletics Teams Up With MPUSD To Connect With Local Youth
https://csumb.edu	h2	p		Capstone Students Present Research on MY Town Exhibit
https://csumb.edu	a			Jobs
https://csumb.edu	a			Tours
https://csumb.edu	a			Parking
https://csumb.edu	a			Library
https://csumb.edu	a			Map
https://csumb.edu	a			Calendar
https://csumb.edu	a			Directory
https://csumb.edu	a			Catalog
https://csumb.edu	a			Class schedule
https://csumb.edu	div	style		twitter
https://csumb.edu	div			facebook
https://csumb.edu	div			instagram
https://csumb.edu	div			linkedin
https://csumb.edu	div			youtube
https://csumb.edu	h4			California State University, Monterey Bay
https://csumb.edu	strong			Call:
https://csumb.edu	li	style		 831-582-3000
https://csumb.edu	strong			Visit:
https://csumb.edu	li	li		 5108 Fourth Avenue, Marina, CA 93933
https://csumb.edu	strong			Mail:
https://csumb.edu	li	li		 100 Campus Center, Seaside, CA 93955
https://csumb.edu	a	style		Make a gift
https://csumb.edu	button	style		Report website issue
https://csumb.edu	a	style		Report concerning behavior
https://csumb.edu	a			Security report
https://csumb.edu	a			Legal information
https://csumb.edu	a			Some links may require a Document Reader
https://csumb.edu/25	noscript			This app works best with JavaScript enabled.
https://csumb.edu/25	a	style		Skip to content
https://csumb.edu/25	div	style		Menu
https://csumb.edu/25	label			Search campus website
https://csumb.edu/25	a			About
https://csumb.edu/25	a			Apply
https://csumb.edu/25	a			Cost & aid
https://csumb.edu/25	a			Academics
https://csumb.edu/25	a			Campus life
https://csumb.edu/25	a			Alumni
https://csumb.edu/25	a			Everything else
https://csumb.edu/25	a			25th Anniversary
https://csumb.edu/25	button	style		Our stories
https://csumb.edu/25	a	style		Planning Committee
https://csumb.edu/25	a			Add to CSUMB history archives
https://csumb.edu/25	a			CSUMB Home
https://csumb.edu/25	p	style	strong	Beginning the 
https://csumb.edu/25	strong			Fall semester of 2019
https://csumb.edu/25	p	style	strong	, we will have completed 
https://csumb.edu/25	strong			twenty five
https://csumb.edu/25	p	style		 years as an institution.
https://csumb.edu/25	h2	style		Celebration
https://csumb.edu/25	p	style	strong	"We will celebrate our ""silver jubilee"" throughout our academic year starting in "
https://csumb.edu/25	strong			Fall 2019
https://csumb.edu/25	p	style	strong	 and continuing through commencement in 
https://csumb.edu/25	strong			Spring 2020
https://csumb.edu/25	h3	p		Timeline
https://csumb.edu/25	p	h3		We will incorporate our celebration into existing events on-campus as well as plan for events off-campus with our surrounding community.
https://csumb.edu/25	p	p		To date, we've included:
https://csumb.edu/25	li		br	Day of Welcome (August 19)
https://csumb.edu/25	a			Welcome BBQ (August 25)
https://csumb.edu/25	li	li	br	Service Learning: Community Partner Appreciation (Sept. 6)
https://csumb.edu/25	a			Common Read Author Visit
https://csumb.edu/25	li	li	a	 (Oct 8)
https://csumb.edu/25	li	li	br	Academic III Ribbon Cutting (Oct 11)
https://csumb.edu/25	a			Discover CSUMB: Open Campus (October 12)
https://csumb.edu/25	a			President Speaker Series: Jubilee Stories - Honoring the Past 
https://csumb.edu/25	li	li	br	(December 3)
https://csumb.edu/25	li			Silver Jubilee Gala
https://csumb.edu/25	a			Service Learning
https://csumb.edu/25	li	li		: Spotlight on Service (April 25)
https://csumb.edu/25	a			OLLI
https://csumb.edu/25	li	li	br	 Talk by President Ochoa (Feb 5)
https://csumb.edu/25	a			Commencement
https://csumb.edu/25	li	li		 (May 15 & 16)
https://csumb.edu/25	h2			Theme
https://csumb.edu/25	div			Honoring the past. Serving the future.
https://csumb.edu/25	p	blockquote		Since 1917, men and women of the United States Army served their country at Fort Ord.
https://csumb.edu/25	p	p	a	In 1994, we continued a tradition of service by making it part of our DNA in our 
https://csumb.edu/25	a			Founding Vision Statement
https://csumb.edu/25	p	p		"We see ourselves as ""stewards of place,"" providing service to our region, state, country and world."
https://csumb.edu/25	h2	div		Stories
https://csumb.edu/25	h3	style		The Founders
https://csumb.edu/25	p	a		Our founders were determined to build a university in a way others hadn't considered in the past.
https://csumb.edu/25	h3	img		The Visionaries
https://csumb.edu/25	p	a		Our success is because key stakeholders saw our future when everyone else could not.
https://csumb.edu/25	h3	img		The Innovators
https://csumb.edu/25	p	a		Our students and staff have brought a spirit of innovation to campus as well as sharing it with the world.
https://csumb.edu/25	h2	div		History
https://csumb.edu/25	p	h2		"On August 29, 1994: ""Hank Hendrickson, Executive Dean of CSUMB, is finally able to record the deed at the Monterey County Recorder's Office in Salinas…” We became “the legal owner of the property, and work on the buildings can begin."""
https://csumb.edu/25	div	style		Hank Hendrickson (third from the left) next to Founding President Peter Smith (standing) at the old Hilby Avenue office in Seaside.
https://csumb.edu/25	a			Jobs
https://csumb.edu/25	a			Tours
https://csumb.edu/25	a			Parking
https://csumb.edu/25	a			Library
https://csumb.edu/25	a			Map
https://csumb.edu/25	a			Calendar
https://csumb.edu/25	a			Directory
https://csumb.edu/25	a			Catalog
https://csumb.edu/25	a			Class schedule
https://csumb.edu/25	div	style		twitter
https://csumb.edu/25	div			facebook
https://csumb.edu/25	div			instagram
https://csumb.edu/25	div			linkedin
https://csumb.edu/25	div			youtube
https://csumb.edu/25	h4			California State University, Monterey Bay
https://csumb.edu/25	strong			Call:
https://csumb.edu/25	li	style		 831-582-3000
https://csumb.edu/25	strong			Visit:
https://csumb.edu/25	li	li		 5108 Fourth Avenue, Marina, CA 93933
https://csumb.edu/25	strong			Mail:
https://csumb.edu/25	li	li		 100 Campus Center, Seaside, CA 93955
https://csumb.edu/25	a	style		Make a gift
https://csumb.edu/25	button	style		Report website issue
https://csumb.edu/25	a	style		Report concerning behavior
https://csumb.edu/25	a			Security report
https://csumb.edu/25	a			Legal information
https://csumb.edu/25	a			Some links may require a Document Reader
https://csumb.edu/clery	noscript			This app works best with JavaScript enabled.
https://csumb.edu/clery	a	style		Skip to content
https://csumb.edu/clery	div	style		Menu
https://csumb.edu/clery	label			Search campus website
https://csumb.edu/clery	a			About
https://csumb.edu/clery	a			Apply
https://csumb.edu/clery	a			Cost & aid
https://csumb.edu/clery	a			Academics
https://csumb.edu/clery	a			Campus life
https://csumb.edu/clery	a			Alumni
https://csumb.edu/clery	a			Everything else
https://csumb.edu/clery	a			Clery
https://csumb.edu/clery	a	style		Daily Crime Log
https://csumb.edu/clery	a			Campus Security Authorities (CSAs)
https://csumb.edu/clery	a			Policies
https://csumb.edu/clery	a			Timely Warnings & Safety Bulletins
https://csumb.edu/clery	a			Campus Safety Plan Report
