url	parent	ps	ns	text
https://harvard.edu/schools	a			       Jump to main content     
https://harvard.edu/schools	a			       Jump to search     
https://harvard.edu/schools	a			       Jump to the footer     
https://harvard.edu/schools	span			         Harvard University       
https://harvard.edu/schools	a			     Menu   
https://harvard.edu/schools	a		span	                 About                 
https://harvard.edu/schools	span			                   Harvard                 
https://harvard.edu/schools	a			Harvard at a Glance
https://harvard.edu/schools	a			Harvard's President
https://harvard.edu/schools	a			Harvard's Leadership
https://harvard.edu/schools	a			Academic Experience
https://harvard.edu/schools	a			Administrative Offices
https://harvard.edu/schools	a			Directories
https://harvard.edu/schools	a			Harvard in the Community
https://harvard.edu/schools	a			News
https://harvard.edu/schools	a		span	                 Admissions                 
https://harvard.edu/schools	span			                   & Aid                 
https://harvard.edu/schools	a			Undergraduate
https://harvard.edu/schools	a			Graduate & Professional Schools
https://harvard.edu/schools	a			Continuing Education
https://harvard.edu/schools	a			Summer Programs
https://harvard.edu/schools	a			                 Schools               
https://harvard.edu/schools	a			Business
https://harvard.edu/schools	a			College
https://harvard.edu/schools	a			Continuing Education
https://harvard.edu/schools	a			Dental
https://harvard.edu/schools	a			Design
https://harvard.edu/schools	a			Divinity
https://harvard.edu/schools	a			Education
https://harvard.edu/schools	a			Engineering
https://harvard.edu/schools	a			Faculty of Arts & Sciences
https://harvard.edu/schools	a			Government
https://harvard.edu/schools	a			Graduate School
https://harvard.edu/schools	a			Law
https://harvard.edu/schools	a			Medical
https://harvard.edu/schools	a			Public Health
https://harvard.edu/schools	a			Radcliffe Institute
https://harvard.edu/schools	a			                 On Campus               
https://harvard.edu/schools	a			Arts and Humanities
https://harvard.edu/schools	a			Athletics
https://harvard.edu/schools	a			Commencement
https://harvard.edu/schools	a			Employment
https://harvard.edu/schools	a			Events
https://harvard.edu/schools	a			HarvardX
https://harvard.edu/schools	a			Library
https://harvard.edu/schools	a			Museums
https://harvard.edu/schools	a			Research
https://harvard.edu/schools	a			Science
https://harvard.edu/schools	a			Visit Harvard
https://harvard.edu/schools	a			                 Gazette News               
https://harvard.edu/schools	a			                 Events               
https://harvard.edu/schools	a			                 Visit               
https://harvard.edu/schools	a			                 Give               
https://harvard.edu/schools	a			Faculty
https://harvard.edu/schools	a			Staff
https://harvard.edu/schools	a			Students
https://harvard.edu/schools	a			Alumni
https://harvard.edu/schools	a			Parents
https://harvard.edu/schools	a			Visitors
https://harvard.edu/schools	a			Media
https://harvard.edu/schools	span			       Search:     
https://harvard.edu/schools	span			       Open Search     
https://harvard.edu/schools	h1			           Schools        
https://harvard.edu/schools	p			Harvard University has 12 degree-granting schools in addition to the Radcliffe Institute for Advanced Study. The University has grown from nine students with a single master to an enrollment of more than 20,000 degree candidates including undergraduate, graduate, and professional students.
https://harvard.edu/schools	span			Harvard Business School
https://harvard.edu/schools	span			Harvard College
https://harvard.edu/schools	span			Harvard Division of Continuing Education
https://harvard.edu/schools	span			Harvard School of Dental Medicine
https://harvard.edu/schools	span			Harvard Divinity School
https://harvard.edu/schools	span			Harvard Faculty of Arts and Sciences
https://harvard.edu/schools	span			Harvard Graduate School of Design
https://harvard.edu/schools	span			Harvard Graduate School of Education
https://harvard.edu/schools	span			Harvard Graduate School of Arts & Sciences
https://harvard.edu/schools	span			Harvard John A. Paulson School of Engineering and Applied Sciences
https://harvard.edu/schools	span			Harvard Kennedy School
https://harvard.edu/schools	span			Harvard Law School
https://harvard.edu/schools	span			Harvard Medical School
https://harvard.edu/schools	span			Radcliffe Institute for Advanced Study
https://harvard.edu/schools	span			Harvard T.H. Chan School of Public Health
https://harvard.edu/schools	a			   Jump to Top 
https://harvard.edu/schools	h1			           Website         
https://harvard.edu/schools	a			Accessibility
https://harvard.edu/schools	a			Sitemap
https://harvard.edu/schools	h2			           Get in Touch         
https://harvard.edu/schools	a			Contact Harvard
https://harvard.edu/schools	a			Maps & Directions
https://harvard.edu/schools	a			Jobs
https://harvard.edu/schools	a			Social Media
https://harvard.edu/schools	h3			           Security & Brand         
https://harvard.edu/schools	a			Privacy Statement
https://harvard.edu/schools	a			Report Copyright Infringement
https://harvard.edu/schools	a			Report Security Issue
https://harvard.edu/schools	a			Trademark Notice
https://harvard.edu/schools	h4			           Social Media & other Application Links         
https://harvard.edu/schools	span			                   Facebook                 
https://harvard.edu/schools	span			                   Twitter                 
https://harvard.edu/schools	span			                   Instagram                 
https://harvard.edu/schools	span			                   YouTube                 
https://harvard.edu/schools	span			                   SoundCloud                 
https://harvard.edu/schools	span			                   LinkedIn                 
https://harvard.edu/schools	span			                   iTunes                 
https://harvard.edu/schools	a			               Harvard Apps             
https://harvard.edu/schools	p			       © 2019 The President and Fellows of Harvard College     
