url	parent	ps	ns	text
http://www.midstate.edu	h1			Institutional Closure Information
http://www.midstate.edu	h2			Introduction
http://www.midstate.edu	p			After 131 years of providing quality education to Central Illinois, Midstate College will cease operations at the end of the summer 2019 term on August 16, 2019.
http://www.midstate.edu	p			We want to thank all of our students, faculty, and staff who were a part of this institution and wish all of you the best in the future.
http://www.midstate.edu	p			This site contains key contact information for Midstate College graduates and former students. For student who did not graduate, Midstate College has agreements with several partner schools that will provide an opportunity for you to complete your program of study.
http://www.midstate.edu	a			Closure Letter
http://www.midstate.edu	h2			Links
http://www.midstate.edu	a			How to Obtain a Transcript
http://www.midstate.edu	a			How to Obtain a Diploma
http://www.midstate.edu	a			Academic Catalog
http://www.midstate.edu	a			Syllabi
http://www.midstate.edu	a			Financial Aid
http://www.midstate.edu	a			Midstate College Balance Due
http://www.midstate.edu	a			Education Partners
http://www.midstate.edu	a			State and Regional Accreditation Information
http://www.midstate.edu	a			Employment Verification
http://www.midstate.edu	h2			How to Obtain a Transcript
http://www.midstate.edu	p		a	Students or graduates who attended after 2001 can contact 
http://www.midstate.edu	a			Parchment
http://www.midstate.edu	p			 to obtain an official transcript.
http://www.midstate.edu	p		a	Students who graduated before 2001 can contact the 
http://www.midstate.edu	a			Illinois Board of Higher Education
http://www.midstate.edu	p			 to obtain an official transcripts.
http://www.midstate.edu	h2			How to Obtain a Diploma
http://www.midstate.edu	p		a	Graduates can obtain a replacement diploma if they graduated after 2001 by contacting 
http://www.midstate.edu	h2			Academic Catalog
http://www.midstate.edu	p		a	Midstate College Academic Catalogs for 2006-2019 may be found at 
http://www.midstate.edu	a			this link
http://www.midstate.edu	h2			Syllabi
http://www.midstate.edu	p		a	Course syllabi for classes taught from 2001 through 2019 may be found at 
http://www.midstate.edu	h2			Financial Aid
http://www.midstate.edu	p		a	Students can email 
http://www.midstate.edu	a			midstate.information@gmail.com
http://www.midstate.edu	p			 if they have questions about financial aid.
http://www.midstate.edu	h3			What are the eligibility requirements for loan discharge?
