url	parent	ps	ns	text
https://harvard.edu/president/history/news/faust	a			       Jump to main content     
https://harvard.edu/president/history/news/faust	a			       Jump to search     
https://harvard.edu/president/history/news/faust	a			       Jump to the footer     
https://harvard.edu/president/history/news/faust	span			         Harvard University       
https://harvard.edu/president/history/news/faust	a			     Menu   
https://harvard.edu/president/history/news/faust	a		span	                 About                 
https://harvard.edu/president/history/news/faust	span			                   Harvard                 
https://harvard.edu/president/history/news/faust	a			Harvard at a Glance
https://harvard.edu/president/history/news/faust	a			Harvard's President
https://harvard.edu/president/history/news/faust	a			Harvard's Leadership
https://harvard.edu/president/history/news/faust	a			Academic Experience
https://harvard.edu/president/history/news/faust	a			Administrative Offices
https://harvard.edu/president/history/news/faust	a			Directories
https://harvard.edu/president/history/news/faust	a			Harvard in the Community
https://harvard.edu/president/history/news/faust	a			News
https://harvard.edu/president/history/news/faust	a		span	                 Admissions                 
https://harvard.edu/president/history/news/faust	span			                   & Aid                 
https://harvard.edu/president/history/news/faust	a			Undergraduate
https://harvard.edu/president/history/news/faust	a			Graduate & Professional Schools
https://harvard.edu/president/history/news/faust	a			Continuing Education
https://harvard.edu/president/history/news/faust	a			Summer Programs
https://harvard.edu/president/history/news/faust	a			                 Schools               
https://harvard.edu/president/history/news/faust	a			Business
https://harvard.edu/president/history/news/faust	a			College
https://harvard.edu/president/history/news/faust	a			Continuing Education
https://harvard.edu/president/history/news/faust	a			Dental
https://harvard.edu/president/history/news/faust	a			Design
https://harvard.edu/president/history/news/faust	a			Divinity
https://harvard.edu/president/history/news/faust	a			Education
https://harvard.edu/president/history/news/faust	a			Engineering
https://harvard.edu/president/history/news/faust	a			Faculty of Arts & Sciences
https://harvard.edu/president/history/news/faust	a			Government
https://harvard.edu/president/history/news/faust	a			Graduate School
https://harvard.edu/president/history/news/faust	a			Law
https://harvard.edu/president/history/news/faust	a			Medical
https://harvard.edu/president/history/news/faust	a			Public Health
https://harvard.edu/president/history/news/faust	a			Radcliffe Institute
https://harvard.edu/president/history/news/faust	a			                 On Campus               
https://harvard.edu/president/history/news/faust	a			Arts and Humanities
https://harvard.edu/president/history/news/faust	a			Athletics
https://harvard.edu/president/history/news/faust	a			Commencement
https://harvard.edu/president/history/news/faust	a			Employment
https://harvard.edu/president/history/news/faust	a			Events
https://harvard.edu/president/history/news/faust	a			HarvardX
https://harvard.edu/president/history/news/faust	a			Library
https://harvard.edu/president/history/news/faust	a			Museums
https://harvard.edu/president/history/news/faust	a			Research
