url	parent	ps	ns	text
https://harvard.edu/#a	a			       Jump to main content     
https://harvard.edu/#a	a			       Jump to search     
https://harvard.edu/#a	a			       Jump to the footer     
https://harvard.edu/#a	span			         Harvard University       
https://harvard.edu/#a	a			     Menu   
https://harvard.edu/#a	a		span	                 About                 
https://harvard.edu/#a	span			                   Harvard                 
https://harvard.edu/#a	a			Harvard at a Glance
https://harvard.edu/#a	a			Harvard's President
https://harvard.edu/#a	a			Harvard's Leadership
https://harvard.edu/#a	a			Academic Experience
https://harvard.edu/#a	a			Administrative Offices
https://harvard.edu/#a	a			Directories
https://harvard.edu/#a	a			Harvard in the Community
https://harvard.edu/#a	a			News
https://harvard.edu/#a	a		span	                 Admissions                 
https://harvard.edu/#a	span			                   & Aid                 
https://harvard.edu/#a	a			Undergraduate
https://harvard.edu/#a	a			Graduate & Professional Schools
https://harvard.edu/#a	a			Continuing Education
https://harvard.edu/#a	a			Summer Programs
https://harvard.edu/#a	a			                 Schools               
https://harvard.edu/#a	a			Business
https://harvard.edu/#a	a			College
https://harvard.edu/#a	a			Continuing Education
https://harvard.edu/#a	a			Dental
https://harvard.edu/#a	a			Design
https://harvard.edu/#a	a			Divinity
https://harvard.edu/#a	a			Education
https://harvard.edu/#a	a			Engineering
https://harvard.edu/#a	a			Faculty of Arts & Sciences
https://harvard.edu/#a	a			Government
https://harvard.edu/#a	a			Graduate School
https://harvard.edu/#a	a			Law
https://harvard.edu/#a	a			Medical
https://harvard.edu/#a	a			Public Health
https://harvard.edu/#a	a			Radcliffe Institute
https://harvard.edu/#a	a			                 On Campus               
https://harvard.edu/#a	a			Arts and Humanities
https://harvard.edu/#a	a			Athletics
https://harvard.edu/#a	a			Commencement
https://harvard.edu/#a	a			Employment
https://harvard.edu/#a	a			Events
https://harvard.edu/#a	a			HarvardX
https://harvard.edu/#a	a			Library
https://harvard.edu/#a	a			Museums
https://harvard.edu/#a	a			Research
https://harvard.edu/#a	a			Science
https://harvard.edu/#a	a			Visit Harvard
https://harvard.edu/#a	a			                 Gazette News               
https://harvard.edu/#a	a			                 Events               
https://harvard.edu/#a	a			                 Visit               
https://harvard.edu/#a	a			                 Give               
https://harvard.edu/#a	a			Faculty
https://harvard.edu/#a	a			Staff
https://harvard.edu/#a	a			Students
https://harvard.edu/#a	a			Alumni
https://harvard.edu/#a	a			Parents
https://harvard.edu/#a	a			Visitors
https://harvard.edu/#a	a			Media
https://harvard.edu/#a	span			       Search:     
https://harvard.edu/#a	span			       Open Search     
https://harvard.edu/#a	h2			         Sit by the Harvard Yule Log this holiday season       
https://harvard.edu/#a	a		span	Get cozy    
https://harvard.edu/#a	span			     Sit by the Harvard Yule Log this holiday season     
https://harvard.edu/#a	span			Gazette
https://harvard.edu/#a	a			Holiday reflections 
https://harvard.edu/#a	p			Harvard students leaving for break take a moment to reflect on the holidays, their achievements and dreams
https://harvard.edu/#a	a			       Read story       
https://harvard.edu/#a	span			Gazette
https://harvard.edu/#a	a			Deck the halls and set the table
https://harvard.edu/#a	p			Members of the Harvard community share their favorite holiday dishes
https://harvard.edu/#a	a			       Read story       
https://harvard.edu/#a	span			Gazette
https://harvard.edu/#a	a			Merry and bright?
https://harvard.edu/#a	p			Harvard psychologist discusses how the holiday season can trigger the blues ­— and how to avoid them
https://harvard.edu/#a	a			       Read story       
https://harvard.edu/#a	span			Gazette
https://harvard.edu/#a	a			Crafting a carol
https://harvard.edu/#a	p			Composer in residence Carson Cooman created a song for Memorial Church's 110th holiday services
https://harvard.edu/#a	a			       Read story       
https://harvard.edu/#a	a			Notice of Settlement of Class Action Relating to Captioning of Public Web Content
https://harvard.edu/#a	h2			To Serve Better: Harvard across the country
https://harvard.edu/#a	a			Serving Tennessee
https://harvard.edu/#a	p			Sarah Lockridge-Steckel founded The Collective, which works to help young people in Memphis, Tennessee
https://harvard.edu/#a	a			       Read story       
https://harvard.edu/#a	a			Serving South Dakota
https://harvard.edu/#a	p			Marnie Gelbart works to increase public understanding of genetics, and the ethical, legal, and social implications
https://harvard.edu/#a	a			       Read story       
https://harvard.edu/#a	a			Serving Washington D.C. 
https://harvard.edu/#a	p			Clint Smith, whose dissertation focuses on juveniles facing life sentences, leads a prison reading program in Washington, D.C.
https://harvard.edu/#a	a			       Read story       
https://harvard.edu/#a	a			             Explore the project           
https://harvard.edu/#a	h2			Events
https://harvard.edu/#a	p			       Thursday, December 26, 2019, 3:00pm     
https://harvard.edu/#a	a			The Christmas Revels 2019: An American Celebration of the Winter Solstice
https://harvard.edu/#a	p			       Thursday, December 26, 2019, 3:00pm - 4:00pm     
https://harvard.edu/#a	a			Early Christian Africa: Arts of Transformation
https://harvard.edu/#a	p			       Thursday, December 26, 2019, 9:00am - 5:00pm     
https://harvard.edu/#a	a			Animal Talk Scavenger Hunt
https://harvard.edu/#a	p			       Friday, December 27, 2019, 9:00am - 5:00pm     
https://harvard.edu/#a	a			Angela Davis Exhibition: Freed by the People
https://harvard.edu/#a	a			         See more events       
https://harvard.edu/#a	h2			       Harvard scientists are working to help tackle climate change    
https://harvard.edu/#a	a		span	    Learn more    
https://harvard.edu/#a	span			     Harvard scientists are working to help tackle climate change    
https://harvard.edu/#a	h2			Featured Multimedia
https://harvard.edu/#a	h2			       Explore Harvard's online courses and learning content    
https://harvard.edu/#a	a		span	    View Courses    
https://harvard.edu/#a	span			     Explore Harvard's online courses and learning content    
https://harvard.edu/#a	h2			Harvard on Twitter
https://harvard.edu/#a	span			Twitter
https://harvard.edu/#a	time			December 26, 2019
https://harvard.edu/#a	p		a	         Harvard student Julia Riew wrote the book and composed the music for “Thumbelina: A Little Musical,” at the Loeb Dr…  
https://harvard.edu/#a	a			https://twitter.com/i/web/status/1210232556991455232
https://harvard.edu/#a	a			          View this Tweet         
https://harvard.edu/#a	span			Twitter
https://harvard.edu/#a	time			December 26, 2019
https://harvard.edu/#a	p		a	         Fewer Americans are getting primary care than before, according to a national analysis of trends in the field by…  
https://harvard.edu/#a	a			https://twitter.com/i/web/status/1210200844790116353
https://harvard.edu/#a	a			          View this Tweet         
https://harvard.edu/#a	span			Twitter
https://harvard.edu/#a	time			December 25, 2019
https://harvard.edu/#a	p		a	         Professor  
https://harvard.edu/#a	a			@RNicholasBurns
https://harvard.edu/#a	p		a	 is set to lead an 
https://harvard.edu/#a	a			#HAATravel
https://harvard.edu/#a	p		a	 trip on the legacy of WWI in Belgium and France  
https://harvard.edu/#a	a			https://hvrdalum.me/harvardalumni88236
https://harvard.edu/#a	a			          View this Tweet         
https://harvard.edu/#a	span			Twitter
https://harvard.edu/#a	time			December 25, 2019
https://harvard.edu/#a	p		a	         The director of psychology at Brigham and Women’s talks about why the holiday season can trigger the blues ¬— and h…  
https://harvard.edu/#a	a			https://twitter.com/i/web/status/1209929305654013959
https://harvard.edu/#a	a			          View this Tweet         
https://harvard.edu/#a	span			Twitter
https://harvard.edu/#a	time			December 25, 2019
https://harvard.edu/#a	p		a	         Merry Christmas! This beautiful depiction of the Madonna and Child made c. 1265 in Pisa is among the oldest of many…  
https://harvard.edu/#a	a			https://twitter.com/i/web/status/1209836288037265412
https://harvard.edu/#a	a			          View this Tweet         
https://harvard.edu/#a	span			Twitter
https://harvard.edu/#a	time			December 25, 2019
https://harvard.edu/#a	p		a	         A very Merry Christmas to our alumni! We hope your day is filled with lots of love and cheer! 🎅🎄❤️  
https://harvard.edu/#a	a			https://t.co/gH4IdK8eMN
https://harvard.edu/#a	a			          View this Tweet         
https://harvard.edu/#a	span			Twitter
https://harvard.edu/#a	time			December 24, 2019
https://harvard.edu/#a	a			@peabodymuseum
https://harvard.edu/#a	p		a	 examines the origins of our favorite foods, how we make them, and who serves them  
https://harvard.edu/#a	a			https://hvrdalum.me/resettingtable848de
https://harvard.edu/#a	a			          View this Tweet         
https://harvard.edu/#a	span			Twitter
https://harvard.edu/#a	time			December 24, 2019
https://harvard.edu/#a	p		a	         Members of the Harvard community shared what they cook and eat during the holidays, and what makes their favorite d…  
https://harvard.edu/#a	a			https://twitter.com/i/web/status/1209571953130033159
https://harvard.edu/#a	a			          View this Tweet         
https://harvard.edu/#a	span			Twitter
https://harvard.edu/#a	time			December 24, 2019
https://harvard.edu/#a	p		a	         These are some of the most-read stories of campus, community, and achievement at Harvard this year  
https://harvard.edu/#a	a			https://hrvd.me/topstories19t
https://harvard.edu/#a	a			          View this Tweet         
https://harvard.edu/#a	span			Twitter
https://harvard.edu/#a	time			December 24, 2019
https://harvard.edu/#a	p		a	         Time is running out to RSVP! Meet us in Seattle with  
https://harvard.edu/#a	a			@harvardseattle
https://harvard.edu/#a	a			@harvardaed
https://harvard.edu/#a	p		a	, and  
https://harvard.edu/#a	a			@alumnistartups
https://harvard.edu/#a	a			https://twitter.com/i/web/status/1209547545669775360
https://harvard.edu/#a	a			          View this Tweet         
https://harvard.edu/#a	a			             Social media directory           
