url	parent	ps	ns	text
https://chat.widener.edu	a			Skip to Main Content
https://chat.widener.edu	a			News
https://chat.widener.edu	a			Events
https://chat.widener.edu	a			Athletics
https://chat.widener.edu	a			Give
https://chat.widener.edu	a			Visit
https://chat.widener.edu	a			Request Info
https://chat.widener.edu	a			Apply
https://chat.widener.edu	span			Widener University
https://chat.widener.edu	a			The Widener Advantage
https://chat.widener.edu	a			Academics
https://chat.widener.edu	a			Admissions & Aid
https://chat.widener.edu	a			Student Experience
https://chat.widener.edu	a			About
https://chat.widener.edu	span			Menu
https://chat.widener.edu	p			January 14, 2020 @ 7:00 PM
https://chat.widener.edu	h1	p		What's Widener Like?
https://chat.widener.edu	p	h1		Ask current students about their Widener experience in and out of the classroom.
https://chat.widener.edu	a	p		Register Now
https://chat.widener.edu	h2		span	Live chat 
https://chat.widener.edu	span			begins in ...
https://chat.widener.edu	h2			Want a reminder?
https://chat.widener.edu	p	h2		Fill out this quick form to RSVP for our chats
https://chat.widener.edu	label		span	First Name
https://chat.widener.edu	label	span	span	Last Name
https://chat.widener.edu	label	span	span	Email Address
https://chat.widener.edu	label	span		Would you like a text reminder?
https://chat.widener.edu	label	label		Enter your mobile #
https://chat.widener.edu	legend		span	Which video chats would you like 
https://chat.widener.edu	span		span	a reminder about?
https://chat.widener.edu	span			What's Widener Like?
https://chat.widener.edu	span	span		January 14, 2020
https://chat.widener.edu	span	span		7-8:00 p.m. (EST)
https://chat.widener.edu	span			Ask the Pride II
https://chat.widener.edu	span	span		February 4, 2020
https://chat.widener.edu	span			Join the WU Crew
https://chat.widener.edu	span	span		March 10, 2020
https://chat.widener.edu	span	span		7-8:00 p.m. (EDT)
https://chat.widener.edu	h2			Previous and Upcoming Chats
https://chat.widener.edu	span			October
https://chat.widener.edu	h3		span	WU and You - 
https://chat.widener.edu	span			Meet Widener!
https://chat.widener.edu	p	h3		Meet Widener and get all of your questions about us answered! Join Admissions staff and students as they answer your questions concerning the application process, tuition, merit scholarships and visiting campus.
https://chat.widener.edu	p	p		Thursday, October 17, 2019
https://chat.widener.edu	p	p		7-8:00 p.m. (EDT)
https://chat.widener.edu	a	p		View Archive
https://chat.widener.edu	span			December
https://chat.widener.edu	h3			Ask the Pride
https://chat.widener.edu	p	h3		Join Widener representatives as they answer your questions concerning the Free Application for Federal Student Aid (FAFSA), Widener’s financial aid process, and tips to maximize investing in a Widener education. 
https://chat.widener.edu	p	p		Tuesday, December 10, 2019
https://chat.widener.edu	p	p		7-8:00 p.m. (EST)
https://chat.widener.edu	span			January
https://chat.widener.edu	h3			What's Widener Like?
https://chat.widener.edu	p	h3		Ask current students about their Widener experience in and out of the classroom.
https://chat.widener.edu	p	p		Tuesday, January 14, 2020
https://chat.widener.edu	span			February
https://chat.widener.edu	h3			Ask the Pride II
https://chat.widener.edu	p	h3		Join current students as they answer your questions concerning the Widener experience, Ask questions or just listen in as they talk openly about college life as a Widener student.
https://chat.widener.edu	p	p		Tuesday, February 4, 2020
https://chat.widener.edu	span			March
https://chat.widener.edu	h3			Join the WU Crew
https://chat.widener.edu	p	h3		This is it. The countdown has begun. Want to know if Widener is right for you? Hear from current students about what it's really like to learn, live, play and get involved here. Find out why YOU should become part of the Pride.
https://chat.widener.edu	p	p		Tuesday, March 10, 2020
https://chat.widener.edu	h2			Ready. Set.
https://chat.widener.edu	span		br	One University Place
https://chat.widener.edu	span			Chester
https://chat.widener.edu	span			19013
https://chat.widener.edu	a			1-888-Widener
https://chat.widener.edu	a			Maps & Directions
https://chat.widener.edu	a			Virtual Tour
https://chat.widener.edu	a			Explore All Programs
https://chat.widener.edu	a			Library
https://chat.widener.edu	a			Bookstore
https://chat.widener.edu	a			Campus Safety
