url	parent	ps	ns	text
http://lifepacific.edu	a			Jump to navigation
http://lifepacific.edu	a			Apply Now
http://lifepacific.edu	h2		i	Search 
http://lifepacific.edu	a			Request Info
http://lifepacific.edu	a			Visit
http://lifepacific.edu	a			Give
http://lifepacific.edu	a			Shop
http://lifepacific.edu	a			Slide Menu
http://lifepacific.edu	span			Menu
http://lifepacific.edu	h2			Search form
http://lifepacific.edu	label			Search 
http://lifepacific.edu	span			Information For
http://lifepacific.edu	a			Future Students
http://lifepacific.edu	a			Current Students
http://lifepacific.edu	a			Faculty and Staff
http://lifepacific.edu	a			Alumni and Donors
http://lifepacific.edu	a			Parents and Visitors
http://lifepacific.edu	a			Employment
http://lifepacific.edu	span			Topics
http://lifepacific.edu	a			About LPU
http://lifepacific.edu	a			Academics
http://lifepacific.edu	a			Admissions
http://lifepacific.edu	a			Arts
http://lifepacific.edu	a			Athletics
http://lifepacific.edu	a			Chapel
http://lifepacific.edu	a			Diversity
http://lifepacific.edu	a			Events
http://lifepacific.edu	a			Financial Aid
http://lifepacific.edu	a			Global Life
http://lifepacific.edu	a			LPU Online
http://lifepacific.edu	a			News
http://lifepacific.edu	span			Resources
http://lifepacific.edu	a			Directory
http://lifepacific.edu	a			Email
http://lifepacific.edu	a			Live Stream
http://lifepacific.edu	a			LPU Portal
http://lifepacific.edu	a			Moodle
http://lifepacific.edu	a			See All
http://lifepacific.edu	span			Departments
http://lifepacific.edu	a			Calling and Vocation
http://lifepacific.edu	a			Library
http://lifepacific.edu	a			Registrar
http://lifepacific.edu	a			Residence Life
http://lifepacific.edu	a			Student Development
http://lifepacific.edu	h2			Slide In Nav Menu
http://lifepacific.edu	span			Close Nav
http://lifepacific.edu	span	i		Toggle Submenu
http://lifepacific.edu	h1			Experience Momentum
http://lifepacific.edu	div			Hear Stories From
http://lifepacific.edu	div			     STUDENTS  
http://lifepacific.edu	span			Meet Marta Shura, a senior in the 
http://lifepacific.edu	span			Human Development and Psychology
http://lifepacific.edu	span	a		 program at LPU. Marta transferred to Life Pacific because she was seeking an experience that...
http://lifepacific.edu	a			Read More
http://lifepacific.edu	div			     FACULTY  
http://lifepacific.edu	span			Meet Dr. Eric Lopez, Assistant Professor of Biblical Studies and Historical Theology. Dr. Lopez earned his B.A. in Biblical Studies from LPU, his M.A. in Theological Studies from George Fox Evangelical Seminary, and he earned his Ph.D. in Theology & Religion from Durham University, a globally ranked university...
http://lifepacific.edu	div			     ALUMNI  
http://lifepacific.edu	span			Fernando Castillo remembers the exact spot on the LPU campus when God called him to leave Southern California and begin ministry in Hawaii. “It was on a second floor patio just outside a building that houses classrooms and faculty offices,” Fernando recalls. Each time he returns to the campus in San Dimas, he...
http://lifepacific.edu	a			Read More 
http://lifepacific.edu	div			UNDERGRADUATE PROGRAMS
http://lifepacific.edu	a			BIBLICAL STUDIES
http://lifepacific.edu	a			BUSINESS  ADMINISTRATION 
http://lifepacific.edu	a			COMMUNICATION 
http://lifepacific.edu	a			HUMAN DEVELOPMENT & PSYCHOLOGY
http://lifepacific.edu	a			TRANSFORMATIONAL MINISTRY
http://lifepacific.edu	a			WORSHIP ARTS & MEDIA
http://lifepacific.edu	a			GENERAL studies
http://lifepacific.edu	a			Graduate
http://lifepacific.edu	a			Degree Completion
http://lifepacific.edu	a			Partnerships
http://lifepacific.edu	div			     1st  
http://lifepacific.edu	div			Most Affordable, Private, Regionally Accredited, Christian College in California
http://lifepacific.edu	div			     94%  
http://lifepacific.edu	div			Of Grads Seeking Employment Are Employed
http://lifepacific.edu	div			     16:1  
http://lifepacific.edu	div			Average Student To Faculty Classroom Ratio
http://lifepacific.edu	div			     75%  
http://lifepacific.edu	div			Of Grads Have Immediate Ministry Placement
http://lifepacific.edu	div			Campus Culture
http://lifepacific.edu	a			ASG
http://lifepacific.edu	a			Location
http://lifepacific.edu	a			FINE ARTS
http://lifepacific.edu	a			GLOBAL LIFE
http://lifepacific.edu	div			Recent News
http://lifepacific.edu	a			100 Years of Leadership at LPU
http://lifepacific.edu	span			December 19, 2019
http://lifepacific.edu	p		a	This article was written by President Emeritus Jim J. Adams, with contributions of Board Chair Michael Whyte and Freelance Writer Rod Light Outgoing 
http://lifepacific.edu	a			... READ MORE
http://lifepacific.edu	a			LPU Represents at the San Dimas Holiday Extravaganza
http://lifepacific.edu	p		a	On the first Saturday in December, the City of San Dimas gathered together to celebrate the holiday season with the 10th Annual Holiday Extravaganza 
http://lifepacific.edu	a			Jesus is King
http://lifepacific.edu	span			November 26, 2019
http://lifepacific.edu	p		a	A Review of Kanye West's recent Album, Jesus is King, by Michael Bratun Disclaimer: The opinions expressed in this article reflect those of the 
http://lifepacific.edu	div			Upcoming Events
http://lifepacific.edu	span			Jan
http://lifepacific.edu	a			Theological Studies Lecture Series
http://lifepacific.edu	span			9:00am
http://lifepacific.edu	a			New Student Orientation Spring 2020
