url	parent	ps	ns	text
https://www.umass.edu/chancellor	a			Skip to main content
https://www.umass.edu/chancellor	a			University of Massachusetts Amherst
https://www.umass.edu/chancellor	h2			Search Google Appliance
https://www.umass.edu/chancellor	label			Enter the terms you wish to search for. 
https://www.umass.edu/chancellor	a		span	Links 
https://www.umass.edu/chancellor	span			to common UMass Amherst services and features
https://www.umass.edu/chancellor	a			Go.UMass
https://www.umass.edu/chancellor	a			Email
https://www.umass.edu/chancellor	a			SPIRE
https://www.umass.edu/chancellor	a			Moodle
https://www.umass.edu/chancellor	a			Blackboard Learn
https://www.umass.edu/chancellor	a			UDrive
https://www.umass.edu/chancellor	a			People Finder
https://www.umass.edu/chancellor	a			The University of Massachusetts Amherst
https://www.umass.edu/chancellor	span			Open UMass Global Links Menu
https://www.umass.edu/chancellor	a			Visit
https://www.umass.edu/chancellor	a			Apply
https://www.umass.edu/chancellor	a			Give
https://www.umass.edu/chancellor	a			Search UMass.edu
https://www.umass.edu/chancellor	a			Office of the Chancellor
https://www.umass.edu/chancellor	h1			Welcome
https://www.umass.edu/chancellor	strong			Welcome to the University of Massachusetts Amherst!
https://www.umass.edu/chancellor	p			  Fueled by a revolutionary spirit that drives excellence and innovation, UMass Amherst continues to achieve success at every level.
https://www.umass.edu/chancellor	p		em	  Moving up again in the 2020 
https://www.umass.edu/chancellor	em			U.S. News and World Report Guide to Colleges
https://www.umass.edu/chancellor	p			, we are now No. 24 among 146 public institutions in the survey. Having climbed from No. 52 in 2010, we’re one of the fastest rising top-tier public research universities in the country.
https://www.umass.edu/chancellor	p			  Our success is reflected throughout the campus. We are the destination of choice for the highest academically achieving students from across the commonwealth and around the world. Students choose from over 100 bachelor's degree programs, five associate degree, more than 75 master’s and 48 doctoral programs. Co-curricular and experiential opportunities include undergraduate research programs; career-related internships; mentors for our emerging entrepreneurs; engagement in the community through service learning; and hundreds of student organizations.
