url	parent	ps	ns	text
https://harvard.edu/about-harvard/frequently-asked-questions/faq-campus-tours	a			       Jump to main content     
https://harvard.edu/about-harvard/frequently-asked-questions/faq-campus-tours	a			       Jump to search     
https://harvard.edu/about-harvard/frequently-asked-questions/faq-campus-tours	a			       Jump to the footer     
https://harvard.edu/about-harvard/frequently-asked-questions/faq-campus-tours	span			         Harvard University       
https://harvard.edu/about-harvard/frequently-asked-questions/faq-campus-tours	a			     Menu   
https://harvard.edu/about-harvard/frequently-asked-questions/faq-campus-tours	a		span	                 About                 
https://harvard.edu/about-harvard/frequently-asked-questions/faq-campus-tours	span			                   Harvard                 
https://harvard.edu/about-harvard/frequently-asked-questions/faq-campus-tours	a			Harvard at a Glance
https://harvard.edu/about-harvard/frequently-asked-questions/faq-campus-tours	a			Harvard's President
https://harvard.edu/about-harvard/frequently-asked-questions/faq-campus-tours	a			Harvard's Leadership
https://harvard.edu/about-harvard/frequently-asked-questions/faq-campus-tours	a			Academic Experience
https://harvard.edu/about-harvard/frequently-asked-questions/faq-campus-tours	a			Administrative Offices
https://harvard.edu/about-harvard/frequently-asked-questions/faq-campus-tours	a			Directories
https://harvard.edu/about-harvard/frequently-asked-questions/faq-campus-tours	a			Harvard in the Community
https://harvard.edu/about-harvard/frequently-asked-questions/faq-campus-tours	a			News
https://harvard.edu/about-harvard/frequently-asked-questions/faq-campus-tours	a		span	                 Admissions                 
https://harvard.edu/about-harvard/frequently-asked-questions/faq-campus-tours	span			                   & Aid                 
https://harvard.edu/about-harvard/frequently-asked-questions/faq-campus-tours	a			Undergraduate
https://harvard.edu/about-harvard/frequently-asked-questions/faq-campus-tours	a			Graduate & Professional Schools
https://harvard.edu/about-harvard/frequently-asked-questions/faq-campus-tours	a			Continuing Education
https://harvard.edu/about-harvard/frequently-asked-questions/faq-campus-tours	a			Summer Programs
https://harvard.edu/about-harvard/frequently-asked-questions/faq-campus-tours	a			                 Schools               
https://harvard.edu/about-harvard/frequently-asked-questions/faq-campus-tours	a			Business
https://harvard.edu/about-harvard/frequently-asked-questions/faq-campus-tours	a			College
https://harvard.edu/about-harvard/frequently-asked-questions/faq-campus-tours	a			Continuing Education
https://harvard.edu/about-harvard/frequently-asked-questions/faq-campus-tours	a			Dental
https://harvard.edu/about-harvard/frequently-asked-questions/faq-campus-tours	a			Design
https://harvard.edu/about-harvard/frequently-asked-questions/faq-campus-tours	a			Divinity
https://harvard.edu/about-harvard/frequently-asked-questions/faq-campus-tours	a			Education
https://harvard.edu/about-harvard/frequently-asked-questions/faq-campus-tours	a			Engineering
https://harvard.edu/about-harvard/frequently-asked-questions/faq-campus-tours	a			Faculty of Arts & Sciences
https://harvard.edu/about-harvard/frequently-asked-questions/faq-campus-tours	a			Government
https://harvard.edu/about-harvard/frequently-asked-questions/faq-campus-tours	a			Graduate School
https://harvard.edu/about-harvard/frequently-asked-questions/faq-campus-tours	a			Law
https://harvard.edu/about-harvard/frequently-asked-questions/faq-campus-tours	a			Medical
https://harvard.edu/about-harvard/frequently-asked-questions/faq-campus-tours	a			Public Health
https://harvard.edu/about-harvard/frequently-asked-questions/faq-campus-tours	a			Radcliffe Institute
https://harvard.edu/about-harvard/frequently-asked-questions/faq-campus-tours	a			                 On Campus               
https://harvard.edu/about-harvard/frequently-asked-questions/faq-campus-tours	a			Arts and Humanities
https://harvard.edu/about-harvard/frequently-asked-questions/faq-campus-tours	a			Athletics
https://harvard.edu/about-harvard/frequently-asked-questions/faq-campus-tours	a			Commencement
https://harvard.edu/about-harvard/frequently-asked-questions/faq-campus-tours	a			Employment
https://harvard.edu/about-harvard/frequently-asked-questions/faq-campus-tours	a			Events
https://harvard.edu/about-harvard/frequently-asked-questions/faq-campus-tours	a			HarvardX
https://harvard.edu/about-harvard/frequently-asked-questions/faq-campus-tours	a			Library
https://harvard.edu/about-harvard/frequently-asked-questions/faq-campus-tours	a			Museums
https://harvard.edu/about-harvard/frequently-asked-questions/faq-campus-tours	a			Research
https://harvard.edu/about-harvard/frequently-asked-questions/faq-campus-tours	a			Science
https://harvard.edu/about-harvard/frequently-asked-questions/faq-campus-tours	a			Visit Harvard
https://harvard.edu/about-harvard/frequently-asked-questions/faq-campus-tours	a			                 Gazette News               
https://harvard.edu/about-harvard/frequently-asked-questions/faq-campus-tours	a			                 Events               
https://harvard.edu/about-harvard/frequently-asked-questions/faq-campus-tours	a			                 Visit               
https://harvard.edu/about-harvard/frequently-asked-questions/faq-campus-tours	a			                 Give               
https://harvard.edu/about-harvard/frequently-asked-questions/faq-campus-tours	a			Faculty
https://harvard.edu/about-harvard/frequently-asked-questions/faq-campus-tours	a			Staff
https://harvard.edu/about-harvard/frequently-asked-questions/faq-campus-tours	a			Students
