url	parent	ps	ns	text
https://harvard.edu/#d	a			       Jump to main content     
https://harvard.edu/#d	a			       Jump to search     
https://harvard.edu/#d	a			       Jump to the footer     
https://harvard.edu/#d	span			         Harvard University       
https://harvard.edu/#d	a			     Menu   
https://harvard.edu/#d	a		span	                 About                 
https://harvard.edu/#d	span			                   Harvard                 
https://harvard.edu/#d	a			Harvard at a Glance
https://harvard.edu/#d	a			Harvard's President
https://harvard.edu/#d	a			Harvard's Leadership
https://harvard.edu/#d	a			Academic Experience
https://harvard.edu/#d	a			Administrative Offices
https://harvard.edu/#d	a			Directories
https://harvard.edu/#d	a			Harvard in the Community
https://harvard.edu/#d	a			News
https://harvard.edu/#d	a		span	                 Admissions                 
https://harvard.edu/#d	span			                   & Aid                 
https://harvard.edu/#d	a			Undergraduate
https://harvard.edu/#d	a			Graduate & Professional Schools
https://harvard.edu/#d	a			Continuing Education
https://harvard.edu/#d	a			Summer Programs
https://harvard.edu/#d	a			                 Schools               
https://harvard.edu/#d	a			Business
https://harvard.edu/#d	a			College
https://harvard.edu/#d	a			Continuing Education
https://harvard.edu/#d	a			Dental
https://harvard.edu/#d	a			Design
https://harvard.edu/#d	a			Divinity
https://harvard.edu/#d	a			Education
https://harvard.edu/#d	a			Engineering
https://harvard.edu/#d	a			Faculty of Arts & Sciences
https://harvard.edu/#d	a			Government
https://harvard.edu/#d	a			Graduate School
https://harvard.edu/#d	a			Law
https://harvard.edu/#d	a			Medical
https://harvard.edu/#d	a			Public Health
https://harvard.edu/#d	a			Radcliffe Institute
https://harvard.edu/#d	a			                 On Campus               
https://harvard.edu/#d	a			Arts and Humanities
https://harvard.edu/#d	a			Athletics
https://harvard.edu/#d	a			Commencement
https://harvard.edu/#d	a			Employment
https://harvard.edu/#d	a			Events
https://harvard.edu/#d	a			HarvardX
https://harvard.edu/#d	a			Library
https://harvard.edu/#d	a			Museums
https://harvard.edu/#d	a			Research
https://harvard.edu/#d	a			Science
https://harvard.edu/#d	a			Visit Harvard
https://harvard.edu/#d	a			                 Gazette News               
https://harvard.edu/#d	a			                 Events               
https://harvard.edu/#d	a			                 Visit               
https://harvard.edu/#d	a			                 Give               
https://harvard.edu/#d	a			Faculty
https://harvard.edu/#d	a			Staff
https://harvard.edu/#d	a			Students
https://harvard.edu/#d	a			Alumni
https://harvard.edu/#d	a			Parents
https://harvard.edu/#d	a			Visitors
https://harvard.edu/#d	a			Media
https://harvard.edu/#d	span			       Search:     
https://harvard.edu/#d	span			       Open Search     
https://harvard.edu/#d	h2			         Sit by the Harvard Yule Log this holiday season       
https://harvard.edu/#d	a		span	Get cozy    
https://harvard.edu/#d	span			     Sit by the Harvard Yule Log this holiday season     
https://harvard.edu/#d	span			Gazette
https://harvard.edu/#d	a			Holiday reflections 
https://harvard.edu/#d	p			Harvard students leaving for break take a moment to reflect on the holidays, their achievements and dreams
https://harvard.edu/#d	a			       Read story       
https://harvard.edu/#d	span			Gazette
https://harvard.edu/#d	a			Deck the halls and set the table
https://harvard.edu/#d	p			Members of the Harvard community share their favorite holiday dishes
https://harvard.edu/#d	a			       Read story       
https://harvard.edu/#d	span			Gazette
https://harvard.edu/#d	a			Merry and bright?
https://harvard.edu/#d	p			Harvard psychologist discusses how the holiday season can trigger the blues ­— and how to avoid them
https://harvard.edu/#d	a			       Read story       
https://harvard.edu/#d	span			Gazette
https://harvard.edu/#d	a			Crafting a carol
https://harvard.edu/#d	p			Composer in residence Carson Cooman created a song for Memorial Church's 110th holiday services
https://harvard.edu/#d	a			       Read story       
https://harvard.edu/#d	a			Notice of Settlement of Class Action Relating to Captioning of Public Web Content
https://harvard.edu/#d	h2			To Serve Better: Harvard across the country
https://harvard.edu/#d	a			Serving Tennessee
https://harvard.edu/#d	p			Sarah Lockridge-Steckel founded The Collective, which works to help young people in Memphis, Tennessee
https://harvard.edu/#d	a			       Read story       
https://harvard.edu/#d	a			Serving South Dakota
