url	parent	ps	ns	text
https://www.artinstitutes.edu/academics	a			Skip to content
https://www.artinstitutes.edu/academics	span			Get Brochure
https://www.artinstitutes.edu/academics	span			Our
https://www.artinstitutes.edu/academics	a			 Programs                              
https://www.artinstitutes.edu/academics	a			 Campuses                              
https://www.artinstitutes.edu/academics	span			International 
https://www.artinstitutes.edu/academics	a			 Students                              
https://www.artinstitutes.edu/academics	a			                                  Student Consumer Information                              
https://www.artinstitutes.edu/academics	a			                                  Military Benefits                              
https://www.artinstitutes.edu/academics	a		i	              Aii.edu 
https://www.artinstitutes.edu/academics	a		i	              Change Location 
https://www.artinstitutes.edu/academics	label			Search
https://www.artinstitutes.edu/academics	a			Search
https://www.artinstitutes.edu/academics	h2		span	              Request a Brochure 
https://www.artinstitutes.edu/academics	label			                    Location of Interest                 
https://www.artinstitutes.edu/academics	option			- Select a Campus -
https://www.artinstitutes.edu/academics	a			                    Change Location                 
https://www.artinstitutes.edu/academics	label			Program Of Interest
https://www.artinstitutes.edu/academics	option			{{ ProgramOfferingEmptyOptionText }}
https://www.artinstitutes.edu/academics	span			NEXT
https://www.artinstitutes.edu/academics	span			Our Programs
https://www.artinstitutes.edu/academics	h2			The hardest thing you’ll ever love.
https://www.artinstitutes.edu/academics	p			                      Because it’s tough out there, it’s tough in here. But whatever direction your talents take you, your hard work and our support can take you from passionately creative to creative professional. Select an Area of Study below to learn more about our College Degree Programs.                  
https://www.artinstitutes.edu/academics	h2			Areas of Study
https://www.artinstitutes.edu/academics	span			Visual Design
https://www.artinstitutes.edu/academics	span			Interior & Product Design
https://www.artinstitutes.edu/academics	span			Marketing
https://www.artinstitutes.edu/academics	span			Animation & Effects
https://www.artinstitutes.edu/academics	span			Film & Production
https://www.artinstitutes.edu/academics	span			Gaming & Technology
https://www.artinstitutes.edu/academics	span			Fashion
https://www.artinstitutes.edu/academics	span			Culinary
https://www.artinstitutes.edu/academics	h2			FUNDING YOUR EDUCATION
https://www.artinstitutes.edu/academics	p			At The Art Institutes, financial aid is available to those who qualify. We're here to help you understand everything you need to know to help fund your creative education. We're always working to make your education more affordable. The Art Institutes system of schools is offering full and partial scholarships to new and current students. In fact, The Art Grant gives you the chance to earn a tuition grant of up to $17,340 for bachelor’s degree programs (an average of up to 18%) and up to $5,845, (up to 13%), for associate’s degree programs. 
https://www.artinstitutes.edu/academics	strong			Tuition Lock
