url	parent	ps	ns	text
http://cbshouston.edu	a			Skip to main content
http://cbshouston.edu	a			Apply
http://cbshouston.edu	a			Campuses
http://cbshouston.edu	a			Student Portal
http://cbshouston.edu	a			Employee Portal
http://cbshouston.edu	a			Contact Us
http://cbshouston.edu	a			Español
http://cbshouston.edu	a			DONATE
http://cbshouston.edu	a			About
http://cbshouston.edu	a			GENERAL INFORMATION
http://cbshouston.edu	a			Mission-Vision
http://cbshouston.edu	a			Doctrinal Statement
http://cbshouston.edu	a			CBS in the News
http://cbshouston.edu	a			History
http://cbshouston.edu	a			CBS Leadership
http://cbshouston.edu	a			Institutional Effectiveness 
http://cbshouston.edu	a			Faculty
http://cbshouston.edu	a			Merger Update
http://cbshouston.edu	a			CAMPUS & RESOURCES
http://cbshouston.edu	a			Library
http://cbshouston.edu	a			"Campus Store (""Bookstore"")"
http://cbshouston.edu	a			Job Opportunities
http://cbshouston.edu	a			Safe Environment
http://cbshouston.edu	a			Watchman Alert System
http://cbshouston.edu	a			Hours of Operation
http://cbshouston.edu	a			Choose CBS
http://cbshouston.edu	a			ADMISSIONS
http://cbshouston.edu	a			Why CBS
http://cbshouston.edu	a			Applying to CBS
http://cbshouston.edu	a			Readmission Process
http://cbshouston.edu	a			Payment Plan Process
http://cbshouston.edu	a			Transferring to CBS
http://cbshouston.edu	a			Visit CBS
http://cbshouston.edu	a			New Student Orientation
http://cbshouston.edu	a			Home School Friendly
http://cbshouston.edu	a			Frequent Asked Questions (FAQ)
http://cbshouston.edu	a			Students and Alumni Testimonials
http://cbshouston.edu	a			ACADEMICS
http://cbshouston.edu	a			Academic Programs
http://cbshouston.edu	a			Online Degree Programs
http://cbshouston.edu	a			CBS & DTS 4 1 Program
http://cbshouston.edu	a			Dual Credit
http://cbshouston.edu	a			Biblical Counseling Certification 
http://cbshouston.edu	a			Christian Service Learning Program (CSLP)
http://cbshouston.edu	a			Credit for Life Experience
http://cbshouston.edu	a			Academic Catalog
http://cbshouston.edu	a			Registrar
http://cbshouston.edu	a			Students & Alumni
http://cbshouston.edu	a			Student Life
http://cbshouston.edu	a			Convocation
http://cbshouston.edu	a			Financial Aid
http://cbshouston.edu	a			Academic Advising
http://cbshouston.edu	a			Tutoring
http://cbshouston.edu	a			Forms
http://cbshouston.edu	a			GPA Calculator
http://cbshouston.edu	a			Payments & Billing
http://cbshouston.edu	a			Career Services
http://cbshouston.edu	a			Academic Calendar
http://cbshouston.edu	a			Protecting Student Privacy
http://cbshouston.edu	a			ALUMNI & SUPPORTERS
http://cbshouston.edu	a			CBS Alumni Association
http://cbshouston.edu	a			Board of Directors
http://cbshouston.edu	a			Announcements
http://cbshouston.edu	a			Give to CBS
http://cbshouston.edu	a			Upcoming Events
http://cbshouston.edu	a			Alumni Family Benefits
http://cbshouston.edu	a			Alumni Ambassador
http://cbshouston.edu	a			Alumni Information Update
http://cbshouston.edu	a			Volunteer at CBS
http://cbshouston.edu	a			CBS Women's Partnership
http://cbshouston.edu	a			Request a CBS Speaker
http://cbshouston.edu	h2			Search form
http://cbshouston.edu	label			Search 
http://cbshouston.edu	h2			Slider
http://cbshouston.edu	p		span	"class="""">"
http://cbshouston.edu	span			PROGRAMS   
http://cbshouston.edu	span			APPLY   
http://cbshouston.edu	span			FINANCIAL   
http://cbshouston.edu	span			REQUEST INFO
http://cbshouston.edu	span			Credits for Demonstrated Competency
http://cbshouston.edu	span			CBS awards college credit to students for life experience and other certifications.
http://cbshouston.edu	span		a	Students should present to their 
http://cbshouston.edu	a			academic advisors
http://cbshouston.edu	span			 any military, work, and ministry as well as any licenses or certifications and begin the process to verify whether these experiences can count for college credit. The college automatically recognizes a selection of business certifications and licenses or other life experiences, such as:
http://cbshouston.edu	span			Business or Professional Certificates (not a comprehensive list; academic advisors have full list of options)
http://cbshouston.edu	span			American Management Association Certificate of General Management
http://cbshouston.edu	span			State of Texas Licenses (e.g., cosmetology and barber, esthetician, and manicurist licenses)
http://cbshouston.edu	span			Texas Association of School Business Officials (TASBO)
http://cbshouston.edu	span			Contractor, Real Estate, and Insurance Licenses
http://cbshouston.edu	span			Peace Officer and Fireman Licenses
http://cbshouston.edu	span			Computer Certifications
http://cbshouston.edu	span			H&R Block Tax Preparation Training
http://cbshouston.edu	span			ACBC Training (formerly known as NANC), different credit hours for different tracks
http://cbshouston.edu	span			Military Experience
http://cbshouston.edu	span			Official licenses through military trainings
