url	parent	ps	ns	text
https://www.umf.maine.edu/2019/12/the-doctor-will-see-maine-now	a			Skip to content
https://www.umf.maine.edu/2019/12/the-doctor-will-see-maine-now	span			Visit
https://www.umf.maine.edu/2019/12/the-doctor-will-see-maine-now	span			Sign Up
https://www.umf.maine.edu/2019/12/the-doctor-will-see-maine-now	span			Contact Us
https://www.umf.maine.edu/2019/12/the-doctor-will-see-maine-now	span			Apply FREE
https://www.umf.maine.edu/2019/12/the-doctor-will-see-maine-now	span			About UMF
https://www.umf.maine.edu/2019/12/the-doctor-will-see-maine-now	span			National Reputation
https://www.umf.maine.edu/2019/12/the-doctor-will-see-maine-now	span			About Our Faculty
https://www.umf.maine.edu/2019/12/the-doctor-will-see-maine-now	span			About Our Students
https://www.umf.maine.edu/2019/12/the-doctor-will-see-maine-now	span			Success After UMF
https://www.umf.maine.edu/2019/12/the-doctor-will-see-maine-now	span			Environmentally Friendly
https://www.umf.maine.edu/2019/12/the-doctor-will-see-maine-now	span			President Edward Serna
https://www.umf.maine.edu/2019/12/the-doctor-will-see-maine-now	span			UMF Board of Visitors
https://www.umf.maine.edu/2019/12/the-doctor-will-see-maine-now	span			Department & Office Websites
https://www.umf.maine.edu/2019/12/the-doctor-will-see-maine-now	span			People Lookup
https://www.umf.maine.edu/2019/12/the-doctor-will-see-maine-now	span			Academics
https://www.umf.maine.edu/2019/12/the-doctor-will-see-maine-now	span			Programs of Study
https://www.umf.maine.edu/2019/12/the-doctor-will-see-maine-now	span			Education Programs
https://www.umf.maine.edu/2019/12/the-doctor-will-see-maine-now	span			Self-Designed Majors
https://www.umf.maine.edu/2019/12/the-doctor-will-see-maine-now	span			Certificate Programs
https://www.umf.maine.edu/2019/12/the-doctor-will-see-maine-now	span			Minors
https://www.umf.maine.edu/2019/12/the-doctor-will-see-maine-now	span			Unsure What to Choose?
https://www.umf.maine.edu/2019/12/the-doctor-will-see-maine-now	span			Honors Program
https://www.umf.maine.edu/2019/12/the-doctor-will-see-maine-now	span			Internships
https://www.umf.maine.edu/2019/12/the-doctor-will-see-maine-now	span			Graduate & Continuing Education
https://www.umf.maine.edu/2019/12/the-doctor-will-see-maine-now	span			Take Winter & Spring Classes
https://www.umf.maine.edu/2019/12/the-doctor-will-see-maine-now	span			Academic & Housing Calendar
https://www.umf.maine.edu/2019/12/the-doctor-will-see-maine-now	span			Campus Life
https://www.umf.maine.edu/2019/12/the-doctor-will-see-maine-now	span			Residence Halls
https://www.umf.maine.edu/2019/12/the-doctor-will-see-maine-now	span			The Farmington Area
https://www.umf.maine.edu/2019/12/the-doctor-will-see-maine-now	span			Student Organizations
https://www.umf.maine.edu/2019/12/the-doctor-will-see-maine-now	span			Athletics, Sports & Fitness
https://www.umf.maine.edu/2019/12/the-doctor-will-see-maine-now	span			Outdoor Recreation
https://www.umf.maine.edu/2019/12/the-doctor-will-see-maine-now	span			Arts & Culture
https://www.umf.maine.edu/2019/12/the-doctor-will-see-maine-now	span			Virtual Viewbook
https://www.umf.maine.edu/2019/12/the-doctor-will-see-maine-now	span			Weekend Excursions
https://www.umf.maine.edu/2019/12/the-doctor-will-see-maine-now	span			Student Housing Calendar
https://www.umf.maine.edu/2019/12/the-doctor-will-see-maine-now	span			Admissions & Aid
https://www.umf.maine.edu/2019/12/the-doctor-will-see-maine-now	span			Apply Free
https://www.umf.maine.edu/2019/12/the-doctor-will-see-maine-now	span			First-Year Students (Freshmen)
https://www.umf.maine.edu/2019/12/the-doctor-will-see-maine-now	span			Transfer Students
https://www.umf.maine.edu/2019/12/the-doctor-will-see-maine-now	span			International Students
https://www.umf.maine.edu/2019/12/the-doctor-will-see-maine-now	span			Visit Us
https://www.umf.maine.edu/2019/12/the-doctor-will-see-maine-now	span			Off-Campus Admissions Events
https://www.umf.maine.edu/2019/12/the-doctor-will-see-maine-now	span			Sign Up for Info
https://www.umf.maine.edu/2019/12/the-doctor-will-see-maine-now	span			Financial Aid & Scholarships
https://www.umf.maine.edu/2019/12/the-doctor-will-see-maine-now	span			Tuition & Expenses
https://www.umf.maine.edu/2019/12/the-doctor-will-see-maine-now	span			Admissions & Financial Aid Staff
https://www.umf.maine.edu/2019/12/the-doctor-will-see-maine-now	span			For Guidance Counselors
https://www.umf.maine.edu/2019/12/the-doctor-will-see-maine-now	span			Search for:
https://www.umf.maine.edu/2019/12/the-doctor-will-see-maine-now	div			         Dec 2019    
https://www.umf.maine.edu/2019/12/the-doctor-will-see-maine-now	h1			The Doctor Will See Maine Now
https://www.umf.maine.edu/2019/12/the-doctor-will-see-maine-now	a			April Mulherin
https://www.umf.maine.edu/2019/12/the-doctor-will-see-maine-now	span		a	 posted in: 
https://www.umf.maine.edu/2019/12/the-doctor-will-see-maine-now	a			News
https://www.umf.maine.edu/2019/12/the-doctor-will-see-maine-now	em			Clinical psychologist Dr. Jessica Pollard ’01 has been appointed by Governor Janet Mills to direct Maine’s Office of Substance Abuse and Mental Health Services.
https://www.umf.maine.edu/2019/12/the-doctor-will-see-maine-now	strong			By Marc Glass / November 2019
https://www.umf.maine.edu/2019/12/the-doctor-will-see-maine-now	p			When it comes to the opioid epidemic, Maine’s motto, Dirigo — Latin for “I lead” — has taken on a dubious significance.
https://www.umf.maine.edu/2019/12/the-doctor-will-see-maine-now	p			In the teen years of the 21st century, the Pine Tree State has had the highest rate of prescription opiate addiction in the nation. Maine also has been among the top-10 states with the highest overdose deaths involving opioids — reaching nearly double the national average per 100,000 persons in 2017.
https://www.umf.maine.edu/2019/12/the-doctor-will-see-maine-now	p			But the state’s trend lines are improving. Prescriptions for opioids are down, as are hospital admissions for opioid-related overdoses. And after years of increases, the number of drug overdose deaths in Maine is down slightly as well.
https://www.umf.maine.edu/2019/12/the-doctor-will-see-maine-now	em			Regarding substance use, Dr. Jessica Pollard ’01 says, “It’s easier to stigmatize something that is amorphous, distant, and unknown. But when you know somebody or when you know a family that’s been affected, it’s harder to maintain those negative attitudes.” (Photo by Marc Glass.)
https://www.umf.maine.edu/2019/12/the-doctor-will-see-maine-now	p			While some of the issues that gave rise to the opioid crisis in Maine have been mitigated, others persist. Many in the state’s law enforcement and medical communities say access to health care, alternative pain-management strategies, and mental health services remain ongoing challenges for Mainers.
https://www.umf.maine.edu/2019/12/the-doctor-will-see-maine-now	p			Among those at the leading edge of grappling with the issues related to the opioid epidemic is Dr. Jessica Pollard ’01, whom Maine Governor Janet Mills appointed to direct the State’s Office of Substance Abuse and Mental Health Services in July.
https://www.umf.maine.edu/2019/12/the-doctor-will-see-maine-now	p			Pollard, who majored in psychology and a self-designed interdisciplinary major combining music and biology at UMF, earned a doctorate in clinical psychology at the University of Connecticut. While pursuing her doctorate, she held a graduate assistantship with Connecticut’s Department of Mental Health and Addiction Services, where she explored alternatives to incarceration for people with mental illness. She later completed a two-year fellowship at Yale University in the Department of Psychiatry, specializing in public mental health and early intervention for psychotic disorders in particular. She also worked at Northern Light Acadia, a psychiatric hospital in Bangor and founded a private practice in Bangor before joining the faculty at Yale University’s School of Medicine.
https://www.umf.maine.edu/2019/12/the-doctor-will-see-maine-now	p			When she spoke with Farmington First earlier this fall, she was barely two weeks into the new executive role — and still unpacking the components of the job as well as boxes in a new home. Here’s what she had to say about engaging the opioid epidemic in Maine, changing perceptions of the public health crisis, and ways to improve delivery and access to mental health services statewide.
https://www.umf.maine.edu/2019/12/the-doctor-will-see-maine-now	strong			Our citizens’ challenges with opioid use and addiction now have the dubious distinction of being top-of-mind for many Mainers. How has this growing awareness impacted public opinion about the issue?
https://www.umf.maine.edu/2019/12/the-doctor-will-see-maine-now	p			“Everybody around them is affected when somebody is struggling with a substance use disorder — family members, friends, employers. I think that you would be hard-pressed to find somebody who hasn’t been affected by the opioid crisis. As we know with research into stigma, bias, and discrimination, having direct exposure to somebody is one way of reducing bias and stereotyped attitudes. So, I think because the problem is so widespread and pervasive, it’s harder to maintain those really negative attitudes about substance use when you know somebody dealing with it or impacted by it. It’s much easier to stigmatize something that is amorphous, distant, and unknown. But when you know somebody or when you know a family that’s been affected, it’s harder to maintain those negative attitudes.”
https://www.umf.maine.edu/2019/12/the-doctor-will-see-maine-now	strong			One of the strategies for engaging the opioid crisis is treating addicted people with methadone or suboxone. But communities rarely seem to want clinics in their backyards, so to speak. And sometimes people harbor the belief that overcoming addiction is a function of willpower and that substituting one drug for another isn’t really moving people to a place of being drug-free. How do you view medication-assisted treatment (MAT) of people coping with opioid addiction?
https://www.umf.maine.edu/2019/12/the-doctor-will-see-maine-now	p			“I think people can take a lot of different paths to recovery. For some people, the abstinence approach is effective. For a lot of people, other kinds of interventions are effective. I think addressing the overall stigma and misunderstanding around medication-assisted treatment is really important because a lot of people see it as replacing one substance for another. But in reality, this is a medication intervention. It’s not about intoxication, and it’s not a substance use.”
https://www.umf.maine.edu/2019/12/the-doctor-will-see-maine-now	p			“Some people take the position that if a person is receiving medication-assisted treatments — which research supports are effective — that person isn’t actually abstinent and that makes it difficult to include them in treatment programs that require abstinence. And stigma also plays a role for some health-care providers who may not want ‘that kind’ of patient population in their practice.”
https://www.umf.maine.edu/2019/12/the-doctor-will-see-maine-now	p			“So while we can see that there’s a large number of prescribers who have waivers for medication-assisted treatment in Maine, if you drill down and actually look at how many patients are receiving MAT, it’s much, much less than what you would expect based on the number of waivered providers and number of people who would benefit from this treatment. I think it’s also important to recognize that for health-care providers who are licensed to prescribe medicine, you don’t have to have any sort of special training, qualifications, or certification to prescribe opiates but you do have to have a waiver to prescribe medication-assisted treatment for opiate-use disorder. Physicians are very busy people. It’s hard for them to set aside the amount of time it takes to get the required training and there are challenges in finding waivered prescribers to cover their practice when they take time off.”
https://www.umf.maine.edu/2019/12/the-doctor-will-see-maine-now	strong			According to reporting in the media, the people who are often at the front lines of engaging people with serious mental health issues are law enforcement officers. How have some in the law enforcement community become some of the strongest advocates of improving access to mental health treatment in Maine?
