url	parent	ps	ns	text
https://learn.uwyo.edu/vrglasses	span			"""See"" UW for yourself!"
https://learn.uwyo.edu/vrglasses	span			You don't have to wait for your visit to experience the University of Wyoming's campus!
https://learn.uwyo.edu/vrglasses	span			Take the UW Virtual Tour and experience first-hand what UW students love about the UW Laramie Campus.
https://learn.uwyo.edu/vrglasses	span		br	2018 University of Wyoming
https://learn.uwyo.edu/vrglasses	span			Request your FREE pair of virtual reality glasses today!
https://learn.uwyo.edu/vrglasses	span			By submitting this form, I confirm that the information provided is accurate and complete, and I agree to receive email communications, phone calls, and SMS/Text Messages from the University of Wyoming at the numbers provided above, including my wireless numbers if provided. Contact methods may include calls or texts made using automated technology. I understand that my consent is not a condition of purchasing services from the University of Wyoming, and that if I wish to request information without providing the above consent, I may request information by contacting the University of Wyoming directly at (307) 766-1121.
https://learn.uwyo.edu/vrglasses	span			Send my virtual reality glasses to:
https://learn.uwyo.edu/vrglasses	span			Tour the University of Wyoming Campus
https://learn.uwyo.edu/vrglasses	span			As part of the Front Range of the Rocky Mountains, the University of Wyoming offers one of the most beautiful campuses in the nation. Our region’s natural beauty is matched with cutting-edge learning facilities that make for an unbeatable student experience.
http://www.uwyo.edu	a			Skip to Main Navigation. Each navigation link will open a list of sub navigation links.
http://www.uwyo.edu	a			Skip to Main Content
http://www.uwyo.edu	a			apply now
http://www.uwyo.edu	a			A-Z Directory
http://www.uwyo.edu	span			Search
http://www.uwyo.edu	a			Students
http://www.uwyo.edu	a			Parents
http://www.uwyo.edu	a			Alumni
http://www.uwyo.edu	a			People
http://www.uwyo.edu	a			WyoWeb
http://www.uwyo.edu	a			Virtual Tour
http://www.uwyo.edu	a			Give
http://www.uwyo.edu	a			Events
http://www.uwyo.edu	li			Admissions
http://www.uwyo.edu	a			UW Admissions
http://www.uwyo.edu	a			First Year
http://www.uwyo.edu	a			Transfer
http://www.uwyo.edu	a			International
http://www.uwyo.edu	a			Graduate
http://www.uwyo.edu	a			Cost of Attendance
http://www.uwyo.edu	a			Financial Aid
http://www.uwyo.edu	a			Scholarships
http://www.uwyo.edu	li			Academics
http://www.uwyo.edu	a			Explore Colleges
http://www.uwyo.edu	a			Academic Affairs
