url	parent	ps	ns	text
https://harvard.edu/	a			       Jump to main content     
https://harvard.edu/	a			       Jump to search     
https://harvard.edu/	a			       Jump to the footer     
https://harvard.edu/	span			         Harvard University       
https://harvard.edu/	a			     Menu   
https://harvard.edu/	a		span	                 About                 
https://harvard.edu/	span			                   Harvard                 
https://harvard.edu/	a			Harvard at a Glance
https://harvard.edu/	a			Harvard's President
https://harvard.edu/	a			Harvard's Leadership
https://harvard.edu/	a			Academic Experience
https://harvard.edu/	a			Administrative Offices
https://harvard.edu/	a			Directories
https://harvard.edu/	a			Harvard in the Community
https://harvard.edu/	a			News
https://harvard.edu/	a		span	                 Admissions                 
https://harvard.edu/	span			                   & Aid                 
https://harvard.edu/	a			Undergraduate
https://harvard.edu/	a			Graduate & Professional Schools
https://harvard.edu/	a			Continuing Education
https://harvard.edu/	a			Summer Programs
https://harvard.edu/	a			                 Schools               
https://harvard.edu/	a			Business
https://harvard.edu/	a			College
https://harvard.edu/	a			Continuing Education
https://harvard.edu/	a			Dental
https://harvard.edu/	a			Design
https://harvard.edu/	a			Divinity
https://harvard.edu/	a			Education
https://harvard.edu/	a			Engineering
https://harvard.edu/	a			Faculty of Arts & Sciences
https://harvard.edu/	a			Government
https://harvard.edu/	a			Graduate School
https://harvard.edu/	a			Law
https://harvard.edu/	a			Medical
https://harvard.edu/	a			Public Health
https://harvard.edu/	a			Radcliffe Institute
https://harvard.edu/	a			                 On Campus               
https://harvard.edu/	a			Arts and Humanities
https://harvard.edu/	a			Athletics
https://harvard.edu/	a			Commencement
https://harvard.edu/	a			Employment
https://harvard.edu/	a			Events
https://harvard.edu/	a			HarvardX
https://harvard.edu/	a			Library
https://harvard.edu/	a			Museums
https://harvard.edu/	a			Research
https://harvard.edu/	a			Science
https://harvard.edu/	a			Visit Harvard
https://harvard.edu/	a			                 Gazette News               
https://harvard.edu/	a			                 Events               
https://harvard.edu/	a			                 Visit               
https://harvard.edu/	a			                 Give               
https://harvard.edu/	a			Faculty
https://harvard.edu/	a			Staff
https://harvard.edu/	a			Students
https://harvard.edu/	a			Alumni
https://harvard.edu/	a			Parents
https://harvard.edu/	a			Visitors
https://harvard.edu/	a			Media
https://harvard.edu/	span			       Search:     
https://harvard.edu/	span			       Open Search     
https://harvard.edu/	h2			         Sit by the Harvard Yule Log this holiday season       
https://harvard.edu/	a		span	Get cozy    
https://harvard.edu/	span			     Sit by the Harvard Yule Log this holiday season     
https://harvard.edu/	span			Gazette
https://harvard.edu/	a			Holiday reflections 
https://harvard.edu/	p			Harvard students leaving for break take a moment to reflect on the holidays, their achievements and dreams
https://harvard.edu/	a			       Read story       
https://harvard.edu/	span			Gazette
https://harvard.edu/	a			Deck the halls and set the table
https://harvard.edu/	p			Members of the Harvard community share their favorite holiday dishes
https://harvard.edu/	a			       Read story       
https://harvard.edu/	span			Gazette
https://harvard.edu/	a			Merry and bright?
https://harvard.edu/	p			Harvard psychologist discusses how the holiday season can trigger the blues ­— and how to avoid them
https://harvard.edu/	a			       Read story       
https://harvard.edu/	span			Gazette
https://harvard.edu/	a			Crafting a carol
https://harvard.edu/	p			Composer in residence Carson Cooman created a song for Memorial Church's 110th holiday services
https://harvard.edu/	a			       Read story       
https://harvard.edu/	a			Notice of Settlement of Class Action Relating to Captioning of Public Web Content
https://harvard.edu/	h2			To Serve Better: Harvard across the country
https://harvard.edu/	a			Serving Tennessee
https://harvard.edu/	p			Sarah Lockridge-Steckel founded The Collective, which works to help young people in Memphis, Tennessee
https://harvard.edu/	a			       Read story       
https://harvard.edu/	a			Serving South Dakota
https://harvard.edu/	p			Marnie Gelbart works to increase public understanding of genetics, and the ethical, legal, and social implications
https://harvard.edu/	a			       Read story       
https://harvard.edu/	a			Serving Washington D.C. 
