url	parent	ps	ns	text
https://learn.westcoastuniversity.edu	h1			Blackboard Learn ™
https://learn.westcoastuniversity.edu	h2			View Options
https://learn.westcoastuniversity.edu	a			Change Text Size
https://learn.westcoastuniversity.edu	a			High Contrast Setting
https://learn.westcoastuniversity.edu	div			Please enable JavaScript in your browser for the Blackboard application to function.
https://learn.westcoastuniversity.edu	h2			Have an account?
https://learn.westcoastuniversity.edu	p		b	Please enter your credentials and click the 
https://learn.westcoastuniversity.edu	b			Login
https://learn.westcoastuniversity.edu	p			 button below.     
https://learn.westcoastuniversity.edu	label			Username
https://learn.westcoastuniversity.edu	label			Password
https://learn.westcoastuniversity.edu	span			Student Password Reset
https://learn.westcoastuniversity.edu	span			Faculty Password Reset
https://learn.westcoastuniversity.edu	p		a	For Technical Support, call: 
https://learn.westcoastuniversity.edu	a			1-888-900-2758
http://westcoastuniversity.edu	a			Employment
http://westcoastuniversity.edu	a			Catalog
http://westcoastuniversity.edu	a			Mission Statement
http://westcoastuniversity.edu	a			Blackboard
http://westcoastuniversity.edu	a			Student Portal
http://westcoastuniversity.edu	a			866-508-2684
http://westcoastuniversity.edu	span			toggle menu
http://westcoastuniversity.edu	a			About
http://westcoastuniversity.edu	span	a		[ ]
http://westcoastuniversity.edu	a			University Mission and Values
http://westcoastuniversity.edu	a			West Coast University History
http://westcoastuniversity.edu	a			Office of the Presidents
http://westcoastuniversity.edu	a			Philanthropic Activities
http://westcoastuniversity.edu	a			Accreditation
http://westcoastuniversity.edu	a			Employment at WCU
http://westcoastuniversity.edu	a			WCU Dental Hygiene Clinic
http://westcoastuniversity.edu	a			Alumni
http://westcoastuniversity.edu	a			Campus Programs
http://westcoastuniversity.edu	li			Undergraduate Degrees
http://westcoastuniversity.edu	li			California & Texas
http://westcoastuniversity.edu	a			Bachelor of Science in Nursing
http://westcoastuniversity.edu	a			LVN to Bachelor of Science in Nursing
http://westcoastuniversity.edu	a		br	Bachelor of Science in Dental Hygiene 
http://westcoastuniversity.edu	a			(CA Only)
http://westcoastuniversity.edu	li			Florida
http://westcoastuniversity.edu	a			Associate Degree in Nursing 
http://westcoastuniversity.edu	a			Bachelor of Science in Nursing 
http://westcoastuniversity.edu	a			LPN to Bachelor of Science in Nursing 
http://westcoastuniversity.edu	li		br	Graduate Degrees at the
http://westcoastuniversity.edu	li			Center for Graduate Studies
http://westcoastuniversity.edu	a			Occupational Therapy (MSOT)
http://westcoastuniversity.edu	a			Occupational Therapy Doctorate (OTD)
http://westcoastuniversity.edu	a			Doctor of Physical Therapy (DPT)
http://westcoastuniversity.edu	a			Doctor of Pharmacy (PharmD)
http://westcoastuniversity.edu	a			Online Programs
http://westcoastuniversity.edu	li			Online Undergraduate Degree
http://westcoastuniversity.edu	a			RN to BSN
http://westcoastuniversity.edu	a			Bachelor of Science in Health Administration
http://westcoastuniversity.edu	li			Online RN to MSN Degrees
http://westcoastuniversity.edu	a			RN to MSN - Advanced Generalist
http://westcoastuniversity.edu	a			RN to MSN - Family Nurse Practitioner
http://westcoastuniversity.edu	a			RN to MSN - Nurse Educator
http://westcoastuniversity.edu	a			RN to MSN - Nursing Informatics
http://westcoastuniversity.edu	a			RN to MSN - Nurse Leader
http://westcoastuniversity.edu	li			Online MSN Degrees
http://westcoastuniversity.edu	a			MSN - Advanced Generalist
http://westcoastuniversity.edu	a			MSN - Family Nurse Practitioner
http://westcoastuniversity.edu	a			MSN - Nurse Educator
http://westcoastuniversity.edu	a			MSN - Nursing Informatics
http://westcoastuniversity.edu	a			MSN - Nurse Leader
http://westcoastuniversity.edu	li			Online Graduate Degrees
http://westcoastuniversity.edu	a			MHA - Master of Health Administration
http://westcoastuniversity.edu	a			MPH - Master of Public Health
http://westcoastuniversity.edu	li			Online Post-Graduate Degrees
http://westcoastuniversity.edu	a			DNP - Doctor of Nursing Practice
http://westcoastuniversity.edu	a			Post Master's FNP Certificate
http://westcoastuniversity.edu	a			Post Master's Nurse Educator Certificate
http://westcoastuniversity.edu	a			Post Master's Nursing Informatics Certificate
http://westcoastuniversity.edu	a			Post Master's Nurse Leader Certificate
http://westcoastuniversity.edu	a			Academics
http://westcoastuniversity.edu	a			Online Healthcare and Nursing Curriculum
http://westcoastuniversity.edu	a			Faculty and Administration Staff
http://westcoastuniversity.edu	a			Faculty & Administration Publications and Scholarly Contributions
http://westcoastuniversity.edu	a			University Library
http://westcoastuniversity.edu	a			Simulation Center for Nursing
http://westcoastuniversity.edu	a			Assessment
http://westcoastuniversity.edu	a			Advanced Facilities for Dental Hygiene
http://westcoastuniversity.edu	a			Clinical Partners
http://westcoastuniversity.edu	a			Academic Textbooks
http://westcoastuniversity.edu	a			International Education
http://westcoastuniversity.edu	a			Types of Study Abroad Programs
http://westcoastuniversity.edu	a			Student Travel Resources
http://westcoastuniversity.edu	a			Admissions
http://westcoastuniversity.edu	a			University Catalog
http://westcoastuniversity.edu	a			Undergraduate Requirements
http://westcoastuniversity.edu	a			Graduate Requirements
http://westcoastuniversity.edu	a			Financial Aid
http://westcoastuniversity.edu	a			Family and Parent Information
http://westcoastuniversity.edu	a			Prospective Students
http://westcoastuniversity.edu	a			Request Information
http://westcoastuniversity.edu	a			Information Sessions
http://westcoastuniversity.edu	a			Military Education Resources 
http://westcoastuniversity.edu	a			Students
http://westcoastuniversity.edu	a			Student Services
http://westcoastuniversity.edu	a			University Career Services
http://westcoastuniversity.edu	a			Virtual University Bookstore
http://westcoastuniversity.edu	a			Transcript Request
http://westcoastuniversity.edu	a			Order Uniforms
http://westcoastuniversity.edu	a			University Registrar
http://westcoastuniversity.edu	a			Judicial Affairs
http://westcoastuniversity.edu	a			Safety & Security
http://westcoastuniversity.edu	a			WCU Graduation Commencement Ceremony
http://westcoastuniversity.edu	a			Education With Integrity
http://westcoastuniversity.edu	a			Campuses
http://westcoastuniversity.edu	a			Dallas Campus
http://westcoastuniversity.edu	a			Los Angeles Campus
http://westcoastuniversity.edu	a			Los Angeles Center for Graduate Studies 
http://westcoastuniversity.edu	a			Miami Campus
http://westcoastuniversity.edu	a			Ontario Campus
http://westcoastuniversity.edu	a			Orange County Campus
http://westcoastuniversity.edu	a			Newsroom
http://westcoastuniversity.edu	a			Career
http://westcoastuniversity.edu	a			Health
http://westcoastuniversity.edu	a			Community
http://westcoastuniversity.edu	a			Share Your Story
http://westcoastuniversity.edu	a			WCU Videos
http://westcoastuniversity.edu	a			Request Info
http://westcoastuniversity.edu	h5			Serious about Nursing?
http://westcoastuniversity.edu	h6			A better way earn your Nursing Degree
http://westcoastuniversity.edu	h5			Online Healthcare Programs!
http://westcoastuniversity.edu	h6			Earn your degree in as little as 12 months
http://westcoastuniversity.edu	a			LEARN MORE
http://westcoastuniversity.edu	h6			A better way to earn your Nursing Degree
http://westcoastuniversity.edu	h5			School of Pharmacy
http://westcoastuniversity.edu	h6			Receives Full Accreditation!
http://westcoastuniversity.edu	h5			What's behind that smile?
http://westcoastuniversity.edu	h6			Confidence to earn your BS in Dental Hygiene
http://westcoastuniversity.edu	h1		span	Welcome to 
http://westcoastuniversity.edu	span			West Coast University
http://westcoastuniversity.edu	h1		br	with On Campus and Online 
http://westcoastuniversity.edu	h1			Healthcare Degrees
http://westcoastuniversity.edu	p			In our online or on-campus healthcare degree programs, we have a single purpose: the advancement of healthcare in the communities we serve, and around the world.
http://westcoastuniversity.edu	p			Our range of health care programs—from a bachelor’s to a master's to doctorate level degrees—combined with our technologically advanced facilities are all designed to help you gain the knowledge, experience, and confidence you'll need to take on critical roles in today's healthcare environments. Plus, our online healthcare degree environment is designed to support you and keep you connected.
http://westcoastuniversity.edu	p			As medical techniques and technology take impressive strides forward, West Coast University is committed to helping prepare the next generation of healthcare professionals and leaders through academic excellence, fostering of a student-centric culture and investment in advanced campus facilities.
http://westcoastuniversity.edu	p			Want more Information about a program?
http://westcoastuniversity.edu	div			Please correct error(s) below
http://westcoastuniversity.edu	option			Select Program
http://westcoastuniversity.edu	option			RN to BSN
http://westcoastuniversity.edu	option			Bachelor of Science in Health Administration
http://westcoastuniversity.edu	option			RN to MSN - Advanced Generalist
http://westcoastuniversity.edu	option			RN to MSN - Family Nurse Practitioner
