url	parent	ps	ns	text
https://servicedesk.suagm.edu	option			-- Choose Domain --
https://servicedesk.suagm.edu	option			 ACADEMIC.AGM.SU 
https://servicedesk.suagm.edu	option			 AGM 
https://servicedesk.suagm.edu	option			 UAGM 
https://servicedesk.suagm.edu	option			 UTC 
https://servicedesk.suagm.edu	option			 WORD 
https://servicedesk.suagm.edu	option			 WORK 
https://servicedesk.suagm.edu	option			 WORKGROUP 
https://servicedesk.suagm.edu	option			Local Authentication
https://servicedesk.suagm.edu	div			Select a Domain
https://servicedesk.suagm.edu	div			Options
https://servicedesk.suagm.edu	div			Enter both username and password to proceed
https://servicedesk.suagm.edu	div			Captcha text cannot be empty.
https://servicedesk.suagm.edu	div			Local Authentication
https://servicedesk.suagm.edu	div			--Select Domain--
https://servicedesk.suagm.edu	label		span	Domain - 
https://servicedesk.suagm.edu	button			Log in
http://ut.suagm.edu	a			Pasar al contenido principal
http://ut.suagm.edu	iframe			Google Tag Manager
http://ut.suagm.edu	a			Mi UAGM
http://ut.suagm.edu	a			EMPLEO
http://ut.suagm.edu	a			ACADÉMICOS
http://ut.suagm.edu	a			EXALUMNOS
http://ut.suagm.edu	a			DONAR
http://ut.suagm.edu	span			Toggle navigation
http://ut.suagm.edu	a			Inicio
http://ut.suagm.edu	a		span	Conócenos 
http://ut.suagm.edu	a			Sobre nosotros
http://ut.suagm.edu	a			Acreditaciones
http://ut.suagm.edu	a			Misión, Visión y Valores
http://ut.suagm.edu	a			Nuestro Rector
http://ut.suagm.edu	a			Himno
http://ut.suagm.edu	a			Alianzas
http://ut.suagm.edu	a			Membresías
http://ut.suagm.edu	a			Catálogos
http://ut.suagm.edu	a			Institutos y Centros
http://ut.suagm.edu	a			Museo y Centro de Estudios Humanísticos
http://ut.suagm.edu	a			Relaciones Públicas y Prensa
http://ut.suagm.edu	a			¿Cómo llegar?
http://ut.suagm.edu	a		span	Oferta Académica 
http://ut.suagm.edu	a			Programas
http://ut.suagm.edu	a			Escuelas
http://ut.suagm.edu	a			Localidades
http://ut.suagm.edu	a			Centro de Estudios Graduados e Investigación
