url	parent	ps	ns	text
https://harvard.edu/president/speech/2016/2016-baccalaureate-service-who-will-tell-your-story	a			       Jump to main content     
https://harvard.edu/president/speech/2016/2016-baccalaureate-service-who-will-tell-your-story	a			       Jump to search     
https://harvard.edu/president/speech/2016/2016-baccalaureate-service-who-will-tell-your-story	a			       Jump to the footer     
https://harvard.edu/president/speech/2016/2016-baccalaureate-service-who-will-tell-your-story	span			         Harvard University       
https://harvard.edu/president/speech/2016/2016-baccalaureate-service-who-will-tell-your-story	a			     Menu   
https://harvard.edu/president/speech/2016/2016-baccalaureate-service-who-will-tell-your-story	a		span	                 About                 
https://harvard.edu/president/speech/2016/2016-baccalaureate-service-who-will-tell-your-story	span			                   Harvard                 
https://harvard.edu/president/speech/2016/2016-baccalaureate-service-who-will-tell-your-story	a			Harvard at a Glance
https://harvard.edu/president/speech/2016/2016-baccalaureate-service-who-will-tell-your-story	a			Harvard's President
https://harvard.edu/president/speech/2016/2016-baccalaureate-service-who-will-tell-your-story	a			Harvard's Leadership
https://harvard.edu/president/speech/2016/2016-baccalaureate-service-who-will-tell-your-story	a			Academic Experience
https://harvard.edu/president/speech/2016/2016-baccalaureate-service-who-will-tell-your-story	a			Administrative Offices
https://harvard.edu/president/speech/2016/2016-baccalaureate-service-who-will-tell-your-story	a			Directories
https://harvard.edu/president/speech/2016/2016-baccalaureate-service-who-will-tell-your-story	a			Harvard in the Community
https://harvard.edu/president/speech/2016/2016-baccalaureate-service-who-will-tell-your-story	a			News
https://harvard.edu/president/speech/2016/2016-baccalaureate-service-who-will-tell-your-story	a		span	                 Admissions                 
https://harvard.edu/president/speech/2016/2016-baccalaureate-service-who-will-tell-your-story	span			                   & Aid                 
https://harvard.edu/president/speech/2016/2016-baccalaureate-service-who-will-tell-your-story	a			Undergraduate
https://harvard.edu/president/speech/2016/2016-baccalaureate-service-who-will-tell-your-story	a			Graduate & Professional Schools
https://harvard.edu/president/speech/2016/2016-baccalaureate-service-who-will-tell-your-story	a			Continuing Education
https://harvard.edu/president/speech/2016/2016-baccalaureate-service-who-will-tell-your-story	a			Summer Programs
https://harvard.edu/president/speech/2016/2016-baccalaureate-service-who-will-tell-your-story	a			                 Schools               
https://harvard.edu/president/speech/2016/2016-baccalaureate-service-who-will-tell-your-story	a			Business
https://harvard.edu/president/speech/2016/2016-baccalaureate-service-who-will-tell-your-story	a			College
https://harvard.edu/president/speech/2016/2016-baccalaureate-service-who-will-tell-your-story	a			Continuing Education
https://harvard.edu/president/speech/2016/2016-baccalaureate-service-who-will-tell-your-story	a			Dental
https://harvard.edu/president/speech/2016/2016-baccalaureate-service-who-will-tell-your-story	a			Design
https://harvard.edu/president/speech/2016/2016-baccalaureate-service-who-will-tell-your-story	a			Divinity
https://harvard.edu/president/speech/2016/2016-baccalaureate-service-who-will-tell-your-story	a			Education
https://harvard.edu/president/speech/2016/2016-baccalaureate-service-who-will-tell-your-story	a			Engineering
https://harvard.edu/president/speech/2016/2016-baccalaureate-service-who-will-tell-your-story	a			Faculty of Arts & Sciences
https://harvard.edu/president/speech/2016/2016-baccalaureate-service-who-will-tell-your-story	a			Government
https://harvard.edu/president/speech/2016/2016-baccalaureate-service-who-will-tell-your-story	a			Graduate School
https://harvard.edu/president/speech/2016/2016-baccalaureate-service-who-will-tell-your-story	a			Law
https://harvard.edu/president/speech/2016/2016-baccalaureate-service-who-will-tell-your-story	a			Medical
https://harvard.edu/president/speech/2016/2016-baccalaureate-service-who-will-tell-your-story	a			Public Health
https://harvard.edu/president/speech/2016/2016-baccalaureate-service-who-will-tell-your-story	a			Radcliffe Institute
https://harvard.edu/president/speech/2016/2016-baccalaureate-service-who-will-tell-your-story	a			                 On Campus               
https://harvard.edu/president/speech/2016/2016-baccalaureate-service-who-will-tell-your-story	a			Arts and Humanities
https://harvard.edu/president/speech/2016/2016-baccalaureate-service-who-will-tell-your-story	a			Athletics
https://harvard.edu/president/speech/2016/2016-baccalaureate-service-who-will-tell-your-story	a			Commencement
https://harvard.edu/president/speech/2016/2016-baccalaureate-service-who-will-tell-your-story	a			Employment
https://harvard.edu/president/speech/2016/2016-baccalaureate-service-who-will-tell-your-story	a			Events
https://harvard.edu/president/speech/2016/2016-baccalaureate-service-who-will-tell-your-story	a			HarvardX
https://harvard.edu/president/speech/2016/2016-baccalaureate-service-who-will-tell-your-story	a			Library
https://harvard.edu/president/speech/2016/2016-baccalaureate-service-who-will-tell-your-story	a			Museums
https://harvard.edu/president/speech/2016/2016-baccalaureate-service-who-will-tell-your-story	a			Research
https://harvard.edu/president/speech/2016/2016-baccalaureate-service-who-will-tell-your-story	a			Science
https://harvard.edu/president/speech/2016/2016-baccalaureate-service-who-will-tell-your-story	a			Visit Harvard
https://harvard.edu/president/speech/2016/2016-baccalaureate-service-who-will-tell-your-story	a			                 Gazette News               
https://harvard.edu/president/speech/2016/2016-baccalaureate-service-who-will-tell-your-story	a			                 Events               
https://harvard.edu/president/speech/2016/2016-baccalaureate-service-who-will-tell-your-story	a			                 Visit               
https://harvard.edu/president/speech/2016/2016-baccalaureate-service-who-will-tell-your-story	a			                 Give               
https://harvard.edu/president/speech/2016/2016-baccalaureate-service-who-will-tell-your-story	a			Faculty
https://harvard.edu/president/speech/2016/2016-baccalaureate-service-who-will-tell-your-story	a			Staff
https://harvard.edu/president/speech/2016/2016-baccalaureate-service-who-will-tell-your-story	a			Students
https://harvard.edu/president/speech/2016/2016-baccalaureate-service-who-will-tell-your-story	a			Alumni
https://harvard.edu/president/speech/2016/2016-baccalaureate-service-who-will-tell-your-story	a			Parents
https://harvard.edu/president/speech/2016/2016-baccalaureate-service-who-will-tell-your-story	a			Visitors
https://harvard.edu/president/speech/2016/2016-baccalaureate-service-who-will-tell-your-story	a			Media
https://harvard.edu/president/speech/2016/2016-baccalaureate-service-who-will-tell-your-story	span			       Search:     
https://harvard.edu/president/speech/2016/2016-baccalaureate-service-who-will-tell-your-story	span			       Open Search     
https://harvard.edu/president/speech/2016/2016-baccalaureate-service-who-will-tell-your-story	span			About Harvard
https://harvard.edu/president/speech/2016/2016-baccalaureate-service-who-will-tell-your-story	span			History of the Presidency
https://harvard.edu/president/speech/2016/2016-baccalaureate-service-who-will-tell-your-story	span			Drew Gilpin Faust
https://harvard.edu/president/speech/2016/2016-baccalaureate-service-who-will-tell-your-story	h1			     History of Presidency    
https://harvard.edu/president/speech/2016/2016-baccalaureate-service-who-will-tell-your-story	h2			2016 Baccalaureate Service: “Who Will Tell Your Story?”
https://harvard.edu/president/speech/2016/2016-baccalaureate-service-who-will-tell-your-story	time			May 24, 2016
https://harvard.edu/president/speech/2016/2016-baccalaureate-service-who-will-tell-your-story	p			Drew Gilpin Faust
https://harvard.edu/president/speech/2016/2016-baccalaureate-service-who-will-tell-your-story	p			               Memorial Church, Cambridge, Mass.            
https://harvard.edu/president/speech/2016/2016-baccalaureate-service-who-will-tell-your-story	em			As delivered.
https://harvard.edu/president/speech/2016/2016-baccalaureate-service-who-will-tell-your-story	p			Greetings, Class of 2016.
