url	parent	ps	ns	text
https://calendar.byui.edu	noscript			Master Calendar requires Javascript to be supported and enabled.
https://calendar.byui.edu	div			   EMS Master Calendar  
https://calendar.byui.edu	span			Help Text
https://calendar.byui.edu	h1			Calendar Managers
https://calendar.byui.edu	span			It looks like you have enabled Internet Explorer Compatibility View.  Master Calendar works best if you turn this off.
https://calendar.byui.edu	span			Dismiss
https://calendar.byui.edu	div			 guest
https://calendar.byui.edu	label			User Id
https://calendar.byui.edu	label			Password
https://calendar.byui.edu	label			Time zone
https://calendar.byui.edu	div			Email me my password
https://calendar.byui.edu	div			Login
https://calendar.byui.edu	div			Cancel
https://calendar.byui.edu	label			Email
https://calendar.byui.edu	div			Email Me
https://calendar.byui.edu	a	div		Notifications/iCal Feeds
https://calendar.byui.edu	div			Calendars
https://calendar.byui.edu	span			Expand/Collapse Arrow
https://calendar.byui.edu	div			Filters
https://calendar.byui.edu	div			   Event Types  
https://calendar.byui.edu	div			   Locations  
https://calendar.byui.edu	div			   Rooms  
https://calendar.byui.edu	div			   Departments  
https://calendar.byui.edu	div			                                  Back to Calendar                              
https://calendar.byui.edu	div			Search Results
https://calendar.byui.edu	label			From:
https://calendar.byui.edu	label			To:
https://calendar.byui.edu	label			Use Selected Filters
https://calendar.byui.edu	label			Use Exact Match
https://calendar.byui.edu	label			General events
https://calendar.byui.edu	label			Special dates
https://calendar.byui.edu	div		span	Your search for: '
https://calendar.byui.edu	div		span	' returned (
https://calendar.byui.edu	div			) result(s)
https://calendar.byui.edu	span			Select to export the search results as a .csv file
https://calendar.byui.edu	div			Export
https://calendar.byui.edu	span			Event Date
https://calendar.byui.edu	span			Title
https://calendar.byui.edu	div			   Location  
https://calendar.byui.edu	span			Calendar
https://calendar.byui.edu	span			Load More Results
https://calendar.byui.edu	div			   Notes  
https://calendar.byui.edu	div			   Featured Events  
https://calendar.byui.edu	h1			Featured Event Title
https://calendar.byui.edu	div			                                              more                                          
https://calendar.byui.edu	div			                              Events                          
https://calendar.byui.edu	div			Day
https://calendar.byui.edu	div			Week
https://calendar.byui.edu	div			Month
https://calendar.byui.edu	div			List
https://calendar.byui.edu	div			Calendar
https://calendar.byui.edu	div			Add Event
https://calendar.byui.edu	label			Display as
https://calendar.byui.edu	div			Select Calendar(s)
https://calendar.byui.edu	div			                              Back to events                          
https://calendar.byui.edu	div			more
https://calendar.byui.edu	div			Footer
https://calendar.byui.edu	div			              Announcements
https://calendar.byui.edu	div			              Apply
https://calendar.byui.edu	a			Calendar Managers
https://calendar.byui.edu	a			RSS Feeds
https://calendar.byui.edu	span			Loading
https://calendar.byui.edu	a			Edit
https://library.byui.edu	a			 Research Tools
https://library.byui.edu	h2			Search
