url	parent	ps	ns	text
https://cel.csusb.edu	a			Skip banner navigation
https://cel.csusb.edu	a			Skip to main content
https://cel.csusb.edu	a			Quicklinks
https://cel.csusb.edu	strong			Header Menu Left
https://cel.csusb.edu	a			myCoyote
https://cel.csusb.edu	a			Palm Desert Campus
https://cel.csusb.edu	strong			Header Menu Right
https://cel.csusb.edu	a			Directory
https://cel.csusb.edu	a			Map & Directions
https://cel.csusb.edu	a			Support CSUSB
https://cel.csusb.edu	label			Enter your keywords 
https://cel.csusb.edu	button	div		Search
https://cel.csusb.edu	span			Toggle navigation
https://cel.csusb.edu	span		span	Admissions 
https://cel.csusb.edu	span			Admissions Dropdown Content
https://cel.csusb.edu	span			Menu Column 1
https://cel.csusb.edu	a			Admissions Overview
https://cel.csusb.edu	a			Explore CSUSB
https://cel.csusb.edu	a			Apply to CSUSB
https://cel.csusb.edu	a			After I'm Admitted
https://cel.csusb.edu	a			First-year Students
https://cel.csusb.edu	span			Menu Column 2
https://cel.csusb.edu	a			Transfer
https://cel.csusb.edu	a			Graduate Students
https://cel.csusb.edu	a			International Students
https://cel.csusb.edu	a			English Language Program
https://cel.csusb.edu	a			Undocumented Student Success Center
https://cel.csusb.edu	span			Menu Column 3
https://cel.csusb.edu	a			Osher Lifelong Learners
https://cel.csusb.edu	a			Military Veterans / Dependents
https://cel.csusb.edu	a			Financial Aid & Scholarships
https://cel.csusb.edu	a			Student Financial Services
https://cel.csusb.edu	a			Summer Session
https://cel.csusb.edu	span		span	Academics 
https://cel.csusb.edu	span			Academics Dropdown Content
https://cel.csusb.edu	span			Menu Column 4
https://cel.csusb.edu	span			University 
https://cel.csusb.edu	a			Degrees & Programs
https://cel.csusb.edu	a			Colleges & Departments
https://cel.csusb.edu	a			Course Catalog / Bulletin
https://cel.csusb.edu	a			Course Schedule
https://cel.csusb.edu	a			Academic Calendar
https://cel.csusb.edu	span			Menu Column 5
https://cel.csusb.edu	a			Online Programs
https://cel.csusb.edu	a			John M. Pfau Library
https://cel.csusb.edu	a			Office of Undergraduate Studies
https://cel.csusb.edu	a			Office of Graduate Studies
https://cel.csusb.edu	a			Semester Conversion
https://cel.csusb.edu	span			Menu Column 6
https://cel.csusb.edu	a			Office of the Registrar
https://cel.csusb.edu	a			Academic Advising
https://cel.csusb.edu	a			Academic & Support Resources
https://cel.csusb.edu	a			Research
https://cel.csusb.edu	a			Library
https://cel.csusb.edu	span		span	Athletics 
https://cel.csusb.edu	span			Athletics Dropdown Content
https://cel.csusb.edu	span			Men's Sports
https://cel.csusb.edu	span			 Men's Sports 
https://cel.csusb.edu	a			Baseball
https://cel.csusb.edu	a			Basketball
https://cel.csusb.edu	a			Golf
https://cel.csusb.edu	a			Soccer
https://cel.csusb.edu	span			Women's Sports
https://cel.csusb.edu	span			 Women's Sports 
https://cel.csusb.edu	a			Softball
https://cel.csusb.edu	a			Cheer & Dance
https://cel.csusb.edu	a			Track & Field
https://cel.csusb.edu	a			Cross Country
https://cel.csusb.edu	a			Volleyball
