url	parent	ps	ns	text
https://harvard.edu/#k	a			       Jump to main content     
https://harvard.edu/#k	a			       Jump to search     
https://harvard.edu/#k	a			       Jump to the footer     
https://harvard.edu/#k	span			         Harvard University       
https://harvard.edu/#k	a			     Menu   
https://harvard.edu/#k	a		span	                 About                 
https://harvard.edu/#k	span			                   Harvard                 
https://harvard.edu/#k	a			Harvard at a Glance
https://harvard.edu/#k	a			Harvard's President
https://harvard.edu/#k	a			Harvard's Leadership
https://harvard.edu/#k	a			Academic Experience
https://harvard.edu/#k	a			Administrative Offices
https://harvard.edu/#k	a			Directories
https://harvard.edu/#k	a			Harvard in the Community
https://harvard.edu/#k	a			News
https://harvard.edu/#k	a		span	                 Admissions                 
https://harvard.edu/#k	span			                   & Aid                 
https://harvard.edu/#k	a			Undergraduate
https://harvard.edu/#k	a			Graduate & Professional Schools
https://harvard.edu/#k	a			Continuing Education
https://harvard.edu/#k	a			Summer Programs
https://harvard.edu/#k	a			                 Schools               
https://harvard.edu/#k	a			Business
https://harvard.edu/#k	a			College
https://harvard.edu/#k	a			Continuing Education
https://harvard.edu/#k	a			Dental
https://harvard.edu/#k	a			Design
https://harvard.edu/#k	a			Divinity
https://harvard.edu/#k	a			Education
https://harvard.edu/#k	a			Engineering
https://harvard.edu/#k	a			Faculty of Arts & Sciences
https://harvard.edu/#k	a			Government
https://harvard.edu/#k	a			Graduate School
https://harvard.edu/#k	a			Law
https://harvard.edu/#k	a			Medical
https://harvard.edu/#k	a			Public Health
https://harvard.edu/#k	a			Radcliffe Institute
https://harvard.edu/#k	a			                 On Campus               
https://harvard.edu/#k	a			Arts and Humanities
https://harvard.edu/#k	a			Athletics
https://harvard.edu/#k	a			Commencement
https://harvard.edu/#k	a			Employment
https://harvard.edu/#k	a			Events
https://harvard.edu/#k	a			HarvardX
https://harvard.edu/#k	a			Library
https://harvard.edu/#k	a			Museums
https://harvard.edu/#k	a			Research
https://harvard.edu/#k	a			Science
https://harvard.edu/#k	a			Visit Harvard
https://harvard.edu/#k	a			                 Gazette News               
https://harvard.edu/#k	a			                 Events               
https://harvard.edu/#k	a			                 Visit               
https://harvard.edu/#k	a			                 Give               
https://harvard.edu/#k	a			Faculty
https://harvard.edu/#k	a			Staff
https://harvard.edu/#k	a			Students
https://harvard.edu/#k	a			Alumni
https://harvard.edu/#k	a			Parents
https://harvard.edu/#k	a			Visitors
https://harvard.edu/#k	a			Media
https://harvard.edu/#k	span			       Search:     
https://harvard.edu/#k	span			       Open Search     
https://harvard.edu/#k	h2			         Sit by the Harvard Yule Log this holiday season       
https://harvard.edu/#k	a		span	Get cozy    
https://harvard.edu/#k	span			     Sit by the Harvard Yule Log this holiday season     
https://harvard.edu/#k	span			Gazette
https://harvard.edu/#k	a			Holiday reflections 
https://harvard.edu/#k	p			Harvard students leaving for break take a moment to reflect on the holidays, their achievements and dreams
https://harvard.edu/#k	a			       Read story       
https://harvard.edu/#k	span			Gazette
https://harvard.edu/#k	a			Deck the halls and set the table
https://harvard.edu/#k	p			Members of the Harvard community share their favorite holiday dishes
https://harvard.edu/#k	a			       Read story       
https://harvard.edu/#k	span			Gazette
https://harvard.edu/#k	a			Merry and bright?
https://harvard.edu/#k	p			Harvard psychologist discusses how the holiday season can trigger the blues ­— and how to avoid them
https://harvard.edu/#k	a			       Read story       
https://harvard.edu/#k	span			Gazette
https://harvard.edu/#k	a			Crafting a carol
https://harvard.edu/#k	p			Composer in residence Carson Cooman created a song for Memorial Church's 110th holiday services
https://harvard.edu/#k	a			       Read story       
https://harvard.edu/#k	a			Notice of Settlement of Class Action Relating to Captioning of Public Web Content
https://harvard.edu/#k	h2			To Serve Better: Harvard across the country
https://harvard.edu/#k	a			Serving Tennessee
https://harvard.edu/#k	p			Sarah Lockridge-Steckel founded The Collective, which works to help young people in Memphis, Tennessee
https://harvard.edu/#k	a			       Read story       
https://harvard.edu/#k	a			Serving South Dakota
https://harvard.edu/#k	p			Marnie Gelbart works to increase public understanding of genetics, and the ethical, legal, and social implications
https://harvard.edu/#k	a			       Read story       
https://harvard.edu/#k	a			Serving Washington D.C. 
https://harvard.edu/#k	p			Clint Smith, whose dissertation focuses on juveniles facing life sentences, leads a prison reading program in Washington, D.C.
https://harvard.edu/#k	a			       Read story       
https://harvard.edu/#k	a			             Explore the project           
https://harvard.edu/#k	h2			Events
https://harvard.edu/#k	p			       Thursday, December 26, 2019, 3:00pm     
https://harvard.edu/#k	a			The Christmas Revels 2019: An American Celebration of the Winter Solstice
https://harvard.edu/#k	p			       Thursday, December 26, 2019, 3:00pm - 4:00pm     
https://harvard.edu/#k	a			Early Christian Africa: Arts of Transformation
https://harvard.edu/#k	p			       Thursday, December 26, 2019, 9:00am - 5:00pm     
https://harvard.edu/#k	a			Animal Talk Scavenger Hunt
https://harvard.edu/#k	p			       Friday, December 27, 2019, 9:00am - 5:00pm     
https://harvard.edu/#k	a			Angela Davis Exhibition: Freed by the People
https://harvard.edu/#k	a			         See more events       
https://harvard.edu/#k	h2			       Harvard scientists are working to help tackle climate change    
https://harvard.edu/#k	a		span	    Learn more    
https://harvard.edu/#k	span			     Harvard scientists are working to help tackle climate change    
https://harvard.edu/#k	h2			Featured Multimedia
https://harvard.edu/#k	h2			       Explore Harvard's online courses and learning content    
https://harvard.edu/#k	a		span	    View Courses    
https://harvard.edu/#k	span			     Explore Harvard's online courses and learning content    
https://harvard.edu/#k	h2			Harvard on Twitter
https://harvard.edu/#k	span			Twitter
https://harvard.edu/#k	time			December 26, 2019
https://harvard.edu/#k	p		a	         Harvard student Julia Riew wrote the book and composed the music for “Thumbelina: A Little Musical,” at the Loeb Dr…  
https://harvard.edu/#k	a			https://twitter.com/i/web/status/1210232556991455232
https://harvard.edu/#k	a			          View this Tweet         
https://harvard.edu/#k	span			Twitter
https://harvard.edu/#k	time			December 26, 2019
https://harvard.edu/#k	p		a	         Fewer Americans are getting primary care than before, according to a national analysis of trends in the field by…  
https://harvard.edu/#k	a			https://twitter.com/i/web/status/1210200844790116353
https://harvard.edu/#k	a			          View this Tweet         
https://harvard.edu/#k	span			Twitter
https://harvard.edu/#k	time			December 25, 2019
https://harvard.edu/#k	p		a	         Professor  
https://harvard.edu/#k	a			@RNicholasBurns
https://harvard.edu/#k	p		a	 is set to lead an 
https://harvard.edu/#k	a			#HAATravel
https://harvard.edu/#k	p		a	 trip on the legacy of WWI in Belgium and France  
https://harvard.edu/#k	a			https://hvrdalum.me/harvardalumni88236
https://harvard.edu/#k	a			          View this Tweet         
https://harvard.edu/#k	span			Twitter
https://harvard.edu/#k	time			December 25, 2019
https://harvard.edu/#k	p		a	         The director of psychology at Brigham and Women’s talks about why the holiday season can trigger the blues ¬— and h…  
https://harvard.edu/#k	a			https://twitter.com/i/web/status/1209929305654013959
https://harvard.edu/#k	a			          View this Tweet         
https://harvard.edu/#k	span			Twitter
https://harvard.edu/#k	time			December 25, 2019
https://harvard.edu/#k	p		a	         Merry Christmas! This beautiful depiction of the Madonna and Child made c. 1265 in Pisa is among the oldest of many…  
https://harvard.edu/#k	a			https://twitter.com/i/web/status/1209836288037265412
https://harvard.edu/#k	a			          View this Tweet         
https://harvard.edu/#k	span			Twitter
https://harvard.edu/#k	time			December 25, 2019
https://harvard.edu/#k	p		a	         A very Merry Christmas to our alumni! We hope your day is filled with lots of love and cheer! 🎅🎄❤️  
https://harvard.edu/#k	a			https://t.co/gH4IdK8eMN
https://harvard.edu/#k	a			          View this Tweet         
https://harvard.edu/#k	span			Twitter
https://harvard.edu/#k	time			December 24, 2019
https://harvard.edu/#k	a			@peabodymuseum
https://harvard.edu/#k	p		a	 examines the origins of our favorite foods, how we make them, and who serves them  
https://harvard.edu/#k	a			https://hvrdalum.me/resettingtable848de
https://harvard.edu/#k	a			          View this Tweet         
https://harvard.edu/#k	span			Twitter
https://harvard.edu/#k	time			December 24, 2019
https://harvard.edu/#k	p		a	         Members of the Harvard community shared what they cook and eat during the holidays, and what makes their favorite d…  
https://harvard.edu/#k	a			https://twitter.com/i/web/status/1209571953130033159
https://harvard.edu/#k	a			          View this Tweet         
https://harvard.edu/#k	span			Twitter
https://harvard.edu/#k	time			December 24, 2019
https://harvard.edu/#k	p		a	         These are some of the most-read stories of campus, community, and achievement at Harvard this year  
https://harvard.edu/#k	a			https://hrvd.me/topstories19t
https://harvard.edu/#k	a			          View this Tweet         
https://harvard.edu/#k	span			Twitter
https://harvard.edu/#k	time			December 24, 2019
https://harvard.edu/#k	p		a	         Time is running out to RSVP! Meet us in Seattle with  
https://harvard.edu/#k	a			@harvardseattle
https://harvard.edu/#k	a			@harvardaed
https://harvard.edu/#k	p		a	, and  
https://harvard.edu/#k	a			@alumnistartups
https://harvard.edu/#k	a			https://twitter.com/i/web/status/1209547545669775360
https://harvard.edu/#k	a			          View this Tweet         
https://harvard.edu/#k	a			             Social media directory           
https://harvard.edu/#k	h2			Latest Harvard Gazette News
https://harvard.edu/#k	a			Prince gave up a title for scholarship; discusses hopes for reform
https://harvard.edu/#k	time			December 23, 2019
https://harvard.edu/#k	div			         Morocco’s Prince Moulay Hicham el Alaoui relinquished his title to press for democratic principles. In an Epicenter article, he assessed the Arab Spring.      
https://harvard.edu/#k	a			           Read more         
https://harvard.edu/#k	a			Harvard faculty and staff on the biggest moments of the 2010s
https://harvard.edu/#k	time			December 23, 2019
https://harvard.edu/#k	div			         Harvard experts recalling some of the biggest moments of the 2010s.      
https://harvard.edu/#k	a			           Read more         
https://harvard.edu/#k	a			Harvard photographers pick their favorites for 2019
https://harvard.edu/#k	time			December 23, 2019
https://harvard.edu/#k	div			         Harvard staff photographers select their favorite pics from the year, offering the story behind the image.      
https://harvard.edu/#k	a			           Read more         
https://harvard.edu/#k	a			Twenty-eight top Harvard Gazette stories of 2019
https://harvard.edu/#k	time			December 23, 2019
https://harvard.edu/#k	div			         A review of the top 28 Harvard Gazette stories of 2019.      
https://harvard.edu/#k	a			           Read more         
https://harvard.edu/#k	p			     Get the latest Harvard Gazette news delivered to your inbox.   
https://harvard.edu/#k	label			           Your Email:         
https://harvard.edu/#k	button			           Subscribe         
https://harvard.edu/#k	h2			News from Around Harvard
https://harvard.edu/#k	a			Eosinophilic esophagitis: A new food-related allergic condition on the rise?
https://harvard.edu/#k	time			December 26, 2019
https://harvard.edu/#k	div			         Eosinophilic esophagitis is an allergic inflammation of the esophagus that most typically develops as an allergic response to certain foods. …      
https://harvard.edu/#k	a			           Read more         
https://harvard.edu/#k	a			Improving Civility in the Workplace
https://harvard.edu/#k	time			December 26, 2019
https://harvard.edu/#k	div			         Krista Tippett, host of “On Being,” believes we are in the middle of a big shift in the workplace. …      
https://harvard.edu/#k	a			           Read more         
https://harvard.edu/#k	a			Gender Equality Issues
https://harvard.edu/#k	time			December 26, 2019
https://harvard.edu/#k	div			         Are you being treated unfairly at work because of your gender? Dan and Alison answer your questions with the help of Michelle King, the director of inclusion at Netflix. …      
https://harvard.edu/#k	a			           Read more         
https://harvard.edu/#k	a			What Happens When Your Career Becomes Your Whole Identity
https://harvard.edu/#k	time			December 26, 2019
https://harvard.edu/#k	div			         Don’t let the weight of your job squash your sense of self.          
https://harvard.edu/#k	a			           Read more         
https://harvard.edu/#k	a			How Kaiser Permanente Prepares for Disasters
