url	parent	ps	ns	text
https://yale.edu/about-yale/leadership-organization/stephen-murphy	a			Skip to Main Content
https://yale.edu/about-yale/leadership-organization/stephen-murphy	p			It looks like you're trying to zoom in on this page. For best results: use the most recent version of your browser, disable your browser's 'zoom text only' setting, and use your browser's default font size settings.
https://yale.edu/about-yale/leadership-organization/stephen-murphy	p			To zoom in, use [Ctrl]   [ ] in Windows, and [Cmd]   [ ] on a Mac. To zoom out, use the keyboard shortcut [Ctrl]   [-] in Windows and [Cmd]   [-] on a Mac.
https://yale.edu/about-yale/leadership-organization/stephen-murphy	h1			Yale University
https://yale.edu/about-yale/leadership-organization/stephen-murphy	h2			Secondary Navigation
https://yale.edu/about-yale/leadership-organization/stephen-murphy	span			Calendars
https://yale.edu/about-yale/leadership-organization/stephen-murphy	span			Giving
https://yale.edu/about-yale/leadership-organization/stephen-murphy	span			News
https://yale.edu/about-yale/leadership-organization/stephen-murphy	span			Directories
https://yale.edu/about-yale/leadership-organization/stephen-murphy	span			Search
https://yale.edu/about-yale/leadership-organization/stephen-murphy	button			Navigation
https://yale.edu/about-yale/leadership-organization/stephen-murphy	label			Info for...
https://yale.edu/about-yale/leadership-organization/stephen-murphy	option			Students
https://yale.edu/about-yale/leadership-organization/stephen-murphy	option	option		Faculty
https://yale.edu/about-yale/leadership-organization/stephen-murphy	option	option		Staff
https://yale.edu/about-yale/leadership-organization/stephen-murphy	option	option		Alumni
https://yale.edu/about-yale/leadership-organization/stephen-murphy	h2			Main Navigation
https://yale.edu/about-yale/leadership-organization/stephen-murphy	a			About Yale
https://yale.edu/about-yale/leadership-organization/stephen-murphy	a			Leadership & Organization
https://yale.edu/about-yale/leadership-organization/stephen-murphy	a	a		Yale Facts
https://yale.edu/about-yale/leadership-organization/stephen-murphy	a	a		Traditions & History
https://yale.edu/about-yale/leadership-organization/stephen-murphy	a	a		Yale & the World
https://yale.edu/about-yale/leadership-organization/stephen-murphy	a	a		Visiting
https://yale.edu/about-yale/leadership-organization/stephen-murphy	a			Academics
https://yale.edu/about-yale/leadership-organization/stephen-murphy	a			Undergraduate Study
https://yale.edu/about-yale/leadership-organization/stephen-murphy	a	a		Graduate & Professional Study
https://yale.edu/about-yale/leadership-organization/stephen-murphy	a	a		Departments & Programs
https://yale.edu/about-yale/leadership-organization/stephen-murphy	a	a		Global Education
https://yale.edu/about-yale/leadership-organization/stephen-murphy	a	a		Summer Session
https://yale.edu/about-yale/leadership-organization/stephen-murphy	a	a		Non-Degree Offerings
https://yale.edu/about-yale/leadership-organization/stephen-murphy	a	a		Online Learning
https://yale.edu/about-yale/leadership-organization/stephen-murphy	a			Admissions
https://yale.edu/about-yale/leadership-organization/stephen-murphy	a			Undergraduate
https://yale.edu/about-yale/leadership-organization/stephen-murphy	a	a		Graduate & Professional Schools
https://yale.edu/about-yale/leadership-organization/stephen-murphy	a	a		Financial Aid
https://yale.edu/about-yale/leadership-organization/stephen-murphy	a	a		International Students
https://yale.edu/about-yale/leadership-organization/stephen-murphy	a	a		Summer Session
https://yale.edu/about-yale/leadership-organization/stephen-murphy	a	a		Non-Degree Seeking Students
https://yale.edu/about-yale/leadership-organization/stephen-murphy	a	a		World Fellows Program
https://yale.edu/about-yale/leadership-organization/stephen-murphy	a			Research & Collections
https://yale.edu/about-yale/leadership-organization/stephen-murphy	a			Research at Yale
https://yale.edu/about-yale/leadership-organization/stephen-murphy	a	a		Libraries
https://yale.edu/about-yale/leadership-organization/stephen-murphy	a	a		Museums & Galleries
https://yale.edu/about-yale/leadership-organization/stephen-murphy	a	a		Centers & Institutes
https://yale.edu/about-yale/leadership-organization/stephen-murphy	a	a		Digital Collections & Open Resources
https://yale.edu/about-yale/leadership-organization/stephen-murphy	a			Life at Yale
https://yale.edu/about-yale/leadership-organization/stephen-murphy	a			Arts & Culture
https://yale.edu/about-yale/leadership-organization/stephen-murphy	a	a		Athletics & Recreation
https://yale.edu/about-yale/leadership-organization/stephen-murphy	a	a		Belonging at Yale
https://yale.edu/about-yale/leadership-organization/stephen-murphy	a	a		Health & Wellness
https://yale.edu/about-yale/leadership-organization/stephen-murphy	a	a		New Haven
https://yale.edu/about-yale/leadership-organization/stephen-murphy	a	a		Residential Life
https://yale.edu/about-yale/leadership-organization/stephen-murphy	a	a		Service
https://yale.edu/about-yale/leadership-organization/stephen-murphy	a	a		Student Groups & Activities
https://yale.edu/about-yale/leadership-organization/stephen-murphy	span			Search
https://yale.edu/about-yale/leadership-organization/stephen-murphy	h2			Breadcrumb
https://yale.edu/about-yale/leadership-organization/stephen-murphy	span			Home
https://yale.edu/about-yale/leadership-organization/stephen-murphy	span			About Yale
https://yale.edu/about-yale/leadership-organization/stephen-murphy	span			Leadership & Organization
https://yale.edu/about-yale/leadership-organization/stephen-murphy	span			Stephen C. Murphy, ’87 B.A.
https://yale.edu/about-yale/leadership-organization/stephen-murphy	h2			Additional Navigation
https://yale.edu/about-yale/leadership-organization/stephen-murphy	h2			Sub Navigation
https://yale.edu/about-yale/leadership-organization/stephen-murphy	a			Leadership & Organization
https://yale.edu/about-yale/leadership-organization/stephen-murphy	a			Yale Facts
https://yale.edu/about-yale/leadership-organization/stephen-murphy	a			Traditions & History
https://yale.edu/about-yale/leadership-organization/stephen-murphy	a			Yale & the World
https://yale.edu/about-yale/leadership-organization/stephen-murphy	a			Visiting
https://yale.edu/about-yale/leadership-organization/stephen-murphy	h1			Stephen C. Murphy, ’87 B.A.
https://yale.edu/about-yale/leadership-organization/stephen-murphy	div			Vice President for Finance & Chief Financial Officer
https://yale.edu/about-yale/leadership-organization/stephen-murphy	p			Mr. Murphy is vice president for finance and chief financial officer of the university.
https://yale.edu/about-yale/leadership-organization/stephen-murphy	p			In this role, he is responsible for overseeing the controller’s office, financial planning and analysis, procurement, financial shared services center, and financial systems support. Previously, he served as associate vice president for finance from 2012 to 2015, associate vice president for financial planning and analysis from 2009 to 2012, and associate vice president for business operations from 2007 to 2009. He joined the University in 2001 as the director of finance and administration for the office of cooperative research. Prior to working for Yale, he served in various finance and business development positions in the private sector, including finance director for Wilson Sporting Goods Europe based in Munich; director of business development for Häagen-Dazs Asia/Pacific based in Hong Kong; and as the senior financial executive at several technology companies. He began his career as a management consultant at Marakon Associates. He serves on the Yale New Haven Hospital, and as a board member and treasurer for the Foote School. He is a former member of the board of trustees for St. Thomas More Chapel & Center at Yale. Mr. Murphy holds a B.A. in economics from Yale.
https://yale.edu/about-yale/leadership-organization/stephen-murphy	label			Info for Visiting Yale
https://yale.edu/about-yale/leadership-organization/stephen-murphy	option			Campus Tours
https://yale.edu/about-yale/leadership-organization/stephen-murphy	option	option		Maps & Directions
https://yale.edu/about-yale/leadership-organization/stephen-murphy	option	option		Yale Visitor Center
https://yale.edu/about-yale/leadership-organization/stephen-murphy	option	option		Museums & Galleries
https://yale.edu/about-yale/leadership-organization/stephen-murphy	option	option		New Haven
https://yale.edu/about-yale/leadership-organization/stephen-murphy	option	option		More Visit Resources
https://yale.edu/about-yale/leadership-organization/stephen-murphy	h2			Helpful Links
https://yale.edu/about-yale/leadership-organization/stephen-murphy	a			Contact Us
https://yale.edu/about-yale/leadership-organization/stephen-murphy	a	a		Yale West Campus
https://yale.edu/about-yale/leadership-organization/stephen-murphy	a	a		Employment Opportunities
https://yale.edu/about-yale/leadership-organization/stephen-murphy	a	a		Privacy Policy
https://yale.edu/about-yale/leadership-organization/stephen-murphy	a	a		Emergency Info
https://yale.edu/about-yale/leadership-organization/stephen-murphy	a	a		Public Safety
https://yale.edu/about-yale/leadership-organization/stephen-murphy	a	a		Nondiscrimination & Title IX
https://yale.edu/about-yale/leadership-organization/stephen-murphy	a	a		Accessibility at Yale
https://yale.edu/about-yale/leadership-organization/stephen-murphy	a	a		Yale Mobile
https://yale.edu/about-yale/leadership-organization/stephen-murphy	h2			Visiting Yale
https://yale.edu/about-yale/leadership-organization/stephen-murphy	a			Campus Tours
https://yale.edu/about-yale/leadership-organization/stephen-murphy	a	a		Maps & Directions
https://yale.edu/about-yale/leadership-organization/stephen-murphy	a	a		Yale Visitor Center
https://yale.edu/about-yale/leadership-organization/stephen-murphy	a	a		Museums & Galleries
https://yale.edu/about-yale/leadership-organization/stephen-murphy	a	a		New Haven
https://yale.edu/about-yale/leadership-organization/stephen-murphy	a	a		More Visit Resources
https://yale.edu/about-yale/leadership-organization/stephen-murphy	figcaption			Yale on Instagram
https://yale.edu/about-yale/leadership-organization/stephen-murphy	h2			Social Links
https://yale.edu/about-yale/leadership-organization/stephen-murphy	span	span		Facebook
https://yale.edu/about-yale/leadership-organization/stephen-murphy	span	span		Twitter
https://yale.edu/about-yale/leadership-organization/stephen-murphy	span	span		YouTube
https://yale.edu/about-yale/leadership-organization/stephen-murphy	span	span		Sina Weibo
https://yale.edu/about-yale/leadership-organization/stephen-murphy	a			All Social Media
https://yale.edu/about-yale/leadership-organization/stephen-murphy	span			Copyright © 2019 Yale University
https://yale.edu/about-yale/leadership-organization/stephen-murphy	span			All Rights Reserved
https://yale.edu/about-yale/leadership-organization/stephen-murphy	a			Contact Web Editor
https://yale.edu/about-yale/leadership-organization/stephen-murphy	a			Back to top
https://yale.edu/about-yale/leadership-organization/stephen-murphy	h1			Yale University
https://yale.edu/about-yale/leadership-organization/stephen-murphy	span			Search
https://yale.edu/about-yale/leadership-organization/stephen-murphy	button		span	      Navigation      
https://yale.edu/about-yale/leadership-organization/stephen-murphy	h2			Main Navigation
https://yale.edu/about-yale/leadership-organization/stephen-murphy	span			About Yale
https://yale.edu/about-yale/leadership-organization/stephen-murphy	span			Academics
https://yale.edu/about-yale/leadership-organization/stephen-murphy	span			Admissions
https://yale.edu/about-yale/leadership-organization/stephen-murphy	span			Research & Collections
https://yale.edu/about-yale/leadership-organization/stephen-murphy	span			Life at Yale
https://yale.edu/about-yale/leadership-organization/stephen-murphy	h2			Secondary Navigation
https://yale.edu/about-yale/leadership-organization/stephen-murphy	span			Calendars
https://yale.edu/about-yale/leadership-organization/stephen-murphy	span			Giving
https://yale.edu/about-yale/leadership-organization/stephen-murphy	span			News
https://yale.edu/about-yale/leadership-organization/stephen-murphy	span			Directories
https://yale.edu/about-yale/leadership-organization/stephen-murphy	h2			Gateway Navigation
https://yale.edu/about-yale/leadership-organization/stephen-murphy	a			Students
https://yale.edu/about-yale/leadership-organization/stephen-murphy	a	a		Faculty
https://yale.edu/about-yale/leadership-organization/stephen-murphy	a	a		Staff
https://yale.edu/about-yale/leadership-organization/stephen-murphy	a	a		Alumni
