url	parent	ps	ns	text
https://harvard.edu/president/speech/2016/2016-commencement-speech	a			       Jump to main content     
https://harvard.edu/president/speech/2016/2016-commencement-speech	a			       Jump to search     
https://harvard.edu/president/speech/2016/2016-commencement-speech	a			       Jump to the footer     
https://harvard.edu/president/speech/2016/2016-commencement-speech	span			         Harvard University       
https://harvard.edu/president/speech/2016/2016-commencement-speech	a			     Menu   
https://harvard.edu/president/speech/2016/2016-commencement-speech	a		span	                 About                 
https://harvard.edu/president/speech/2016/2016-commencement-speech	span			                   Harvard                 
https://harvard.edu/president/speech/2016/2016-commencement-speech	a			Harvard at a Glance
https://harvard.edu/president/speech/2016/2016-commencement-speech	a			Harvard's President
https://harvard.edu/president/speech/2016/2016-commencement-speech	a			Harvard's Leadership
https://harvard.edu/president/speech/2016/2016-commencement-speech	a			Academic Experience
https://harvard.edu/president/speech/2016/2016-commencement-speech	a			Administrative Offices
https://harvard.edu/president/speech/2016/2016-commencement-speech	a			Directories
https://harvard.edu/president/speech/2016/2016-commencement-speech	a			Harvard in the Community
https://harvard.edu/president/speech/2016/2016-commencement-speech	a			News
https://harvard.edu/president/speech/2016/2016-commencement-speech	a		span	                 Admissions                 
https://harvard.edu/president/speech/2016/2016-commencement-speech	span			                   & Aid                 
https://harvard.edu/president/speech/2016/2016-commencement-speech	a			Undergraduate
https://harvard.edu/president/speech/2016/2016-commencement-speech	a			Graduate & Professional Schools
https://harvard.edu/president/speech/2016/2016-commencement-speech	a			Continuing Education
https://harvard.edu/president/speech/2016/2016-commencement-speech	a			Summer Programs
https://harvard.edu/president/speech/2016/2016-commencement-speech	a			                 Schools               
https://harvard.edu/president/speech/2016/2016-commencement-speech	a			Business
https://harvard.edu/president/speech/2016/2016-commencement-speech	a			College
https://harvard.edu/president/speech/2016/2016-commencement-speech	a			Continuing Education
https://harvard.edu/president/speech/2016/2016-commencement-speech	a			Dental
https://harvard.edu/president/speech/2016/2016-commencement-speech	a			Design
https://harvard.edu/president/speech/2016/2016-commencement-speech	a			Divinity
https://harvard.edu/president/speech/2016/2016-commencement-speech	a			Education
https://harvard.edu/president/speech/2016/2016-commencement-speech	a			Engineering
https://harvard.edu/president/speech/2016/2016-commencement-speech	a			Faculty of Arts & Sciences
https://harvard.edu/president/speech/2016/2016-commencement-speech	a			Government
https://harvard.edu/president/speech/2016/2016-commencement-speech	a			Graduate School
https://harvard.edu/president/speech/2016/2016-commencement-speech	a			Law
https://harvard.edu/president/speech/2016/2016-commencement-speech	a			Medical
https://harvard.edu/president/speech/2016/2016-commencement-speech	a			Public Health
https://harvard.edu/president/speech/2016/2016-commencement-speech	a			Radcliffe Institute
https://harvard.edu/president/speech/2016/2016-commencement-speech	a			                 On Campus               
https://harvard.edu/president/speech/2016/2016-commencement-speech	a			Arts and Humanities
https://harvard.edu/president/speech/2016/2016-commencement-speech	a			Athletics
https://harvard.edu/president/speech/2016/2016-commencement-speech	a			Commencement
https://harvard.edu/president/speech/2016/2016-commencement-speech	a			Employment
https://harvard.edu/president/speech/2016/2016-commencement-speech	a			Events
https://harvard.edu/president/speech/2016/2016-commencement-speech	a			HarvardX
https://harvard.edu/president/speech/2016/2016-commencement-speech	a			Library
https://harvard.edu/president/speech/2016/2016-commencement-speech	a			Museums
https://harvard.edu/president/speech/2016/2016-commencement-speech	a			Research
https://harvard.edu/president/speech/2016/2016-commencement-speech	a			Science
https://harvard.edu/president/speech/2016/2016-commencement-speech	a			Visit Harvard
https://harvard.edu/president/speech/2016/2016-commencement-speech	a			                 Gazette News               
https://harvard.edu/president/speech/2016/2016-commencement-speech	a			                 Events               
https://harvard.edu/president/speech/2016/2016-commencement-speech	a			                 Visit               
https://harvard.edu/president/speech/2016/2016-commencement-speech	a			                 Give               
https://harvard.edu/president/speech/2016/2016-commencement-speech	a			Faculty
https://harvard.edu/president/speech/2016/2016-commencement-speech	a			Staff
https://harvard.edu/president/speech/2016/2016-commencement-speech	a			Students
https://harvard.edu/president/speech/2016/2016-commencement-speech	a			Alumni
https://harvard.edu/president/speech/2016/2016-commencement-speech	a			Parents
https://harvard.edu/president/speech/2016/2016-commencement-speech	a			Visitors
https://harvard.edu/president/speech/2016/2016-commencement-speech	a			Media
https://harvard.edu/president/speech/2016/2016-commencement-speech	span			       Search:     
https://harvard.edu/president/speech/2016/2016-commencement-speech	span			       Open Search     
https://harvard.edu/president/speech/2016/2016-commencement-speech	span			About Harvard
https://harvard.edu/president/speech/2016/2016-commencement-speech	span			History of the Presidency
https://harvard.edu/president/speech/2016/2016-commencement-speech	span			Drew Gilpin Faust
https://harvard.edu/president/speech/2016/2016-commencement-speech	h1			     History of Presidency    
https://harvard.edu/president/speech/2016/2016-commencement-speech	h2			2016 Commencement Speech
https://harvard.edu/president/speech/2016/2016-commencement-speech	time			May 26, 2016
https://harvard.edu/president/speech/2016/2016-commencement-speech	p			Drew Gilpin Faust
https://harvard.edu/president/speech/2016/2016-commencement-speech	p			               Tercentenary Theatre, Harvard University, Cambridge, Mass.            
https://harvard.edu/president/speech/2016/2016-commencement-speech	em			As delivered.
https://harvard.edu/president/speech/2016/2016-commencement-speech	p			Greetings alumni, graduates, families, and friends. It is such a pleasure to see you all here and offer congratulations on this day of celebration. I am in the unenviable role of warm-up act for one of the greatest storytellers of our—or any other—time. Nevertheless, my assignment is to offer a few reflections on this magnificent institution at this moment in its history. And what a moment it is.
https://harvard.edu/president/speech/2016/2016-commencement-speech	p			From comments of astonished pundits on television, in print, and online, to conversations with bewildered friends and colleagues, the question seems unavoidable—and mesmerizing: What is going on? What is happening to the world? The tumultuous state of American politics, spotlighted in this contentious presidential contest; the political challenges around the globe from Brazil to Brexit; the Middle East in flames; a refugee crisis in Europe; terrorists exploiting new media to perform chilling acts of brutality and murder; climate-related famine in Africa and fires in Canada. It is as if we are being visited by the horsemen of the apocalypse with war, famine, natural disaster—and, yes, even pestilence—as Zika spreads, aided by political controversy and paralysis.
https://harvard.edu/president/speech/2016/2016-commencement-speech	p			As extraordinary as these times may seem to us, Harvard reminds us we have been here before. It is in some ways reassuring at this 365th Commencement to recall all that Harvard has endured over centuries. A number of these festival rites took place under clouds of war; others in times of financial crisis and despair; still others in face of epidemics—from smallpox in the 17th century to the devastating flu of 1918 to the H1N1 virus just a few years ago. Harvard has not just survived these challenges, but has helped to confront them. We sing in our alma mater about “Calm rising through change and through storm.” What does that mean for today’s crises? Where do universities fit in this threatening mix? What can we do? What should we do? What must we do?
https://harvard.edu/president/speech/2016/2016-commencement-speech	p			We are gathered today in Tercentenary Theatre, with Widener Library and Memorial Church standing before and behind us, enduring symbols of Harvard’s larger identity and purposes, testaments to what universities do and believe at a time when we have never needed them more. And much is at stake, for us and for the world.
https://harvard.edu/president/speech/2016/2016-commencement-speech	p			We look at Widener Library and see a great edifice, a backdrop of giant columns where photos are taken and 27 steps are worn down ever so slightly by the feet of a century of students and scholars. We also see a repository of learning, with 57 miles of shelving at the heart of a library system of some 17 million books, a monument to reason and knowledge, to the collection and preservation of the widest possible range of beliefs, and experiences, and facts that fuel free inquiry and our constantly evolving understanding. A vehicle for Veritas—for exploring the path to truth wherever it may lead. A tribute to the belief that knowledge matters, that facts matter—in the present moment, as a basis for the informed decisions of individuals, societies, and nations; and for the future, as the basis for new insight. As James Madison wrote in 1822, a people who mean to be their own Governors, must arm themselves with the power that knowledge gives. Or as early 20th-century civil rights activist Nannie Helen Burroughs put it, “education is democracy’s life insurance.”
