url	parent	ps	ns	text
https://harvard.edu/president/news/2013/message-from-president-mondays-events-boston	a			       Jump to main content     
https://harvard.edu/president/news/2013/message-from-president-mondays-events-boston	a			       Jump to search     
https://harvard.edu/president/news/2013/message-from-president-mondays-events-boston	a			       Jump to the footer     
https://harvard.edu/president/news/2013/message-from-president-mondays-events-boston	span			         Harvard University       
https://harvard.edu/president/news/2013/message-from-president-mondays-events-boston	a			     Menu   
https://harvard.edu/president/news/2013/message-from-president-mondays-events-boston	a		span	                 About                 
https://harvard.edu/president/news/2013/message-from-president-mondays-events-boston	span			                   Harvard                 
https://harvard.edu/president/news/2013/message-from-president-mondays-events-boston	a			Harvard at a Glance
https://harvard.edu/president/news/2013/message-from-president-mondays-events-boston	a			Harvard's President
https://harvard.edu/president/news/2013/message-from-president-mondays-events-boston	a			Harvard's Leadership
https://harvard.edu/president/news/2013/message-from-president-mondays-events-boston	a			Academic Experience
https://harvard.edu/president/news/2013/message-from-president-mondays-events-boston	a			Administrative Offices
https://harvard.edu/president/news/2013/message-from-president-mondays-events-boston	a			Directories
https://harvard.edu/president/news/2013/message-from-president-mondays-events-boston	a			Harvard in the Community
https://harvard.edu/president/news/2013/message-from-president-mondays-events-boston	a			News
https://harvard.edu/president/news/2013/message-from-president-mondays-events-boston	a		span	                 Admissions                 
https://harvard.edu/president/news/2013/message-from-president-mondays-events-boston	span			                   & Aid                 
https://harvard.edu/president/news/2013/message-from-president-mondays-events-boston	a			Undergraduate
https://harvard.edu/president/news/2013/message-from-president-mondays-events-boston	a			Graduate & Professional Schools
https://harvard.edu/president/news/2013/message-from-president-mondays-events-boston	a			Continuing Education
https://harvard.edu/president/news/2013/message-from-president-mondays-events-boston	a			Summer Programs
https://harvard.edu/president/news/2013/message-from-president-mondays-events-boston	a			                 Schools               
https://harvard.edu/president/news/2013/message-from-president-mondays-events-boston	a			Business
https://harvard.edu/president/news/2013/message-from-president-mondays-events-boston	a			College
https://harvard.edu/president/news/2013/message-from-president-mondays-events-boston	a			Continuing Education
https://harvard.edu/president/news/2013/message-from-president-mondays-events-boston	a			Dental
https://harvard.edu/president/news/2013/message-from-president-mondays-events-boston	a			Design
https://harvard.edu/president/news/2013/message-from-president-mondays-events-boston	a			Divinity
https://harvard.edu/president/news/2013/message-from-president-mondays-events-boston	a			Education
https://harvard.edu/president/news/2013/message-from-president-mondays-events-boston	a			Engineering
https://harvard.edu/president/news/2013/message-from-president-mondays-events-boston	a			Faculty of Arts & Sciences
https://harvard.edu/president/news/2013/message-from-president-mondays-events-boston	a			Government
https://harvard.edu/president/news/2013/message-from-president-mondays-events-boston	a			Graduate School
https://harvard.edu/president/news/2013/message-from-president-mondays-events-boston	a			Law
https://harvard.edu/president/news/2013/message-from-president-mondays-events-boston	a			Medical
https://harvard.edu/president/news/2013/message-from-president-mondays-events-boston	a			Public Health
https://harvard.edu/president/news/2013/message-from-president-mondays-events-boston	a			Radcliffe Institute
https://harvard.edu/president/news/2013/message-from-president-mondays-events-boston	a			                 On Campus               
https://harvard.edu/president/news/2013/message-from-president-mondays-events-boston	a			Arts and Humanities
https://harvard.edu/president/news/2013/message-from-president-mondays-events-boston	a			Athletics
https://harvard.edu/president/news/2013/message-from-president-mondays-events-boston	a			Commencement
https://harvard.edu/president/news/2013/message-from-president-mondays-events-boston	a			Employment
https://harvard.edu/president/news/2013/message-from-president-mondays-events-boston	a			Events
https://harvard.edu/president/news/2013/message-from-president-mondays-events-boston	a			HarvardX
https://harvard.edu/president/news/2013/message-from-president-mondays-events-boston	a			Library
https://harvard.edu/president/news/2013/message-from-president-mondays-events-boston	a			Museums
https://harvard.edu/president/news/2013/message-from-president-mondays-events-boston	a			Research
