url	parent	ps	ns	text
https://harvard.edu/#tab-panel-2	a			       Jump to main content     
https://harvard.edu/#tab-panel-2	a			       Jump to search     
https://harvard.edu/#tab-panel-2	a			       Jump to the footer     
https://harvard.edu/#tab-panel-2	span			         Harvard University       
https://harvard.edu/#tab-panel-2	a			     Menu   
https://harvard.edu/#tab-panel-2	a		span	                 About                 
https://harvard.edu/#tab-panel-2	span			                   Harvard                 
https://harvard.edu/#tab-panel-2	a			Harvard at a Glance
https://harvard.edu/#tab-panel-2	a			Harvard's President
https://harvard.edu/#tab-panel-2	a			Harvard's Leadership
https://harvard.edu/#tab-panel-2	a			Academic Experience
https://harvard.edu/#tab-panel-2	a			Administrative Offices
https://harvard.edu/#tab-panel-2	a			Directories
https://harvard.edu/#tab-panel-2	a			Harvard in the Community
https://harvard.edu/#tab-panel-2	a			News
https://harvard.edu/#tab-panel-2	a		span	                 Admissions                 
https://harvard.edu/#tab-panel-2	span			                   & Aid                 
https://harvard.edu/#tab-panel-2	a			Undergraduate
https://harvard.edu/#tab-panel-2	a			Graduate & Professional Schools
https://harvard.edu/#tab-panel-2	a			Continuing Education
https://harvard.edu/#tab-panel-2	a			Summer Programs
https://harvard.edu/#tab-panel-2	a			                 Schools               
https://harvard.edu/#tab-panel-2	a			Business
https://harvard.edu/#tab-panel-2	a			College
https://harvard.edu/#tab-panel-2	a			Continuing Education
https://harvard.edu/#tab-panel-2	a			Dental
https://harvard.edu/#tab-panel-2	a			Design
https://harvard.edu/#tab-panel-2	a			Divinity
https://harvard.edu/#tab-panel-2	a			Education
https://harvard.edu/#tab-panel-2	a			Engineering
https://harvard.edu/#tab-panel-2	a			Faculty of Arts & Sciences
https://harvard.edu/#tab-panel-2	a			Government
https://harvard.edu/#tab-panel-2	a			Graduate School
https://harvard.edu/#tab-panel-2	a			Law
https://harvard.edu/#tab-panel-2	a			Medical
https://harvard.edu/#tab-panel-2	a			Public Health
https://harvard.edu/#tab-panel-2	a			Radcliffe Institute
https://harvard.edu/#tab-panel-2	a			                 On Campus               
https://harvard.edu/#tab-panel-2	a			Arts and Humanities
https://harvard.edu/#tab-panel-2	a			Athletics
https://harvard.edu/#tab-panel-2	a			Commencement
https://harvard.edu/#tab-panel-2	a			Employment
https://harvard.edu/#tab-panel-2	a			Events
https://harvard.edu/#tab-panel-2	a			HarvardX
https://harvard.edu/#tab-panel-2	a			Library
https://harvard.edu/#tab-panel-2	a			Museums
https://harvard.edu/#tab-panel-2	a			Research
https://harvard.edu/#tab-panel-2	a			Science
https://harvard.edu/#tab-panel-2	a			Visit Harvard
https://harvard.edu/#tab-panel-2	a			                 Gazette News               
https://harvard.edu/#tab-panel-2	a			                 Events               
https://harvard.edu/#tab-panel-2	a			                 Visit               
https://harvard.edu/#tab-panel-2	a			                 Give               
https://harvard.edu/#tab-panel-2	a			Faculty
https://harvard.edu/#tab-panel-2	a			Staff
https://harvard.edu/#tab-panel-2	a			Students
https://harvard.edu/#tab-panel-2	a			Alumni
https://harvard.edu/#tab-panel-2	a			Parents
https://harvard.edu/#tab-panel-2	a			Visitors
https://harvard.edu/#tab-panel-2	a			Media
https://harvard.edu/#tab-panel-2	span			       Search:     
https://harvard.edu/#tab-panel-2	span			       Open Search     
https://harvard.edu/#tab-panel-2	h2			         Sit by the Harvard Yule Log this holiday season       
https://harvard.edu/#tab-panel-2	a		span	Get cozy    
https://harvard.edu/#tab-panel-2	span			     Sit by the Harvard Yule Log this holiday season     
https://harvard.edu/#tab-panel-2	span			Gazette
https://harvard.edu/#tab-panel-2	a			Holiday reflections 
https://harvard.edu/#tab-panel-2	p			Harvard students leaving for break take a moment to reflect on the holidays, their achievements and dreams
https://harvard.edu/#tab-panel-2	a			       Read story       
https://harvard.edu/#tab-panel-2	span			Gazette
https://harvard.edu/#tab-panel-2	a			Deck the halls and set the table
https://harvard.edu/#tab-panel-2	p			Members of the Harvard community share their favorite holiday dishes
https://harvard.edu/#tab-panel-2	a			       Read story       
https://harvard.edu/#tab-panel-2	span			Gazette
https://harvard.edu/#tab-panel-2	a			Merry and bright?
https://harvard.edu/#tab-panel-2	p			Harvard psychologist discusses how the holiday season can trigger the blues ­— and how to avoid them
https://harvard.edu/#tab-panel-2	a			       Read story       
https://harvard.edu/#tab-panel-2	span			Gazette
https://harvard.edu/#tab-panel-2	a			Crafting a carol
https://harvard.edu/#tab-panel-2	p			Composer in residence Carson Cooman created a song for Memorial Church's 110th holiday services
https://harvard.edu/#tab-panel-2	a			       Read story       
https://harvard.edu/#tab-panel-2	a			Notice of Settlement of Class Action Relating to Captioning of Public Web Content
https://harvard.edu/#tab-panel-2	h2			To Serve Better: Harvard across the country
https://harvard.edu/#tab-panel-2	a			Serving Tennessee
https://harvard.edu/#tab-panel-2	p			Sarah Lockridge-Steckel founded The Collective, which works to help young people in Memphis, Tennessee
