url	parent	ps	ns	text
https://harvard.edu/#N	a			       Jump to main content     
https://harvard.edu/#N	a			       Jump to search     
https://harvard.edu/#N	a			       Jump to the footer     
https://harvard.edu/#N	span			         Harvard University       
https://harvard.edu/#N	a			     Menu   
https://harvard.edu/#N	a		span	                 About                 
https://harvard.edu/#N	span			                   Harvard                 
https://harvard.edu/#N	a			Harvard at a Glance
https://harvard.edu/#N	a			Harvard's President
https://harvard.edu/#N	a			Harvard's Leadership
https://harvard.edu/#N	a			Academic Experience
https://harvard.edu/#N	a			Administrative Offices
https://harvard.edu/#N	a			Directories
https://harvard.edu/#N	a			Harvard in the Community
https://harvard.edu/#N	a			News
https://harvard.edu/#N	a		span	                 Admissions                 
https://harvard.edu/#N	span			                   & Aid                 
https://harvard.edu/#N	a			Undergraduate
https://harvard.edu/#N	a			Graduate & Professional Schools
https://harvard.edu/#N	a			Continuing Education
https://harvard.edu/#N	a			Summer Programs
https://harvard.edu/#N	a			                 Schools               
https://harvard.edu/#N	a			Business
https://harvard.edu/#N	a			College
https://harvard.edu/#N	a			Continuing Education
https://harvard.edu/#N	a			Dental
https://harvard.edu/#N	a			Design
https://harvard.edu/#N	a			Divinity
https://harvard.edu/#N	a			Education
https://harvard.edu/#N	a			Engineering
https://harvard.edu/#N	a			Faculty of Arts & Sciences
https://harvard.edu/#N	a			Government
https://harvard.edu/#N	a			Graduate School
https://harvard.edu/#N	a			Law
https://harvard.edu/#N	a			Medical
https://harvard.edu/#N	a			Public Health
https://harvard.edu/#N	a			Radcliffe Institute
https://harvard.edu/#N	a			                 On Campus               
https://harvard.edu/#N	a			Arts and Humanities
https://harvard.edu/#N	a			Athletics
https://harvard.edu/#N	a			Commencement
https://harvard.edu/#N	a			Employment
https://harvard.edu/#N	a			Events
https://harvard.edu/#N	a			HarvardX
https://harvard.edu/#N	a			Library
https://harvard.edu/#N	a			Museums
https://harvard.edu/#N	a			Research
https://harvard.edu/#N	a			Science
https://harvard.edu/#N	a			Visit Harvard
https://harvard.edu/#N	a			                 Gazette News               
https://harvard.edu/#N	a			                 Events               
https://harvard.edu/#N	a			                 Visit               
https://harvard.edu/#N	a			                 Give               
https://harvard.edu/#N	a			Faculty
https://harvard.edu/#N	a			Staff
https://harvard.edu/#N	a			Students
https://harvard.edu/#N	a			Alumni
https://harvard.edu/#N	a			Parents
https://harvard.edu/#N	a			Visitors
https://harvard.edu/#N	a			Media
https://harvard.edu/#N	span			       Search:     
https://harvard.edu/#N	span			       Open Search     
https://harvard.edu/#N	h2			         Sit by the Harvard Yule Log this holiday season       
https://harvard.edu/#N	a		span	Get cozy    
https://harvard.edu/#N	span			     Sit by the Harvard Yule Log this holiday season     
https://harvard.edu/#N	span			Gazette
https://harvard.edu/#N	a			Holiday reflections 
https://harvard.edu/#N	p			Harvard students leaving for break take a moment to reflect on the holidays, their achievements and dreams
https://harvard.edu/#N	a			       Read story       
https://harvard.edu/#N	span			Gazette
https://harvard.edu/#N	a			Deck the halls and set the table
https://harvard.edu/#N	p			Members of the Harvard community share their favorite holiday dishes
https://harvard.edu/#N	a			       Read story       
https://harvard.edu/#N	span			Gazette
https://harvard.edu/#N	a			Merry and bright?
https://harvard.edu/#N	p			Harvard psychologist discusses how the holiday season can trigger the blues ­— and how to avoid them
