url	parent	ps	ns	text
https://harvard.edu/#r	a			       Jump to main content     
https://harvard.edu/#r	a			       Jump to search     
https://harvard.edu/#r	a			       Jump to the footer     
https://harvard.edu/#r	span			         Harvard University       
https://harvard.edu/#r	a			     Menu   
https://harvard.edu/#r	a		span	                 About                 
https://harvard.edu/#r	span			                   Harvard                 
https://harvard.edu/#r	a			Harvard at a Glance
https://harvard.edu/#r	a			Harvard's President
https://harvard.edu/#r	a			Harvard's Leadership
https://harvard.edu/#r	a			Academic Experience
https://harvard.edu/#r	a			Administrative Offices
https://harvard.edu/#r	a			Directories
https://harvard.edu/#r	a			Harvard in the Community
https://harvard.edu/#r	a			News
https://harvard.edu/#r	a		span	                 Admissions                 
https://harvard.edu/#r	span			                   & Aid                 
https://harvard.edu/#r	a			Undergraduate
https://harvard.edu/#r	a			Graduate & Professional Schools
https://harvard.edu/#r	a			Continuing Education
https://harvard.edu/#r	a			Summer Programs
https://harvard.edu/#r	a			                 Schools               
https://harvard.edu/#r	a			Business
https://harvard.edu/#r	a			College
https://harvard.edu/#r	a			Continuing Education
https://harvard.edu/#r	a			Dental
https://harvard.edu/#r	a			Design
https://harvard.edu/#r	a			Divinity
https://harvard.edu/#r	a			Education
https://harvard.edu/#r	a			Engineering
https://harvard.edu/#r	a			Faculty of Arts & Sciences
https://harvard.edu/#r	a			Government
https://harvard.edu/#r	a			Graduate School
https://harvard.edu/#r	a			Law
https://harvard.edu/#r	a			Medical
https://harvard.edu/#r	a			Public Health
https://harvard.edu/#r	a			Radcliffe Institute
https://harvard.edu/#r	a			                 On Campus               
https://harvard.edu/#r	a			Arts and Humanities
https://harvard.edu/#r	a			Athletics
https://harvard.edu/#r	a			Commencement
https://harvard.edu/#r	a			Employment
https://harvard.edu/#r	a			Events
https://harvard.edu/#r	a			HarvardX
https://harvard.edu/#r	a			Library
https://harvard.edu/#r	a			Museums
https://harvard.edu/#r	a			Research
https://harvard.edu/#r	a			Science
https://harvard.edu/#r	a			Visit Harvard
https://harvard.edu/#r	a			                 Gazette News               
https://harvard.edu/#r	a			                 Events               
https://harvard.edu/#r	a			                 Visit               
https://harvard.edu/#r	a			                 Give               
https://harvard.edu/#r	a			Faculty
https://harvard.edu/#r	a			Staff
https://harvard.edu/#r	a			Students
https://harvard.edu/#r	a			Alumni
https://harvard.edu/#r	a			Parents
https://harvard.edu/#r	a			Visitors
https://harvard.edu/#r	a			Media
https://harvard.edu/#r	span			       Search:     
https://harvard.edu/#r	span			       Open Search     
https://harvard.edu/#r	h2			         Sit by the Harvard Yule Log this holiday season       
https://harvard.edu/#r	a		span	Get cozy    
https://harvard.edu/#r	span			     Sit by the Harvard Yule Log this holiday season     
https://harvard.edu/#r	span			Gazette
https://harvard.edu/#r	a			Holiday reflections 
https://harvard.edu/#r	p			Harvard students leaving for break take a moment to reflect on the holidays, their achievements and dreams
https://harvard.edu/#r	a			       Read story       
https://harvard.edu/#r	span			Gazette
https://harvard.edu/#r	a			Deck the halls and set the table
https://harvard.edu/#r	p			Members of the Harvard community share their favorite holiday dishes
https://harvard.edu/#r	a			       Read story       
https://harvard.edu/#r	span			Gazette
https://harvard.edu/#r	a			Merry and bright?
https://harvard.edu/#r	p			Harvard psychologist discusses how the holiday season can trigger the blues ­— and how to avoid them
https://harvard.edu/#r	a			       Read story       
https://harvard.edu/#r	span			Gazette
https://harvard.edu/#r	a			Crafting a carol
https://harvard.edu/#r	p			Composer in residence Carson Cooman created a song for Memorial Church's 110th holiday services
https://harvard.edu/#r	a			       Read story       
https://harvard.edu/#r	a			Notice of Settlement of Class Action Relating to Captioning of Public Web Content
https://harvard.edu/#r	h2			To Serve Better: Harvard across the country
https://harvard.edu/#r	a			Serving Tennessee
https://harvard.edu/#r	p			Sarah Lockridge-Steckel founded The Collective, which works to help young people in Memphis, Tennessee
https://harvard.edu/#r	a			       Read story       
https://harvard.edu/#r	a			Serving South Dakota
https://harvard.edu/#r	p			Marnie Gelbart works to increase public understanding of genetics, and the ethical, legal, and social implications
https://harvard.edu/#r	a			       Read story       
https://harvard.edu/#r	a			Serving Washington D.C. 
https://harvard.edu/#r	p			Clint Smith, whose dissertation focuses on juveniles facing life sentences, leads a prison reading program in Washington, D.C.
https://harvard.edu/#r	a			       Read story       
