url	parent	ps	ns	text
https://harvard.edu/#bookmark_C	a			       Jump to main content     
https://harvard.edu/#bookmark_C	a			       Jump to search     
https://harvard.edu/#bookmark_C	a			       Jump to the footer     
https://harvard.edu/#bookmark_C	span			         Harvard University       
https://harvard.edu/#bookmark_C	a			     Menu   
https://harvard.edu/#bookmark_C	a		span	                 About                 
https://harvard.edu/#bookmark_C	span			                   Harvard                 
https://harvard.edu/#bookmark_C	a			Harvard at a Glance
https://harvard.edu/#bookmark_C	a			Harvard's President
https://harvard.edu/#bookmark_C	a			Harvard's Leadership
https://harvard.edu/#bookmark_C	a			Academic Experience
https://harvard.edu/#bookmark_C	a			Administrative Offices
https://harvard.edu/#bookmark_C	a			Directories
https://harvard.edu/#bookmark_C	a			Harvard in the Community
https://harvard.edu/#bookmark_C	a			News
https://harvard.edu/#bookmark_C	a		span	                 Admissions                 
https://harvard.edu/#bookmark_C	span			                   & Aid                 
https://harvard.edu/#bookmark_C	a			Undergraduate
https://harvard.edu/#bookmark_C	a			Graduate & Professional Schools
https://harvard.edu/#bookmark_C	a			Continuing Education
https://harvard.edu/#bookmark_C	a			Summer Programs
https://harvard.edu/#bookmark_C	a			                 Schools               
https://harvard.edu/#bookmark_C	a			Business
https://harvard.edu/#bookmark_C	a			College
https://harvard.edu/#bookmark_C	a			Continuing Education
https://harvard.edu/#bookmark_C	a			Dental
https://harvard.edu/#bookmark_C	a			Design
https://harvard.edu/#bookmark_C	a			Divinity
https://harvard.edu/#bookmark_C	a			Education
https://harvard.edu/#bookmark_C	a			Engineering
https://harvard.edu/#bookmark_C	a			Faculty of Arts & Sciences
https://harvard.edu/#bookmark_C	a			Government
https://harvard.edu/#bookmark_C	a			Graduate School
https://harvard.edu/#bookmark_C	a			Law
https://harvard.edu/#bookmark_C	a			Medical
https://harvard.edu/#bookmark_C	a			Public Health
https://harvard.edu/#bookmark_C	a			Radcliffe Institute
https://harvard.edu/#bookmark_C	a			                 On Campus               
https://harvard.edu/#bookmark_C	a			Arts and Humanities
https://harvard.edu/#bookmark_C	a			Athletics
https://harvard.edu/#bookmark_C	a			Commencement
https://harvard.edu/#bookmark_C	a			Employment
https://harvard.edu/#bookmark_C	a			Events
https://harvard.edu/#bookmark_C	a			HarvardX
https://harvard.edu/#bookmark_C	a			Library
https://harvard.edu/#bookmark_C	a			Museums
https://harvard.edu/#bookmark_C	a			Research
https://harvard.edu/#bookmark_C	a			Science
https://harvard.edu/#bookmark_C	a			Visit Harvard
https://harvard.edu/#bookmark_C	a			                 Gazette News               
https://harvard.edu/#bookmark_C	a			                 Events               
https://harvard.edu/#bookmark_C	a			                 Visit               
https://harvard.edu/#bookmark_C	a			                 Give               
https://harvard.edu/#bookmark_C	a			Faculty
https://harvard.edu/#bookmark_C	a			Staff
https://harvard.edu/#bookmark_C	a			Students
https://harvard.edu/#bookmark_C	a			Alumni
https://harvard.edu/#bookmark_C	a			Parents
https://harvard.edu/#bookmark_C	a			Visitors
https://harvard.edu/#bookmark_C	a			Media
https://harvard.edu/#bookmark_C	span			       Search:     
https://harvard.edu/#bookmark_C	span			       Open Search     
https://harvard.edu/#bookmark_C	h2			         Sit by the Harvard Yule Log this holiday season       
https://harvard.edu/#bookmark_C	a		span	Get cozy    
https://harvard.edu/#bookmark_C	span			     Sit by the Harvard Yule Log this holiday season     
https://harvard.edu/#bookmark_C	span			Gazette
https://harvard.edu/#bookmark_C	a			Holiday reflections 
https://harvard.edu/#bookmark_C	p			Harvard students leaving for break take a moment to reflect on the holidays, their achievements and dreams
https://harvard.edu/#bookmark_C	a			       Read story       
https://harvard.edu/#bookmark_C	span			Gazette
https://harvard.edu/#bookmark_C	a			Deck the halls and set the table
https://harvard.edu/#bookmark_C	p			Members of the Harvard community share their favorite holiday dishes
https://harvard.edu/#bookmark_C	a			       Read story       
https://harvard.edu/#bookmark_C	span			Gazette
https://harvard.edu/#bookmark_C	a			Merry and bright?
https://harvard.edu/#bookmark_C	p			Harvard psychologist discusses how the holiday season can trigger the blues ­— and how to avoid them
https://harvard.edu/#bookmark_C	a			       Read story       
https://harvard.edu/#bookmark_C	span			Gazette
https://harvard.edu/#bookmark_C	a			Crafting a carol
https://harvard.edu/#bookmark_C	p			Composer in residence Carson Cooman created a song for Memorial Church's 110th holiday services
https://harvard.edu/#bookmark_C	a			       Read story       
https://harvard.edu/#bookmark_C	a			Notice of Settlement of Class Action Relating to Captioning of Public Web Content
https://harvard.edu/#bookmark_C	h2			To Serve Better: Harvard across the country
https://harvard.edu/#bookmark_C	a			Serving Tennessee
https://harvard.edu/#bookmark_C	p			Sarah Lockridge-Steckel founded The Collective, which works to help young people in Memphis, Tennessee
https://harvard.edu/#bookmark_C	a			       Read story       
https://harvard.edu/#bookmark_C	a			Serving South Dakota
https://harvard.edu/#bookmark_C	p			Marnie Gelbart works to increase public understanding of genetics, and the ethical, legal, and social implications
https://harvard.edu/#bookmark_C	a			       Read story       
https://harvard.edu/#bookmark_C	a			Serving Washington D.C. 
https://harvard.edu/#bookmark_C	p			Clint Smith, whose dissertation focuses on juveniles facing life sentences, leads a prison reading program in Washington, D.C.
https://harvard.edu/#bookmark_C	a			       Read story       
https://harvard.edu/#bookmark_C	a			             Explore the project           
https://harvard.edu/#bookmark_C	h2			Events
https://harvard.edu/#bookmark_C	p			       Thursday, December 26, 2019, 3:00pm     
https://harvard.edu/#bookmark_C	a			The Christmas Revels 2019: An American Celebration of the Winter Solstice
https://harvard.edu/#bookmark_C	p			       Thursday, December 26, 2019, 3:00pm - 4:00pm     
https://harvard.edu/#bookmark_C	a			Early Christian Africa: Arts of Transformation
