url	parent	ps	ns	text
https://harvard.edu/#ios	a			       Jump to main content     
https://harvard.edu/#ios	a			       Jump to search     
https://harvard.edu/#ios	a			       Jump to the footer     
https://harvard.edu/#ios	span			         Harvard University       
https://harvard.edu/#ios	a			     Menu   
https://harvard.edu/#ios	a		span	                 About                 
https://harvard.edu/#ios	span			                   Harvard                 
https://harvard.edu/#ios	a			Harvard at a Glance
https://harvard.edu/#ios	a			Harvard's President
https://harvard.edu/#ios	a			Harvard's Leadership
https://harvard.edu/#ios	a			Academic Experience
https://harvard.edu/#ios	a			Administrative Offices
https://harvard.edu/#ios	a			Directories
https://harvard.edu/#ios	a			Harvard in the Community
https://harvard.edu/#ios	a			News
https://harvard.edu/#ios	a		span	                 Admissions                 
https://harvard.edu/#ios	span			                   & Aid                 
https://harvard.edu/#ios	a			Undergraduate
https://harvard.edu/#ios	a			Graduate & Professional Schools
https://harvard.edu/#ios	a			Continuing Education
https://harvard.edu/#ios	a			Summer Programs
https://harvard.edu/#ios	a			                 Schools               
https://harvard.edu/#ios	a			Business
https://harvard.edu/#ios	a			College
https://harvard.edu/#ios	a			Continuing Education
https://harvard.edu/#ios	a			Dental
https://harvard.edu/#ios	a			Design
https://harvard.edu/#ios	a			Divinity
https://harvard.edu/#ios	a			Education
https://harvard.edu/#ios	a			Engineering
https://harvard.edu/#ios	a			Faculty of Arts & Sciences
https://harvard.edu/#ios	a			Government
https://harvard.edu/#ios	a			Graduate School
https://harvard.edu/#ios	a			Law
https://harvard.edu/#ios	a			Medical
https://harvard.edu/#ios	a			Public Health
https://harvard.edu/#ios	a			Radcliffe Institute
https://harvard.edu/#ios	a			                 On Campus               
https://harvard.edu/#ios	a			Arts and Humanities
https://harvard.edu/#ios	a			Athletics
https://harvard.edu/#ios	a			Commencement
https://harvard.edu/#ios	a			Employment
https://harvard.edu/#ios	a			Events
https://harvard.edu/#ios	a			HarvardX
https://harvard.edu/#ios	a			Library
https://harvard.edu/#ios	a			Museums
https://harvard.edu/#ios	a			Research
https://harvard.edu/#ios	a			Science
https://harvard.edu/#ios	a			Visit Harvard
