url	parent	ps	ns	text
https://elearn.tntech.edu	h1			Portal Access
https://elearn.tntech.edu	label			Language:
https://elearn.tntech.edu	label			Username
https://elearn.tntech.edu	label			Remember username
https://elearn.tntech.edu	label			Password
https://elearn.tntech.edu	label			Show password
https://elearn.tntech.edu	label			Remember Me
https://elearn.tntech.edu	button			Continue
https://elearn.tntech.edu	i		b	First Time User? Click 
https://elearn.tntech.edu	b			Login
https://elearn.tntech.edu	i			 to Register.
https://elearn.tntech.edu	button			Login
https://elearn.tntech.edu	a			Change Password
https://elearn.tntech.edu	a			Forgot Password
https://elearn.tntech.edu	button			Set Password
https://elearn.tntech.edu	button			Forgot Password?
https://elearn.tntech.edu	p		a	Need help? We have a 
https://elearn.tntech.edu	a			self-help guide!
https://elearn.tntech.edu	p			This system may contain Government, University or Student information, which is restricted to authorized users ONLY. Unauthorized access, use, misuse, or modification of this computer system or of the data contained herein or in transit to/from this system constitutes a violation of state and federal laws including, but not limited to Title 18, United States Code, Section 1030, and may subject the individual to Criminal and Civil penalties pursuant to Title 26, United States Code, Sections 7213(a), 7213A (the Taxpayer Browsing Protection Act), and 7431. 
https://elearn.tntech.edu	p	p		This system and equipment are subject to monitoring. Such monitoring may result in the acquisition, recording and analysis of all data being communicated, transmitted, processed or stored in this system by a user. If monitoring reveals possible evidence of misuse or criminal activity, such evidence may be provided to appropriate officials including but not limited to law enforcement personnel.
https://elearn.tntech.edu	p	p		ANYONE USING THIS SYSTEM EXPRESSLY CONSENTS TO SUCH MONITORING and HAS NO EXPECTATION OF PRIVACY for any activity, access, use or information stored or communicated via this system.
https://elearn.tntech.edu	span			Lanyard
https://elearn.tntech.edu	label			Question 1
https://elearn.tntech.edu	label			Question 2
https://elearn.tntech.edu	label			Question 3
https://elearn.tntech.edu	label			Question 4
https://elearn.tntech.edu	label			Question 5
https://elearn.tntech.edu	button			Cancel
https://elearn.tntech.edu	label	input		Never shown!
https://elearn.tntech.edu	h2			Terms Of Use
https://elearn.tntech.edu	h2			Multi-Factor Enrollment
https://elearn.tntech.edu	legend			Phone Type
https://elearn.tntech.edu	option			Alltel
https://elearn.tntech.edu	option			AT&T
https://elearn.tntech.edu	option			Boost Mobile
https://elearn.tntech.edu	option			Sprint Nextel
https://elearn.tntech.edu	option			T-Mobile
https://elearn.tntech.edu	option			Telus Canada
https://elearn.tntech.edu	option			US Cellular
https://elearn.tntech.edu	option			Project Fi
https://elearn.tntech.edu	option			Verizon
https://elearn.tntech.edu	option			Virgin Mobile USA
https://elearn.tntech.edu	option			Bell (Canada)
https://elearn.tntech.edu	option			Rogers (Canada)
https://elearn.tntech.edu	div			You have the following OTP options
https://elearn.tntech.edu	button			Skip
https://elearn.tntech.edu	label			MQ1
https://elearn.tntech.edu	label			MQ2
https://elearn.tntech.edu	label			MQ3
https://elearn.tntech.edu	label			MQ4
https://elearn.tntech.edu	label			MQ5
https://elearn.tntech.edu	label			OQ1
https://elearn.tntech.edu	label			OQ2
