url	parent	ps	ns	text
https://harvard.edu/#D	a			       Jump to main content     
https://harvard.edu/#D	a			       Jump to search     
https://harvard.edu/#D	a			       Jump to the footer     
https://harvard.edu/#D	span			         Harvard University       
https://harvard.edu/#D	a			     Menu   
https://harvard.edu/#D	a		span	                 About                 
https://harvard.edu/#D	span			                   Harvard                 
https://harvard.edu/#D	a			Harvard at a Glance
https://harvard.edu/#D	a			Harvard's President
https://harvard.edu/#D	a			Harvard's Leadership
https://harvard.edu/#D	a			Academic Experience
https://harvard.edu/#D	a			Administrative Offices
https://harvard.edu/#D	a			Directories
https://harvard.edu/#D	a			Harvard in the Community
https://harvard.edu/#D	a			News
https://harvard.edu/#D	a		span	                 Admissions                 
https://harvard.edu/#D	span			                   & Aid                 
https://harvard.edu/#D	a			Undergraduate
https://harvard.edu/#D	a			Graduate & Professional Schools
https://harvard.edu/#D	a			Continuing Education
https://harvard.edu/#D	a			Summer Programs
https://harvard.edu/#D	a			                 Schools               
https://harvard.edu/#D	a			Business
https://harvard.edu/#D	a			College
https://harvard.edu/#D	a			Continuing Education
https://harvard.edu/#D	a			Dental
https://harvard.edu/#D	a			Design
https://harvard.edu/#D	a			Divinity
https://harvard.edu/#D	a			Education
https://harvard.edu/#D	a			Engineering
https://harvard.edu/#D	a			Faculty of Arts & Sciences
https://harvard.edu/#D	a			Government
https://harvard.edu/#D	a			Graduate School
https://harvard.edu/#D	a			Law
https://harvard.edu/#D	a			Medical
https://harvard.edu/#D	a			Public Health
https://harvard.edu/#D	a			Radcliffe Institute
https://harvard.edu/#D	a			                 On Campus               
https://harvard.edu/#D	a			Arts and Humanities
https://harvard.edu/#D	a			Athletics
https://harvard.edu/#D	a			Commencement
https://harvard.edu/#D	a			Employment
https://harvard.edu/#D	a			Events
https://harvard.edu/#D	a			HarvardX
https://harvard.edu/#D	a			Library
https://harvard.edu/#D	a			Museums
https://harvard.edu/#D	a			Research
https://harvard.edu/#D	a			Science
https://harvard.edu/#D	a			Visit Harvard
https://harvard.edu/#D	a			                 Gazette News               
https://harvard.edu/#D	a			                 Events               
https://harvard.edu/#D	a			                 Visit               
https://harvard.edu/#D	a			                 Give               
https://harvard.edu/#D	a			Faculty
https://harvard.edu/#D	a			Staff
https://harvard.edu/#D	a			Students
https://harvard.edu/#D	a			Alumni
https://harvard.edu/#D	a			Parents
https://harvard.edu/#D	a			Visitors
https://harvard.edu/#D	a			Media
https://harvard.edu/#D	span			       Search:     
https://harvard.edu/#D	span			       Open Search     
https://harvard.edu/#D	a			Top stories of 2019
https://harvard.edu/#D	p			Some of the most-read chronicles of campus, community, and achievement at Harvard
https://harvard.edu/#D	a			         Read story        
https://harvard.edu/#D	span			Gazette
https://harvard.edu/#D	a			Capturing the good times
https://harvard.edu/#D	p			Harvard photographers select their favorite photos of the year
https://harvard.edu/#D	a			       Read story       
https://harvard.edu/#D	span			Gazette
https://harvard.edu/#D	a			In defense of winter
https://harvard.edu/#D	p			Embracing the beauty of the season at the Arnold Arboretum
https://harvard.edu/#D	a			       Read story       
https://harvard.edu/#D	span			Gazette
https://harvard.edu/#D	a			Word of the year 
https://harvard.edu/#D	p			"Harvard faculty members consider the ""word of the year"" - climate emergency"
https://harvard.edu/#D	a			       Read story       
https://harvard.edu/#D	a			Notice of Settlement of Class Action Relating to Captioning of Public Web Content
https://harvard.edu/#D	h2			To Serve Better: Harvard across the country
https://harvard.edu/#D	a			Serving Tennessee
https://harvard.edu/#D	p			Sarah Lockridge-Steckel founded The Collective, which works to help young people in Memphis, Tennessee
https://harvard.edu/#D	a			       Read story       
https://harvard.edu/#D	a			Serving South Dakota
https://harvard.edu/#D	p			Marnie Gelbart works to increase public understanding of genetics, and the ethical, legal, and social implications
https://harvard.edu/#D	a			       Read story       
https://harvard.edu/#D	a			Serving Washington D.C. 
https://harvard.edu/#D	p			Clint Smith, whose dissertation focuses on juveniles facing life sentences, leads a prison reading program in Washington, D.C.
