url	parent	ps	ns	text
https://harvard.edu/president/speech/2019/remarks-2019-rotc-commissioning-ceremony	a			       Jump to main content     
https://harvard.edu/president/speech/2019/remarks-2019-rotc-commissioning-ceremony	a			       Jump to search     
https://harvard.edu/president/speech/2019/remarks-2019-rotc-commissioning-ceremony	a			       Jump to the footer     
https://harvard.edu/president/speech/2019/remarks-2019-rotc-commissioning-ceremony	span			         Harvard University       
https://harvard.edu/president/speech/2019/remarks-2019-rotc-commissioning-ceremony	a			     Menu   
https://harvard.edu/president/speech/2019/remarks-2019-rotc-commissioning-ceremony	a		span	                 About                 
https://harvard.edu/president/speech/2019/remarks-2019-rotc-commissioning-ceremony	span			                   Harvard                 
https://harvard.edu/president/speech/2019/remarks-2019-rotc-commissioning-ceremony	a			Harvard at a Glance
https://harvard.edu/president/speech/2019/remarks-2019-rotc-commissioning-ceremony	a			Harvard's President
https://harvard.edu/president/speech/2019/remarks-2019-rotc-commissioning-ceremony	a			Harvard's Leadership
https://harvard.edu/president/speech/2019/remarks-2019-rotc-commissioning-ceremony	a			Academic Experience
https://harvard.edu/president/speech/2019/remarks-2019-rotc-commissioning-ceremony	a			Administrative Offices
https://harvard.edu/president/speech/2019/remarks-2019-rotc-commissioning-ceremony	a			Directories
https://harvard.edu/president/speech/2019/remarks-2019-rotc-commissioning-ceremony	a			Harvard in the Community
https://harvard.edu/president/speech/2019/remarks-2019-rotc-commissioning-ceremony	a			News
https://harvard.edu/president/speech/2019/remarks-2019-rotc-commissioning-ceremony	a		span	                 Admissions                 
https://harvard.edu/president/speech/2019/remarks-2019-rotc-commissioning-ceremony	span			                   & Aid                 
https://harvard.edu/president/speech/2019/remarks-2019-rotc-commissioning-ceremony	a			Undergraduate
https://harvard.edu/president/speech/2019/remarks-2019-rotc-commissioning-ceremony	a			Graduate & Professional Schools
https://harvard.edu/president/speech/2019/remarks-2019-rotc-commissioning-ceremony	a			Continuing Education
https://harvard.edu/president/speech/2019/remarks-2019-rotc-commissioning-ceremony	a			Summer Programs
https://harvard.edu/president/speech/2019/remarks-2019-rotc-commissioning-ceremony	a			                 Schools               
https://harvard.edu/president/speech/2019/remarks-2019-rotc-commissioning-ceremony	a			Business
https://harvard.edu/president/speech/2019/remarks-2019-rotc-commissioning-ceremony	a			College
https://harvard.edu/president/speech/2019/remarks-2019-rotc-commissioning-ceremony	a			Continuing Education
https://harvard.edu/president/speech/2019/remarks-2019-rotc-commissioning-ceremony	a			Dental
https://harvard.edu/president/speech/2019/remarks-2019-rotc-commissioning-ceremony	a			Design
https://harvard.edu/president/speech/2019/remarks-2019-rotc-commissioning-ceremony	a			Divinity
https://harvard.edu/president/speech/2019/remarks-2019-rotc-commissioning-ceremony	a			Education
https://harvard.edu/president/speech/2019/remarks-2019-rotc-commissioning-ceremony	a			Engineering
https://harvard.edu/president/speech/2019/remarks-2019-rotc-commissioning-ceremony	a			Faculty of Arts & Sciences
https://harvard.edu/president/speech/2019/remarks-2019-rotc-commissioning-ceremony	a			Government
https://harvard.edu/president/speech/2019/remarks-2019-rotc-commissioning-ceremony	a			Graduate School
https://harvard.edu/president/speech/2019/remarks-2019-rotc-commissioning-ceremony	a			Law
https://harvard.edu/president/speech/2019/remarks-2019-rotc-commissioning-ceremony	a			Medical
https://harvard.edu/president/speech/2019/remarks-2019-rotc-commissioning-ceremony	a			Public Health
https://harvard.edu/president/speech/2019/remarks-2019-rotc-commissioning-ceremony	a			Radcliffe Institute
https://harvard.edu/president/speech/2019/remarks-2019-rotc-commissioning-ceremony	a			                 On Campus               
https://harvard.edu/president/speech/2019/remarks-2019-rotc-commissioning-ceremony	a			Arts and Humanities
https://harvard.edu/president/speech/2019/remarks-2019-rotc-commissioning-ceremony	a			Athletics
https://harvard.edu/president/speech/2019/remarks-2019-rotc-commissioning-ceremony	a			Commencement
https://harvard.edu/president/speech/2019/remarks-2019-rotc-commissioning-ceremony	a			Employment
https://harvard.edu/president/speech/2019/remarks-2019-rotc-commissioning-ceremony	a			Events
https://harvard.edu/president/speech/2019/remarks-2019-rotc-commissioning-ceremony	a			HarvardX
https://harvard.edu/president/speech/2019/remarks-2019-rotc-commissioning-ceremony	a			Library
https://harvard.edu/president/speech/2019/remarks-2019-rotc-commissioning-ceremony	a			Museums
https://harvard.edu/president/speech/2019/remarks-2019-rotc-commissioning-ceremony	a			Research
https://harvard.edu/president/speech/2019/remarks-2019-rotc-commissioning-ceremony	a			Science
https://harvard.edu/president/speech/2019/remarks-2019-rotc-commissioning-ceremony	a			Visit Harvard
https://harvard.edu/president/speech/2019/remarks-2019-rotc-commissioning-ceremony	a			                 Gazette News               
https://harvard.edu/president/speech/2019/remarks-2019-rotc-commissioning-ceremony	a			                 Events               
https://harvard.edu/president/speech/2019/remarks-2019-rotc-commissioning-ceremony	a			                 Visit               
https://harvard.edu/president/speech/2019/remarks-2019-rotc-commissioning-ceremony	a			                 Give               
https://harvard.edu/president/speech/2019/remarks-2019-rotc-commissioning-ceremony	a			Faculty
https://harvard.edu/president/speech/2019/remarks-2019-rotc-commissioning-ceremony	a			Staff
https://harvard.edu/president/speech/2019/remarks-2019-rotc-commissioning-ceremony	a			Students
https://harvard.edu/president/speech/2019/remarks-2019-rotc-commissioning-ceremony	a			Alumni
https://harvard.edu/president/speech/2019/remarks-2019-rotc-commissioning-ceremony	a			Parents
https://harvard.edu/president/speech/2019/remarks-2019-rotc-commissioning-ceremony	a			Visitors
https://harvard.edu/president/speech/2019/remarks-2019-rotc-commissioning-ceremony	a			Media
https://harvard.edu/president/speech/2019/remarks-2019-rotc-commissioning-ceremony	span			       Search:     
https://harvard.edu/president/speech/2019/remarks-2019-rotc-commissioning-ceremony	span			       Open Search     
https://harvard.edu/president/speech/2019/remarks-2019-rotc-commissioning-ceremony	span			Harvard.edu
https://harvard.edu/president/speech/2019/remarks-2019-rotc-commissioning-ceremony	span			Office of the President
https://harvard.edu/president/speech/2019/remarks-2019-rotc-commissioning-ceremony	span			President Speeches
https://harvard.edu/president/speech/2019/remarks-2019-rotc-commissioning-ceremony	h1			           Office of the President         
https://harvard.edu/president/speech/2019/remarks-2019-rotc-commissioning-ceremony	a			Office of the President
https://harvard.edu/president/speech/2019/remarks-2019-rotc-commissioning-ceremony	a			Biography
https://harvard.edu/president/speech/2019/remarks-2019-rotc-commissioning-ceremony	a			News
https://harvard.edu/president/speech/2019/remarks-2019-rotc-commissioning-ceremony	a			Speeches
https://harvard.edu/president/speech/2019/remarks-2019-rotc-commissioning-ceremony	a			History
https://harvard.edu/president/speech/2019/remarks-2019-rotc-commissioning-ceremony	a			Contact
https://harvard.edu/president/speech/2019/remarks-2019-rotc-commissioning-ceremony	a			Inauguration
https://harvard.edu/president/speech/2019/remarks-2019-rotc-commissioning-ceremony	h2			Remarks at the 2019 ROTC Commissioning Ceremony
https://harvard.edu/president/speech/2019/remarks-2019-rotc-commissioning-ceremony	time			May 29, 2019
https://harvard.edu/president/speech/2019/remarks-2019-rotc-commissioning-ceremony	em			As delivered.
https://harvard.edu/president/speech/2019/remarks-2019-rotc-commissioning-ceremony	p			Thank you, Major [David] Stalker. It is an honor to be here this morning to congratulate our about-to-be commissioned officers, their parents and family members, and their mentors and friends. At times like this, I think it’s important to remember that no one gets anywhere of consequence in life alone, and this ceremony is a wonderful reminder of that fact. So to the families, the loved ones, the friends, the parents, the fellow classmates who supported each and every one of you on this journey—thank you for all you have done to make this day possible.
https://harvard.edu/president/speech/2019/remarks-2019-rotc-commissioning-ceremony	p			Today, we acknowledge an enduring connection between two of our country’s great institutions: the United States military and Harvard University. We are reminded of that connection by the buildings that surround us on this campus. Loeb House, right over there, was turned over to the Navy for its V-12 school training program during the Second World War by my predecessor James Conant; Memorial Church, the building behind us, was built in memory of those who died serving in the First World War and was commissioned on Veterans Day in the 1930s; and Memorial Hall, which stands farther behind us, was built in memory of those who died preserving the Union in the Civil War. Massachusetts Hall—where my office is located—housed George Washington’s troops during the Revolutionary War. And Elmwood—where Adele and I have the privilege to live, a little bit farther afield—was a military hospital under General Washington and treated troops that were injured in the Battle of Breed’s Hill and Bunker Hill, and indeed many of the casualties of those battles are buried across the street from my house.
