url	parent	ps	ns	text
https://harvard.edu/media-relations/harvard-university-amicably-settles-patent-litigation-with-globalfoundries	a			       Jump to main content     
https://harvard.edu/media-relations/harvard-university-amicably-settles-patent-litigation-with-globalfoundries	a			       Jump to search     
https://harvard.edu/media-relations/harvard-university-amicably-settles-patent-litigation-with-globalfoundries	a			       Jump to the footer     
https://harvard.edu/media-relations/harvard-university-amicably-settles-patent-litigation-with-globalfoundries	h1			       Harvard University     
https://harvard.edu/media-relations/harvard-university-amicably-settles-patent-litigation-with-globalfoundries	a			       Back to Harvard.edu     
https://harvard.edu/media-relations/harvard-university-amicably-settles-patent-litigation-with-globalfoundries	a			Media Relations
https://harvard.edu/media-relations/harvard-university-amicably-settles-patent-litigation-with-globalfoundries	a			Press Releases
https://harvard.edu/media-relations/harvard-university-amicably-settles-patent-litigation-with-globalfoundries	h1			           Harvard University amicably settles patent litigation with GlobalFoundries        
https://harvard.edu/media-relations/harvard-university-amicably-settles-patent-litigation-with-globalfoundries	a			Media Relations
https://harvard.edu/media-relations/harvard-university-amicably-settles-patent-litigation-with-globalfoundries	a			Media Resources
https://harvard.edu/media-relations/harvard-university-amicably-settles-patent-litigation-with-globalfoundries	a			Photos and Multimedia
https://harvard.edu/media-relations/harvard-university-amicably-settles-patent-litigation-with-globalfoundries	a			Press Releases
https://harvard.edu/media-relations/harvard-university-amicably-settles-patent-litigation-with-globalfoundries	a			In the News
https://harvard.edu/media-relations/harvard-university-amicably-settles-patent-litigation-with-globalfoundries	a			Policies
https://harvard.edu/media-relations/harvard-university-amicably-settles-patent-litigation-with-globalfoundries	a			Contact
https://harvard.edu/media-relations/harvard-university-amicably-settles-patent-litigation-with-globalfoundries	time			May 8, 2017
https://harvard.edu/media-relations/harvard-university-amicably-settles-patent-litigation-with-globalfoundries	b			Cambridge, Mass., May 8, 2017 
https://harvard.edu/media-relations/harvard-university-amicably-settles-patent-litigation-with-globalfoundries	p			-- Harvard University today announced the amicable resolution of the patent lawsuit filed in June 2016 by Harvard against GlobalFoundries.
https://harvard.edu/media-relations/harvard-university-amicably-settles-patent-litigation-with-globalfoundries	p	p		Harvard and GlobalFoundries have settled the litigation and have entered into a non-exclusive license agreement regarding the Harvard-owned patents asserted in the case. The patented technology, which was invented by Professor Roy G. Gordon and members of his Harvard laboratory, relates to the deposition of thin films of metals and other materials onto surfaces.
https://harvard.edu/media-relations/harvard-university-amicably-settles-patent-litigation-with-globalfoundries	p	p	i	The case was 
https://harvard.edu/media-relations/harvard-university-amicably-settles-patent-litigation-with-globalfoundries	i			President and Fellows of Harvard College v. GlobalFoundries U.S., Inc. 
https://harvard.edu/media-relations/harvard-university-amicably-settles-patent-litigation-with-globalfoundries	p	p	a	1:16-cv-11252-WGY. Further details regarding the resolution of the case are confidential. For background on Harvard patent enforcement, please visit: 
https://harvard.edu/media-relations/harvard-university-amicably-settles-patent-litigation-with-globalfoundries	a			http://hvrd.me/F27A30aQB86
https://harvard.edu/media-relations/harvard-university-amicably-settles-patent-litigation-with-globalfoundries	span			About Harvard University's Office of Technology Development
https://harvard.edu/media-relations/harvard-university-amicably-settles-patent-litigation-with-globalfoundries	p	p	a	Harvard's Office of Technology Development (OTD) promotes the public good by fostering innovation and translating new inventions made at Harvard University into useful products that are available and beneficial to society. Our integrated approach to technology development comprises sponsored research and corporate alliances, intellectual property management, and technology commercialization through venture creation and licensing. Harvard OTD also manages the Blavatnik Biomedical Accelerator and the Physical Sciences & Engineering Accelerator. For more information, please visit 
