url	parent	ps	ns	text
https://library.hodges.edu	label			Search the website...
https://library.hodges.edu	button			Search
https://library.hodges.edu	h1			Library
https://library.hodges.edu	span			HOME
https://library.hodges.edu	span			Research Help
https://library.hodges.edu	span			Toggle Dropdown
https://library.hodges.edu	a			A-Z Database List                                                                      
https://library.hodges.edu	a			Course Guides                                                                      
https://library.hodges.edu	a			Films & Videos                                                                      
https://library.hodges.edu	a			Resource Guides                                                                      
https://library.hodges.edu	a			Video Tutorials                                                                      
https://library.hodges.edu	a			Plagiarism                                                                      
https://library.hodges.edu	span			Tutoring
https://library.hodges.edu	span			Writing Resources
https://library.hodges.edu	span			Technology Help
https://library.hodges.edu	span			Faculty Support
https://library.hodges.edu	span			About Us
https://library.hodges.edu	span	br		Everything
https://library.hodges.edu	span			Books
https://library.hodges.edu	span			Articles
https://library.hodges.edu	span			Videos
https://library.hodges.edu	b		span	Search 
https://library.hodges.edu	span			Everything
https://library.hodges.edu	b		span	Find 
https://library.hodges.edu	h2			APA  and Citation Help                                 
https://library.hodges.edu	h2			Databases                                 
https://library.hodges.edu	a			Browse All Databases
https://library.hodges.edu	b			Find a Journal
https://library.hodges.edu	h2			Regular Hours                                 
https://library.hodges.edu	span			Fort Myers and Naples
https://library.hodges.edu	span			Monday -  Thursday 
https://library.hodges.edu	span			9:00 AM - 9:30 PM
https://library.hodges.edu	div			Friday 
https://library.hodges.edu	div			 9:00 AM - 7:00 PM
https://library.hodges.edu	h2			Ask Us                                 
https://library.hodges.edu	a			Text us
https://library.hodges.edu	p			To the extent the General Data Protection Regulation (“GDPR”) is applicable to me, I hereby consent to the processing of my Personal Data as defined by the GDPR for the purposes outlined and provided for in Hodges’ policies, as amended from time to time.  I understand that in certain circumstances, I have the right to object to the processing of my Personal Data.  I further understand that I have the right to request (1) access to my Personal Data; (2) rectification of mistakes or errors and/or erasure of my Personal Data; (3) that Hodges restrict processing of my Personal Data; and (4) that Hodges provide my Personal Data upon request in a portable format. 
https://library.hodges.edu	strong			Next:
https://library.hodges.edu	a			 Research Help >>
https://library.hodges.edu	a			Terry P. McMahan Library Home
https://library.hodges.edu	a			Hodges University Home
https://library.hodges.edu	a			myHUgo Login
https://library.hodges.edu	a	br		Email/chat/text
https://library.hodges.edu	a			239-598-6109 (Naples)
https://library.hodges.edu	a			239-938-7812 (Fort Myers)
https://library.hodges.edu	a			Admin Login
https://www.hodges.edu/library	a			Skip to content
https://www.hodges.edu/library	span			Search
https://www.hodges.edu/library	a			 888-920-3035
https://www.hodges.edu/library	a			My Hugo
https://www.hodges.edu/library	a			Shop Hawks Gear
https://www.hodges.edu/library	a			Employment Opportunities
https://www.hodges.edu/library	a			Shop Amazon Smile
https://www.hodges.edu/library	a			Apply Today!
https://www.hodges.edu/library	a			Home
https://www.hodges.edu/library	a			Admissions – Future Hawks
https://www.hodges.edu/library	a			Student Services
https://www.hodges.edu/library	a			Student Experience
https://www.hodges.edu/library	a			Registrar
https://www.hodges.edu/library	a			Student Financial Information
https://www.hodges.edu/library	a			Financial Aid
https://www.hodges.edu/library	a			Tuition and Fees
https://www.hodges.edu/library	a			Veteran Students
https://www.hodges.edu/library	a			Diversity in Higher Ed
https://www.hodges.edu/library	a			Student Resources
https://www.hodges.edu/library	a			Academic Calendar
https://www.hodges.edu/library	a			Academic Table
https://www.hodges.edu/library	a			Current Course Catalog
https://www.hodges.edu/library	a			Student Handbook
https://www.hodges.edu/library	a			Registration Terms and Conditions
https://www.hodges.edu/library	a			Past Catalogs
https://www.hodges.edu/library	a			Library
https://www.hodges.edu/library	a			Program Delivery Guide
https://www.hodges.edu/library	a			Schedule
https://www.hodges.edu/library	a			Learn About Our Staff
https://www.hodges.edu/library	a			About Hodges
https://www.hodges.edu/library	a			Presidents Welcome
https://www.hodges.edu/library	a			Consumer Information
https://www.hodges.edu/library	a			Institutional Effectiveness
https://www.hodges.edu/library	a			Student Achievement
https://www.hodges.edu/library	a			Privacy Policy
https://www.hodges.edu/library	a			NEW – Hodges Connect
https://www.hodges.edu/library	h1			Welcome to the Library at Hodges University
https://www.hodges.edu/library	p			To help meet your needs, the Terry P. McMahan Library offers a variety of services and materials to Hodges University students, faculty, staff, and alumni.
https://www.hodges.edu/library	p			We make it easy for you to obtain the information you need. Connect with a subject specialist to guide you through research, find a space to study on your own or with a group, and locate books, articles, and more to support your academic experience. Stop by for a visit! We are here to help.
https://www.hodges.edu/library	strong			E-Library
https://www.hodges.edu/library	p			Search the library for information, articles, journals, books, e-books, movies, e-government documents, and more through our collection of specialized academic resources. Many items are available online immediately. Most physical materials check out for 3-4 weeks and renew 2 times. Inter-library loans let us locate additional materials from almost any collection in the country.
https://www.hodges.edu/library	a			E-Library Login
https://www.hodges.edu/library	a			Course Schedule
https://www.hodges.edu/library	h3			Hodges University
https://www.hodges.edu/library	p		br	FORT MYERS CAMPUS
https://www.hodges.edu/library	p		br	  4501 Colonial Blvd Fort Myers, Florida 33966
https://www.hodges.edu/library	p		br	  1-239-482-0019
https://www.hodges.edu/library	p		br	  NAPLES CAMPUS
https://www.hodges.edu/library	p		br	  2647 Professional Circle Naples, FL 34119
https://www.hodges.edu/library	p		br	  1-239-513-1122
https://www.hodges.edu/library	h3			Featured Links
https://www.hodges.edu/library	a			Admissions Information
https://www.hodges.edu/library	a			Program Search
https://www.hodges.edu/library	a			MyHugo
https://www.hodges.edu/library	a		br	Hawks
https://www.hodges.edu/library	a			Store
https://www.hodges.edu/library	a			NEW – First Line Supervisor Training
