url	parent	ps	ns	text
http://cms.psu.edu	h1			ANGEL Retirement
http://cms.psu.edu	font		a	  ANGEL is retired and is no longer available for use, teaching, or online access. Course archives are kept up to a maximum of five years from the last day of the course's offering in compliance with 
http://cms.psu.edu	a			University Archives and Records Management policy, AD35
http://cms.psu.edu	font		br	   Faculty may request access if you require course material that may still be in ANGEL. This access is for the downloading of course (instructor) material only.
http://cms.psu.edu	font		br	  Student access is not permitted. Please see your course instructor for material you may need.
http://cms.psu.edu	font		br	  Faculty will need to provide all the following information:
http://cms.psu.edu	li			Course Name
http://cms.psu.edu	li			Course Number
http://cms.psu.edu	li			Course Year and Semester
http://cms.psu.edu	li			Section Number
http://cms.psu.edu	li			Reason for access
http://cms.psu.edu	font		a	  Access approval may take up to five business days to review and grant. After access is approved you will have five business days to download course material. Please email the IT Service Desk at  
http://cms.psu.edu	a			lmssupport@psu.edu
http://cms.psu.edu	font		br	 for processing. 
http://cms.psu.edu	a			Penn State IT Knowledge Base Article
http://pennstatelaw.psu.edu	a			Skip to main content
http://pennstatelaw.psu.edu	a			Penn State Law | University Park, Pa.
http://pennstatelaw.psu.edu	h6			Lewis Katz Building, University Park, PA
http://pennstatelaw.psu.edu	div			Search form
http://pennstatelaw.psu.edu	label			Search 
http://pennstatelaw.psu.edu	div			Menu
http://pennstatelaw.psu.edu	a			About Us
http://pennstatelaw.psu.edu	a			Dean's Welcome
http://pennstatelaw.psu.edu	a			Innovative Legal Education
http://pennstatelaw.psu.edu	a			Technology
http://pennstatelaw.psu.edu	a			Student Life
http://pennstatelaw.psu.edu	a			Leadership
http://pennstatelaw.psu.edu	a			Board of Advisors
http://pennstatelaw.psu.edu	a			Strategic Plan
http://pennstatelaw.psu.edu	a			Our History
http://pennstatelaw.psu.edu	a			Location
http://pennstatelaw.psu.edu	a			Academics
http://pennstatelaw.psu.edu	a			J.D. Program
http://pennstatelaw.psu.edu	a			LL.M. Program
http://pennstatelaw.psu.edu	a			S.J.D. Program
http://pennstatelaw.psu.edu	a			Specialized Fields of Study
http://pennstatelaw.psu.edu	a			Joint Degrees
http://pennstatelaw.psu.edu	a			Academic Advisement
http://pennstatelaw.psu.edu	a			Academic Affairs Office
http://pennstatelaw.psu.edu	a			Research Centers
http://pennstatelaw.psu.edu	a			Faculty
http://pennstatelaw.psu.edu	a			Full-Time Faculty
http://pennstatelaw.psu.edu	a			Adjunct Faculty
http://pennstatelaw.psu.edu	a			Affiliated Penn State Faculty
http://pennstatelaw.psu.edu	a			All Faculty
http://pennstatelaw.psu.edu	a			Experiential Learning
http://pennstatelaw.psu.edu	a			Clinics/Practicum
http://pennstatelaw.psu.edu	a			Externships
http://pennstatelaw.psu.edu	a			Extracurricular Advocacy Experiences
http://pennstatelaw.psu.edu	a			Legal Research and Writing
http://pennstatelaw.psu.edu	a			Practice-Oriented Courses
http://pennstatelaw.psu.edu	a			Summer Experiences
http://pennstatelaw.psu.edu	a			International
http://pennstatelaw.psu.edu	a			Education Abroad
http://pennstatelaw.psu.edu	a			International Curriculum
http://pennstatelaw.psu.edu	a			Global Scholars
http://pennstatelaw.psu.edu	a			International Law Practice & Extracurricular Activities
http://pennstatelaw.psu.edu	a			Research and Visiting Scholars
http://pennstatelaw.psu.edu	a			Admissions
http://pennstatelaw.psu.edu	a			J.D. Admissions
http://pennstatelaw.psu.edu	a			LL.M. Admissions
http://pennstatelaw.psu.edu	a			S.J.D. Admissions
http://pennstatelaw.psu.edu	a			Careers
http://pennstatelaw.psu.edu	a			Current Students
http://pennstatelaw.psu.edu	a			Employers
http://pennstatelaw.psu.edu	a			Alumni
http://pennstatelaw.psu.edu	a			Employment Data
http://pennstatelaw.psu.edu	a			Contact Our Staff
http://pennstatelaw.psu.edu	a			Library
http://pennstatelaw.psu.edu	a			About the Law Library
http://pennstatelaw.psu.edu	a			Research
http://pennstatelaw.psu.edu	a			Faculty Resources
http://pennstatelaw.psu.edu	a			Student Resources
http://pennstatelaw.psu.edu	a			Alumni & Visitor Resources
http://pennstatelaw.psu.edu	a			Penn State Law eLibrary
http://pennstatelaw.psu.edu	a			Ask a Law Librarian
http://pennstatelaw.psu.edu	strong			Two Penn State Law in University Park Professors win AALS awards
http://pennstatelaw.psu.edu	span			Professors David Kaye and Mark Storslee were recognized at the 2020 AALS Annual Meeting, January 2-5 in Washington, D.C.  
http://pennstatelaw.psu.edu	strong			Penn State Law Veterans Clinic Starts Military Mondays at Local Starbucks
http://pennstatelaw.psu.edu	span			The program will begin on Veterans Day and will be held at the State College Starbucks on North Atherton Street.  
http://pennstatelaw.psu.edu	strong			Center for Immigrants' Rights Clinic releases report on detained immigrants' access to counsel in PA
http://pennstatelaw.psu.edu	span			The report was completed on behalf of the Clinic's client, the Pennsylvania Immigrant Family Unity Project.  
http://pennstatelaw.psu.edu	strong			Accelerated Bachelor’s/J.D. Program Offers Undergraduates New Pathway to Legal Career
