url	parent	ps	ns	text
https://www.judson.edu/calendar/2020-01	h2			Main Pages
https://www.judson.edu/calendar/2020-01	a			About Judson
https://www.judson.edu/calendar/2020-01	a			Academics
https://www.judson.edu/calendar/2020-01	a			Student Life
https://www.judson.edu/calendar/2020-01	a			Athletics
https://www.judson.edu/calendar/2020-01	a			Admissions
https://www.judson.edu/calendar/2020-01	h2			Quick Links
https://www.judson.edu/calendar/2020-01	a			Calendar
https://www.judson.edu/calendar/2020-01	a			Student Webmail
https://www.judson.edu/calendar/2020-01	a			Faculty & Staff Webmail
https://www.judson.edu/calendar/2020-01	a			Directory
https://www.judson.edu/calendar/2020-01	a			Library
https://www.judson.edu/calendar/2020-01	a			Dining Hall Menu
https://www.judson.edu/calendar/2020-01	a			Give to Judson
https://www.judson.edu/calendar/2020-01	h2			My Judson
https://www.judson.edu/calendar/2020-01	a			Students
https://www.judson.edu/calendar/2020-01	a			New Students
https://www.judson.edu/calendar/2020-01	a			Faculty
https://www.judson.edu/calendar/2020-01	a			Staff
https://www.judson.edu/calendar/2020-01	a			Alumnae
https://www.judson.edu/calendar/2020-01	span			menu
https://www.judson.edu/calendar/2020-01	a			Judson
https://www.judson.edu/calendar/2020-01	h1			Events for January 2020
https://www.judson.edu/calendar/2020-01	h2			Events Search and Views Navigation
https://www.judson.edu/calendar/2020-01	span			       Show Events Search     
https://www.judson.edu/calendar/2020-01	h3			Events Search
https://www.judson.edu/calendar/2020-01	label			Events In
https://www.judson.edu/calendar/2020-01	label			Search
https://www.judson.edu/calendar/2020-01	h3			Event Views Navigation
https://www.judson.edu/calendar/2020-01	label			       View As     
https://www.judson.edu/calendar/2020-01	option			List
https://www.judson.edu/calendar/2020-01	option	option		Month
https://www.judson.edu/calendar/2020-01	option	option		Day
https://www.judson.edu/calendar/2020-01	h3			Calendar Month Navigation
https://www.judson.edu/calendar/2020-01	a		span	February 
https://www.judson.edu/calendar/2020-01	h2			Calendar of Events
https://www.judson.edu/calendar/2020-01	caption			Calendar of Events
https://www.judson.edu/calendar/2020-01	th			Monday
https://www.judson.edu/calendar/2020-01	th			Tuesday
https://www.judson.edu/calendar/2020-01	th			Wednesday
https://www.judson.edu/calendar/2020-01	th			Thursday
https://www.judson.edu/calendar/2020-01	th			Friday
https://www.judson.edu/calendar/2020-01	th			Saturday
https://www.judson.edu/calendar/2020-01	th			Sunday
https://www.judson.edu/calendar/2020-01	a			Spring Semester Classes Begin
https://www.judson.edu/calendar/2020-01	a			Academic Council
https://www.judson.edu/calendar/2020-01	a			Basketball Game – Away vs. Faulkner U
https://www.judson.edu/calendar/2020-01	a			Basketball Game – Away vs. MUW
https://www.judson.edu/calendar/2020-01	a			Last Day to Add/Last Day to Drop without a Fee
https://www.judson.edu/calendar/2020-01	a			Basketball Game – Home vs. Welch College
https://www.judson.edu/calendar/2020-01	a			Martin Luther King, Jr. Day – Offices Closed, No Classes
https://www.judson.edu/calendar/2020-01	a			Classes Resume
https://www.judson.edu/calendar/2020-01	a			Basketball Game – Home vs. Huntingdon
https://www.judson.edu/calendar/2020-01	a			Faculty Meeting
https://www.judson.edu/calendar/2020-01	a			Basketball Game – Away vs. BMC
https://www.judson.edu/calendar/2020-01	a			Athletic Tryout Day – Volleyball
https://www.judson.edu/calendar/2020-01	a			Judson/MMI Service Day
https://www.judson.edu/calendar/2020-01	a			January Preview & Scholarship Day
https://www.judson.edu/calendar/2020-01	a			Basketball Game – Away vs. Truett-McConnell U
https://www.judson.edu/calendar/2020-01	a			Basketball Game – Away vs. Southeastern Baptist College
https://www.judson.edu/calendar/2020-01	a			Big/Little Sis Banquet
https://www.judson.edu/calendar/2020-01	a			Basketball Game – Home vs. Toccoa Falls
https://www.judson.edu/calendar/2020-01	a			  Export Events
https://www.judson.edu/calendar/2020-01	a			facebook
https://www.judson.edu/calendar/2020-01	a			twitter
https://www.judson.edu/calendar/2020-01	a			vimeo
https://www.judson.edu/calendar/2020-01	a			pinterest
https://www.judson.edu/calendar/2020-01	h2			General Information
https://www.judson.edu/calendar/2020-01	a			News
https://www.judson.edu/calendar/2020-01	a			Communications
https://www.judson.edu/calendar/2020-01	a			Refer a Student
https://www.judson.edu/calendar/2020-01	a			Disclosures
https://www.judson.edu/calendar/2020-01	a			Employment at Judson
https://www.judson.edu/calendar/2020-01	a			Directions
https://www.judson.edu/calendar/2020-01	a			Dining
https://www.judson.edu/calendar/2020-01	a			Contact
https://www.judson.edu/calendar/2020-01	h2			Academics
https://www.judson.edu/calendar/2020-01	a			Academic Programs
https://www.judson.edu/calendar/2020-01	a			Academic Catalog
https://www.judson.edu/calendar/2020-01	a			Course Schedule & Textbook List
https://www.judson.edu/calendar/2020-01	a			Distance Learning
https://www.judson.edu/calendar/2020-01	h2			Admissions
https://www.judson.edu/calendar/2020-01	a			Admissions Home
https://www.judson.edu/calendar/2020-01	a			Financial Aid
https://www.judson.edu/calendar/2020-01	a			Visit Campus
https://www.judson.edu/calendar/2020-01	a			Schedule a Tour
https://www.judson.edu/calendar/2020-01	a			Preview/Scholarship Days
https://www.judson.edu/calendar/2020-01	a			Apply
https://www.judson.edu/calendar/2020-01	h2			My Judson…
https://www.judson.edu/calendar/2020-01	h2			Give to Judson
https://www.judson.edu/calendar/2020-01	a			Online Giving
https://www.judson.edu/calendar/2020-01	a			Annual Giving
https://www.judson.edu/calendar/2020-01	a			Planned Giving
https://www.judson.edu/calendar/2020-01	a			Heritage
https://www.judson.edu/calendar/2020-01	a			Why a Women's College?
https://www.judson.edu/calendar/2020-01	p			Judson College | 302 Bibb St. | Marion, AL 36756 | (800) 447-9472
https://www.judson.edu/calendar/2020-01	p		br	Judson College
https://www.judson.edu/calendar/2020-01	p		br	302 Bibb St.
https://www.judson.edu/calendar/2020-01	p		br	Marion, AL 36756
https://www.judson.edu/calendar/2020-01	p			(800) 447-9472
https://www.judson.edu/calendar/2020-01	p		a	Website by 
https://www.judson.edu/calendar/2020-01	a			Kyle Kite
https://www.judson.edu/calendar/2020-02	h2			Main Pages
https://www.judson.edu/calendar/2020-02	a			About Judson
https://www.judson.edu/calendar/2020-02	a			Academics
https://www.judson.edu/calendar/2020-02	a			Student Life
https://www.judson.edu/calendar/2020-02	a			Athletics
https://www.judson.edu/calendar/2020-02	a			Admissions
https://www.judson.edu/calendar/2020-02	h2			Quick Links
https://www.judson.edu/calendar/2020-02	a			Calendar
https://www.judson.edu/calendar/2020-02	a			Student Webmail
https://www.judson.edu/calendar/2020-02	a			Faculty & Staff Webmail
https://www.judson.edu/calendar/2020-02	a			Directory
https://www.judson.edu/calendar/2020-02	a			Library
https://www.judson.edu/calendar/2020-02	a			Dining Hall Menu
https://www.judson.edu/calendar/2020-02	a			Give to Judson
https://www.judson.edu/calendar/2020-02	h2			My Judson
https://www.judson.edu/calendar/2020-02	a			Students
https://www.judson.edu/calendar/2020-02	a			New Students
https://www.judson.edu/calendar/2020-02	a			Faculty
https://www.judson.edu/calendar/2020-02	a			Staff
https://www.judson.edu/calendar/2020-02	a			Alumnae
https://www.judson.edu/calendar/2020-02	span			menu
https://www.judson.edu/calendar/2020-02	a			Judson
https://www.judson.edu/calendar/2020-02	h1			Events for February 2020
https://www.judson.edu/calendar/2020-02	h2			Events Search and Views Navigation
https://www.judson.edu/calendar/2020-02	span			       Show Events Search     
https://www.judson.edu/calendar/2020-02	h3			Events Search
https://www.judson.edu/calendar/2020-02	label			Events In
https://www.judson.edu/calendar/2020-02	label			Search
https://www.judson.edu/calendar/2020-02	h3			Event Views Navigation
https://www.judson.edu/calendar/2020-02	label			       View As     
https://www.judson.edu/calendar/2020-02	option			List
https://www.judson.edu/calendar/2020-02	option	option		Month
https://www.judson.edu/calendar/2020-02	option	option		Day
https://www.judson.edu/calendar/2020-02	h3			Calendar Month Navigation
https://www.judson.edu/calendar/2020-02	a			 January 
https://www.judson.edu/calendar/2020-02	a		span	March 
https://www.judson.edu/calendar/2020-02	h2			Calendar of Events
https://www.judson.edu/calendar/2020-02	caption			Calendar of Events
https://www.judson.edu/calendar/2020-02	th			Monday
https://www.judson.edu/calendar/2020-02	th			Tuesday
https://www.judson.edu/calendar/2020-02	th			Wednesday
https://www.judson.edu/calendar/2020-02	th			Thursday
https://www.judson.edu/calendar/2020-02	th			Friday
https://www.judson.edu/calendar/2020-02	th			Saturday
https://www.judson.edu/calendar/2020-02	th			Sunday
https://www.judson.edu/calendar/2020-02	a			Basketball Game – Away vs. Southeastern Baptist College
https://www.judson.edu/calendar/2020-02	a			Big/Little Sis Banquet
https://www.judson.edu/calendar/2020-02	a			Basketball Game – Home vs. Toccoa Falls
https://www.judson.edu/calendar/2020-02	a			Christian Emphasis Week
https://www.judson.edu/calendar/2020-02	a			Board of Governors
https://www.judson.edu/calendar/2020-02	a			Basketball Game – Home vs. PCC
https://www.judson.edu/calendar/2020-02	a			Early Alert Deficiencies Due
https://www.judson.edu/calendar/2020-02	a			Basketball Game – Home vs. MUW
https://www.judson.edu/calendar/2020-02	a			Softball Game – Home vs. Sewanee
https://www.judson.edu/calendar/2020-02	a			Basketball Game – Away vs. Life U
https://www.judson.edu/calendar/2020-02	a			Basketball Game – Home vs. Oakwood U
https://www.judson.edu/calendar/2020-02	a			Softball Game – Home vs. Covenant College
https://www.judson.edu/calendar/2020-02	a			Board of Trustees
https://www.judson.edu/calendar/2020-02	a			Softball Game – Home vs. Rust College
