url	parent	ps	ns	text
https://yale.edu/#page	a			Skip to Main Content
https://yale.edu/#page	p			It looks like you're trying to zoom in on this page. For best results: use the most recent version of your browser, disable your browser's 'zoom text only' setting, and use your browser's default font size settings.
https://yale.edu/#page	p			To zoom in, use [Ctrl]   [ ] in Windows, and [Cmd]   [ ] on a Mac. To zoom out, use the keyboard shortcut [Ctrl]   [-] in Windows and [Cmd]   [-] on a Mac.
https://yale.edu/#page	h1			Yale University
https://yale.edu/#page	h2			Secondary Navigation
https://yale.edu/#page	span			Calendars
https://yale.edu/#page	span			Giving
https://yale.edu/#page	span			News
https://yale.edu/#page	span			Directories
https://yale.edu/#page	span			Search
https://yale.edu/#page	button			Navigation
https://yale.edu/#page	label			Info for...
https://yale.edu/#page	option			Students
https://yale.edu/#page	option	option		Faculty
https://yale.edu/#page	option	option		Staff
https://yale.edu/#page	option	option		Alumni
https://yale.edu/#page	h2			Main Navigation
https://yale.edu/#page	a			About Yale
https://yale.edu/#page	a			Leadership & Organization
https://yale.edu/#page	a	a		Yale Facts
https://yale.edu/#page	a	a		Traditions & History
https://yale.edu/#page	a	a		Yale & the World
https://yale.edu/#page	a	a		Visiting
https://yale.edu/#page	a			Academics
https://yale.edu/#page	a			Undergraduate Study
https://yale.edu/#page	a	a		Graduate & Professional Study
https://yale.edu/#page	a	a		Departments & Programs
https://yale.edu/#page	a	a		Global Education
https://yale.edu/#page	a	a		Summer Session
https://yale.edu/#page	a	a		Non-Degree Offerings
https://yale.edu/#page	a	a		Online Learning
https://yale.edu/#page	a			Admissions
https://yale.edu/#page	a			Undergraduate
https://yale.edu/#page	a	a		Graduate & Professional Schools
https://yale.edu/#page	a	a		Financial Aid
https://yale.edu/#page	a	a		International Students
https://yale.edu/#page	a	a		Summer Session
https://yale.edu/#page	a	a		Non-Degree Seeking Students
https://yale.edu/#page	a	a		World Fellows Program
https://yale.edu/#page	a			Research & Collections
https://yale.edu/#page	a			Research at Yale
https://yale.edu/#page	a	a		Libraries
https://yale.edu/#page	a	a		Museums & Galleries
https://yale.edu/#page	a	a		Centers & Institutes
https://yale.edu/#page	a	a		Digital Collections & Open Resources
https://yale.edu/#page	a			Life at Yale
https://yale.edu/#page	a			Arts & Culture
https://yale.edu/#page	a	a		Athletics & Recreation
https://yale.edu/#page	a	a		Belonging at Yale
https://yale.edu/#page	a	a		Health & Wellness
https://yale.edu/#page	a	a		New Haven
