url	parent	ps	ns	text
https://harvard.edu/#siteNavigation	a			       Jump to main content     
https://harvard.edu/#siteNavigation	a			       Jump to search     
https://harvard.edu/#siteNavigation	a			       Jump to the footer     
https://harvard.edu/#siteNavigation	span			         Harvard University       
https://harvard.edu/#siteNavigation	a			     Menu   
https://harvard.edu/#siteNavigation	a		span	                 About                 
https://harvard.edu/#siteNavigation	span			                   Harvard                 
https://harvard.edu/#siteNavigation	a			Harvard at a Glance
https://harvard.edu/#siteNavigation	a			Harvard's President
https://harvard.edu/#siteNavigation	a			Harvard's Leadership
https://harvard.edu/#siteNavigation	a			Academic Experience
https://harvard.edu/#siteNavigation	a			Administrative Offices
https://harvard.edu/#siteNavigation	a			Directories
https://harvard.edu/#siteNavigation	a			Harvard in the Community
https://harvard.edu/#siteNavigation	a			News
https://harvard.edu/#siteNavigation	a		span	                 Admissions                 
https://harvard.edu/#siteNavigation	span			                   & Aid                 
https://harvard.edu/#siteNavigation	a			Undergraduate
https://harvard.edu/#siteNavigation	a			Graduate & Professional Schools
https://harvard.edu/#siteNavigation	a			Continuing Education
https://harvard.edu/#siteNavigation	a			Summer Programs
https://harvard.edu/#siteNavigation	a			                 Schools               
https://harvard.edu/#siteNavigation	a			Business
https://harvard.edu/#siteNavigation	a			College
https://harvard.edu/#siteNavigation	a			Continuing Education
https://harvard.edu/#siteNavigation	a			Dental
https://harvard.edu/#siteNavigation	a			Design
https://harvard.edu/#siteNavigation	a			Divinity
https://harvard.edu/#siteNavigation	a			Education
https://harvard.edu/#siteNavigation	a			Engineering
https://harvard.edu/#siteNavigation	a			Faculty of Arts & Sciences
https://harvard.edu/#siteNavigation	a			Government
https://harvard.edu/#siteNavigation	a			Graduate School
https://harvard.edu/#siteNavigation	a			Law
https://harvard.edu/#siteNavigation	a			Medical
https://harvard.edu/#siteNavigation	a			Public Health
https://harvard.edu/#siteNavigation	a			Radcliffe Institute
https://harvard.edu/#siteNavigation	a			                 On Campus               
https://harvard.edu/#siteNavigation	a			Arts and Humanities
https://harvard.edu/#siteNavigation	a			Athletics
https://harvard.edu/#siteNavigation	a			Commencement
https://harvard.edu/#siteNavigation	a			Employment
https://harvard.edu/#siteNavigation	a			Events
https://harvard.edu/#siteNavigation	a			HarvardX
https://harvard.edu/#siteNavigation	a			Library
https://harvard.edu/#siteNavigation	a			Museums
https://harvard.edu/#siteNavigation	a			Research
https://harvard.edu/#siteNavigation	a			Science
https://harvard.edu/#siteNavigation	a			Visit Harvard
https://harvard.edu/#siteNavigation	a			                 Gazette News               
https://harvard.edu/#siteNavigation	a			                 Events               
https://harvard.edu/#siteNavigation	a			                 Visit               
https://harvard.edu/#siteNavigation	a			                 Give               
https://harvard.edu/#siteNavigation	a			Faculty
https://harvard.edu/#siteNavigation	a			Staff
https://harvard.edu/#siteNavigation	a			Students
https://harvard.edu/#siteNavigation	a			Alumni
https://harvard.edu/#siteNavigation	a			Parents
https://harvard.edu/#siteNavigation	a			Visitors
https://harvard.edu/#siteNavigation	a			Media
https://harvard.edu/#siteNavigation	span			       Search:     
https://harvard.edu/#siteNavigation	span			       Open Search     
https://harvard.edu/#siteNavigation	h2			         Sit by the Harvard Yule Log this holiday season       
https://harvard.edu/#siteNavigation	a		span	Get cozy    
https://harvard.edu/#siteNavigation	span			     Sit by the Harvard Yule Log this holiday season     
https://harvard.edu/#siteNavigation	span			Gazette
https://harvard.edu/#siteNavigation	a			Holiday reflections 
https://harvard.edu/#siteNavigation	p			Harvard students leaving for break take a moment to reflect on the holidays, their achievements and dreams
https://harvard.edu/#siteNavigation	a			       Read story       
https://harvard.edu/#siteNavigation	span			Gazette
https://harvard.edu/#siteNavigation	a			Deck the halls and set the table
https://harvard.edu/#siteNavigation	p			Members of the Harvard community share their favorite holiday dishes
https://harvard.edu/#siteNavigation	a			       Read story       
https://harvard.edu/#siteNavigation	span			Gazette
https://harvard.edu/#siteNavigation	a			Merry and bright?
https://harvard.edu/#siteNavigation	p			Harvard psychologist discusses how the holiday season can trigger the blues ­— and how to avoid them
https://harvard.edu/#siteNavigation	a			       Read story       
https://harvard.edu/#siteNavigation	span			Gazette
https://harvard.edu/#siteNavigation	a			Crafting a carol
https://harvard.edu/#siteNavigation	p			Composer in residence Carson Cooman created a song for Memorial Church's 110th holiday services
https://harvard.edu/#siteNavigation	a			       Read story       
https://harvard.edu/#siteNavigation	a			Notice of Settlement of Class Action Relating to Captioning of Public Web Content
https://harvard.edu/#siteNavigation	h2			To Serve Better: Harvard across the country
https://harvard.edu/#siteNavigation	a			Serving Tennessee
https://harvard.edu/#siteNavigation	p			Sarah Lockridge-Steckel founded The Collective, which works to help young people in Memphis, Tennessee
https://harvard.edu/#siteNavigation	a			       Read story       
https://harvard.edu/#siteNavigation	a			Serving South Dakota
https://harvard.edu/#siteNavigation	p			Marnie Gelbart works to increase public understanding of genetics, and the ethical, legal, and social implications
https://harvard.edu/#siteNavigation	a			       Read story       
https://harvard.edu/#siteNavigation	a			Serving Washington D.C. 
https://harvard.edu/#siteNavigation	p			Clint Smith, whose dissertation focuses on juveniles facing life sentences, leads a prison reading program in Washington, D.C.
https://harvard.edu/#siteNavigation	a			       Read story       
https://harvard.edu/#siteNavigation	a			             Explore the project           
https://harvard.edu/#siteNavigation	h2			Events
https://harvard.edu/#siteNavigation	p			       Thursday, December 26, 2019, 3:00pm     
https://harvard.edu/#siteNavigation	a			The Christmas Revels 2019: An American Celebration of the Winter Solstice
https://harvard.edu/#siteNavigation	p			       Thursday, December 26, 2019, 3:00pm - 4:00pm     
https://harvard.edu/#siteNavigation	a			Early Christian Africa: Arts of Transformation
https://harvard.edu/#siteNavigation	p			       Thursday, December 26, 2019, 9:00am - 5:00pm     
https://harvard.edu/#siteNavigation	a			Animal Talk Scavenger Hunt
https://harvard.edu/#siteNavigation	p			       Friday, December 27, 2019, 9:00am - 5:00pm     
https://harvard.edu/#siteNavigation	a			Angela Davis Exhibition: Freed by the People
https://harvard.edu/#siteNavigation	a			         See more events       
https://harvard.edu/#siteNavigation	h2			       Harvard scientists are working to help tackle climate change    
https://harvard.edu/#siteNavigation	a		span	    Learn more    
https://harvard.edu/#siteNavigation	span			     Harvard scientists are working to help tackle climate change    
https://harvard.edu/#siteNavigation	h2			Featured Multimedia
https://harvard.edu/#siteNavigation	h2			       Explore Harvard's online courses and learning content    
https://harvard.edu/#siteNavigation	a		span	    View Courses    
https://harvard.edu/#siteNavigation	span			     Explore Harvard's online courses and learning content    
https://harvard.edu/#siteNavigation	h2			Harvard on Twitter
https://harvard.edu/#siteNavigation	span			Twitter
https://harvard.edu/#siteNavigation	time			December 26, 2019
https://harvard.edu/#siteNavigation	p		a	         Harvard student Julia Riew wrote the book and composed the music for “Thumbelina: A Little Musical,” at the Loeb Dr…  
https://harvard.edu/#siteNavigation	a			https://twitter.com/i/web/status/1210232556991455232
https://harvard.edu/#siteNavigation	a			          View this Tweet         
https://harvard.edu/#siteNavigation	span			Twitter
https://harvard.edu/#siteNavigation	time			December 26, 2019
https://harvard.edu/#siteNavigation	p		a	         Fewer Americans are getting primary care than before, according to a national analysis of trends in the field by…  
https://harvard.edu/#siteNavigation	a			https://twitter.com/i/web/status/1210200844790116353
https://harvard.edu/#siteNavigation	a			          View this Tweet         
https://harvard.edu/#siteNavigation	span			Twitter
https://harvard.edu/#siteNavigation	time			December 25, 2019
https://harvard.edu/#siteNavigation	p		a	         Professor  
https://harvard.edu/#siteNavigation	a			@RNicholasBurns
https://harvard.edu/#siteNavigation	p		a	 is set to lead an 
https://harvard.edu/#siteNavigation	a			#HAATravel
https://harvard.edu/#siteNavigation	p		a	 trip on the legacy of WWI in Belgium and France  
https://harvard.edu/#siteNavigation	a			https://hvrdalum.me/harvardalumni88236
https://harvard.edu/#siteNavigation	a			          View this Tweet         
https://harvard.edu/#siteNavigation	span			Twitter
https://harvard.edu/#siteNavigation	time			December 25, 2019
https://harvard.edu/#siteNavigation	p		a	         The director of psychology at Brigham and Women’s talks about why the holiday season can trigger the blues ¬— and h…  
https://harvard.edu/#siteNavigation	a			https://twitter.com/i/web/status/1209929305654013959
https://harvard.edu/#siteNavigation	a			          View this Tweet         
https://harvard.edu/#siteNavigation	span			Twitter
https://harvard.edu/#siteNavigation	time			December 25, 2019
https://harvard.edu/#siteNavigation	p		a	         Merry Christmas! This beautiful depiction of the Madonna and Child made c. 1265 in Pisa is among the oldest of many…  
https://harvard.edu/#siteNavigation	a			https://twitter.com/i/web/status/1209836288037265412
https://harvard.edu/#siteNavigation	a			          View this Tweet         
https://harvard.edu/#siteNavigation	span			Twitter
https://harvard.edu/#siteNavigation	time			December 25, 2019
https://harvard.edu/#siteNavigation	p		a	         A very Merry Christmas to our alumni! We hope your day is filled with lots of love and cheer! 🎅🎄❤️  
https://harvard.edu/#siteNavigation	a			https://t.co/gH4IdK8eMN
https://harvard.edu/#siteNavigation	a			          View this Tweet         
https://harvard.edu/#siteNavigation	span			Twitter
https://harvard.edu/#siteNavigation	time			December 24, 2019
https://harvard.edu/#siteNavigation	a			@peabodymuseum
https://harvard.edu/#siteNavigation	p		a	 examines the origins of our favorite foods, how we make them, and who serves them  
