url	parent	ps	ns	text
https://harvard.edu/#bookmark_W	a			       Jump to main content     
https://harvard.edu/#bookmark_W	a			       Jump to search     
https://harvard.edu/#bookmark_W	a			       Jump to the footer     
https://harvard.edu/#bookmark_W	span			         Harvard University       
https://harvard.edu/#bookmark_W	a			     Menu   
https://harvard.edu/#bookmark_W	a		span	                 About                 
https://harvard.edu/#bookmark_W	span			                   Harvard                 
https://harvard.edu/#bookmark_W	a			Harvard at a Glance
https://harvard.edu/#bookmark_W	a			Harvard's President
https://harvard.edu/#bookmark_W	a			Harvard's Leadership
https://harvard.edu/#bookmark_W	a			Academic Experience
https://harvard.edu/#bookmark_W	a			Administrative Offices
https://harvard.edu/#bookmark_W	a			Directories
https://harvard.edu/#bookmark_W	a			Harvard in the Community
https://harvard.edu/#bookmark_W	a			News
https://harvard.edu/#bookmark_W	a		span	                 Admissions                 
https://harvard.edu/#bookmark_W	span			                   & Aid                 
https://harvard.edu/#bookmark_W	a			Undergraduate
https://harvard.edu/#bookmark_W	a			Graduate & Professional Schools
https://harvard.edu/#bookmark_W	a			Continuing Education
https://harvard.edu/#bookmark_W	a			Summer Programs
https://harvard.edu/#bookmark_W	a			                 Schools               
https://harvard.edu/#bookmark_W	a			Business
https://harvard.edu/#bookmark_W	a			College
https://harvard.edu/#bookmark_W	a			Continuing Education
https://harvard.edu/#bookmark_W	a			Dental
https://harvard.edu/#bookmark_W	a			Design
https://harvard.edu/#bookmark_W	a			Divinity
https://harvard.edu/#bookmark_W	a			Education
https://harvard.edu/#bookmark_W	a			Engineering
https://harvard.edu/#bookmark_W	a			Faculty of Arts & Sciences
https://harvard.edu/#bookmark_W	a			Government
https://harvard.edu/#bookmark_W	a			Graduate School
https://harvard.edu/#bookmark_W	a			Law
https://harvard.edu/#bookmark_W	a			Medical
https://harvard.edu/#bookmark_W	a			Public Health
https://harvard.edu/#bookmark_W	a			Radcliffe Institute
https://harvard.edu/#bookmark_W	a			                 On Campus               
https://harvard.edu/#bookmark_W	a			Arts and Humanities
https://harvard.edu/#bookmark_W	a			Athletics
https://harvard.edu/#bookmark_W	a			Commencement
https://harvard.edu/#bookmark_W	a			Employment
https://harvard.edu/#bookmark_W	a			Events
https://harvard.edu/#bookmark_W	a			HarvardX
https://harvard.edu/#bookmark_W	a			Library
https://harvard.edu/#bookmark_W	a			Museums
https://harvard.edu/#bookmark_W	a			Research
https://harvard.edu/#bookmark_W	a			Science
https://harvard.edu/#bookmark_W	a			Visit Harvard
https://harvard.edu/#bookmark_W	a			                 Gazette News               
https://harvard.edu/#bookmark_W	a			                 Events               
https://harvard.edu/#bookmark_W	a			                 Visit               
https://harvard.edu/#bookmark_W	a			                 Give               
