url	parent	ps	ns	text
https://harvard.edu/president/speech/2019/commencement	a			       Jump to main content     
https://harvard.edu/president/speech/2019/commencement	a			       Jump to search     
https://harvard.edu/president/speech/2019/commencement	a			       Jump to the footer     
https://harvard.edu/president/speech/2019/commencement	span			         Harvard University       
https://harvard.edu/president/speech/2019/commencement	a			     Menu   
https://harvard.edu/president/speech/2019/commencement	a		span	                 About                 
https://harvard.edu/president/speech/2019/commencement	span			                   Harvard                 
https://harvard.edu/president/speech/2019/commencement	a			Harvard at a Glance
https://harvard.edu/president/speech/2019/commencement	a			Harvard's President
https://harvard.edu/president/speech/2019/commencement	a			Harvard's Leadership
https://harvard.edu/president/speech/2019/commencement	a			Academic Experience
https://harvard.edu/president/speech/2019/commencement	a			Administrative Offices
https://harvard.edu/president/speech/2019/commencement	a			Directories
https://harvard.edu/president/speech/2019/commencement	a			Harvard in the Community
https://harvard.edu/president/speech/2019/commencement	a			News
https://harvard.edu/president/speech/2019/commencement	a		span	                 Admissions                 
https://harvard.edu/president/speech/2019/commencement	span			                   & Aid                 
https://harvard.edu/president/speech/2019/commencement	a			Undergraduate
https://harvard.edu/president/speech/2019/commencement	a			Graduate & Professional Schools
https://harvard.edu/president/speech/2019/commencement	a			Continuing Education
https://harvard.edu/president/speech/2019/commencement	a			Summer Programs
https://harvard.edu/president/speech/2019/commencement	a			                 Schools               
https://harvard.edu/president/speech/2019/commencement	a			Business
https://harvard.edu/president/speech/2019/commencement	a			College
https://harvard.edu/president/speech/2019/commencement	a			Continuing Education
https://harvard.edu/president/speech/2019/commencement	a			Dental
https://harvard.edu/president/speech/2019/commencement	a			Design
https://harvard.edu/president/speech/2019/commencement	a			Divinity
https://harvard.edu/president/speech/2019/commencement	a			Education
https://harvard.edu/president/speech/2019/commencement	a			Engineering
https://harvard.edu/president/speech/2019/commencement	a			Faculty of Arts & Sciences
https://harvard.edu/president/speech/2019/commencement	a			Government
https://harvard.edu/president/speech/2019/commencement	a			Graduate School
https://harvard.edu/president/speech/2019/commencement	a			Law
https://harvard.edu/president/speech/2019/commencement	a			Medical
https://harvard.edu/president/speech/2019/commencement	a			Public Health
