url	parent	ps	ns	text
http://mit.edu//search	a			Skip to content â
http://mit.edu//search	h1			Massachusetts Institute of Technology
http://mit.edu//search	a			Education
http://mit.edu//search	a			Research
http://mit.edu//search	a			Innovation
http://mit.edu//search	a			Admissions   Aid
http://mit.edu//search	a			Campus Life
http://mit.edu//search	a			News
http://mit.edu//search	a			Alumni
http://mit.edu//search	a			About MIT
http://mit.edu//search	button		span	More 
http://mit.edu//search	span			â
http://mit.edu//search	a			Admissions   Aid
http://mit.edu//search	a			Campus Life
http://mit.edu//search	a			News
http://mit.edu//search	a			Alumni
http://mit.edu//search	a			About MIT
http://mit.edu//search	span			Menu
http://mit.edu//search	span			â
http://mit.edu//search	span			Search
http://mit.edu//search	a			Menu
http://mit.edu//search	label			Search websites, locations, and people
http://mit.edu//search	span			             What are you looking for?           
http://mit.edu//search	span			See More Results
http://mit.edu//search	a			Suggestions or feedback?
http://mit.edu//search	span			Search Results
http://mit.edu//search	span			Massachusetts Institute of Technology
http://mit.edu//search	a			Education
http://mit.edu//search	a			Research
http://mit.edu//search	a			Innovation
http://mit.edu//search	a			Admissions   Aid
http://mit.edu//search	a			Campus Life
http://mit.edu//search	a		span	News
http://mit.edu//search	span			news.mit.edu
http://mit.edu//search	a			About MIT
http://mit.edu//search	a			Alumni
http://mit.edu//search	span			Join us in building a better world.
http://mit.edu//search	a			Massachusetts Institute of Technology
http://mit.edu//search	a			77 Massachusetts Avenue, Cambridge, MA, USA
http://mit.edu//search	a			Visit
http://mit.edu//search	a			Map
http://mit.edu//search	a			Events
http://mit.edu//search	a			People
http://mit.edu//search	a			Careers
http://mit.edu//search	a			Contact
http://mit.edu//search	a			Privacy
http://mit.edu//search	a			Accessibility
http://mit.edu//search	span			Social Media Hub
